<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFLT;4H;03/01/22;040000;59.16;59.30;59.10;59.24;105730
AFLT;4H;03/01/22;080000;59.26;60.26;59.20;60.00;3715500
AFLT;4H;03/01/22;120000;60.00;60.52;60.00;60.40;2253390
AFLT;4H;03/01/22;160000;60.38;60.90;60.34;60.70;2361380
AFLT;4H;03/01/22;200000;60.66;60.88;60.62;60.70;772620
AFLT;4H;04/01/22;040000;60.92;61.02;60.76;60.86;170010
AFLT;4H;04/01/22;080000;60.86;61.02;60.38;60.58;1827770
AFLT;4H;04/01/22;120000;60.62;62.48;60.54;62.34;8240630
AFLT;4H;04/01/22;160000;62.38;63.18;62.34;62.66;6149640
AFLT;4H;04/01/22;200000;62.64;63.36;62.46;63.30;1793330
AFLT;4H;05/01/22;040000;63.30;63.50;62.50;62.68;641970
AFLT;4H;05/01/22;080000;62.68;62.98;62.08;62.44;3057870
AFLT;4H;05/01/22;120000;62.44;62.66;62.14;62.28;2188240
AFLT;4H;05/01/22;160000;62.32;62.58;61.62;61.84;2883540
AFLT;4H;05/01/22;200000;61.82;62.66;60.80;60.98;4538560
AFLT;4H;06/01/22;040000;60.72;61.46;60.44;61.38;870060
AFLT;4H;06/01/22;080000;61.42;62.64;61.10;61.78;4459870
AFLT;4H;06/01/22;120000;61.74;62.84;61.70;62.60;3222870
AFLT;4H;06/01/22;160000;62.60;62.94;62.50;62.90;2185780
AFLT;4H;06/01/22;200000;62.90;63.00;62.80;62.96;948880
AFLT;4H;10/01/22;040000;62.98;63.90;62.82;63.20;639690
AFLT;4H;10/01/22;080000;63.20;63.60;62.52;63.48;3155770
AFLT;4H;10/01/22;120000;63.50;63.58;62.74;63.04;2057810
AFLT;4H;10/01/22;160000;63.04;63.30;62.86;63.22;1749060
AFLT;4H;10/01/22;200000;63.22;63.24;63.00;63.02;629350
AFLT;4H;11/01/22;040000;63.22;63.40;63.06;63.18;107270
AFLT;4H;11/01/22;080000;63.16;63.36;62.90;63.12;1299810
AFLT;4H;11/01/22;120000;63.18;63.54;63.10;63.38;1567290
AFLT;4H;11/01/22;160000;63.40;63.58;63.08;63.24;1782720
AFLT;4H;11/01/22;200000;63.24;63.40;63.06;63.20;404460
AFLT;4H;12/01/22;040000;63.34;63.40;63.02;63.18;96320
AFLT;4H;12/01/22;080000;63.12;63.22;62.52;62.52;1319150
AFLT;4H;12/01/22;120000;62.52;62.88;62.12;62.44;3170280
AFLT;4H;12/01/22;160000;62.44;62.58;62.12;62.54;2533950
AFLT;4H;12/01/22;200000;62.54;62.70;62.30;62.44;924170
AFLT;4H;13/01/22;040000;62.26;62.46;61.72;61.98;555390
AFLT;4H;13/01/22;080000;61.98;62.24;61.60;61.66;1812430
AFLT;4H;13/01/22;120000;61.62;61.62;59.42;60.12;10219500
AFLT;4H;13/01/22;160000;60.10;60.40;59.26;59.96;7601570
AFLT;4H;13/01/22;200000;59.96;60.40;59.82;60.16;1778850
AFLT;4H;14/01/22;040000;60.26;60.42;60.02;60.40;353850
AFLT;4H;14/01/22;080000;60.40;60.60;59.76;60.18;2475620
