<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFLT;D;03/01/22;000000;59.16;60.90;59.10;60.70;9208620
AFLT;D;04/01/22;000000;60.92;63.36;60.38;63.30;18181380
AFLT;D;05/01/22;000000;63.30;63.50;60.80;60.98;13310180
AFLT;D;06/01/22;000000;60.72;63.00;60.44;62.96;11687460
AFLT;D;10/01/22;000000;62.98;63.90;62.52;63.02;8231680
AFLT;D;11/01/22;000000;63.22;63.58;62.90;63.20;5161550
AFLT;D;12/01/22;000000;63.34;63.40;62.12;62.44;8043870
AFLT;D;13/01/22;000000;62.26;62.46;59.26;60.16;21967740
AFLT;D;14/01/22;000000;60.26;60.86;58.70;59.86;24270860
AFLT;D;17/01/22;000000;60.00;60.28;58.28;58.98;12757690
AFLT;D;18/01/22;000000;59.24;59.24;53.80;55.46;46003100
AFLT;D;19/01/22;000000;55.62;57.48;51.68;56.62;47858410
AFLT;D;20/01/22;000000;56.98;58.12;55.18;57.20;22121340
AFLT;D;21/01/22;000000;56.70;57.96;55.20;56.56;17608310
AFLT;D;24/01/22;000000;56.00;57.20;50.04;52.22;53703310
AFLT;D;25/01/22;000000;52.02;53.00;51.04;52.40;21754600
AFLT;D;26/01/22;000000;52.10;54.34;51.48;52.64;21571290
AFLT;D;27/01/22;000000;52.50;55.78;52.08;55.02;27520720
AFLT;D;28/01/22;000000;55.36;56.30;53.64;55.54;20309320
AFLT;D;31/01/22;000000;55.54;57.60;55.48;57.32;14780460
AFLT;D;01/02/22;000000;57.32;57.86;56.32;57.12;10456640
AFLT;D;02/02/22;000000;57.00;58.48;56.54;57.20;15549340
AFLT;D;03/02/22;000000;56.90;57.16;55.04;55.70;14388910
AFLT;D;04/02/22;000000;55.82;56.90;55.52;56.18;10264530
AFLT;D;07/02/22;000000;56.34;56.78;55.74;56.18;4640010
AFLT;D;08/02/22;000000;56.36;57.30;55.98;57.18;9044360
AFLT;D;09/02/22;000000;57.42;59.50;57.16;59.20;21809660
AFLT;D;10/02/22;000000;59.10;61.78;58.38;59.76;31466590
AFLT;D;11/02/22;000000;59.98;60.76;57.60;58.30;26056940
AFLT;D;14/02/22;000000;57.52;58.26;56.14;57.30;20992410
AFLT;D;15/02/22;000000;57.20;59.74;57.20;59.42;15538110
AFLT;D;16/02/22;000000;59.58;60.84;59.30;60.42;12332550
AFLT;D;17/02/22;000000;60.42;60.66;57.60;58.08;15611060
AFLT;D;18/02/22;000000;58.18;58.98;55.20;55.70;18622690
AFLT;D;21/02/22;000000;55.70;56.88;42.14;46.60;87959930
AFLT;D;22/02/22;000000;46.50;50.16;43.40;49.52;54277860
AFLT;D;24/02/22;000000;44.50;45.08;29.06;35.70;67096170
AFLT;D;25/02/22;000000;35.50;39.60;34.26;36.74;27283940
AFLT;D;24/03/22;000000;33.08;36.00;29.18;30.70;30152040
AFLT;D;25/03/22;000000;27.64;30.40;25.10;25.10;41384740
AFLT;D;28/03/22;000000;25.76;27.30;23.72;25.86;18127220
AFLT;D;29/03/22;000000;26.04;33.66;25.88;30.10;38723760
AFLT;D;30/03/22;000000;31.14;37.54;31.06;37.54;39951450
AFLT;D;31/03/22;000000;39.50;39.88;35.28;37.74;41356500
AFLT;D;01/04/22;000000;38.26;40.00;37.10;38.80;28411480
AFLT;D;04/04/22;000000;39.52;42.66;37.60;40.90;49655530
AFLT;D;05/04/22;000000;41.54;41.54;35.50;37.76;22618790
AFLT;D;06/04/22;000000;37.40;38.52;36.08;37.18;9609820
AFLT;D;07/04/22;000000;37.18;39.20;37.04;37.58;8630270
AFLT;D;08/04/22;000000;37.88;37.88;36.18;36.94;6094570
AFLT;D;11/04/22;000000;36.92;37.22;35.36;35.46;9946700
AFLT;D;12/04/22;000000;35.46;35.60;32.40;34.06;9114770
AFLT;D;13/04/22;000000;33.90;34.76;33.52;33.86;4674820
AFLT;D;14/04/22;000000;34.10;34.28;32.66;32.74;4522100
AFLT;D;15/04/22;000000;33.98;33.98;32.20;32.96;5637130
AFLT;D;18/04/22;000000;33.00;33.60;31.30;31.32;4420130
AFLT;D;19/04/22;000000;31.50;31.60;27.94;30.52;11864720
AFLT;D;20/04/22;000000;30.48;34.00;29.80;32.50;17019020
AFLT;D;21/04/22;000000;32.26;33.44;31.12;31.12;9866430
AFLT;D;22/04/22;000000;31.06;31.98;30.12;30.62;5909350
AFLT;D;25/04/22;000000;30.50;30.60;28.66;29.02;6583500
AFLT;D;26/04/22;000000;29.20;30.76;29.08;30.18;6907110
AFLT;D;27/04/22;000000;30.30;33.14;30.22;32.40;11293180
AFLT;D;28/04/22;000000;32.94;34.20;30.76;30.80;14648780
AFLT;D;29/04/22;000000;30.84;31.74;30.30;31.14;7661170
AFLT;D;04/05/22;000000;32.12;32.68;31.04;31.20;11381310
AFLT;D;05/05/22;000000;31.26;31.74;30.40;30.70;6641010
AFLT;D;06/05/22;000000;30.80;30.80;30.04;30.10;3061640
AFLT;D;11/05/22;000000;30.00;30.54;29.62;29.92;3834810
AFLT;D;12/05/22;000000;29.92;30.02;29.14;29.32;3159540
AFLT;D;13/05/22;000000;29.50;29.82;29.08;29.26;2945310
AFLT;D;16/05/22;000000;29.28;29.70;29.00;29.52;3773510
AFLT;D;17/05/22;000000;29.62;31.30;29.60;30.36;10171350
AFLT;D;18/05/22;000000;30.36;30.90;29.52;30.06;10053680
AFLT;D;19/05/22;000000;30.06;30.22;29.20;29.56;5273230
AFLT;D;20/05/22;000000;29.56;29.98;29.14;29.32;3784240
AFLT;D;23/05/22;000000;29.40;29.60;28.34;28.40;3927440
AFLT;D;24/05/22;000000;28.40;29.42;27.64;28.60;8203220
AFLT;D;25/05/22;000000;28.70;29.08;28.14;28.50;3249890
AFLT;D;26/05/22;000000;28.84;29.48;28.56;29.40;8588820
AFLT;D;27/05/22;000000;29.52;30.00;27.60;28.54;8904230
AFLT;D;30/05/22;000000;28.74;29.20;28.42;28.58;3454080
AFLT;D;31/05/22;000000;28.88;28.88;28.00;28.00;2482920
AFLT;D;01/06/22;000000;28.00;28.44;27.68;27.94;6010300
AFLT;D;02/06/22;000000;27.94;28.02;26.92;26.98;6146470
AFLT;D;03/06/22;000000;26.80;27.16;25.70;26.74;9640440
AFLT;D;06/06/22;000000;26.74;27.00;25.80;25.92;6371250
AFLT;D;07/06/22;000000;25.90;28.00;25.24;27.20;18667200
AFLT;D;08/06/22;000000;27.54;28.30;26.82;27.14;17949530
AFLT;D;09/06/22;000000;27.20;27.30;26.10;26.36;6057320
AFLT;D;10/06/22;000000;26.36;26.58;26.10;26.30;2965990
AFLT;D;14/06/22;000000;26.30;26.70;25.86;25.96;5026040
AFLT;D;15/06/22;000000;25.94;26.28;25.86;25.94;4927080
AFLT;D;16/06/22;000000;25.96;27.18;25.94;26.86;10988540
AFLT;D;17/06/22;000000;27.06;28.00;26.90;27.52;14701220
AFLT;D;20/06/22;000000;27.60;28.20;27.46;28.14;8997500
AFLT;D;21/06/22;000000;28.24;28.58;26.74;26.88;15909220
AFLT;D;22/06/22;000000;26.80;27.08;26.24;26.76;6516410
AFLT;D;23/06/22;000000;26.80;27.20;26.44;26.92;6511900
AFLT;D;24/06/22;000000;26.96;27.16;26.80;26.82;4151620
AFLT;D;27/06/22;000000;26.80;27.90;26.60;27.90;10837420
AFLT;D;28/06/22;000000;28.00;29.30;27.82;28.78;19476830
AFLT;D;29/06/22;000000;29.10;29.48;27.80;27.80;11703430
AFLT;D;30/06/22;000000;28.00;28.42;26.12;26.68;12857310
AFLT;D;01/07/22;000000;26.60;27.60;26.02;26.74;5024590
AFLT;D;04/07/22;000000;26.80;27.30;26.54;27.12;4064180
AFLT;D;05/07/22;000000;27.00;28.48;26.76;28.26;6616650
AFLT;D;06/07/22;000000;28.16;28.48;27.20;27.34;7856010
AFLT;D;07/07/22;000000;27.48;28.08;27.26;27.78;8173990
AFLT;D;08/07/22;000000;28.00;28.06;27.42;27.60;4481920
AFLT;D;11/07/22;000000;27.64;27.90;27.12;27.70;4360820
AFLT;D;12/07/22;000000;27.60;27.78;27.14;27.30;3789510
AFLT;D;13/07/22;000000;27.54;27.54;26.40;26.68;6330230
AFLT;D;14/07/22;000000;26.68;27.38;26.60;26.86;4294530
AFLT;D;15/07/22;000000;27.14;27.16;26.72;27.06;2806080
AFLT;D;18/07/22;000000;27.12;27.32;26.98;27.08;2265050
AFLT;D;19/07/22;000000;27.08;27.12;26.42;26.68;4432180
AFLT;D;20/07/22;000000;26.70;26.96;26.56;26.60;2588300
AFLT;D;21/07/22;000000;26.80;28.14;26.14;27.58;16177580
AFLT;D;22/07/22;000000;27.70;28.46;27.30;27.30;11744230
AFLT;D;25/07/22;000000;27.66;28.38;27.00;27.82;14222690
AFLT;D;26/07/22;000000;27.88;28.16;27.68;27.94;6291460
AFLT;D;27/07/22;000000;28.10;28.36;27.42;27.76;11835940
AFLT;D;28/07/22;000000;27.94;28.18;27.10;27.70;11107850
AFLT;D;29/07/22;000000;27.78;27.98;27.54;27.70;4299570
AFLT;D;01/08/22;000000;27.80;27.80;27.42;27.44;2633470
AFLT;D;02/08/22;000000;27.54;27.54;26.52;26.92;8579530
AFLT;D;03/08/22;000000;26.90;27.20;26.74;26.96;4261670
AFLT;D;04/08/22;000000;26.98;27.00;26.50;26.62;3163810
AFLT;D;05/08/22;000000;26.64;26.72;25.86;26.16;5469410
AFLT;D;08/08/22;000000;26.60;27.12;26.30;26.84;8777360
AFLT;D;09/08/22;000000;27.10;27.18;26.40;27.00;7247030
AFLT;D;10/08/22;000000;27.10;27.42;26.84;27.06;4837690
AFLT;D;11/08/22;000000;27.20;27.48;26.76;27.00;4593960
AFLT;D;12/08/22;000000;27.10;27.30;26.86;27.14;2949190
AFLT;D;15/08/22;000000;27.18;27.44;27.02;27.22;2400450
AFLT;D;16/08/22;000000;27.28;27.36;26.94;27.08;3848810
AFLT;D;17/08/22;000000;27.20;27.24;27.00;27.02;2407670
AFLT;D;18/08/22;000000;27.02;27.10;26.80;27.00;2225210
AFLT;D;19/08/22;000000;27.00;27.02;26.80;26.88;1638750
AFLT;D;22/08/22;000000;27.00;27.08;26.88;27.00;2602310
AFLT;D;23/08/22;000000;27.06;27.22;26.96;27.18;4923360
AFLT;D;24/08/22;000000;27.10;27.60;27.10;27.40;5097250
AFLT;D;25/08/22;000000;27.50;27.50;27.14;27.18;2225980
AFLT;D;26/08/22;000000;27.28;28.36;27.02;28.24;20013260
AFLT;D;29/08/22;000000;28.40;29.70;28.18;29.40;30108680
AFLT;D;30/08/22;000000;29.50;29.68;28.56;28.74;13871550
AFLT;D;31/08/22;000000;28.74;29.16;28.30;28.90;10230680
AFLT;D;01/09/22;000000;28.90;29.38;28.70;28.84;6853650
AFLT;D;02/09/22;000000;28.86;31.10;28.58;30.96;33598730
AFLT;D;05/09/22;000000;31.10;31.26;30.02;30.64;17103810
AFLT;D;06/09/22;000000;30.68;30.70;29.18;30.00;11970670
AFLT;D;07/09/22;000000;32.02;32.22;30.70;30.92;37596680
AFLT;D;08/09/22;000000;30.92;31.14;30.26;30.48;8150470
AFLT;D;09/09/22;000000;30.58;30.82;30.38;30.60;4027050
AFLT;D;12/09/22;000000;30.52;31.04;30.32;30.66;5399500
AFLT;D;13/09/22;000000;30.70;31.00;29.12;29.88;18236930
AFLT;D;14/09/22;000000;29.88;29.88;28.76;29.38;10474760
AFLT;D;15/09/22;000000;29.48;29.54;29.06;29.38;5134990
AFLT;D;16/09/22;000000;29.38;29.80;29.10;29.18;5532560
AFLT;D;19/09/22;000000;29.12;29.38;28.82;28.96;3419510
AFLT;D;20/09/22;000000;28.98;29.08;25.32;27.46;28890600
AFLT;D;21/09/22;000000;25.26;26.84;25.16;26.22;13365410
AFLT;D;22/09/22;000000;26.46;27.04;26.24;26.86;7287590
AFLT;D;23/09/22;000000;26.80;26.80;24.78;26.08;15993680
AFLT;D;26/09/22;000000;25.60;25.78;21.60;22.64;26588800
AFLT;D;27/09/22;000000;22.90;23.56;21.92;23.38;10929530
AFLT;D;28/09/22;000000;23.38;24.00;22.92;23.36;7906530
AFLT;D;29/09/22;000000;23.34;23.60;22.30;22.70;6937020
AFLT;D;30/09/22;000000;22.76;23.46;21.82;23.14;14779520
AFLT;D;03/10/22;000000;23.26;24.24;23.18;24.02;9801900
AFLT;D;04/10/22;000000;24.26;24.44;23.06;23.36;9178300
AFLT;D;05/10/22;000000;23.44;23.78;22.50;23.60;7167190
AFLT;D;06/10/22;000000;23.66;23.70;23.22;23.36;4801820
AFLT;D;07/10/22;000000;23.46;23.46;22.20;22.44;5158040
AFLT;D;10/10/22;000000;21.90;23.28;21.44;23.20;7224260
AFLT;D;11/10/22;000000;23.48;23.54;23.02;23.46;2889720
AFLT;D;12/10/22;000000;23.48;23.90;23.22;23.44;4868110
