<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ALRS;12H;03/01/22;000000;122.46;123.91;122.25;123.42;3711680
ALRS;12H;03/01/22;120000;123.42;123.60;122.22;123.27;5641100
ALRS;12H;04/01/22;000000;123.39;123.83;122.41;123.36;3347160
ALRS;12H;04/01/22;120000;123.34;124.32;123.17;123.82;7990370
ALRS;12H;05/01/22;000000;123.80;124.26;123.06;123.63;1780480
ALRS;12H;05/01/22;120000;123.63;123.65;117.40;117.71;14521920
ALRS;12H;06/01/22;000000;117.51;119.22;115.04;116.57;6993650
ALRS;12H;06/01/22;120000;116.51;120.29;116.35;119.33;14011450
ALRS;12H;10/01/22;000000;119.20;120.80;119.00;119.71;3481410
ALRS;12H;10/01/22;120000;119.69;119.92;115.55;117.48;13499940
ALRS;12H;11/01/22;000000;117.48;119.68;117.24;119.15;3687040
ALRS;12H;11/01/22;120000;119.15;121.94;118.84;121.71;21977470
ALRS;12H;12/01/22;000000;121.95;122.20;119.82;120.98;5410900
ALRS;12H;12/01/22;120000;120.93;120.98;118.60;120.11;17839180
ALRS;12H;13/01/22;000000;120.93;120.93;119.10;119.34;4558880
ALRS;12H;13/01/22;120000;119.30;119.69;117.00;118.48;34247170
ALRS;12H;14/01/22;000000;118.23;119.10;116.67;118.76;5402530
ALRS;12H;14/01/22;120000;118.78;119.10;113.47;118.61;29511790
ALRS;12H;17/01/22;000000;118.58;119.55;116.65;117.40;5393260
ALRS;12H;17/01/22;120000;117.35;118.48;115.36;117.15;11257000
ALRS;12H;18/01/22;000000;117.14;117.54;111.26;111.60;9870330
ALRS;12H;18/01/22;120000;111.66;113.05;108.05;108.33;37545940
ALRS;12H;19/01/22;000000;108.11;112.04;102.26;111.46;22677740
ALRS;12H;19/01/22;120000;111.45;111.66;107.56;109.41;37835400
ALRS;12H;20/01/22;000000;109.42;113.50;106.84;107.37;21282770
ALRS;12H;20/01/22;120000;107.33;114.19;107.14;110.84;34747560
ALRS;12H;21/01/22;000000;110.00;112.76;109.38;111.95;11658720
ALRS;12H;21/01/22;120000;111.95;113.05;106.00;107.00;41816860
ALRS;12H;24/01/22;000000;106.20;107.99;103.83;104.11;11666200
ALRS;12H;24/01/22;120000;104.10;104.20;96.52;102.63;48695850
ALRS;12H;25/01/22;000000;102.15;104.40;99.35;100.99;13024070
ALRS;12H;25/01/22;120000;100.99;107.30;100.98;107.26;35199470
ALRS;12H;26/01/22;000000;107.30;107.74;105.11;106.31;6921360
ALRS;12H;26/01/22;120000;106.32;108.14;103.20;103.81;24401700
ALRS;12H;27/01/22;000000;103.59;106.87;103.26;106.30;8202260
ALRS;12H;27/01/22;120000;106.30;110.55;105.51;107.00;32107740
ALRS;12H;28/01/22;000000;107.00;109.33;107.00;107.70;7693410
ALRS;12H;28/01/22;120000;107.70;110.60;107.57;110.59;15505470
ALRS;12H;31/01/22;000000;110.59;115.46;110.59;115.28;11655720
ALRS;12H;31/01/22;120000;115.28;117.36;112.55;113.80;31999350
ALRS;12H;01/02/22;000000;113.98;116.00;112.40;114.25;9259510
ALRS;12H;01/02/22;120000;114.25;116.35;113.84;114.98;11320390
ALRS;12H;02/02/22;000000;115.00;116.16;114.36;115.36;4377500
ALRS;12H;02/02/22;120000;115.36;118.00;114.85;117.68;18084560
ALRS;12H;03/02/22;000000;117.10;117.53;115.01;116.35;7340870
ALRS;12H;03/02/22;120000;116.35;116.86;114.10;115.23;19982800
ALRS;12H;04/02/22;000000;115.61;117.20;115.17;117.00;4440220
ALRS;12H;04/02/22;120000;117.00;118.10;114.54;116.34;23242880
ALRS;12H;07/02/22;000000;116.45;116.95;115.11;115.55;3842140
