<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ALRS;D;03/01/22;000000;122.46;123.91;122.22;123.27;9352780
ALRS;D;04/01/22;000000;123.39;124.32;122.41;123.82;11337530
ALRS;D;05/01/22;000000;123.80;124.26;117.40;117.71;16302400
ALRS;D;06/01/22;000000;117.51;120.29;115.04;119.33;21005100
ALRS;D;10/01/22;000000;119.20;120.80;115.55;117.48;16981350
ALRS;D;11/01/22;000000;117.48;121.94;117.24;121.71;25664510
ALRS;D;12/01/22;000000;121.95;122.20;118.60;120.11;23250080
ALRS;D;13/01/22;000000;120.93;120.93;117.00;118.48;38806050
ALRS;D;14/01/22;000000;118.23;119.10;113.47;118.61;34914320
ALRS;D;17/01/22;000000;118.58;119.55;115.36;117.15;16650260
ALRS;D;18/01/22;000000;117.14;117.54;108.05;108.33;47416270
ALRS;D;19/01/22;000000;108.11;112.04;102.26;109.41;60513140
ALRS;D;20/01/22;000000;109.42;114.19;106.84;110.84;56030330
ALRS;D;21/01/22;000000;110.00;113.05;106.00;107.00;53475580
ALRS;D;24/01/22;000000;106.20;107.99;96.52;102.63;60362050
ALRS;D;25/01/22;000000;102.15;107.30;99.35;107.26;48223540
ALRS;D;26/01/22;000000;107.30;108.14;103.20;103.81;31323060
ALRS;D;27/01/22;000000;103.59;110.55;103.26;107.00;40310000
ALRS;D;28/01/22;000000;107.00;110.60;107.00;110.59;23198880
ALRS;D;31/01/22;000000;110.59;117.36;110.59;113.80;43655070
ALRS;D;01/02/22;000000;113.98;116.35;112.40;114.98;20579900
ALRS;D;02/02/22;000000;115.00;118.00;114.36;117.68;22462060
ALRS;D;03/02/22;000000;117.10;117.53;114.10;115.23;27323670
ALRS;D;04/02/22;000000;115.61;118.10;114.54;116.34;27683100
ALRS;D;07/02/22;000000;116.45;116.95;113.66;115.98;19495670
ALRS;D;08/02/22;000000;115.35;118.98;115.24;118.78;22027450
ALRS;D;09/02/22;000000;118.80;122.69;118.80;122.32;25736860
ALRS;D;10/02/22;000000;122.35;124.32;119.60;122.80;27485020
ALRS;D;11/02/22;000000;122.51;123.26;117.00;117.88;27459850
ALRS;D;14/02/22;000000;117.00;120.62;114.14;115.52;57936330
ALRS;D;15/02/22;000000;116.32;118.18;113.30;115.79;44646010
ALRS;D;16/02/22;000000;116.00;117.30;113.62;115.60;43192290
ALRS;D;17/02/22;000000;115.93;115.98;108.12;109.77;58025650
ALRS;D;18/02/22;000000;110.50;111.63;102.63;103.44;64321790
ALRS;D;21/02/22;000000;103.44;106.89;84.06;90.30;143026420
ALRS;D;22/02/22;000000;90.10;101.49;84.44;99.30;132849650
ALRS;D;24/02/22;000000;89.97;90.00;55.70;77.01;116515070
ALRS;D;25/02/22;000000;74.31;88.25;68.24;79.60;78525480
ALRS;D;24/03/22;000000;82.00;99.80;82.00;89.39;20195080
ALRS;D;25/03/22;000000;90.99;92.78;87.55;89.98;8534790
ALRS;D;28/03/22;000000;89.79;89.80;86.01;86.50;10439710
ALRS;D;29/03/22;000000;87.55;88.50;82.00;84.40;8264390
ALRS;D;30/03/22;000000;87.00;88.50;85.00;87.90;5010970
ALRS;D;31/03/22;000000;87.95;95.95;87.94;95.70;11380030
ALRS;D;01/04/22;000000;95.90;97.90;93.20;94.02;9080410
ALRS;D;04/04/22;000000;94.90;96.35;90.00;94.70;6471910
ALRS;D;05/04/22;000000;94.70;95.50;90.32;92.76;4797120
ALRS;D;06/04/22;000000;92.96;96.00;90.36;93.50;5198190
ALRS;D;07/04/22;000000;93.55;94.44;92.00;92.80;4981320
ALRS;D;08/04/22;000000;89.49;89.74;81.00;82.53;53215250
ALRS;D;11/04/22;000000;82.88;84.40;79.50;79.55;16776090
ALRS;D;12/04/22;000000;80.00;80.00;75.00;78.46;12359220
ALRS;D;13/04/22;000000;78.80;81.00;78.80;79.95;5538480
ALRS;D;14/04/22;000000;80.02;80.50;77.10;77.31;4590890
ALRS;D;15/04/22;000000;77.55;78.99;73.62;78.99;7282430
ALRS;D;18/04/22;000000;78.96;78.96;76.01;76.01;3484520
ALRS;D;19/04/22;000000;76.29;76.95;74.20;76.71;6544160
ALRS;D;20/04/22;000000;77.44;79.98;76.51;79.00;7007400
ALRS;D;21/04/22;000000;79.49;80.99;79.20;79.99;5818830
ALRS;D;22/04/22;000000;79.20;81.39;79.01;80.11;3567140
ALRS;D;25/04/22;000000;81.00;81.50;78.54;79.64;4482960
ALRS;D;26/04/22;000000;80.01;83.20;79.14;82.28;5700760
ALRS;D;27/04/22;000000;82.28;84.65;81.71;82.55;5962570
ALRS;D;28/04/22;000000;83.89;84.44;79.04;79.18;9176630
ALRS;D;29/04/22;000000;79.70;80.88;79.18;80.33;3384870
ALRS;D;04/05/22;000000;80.53;81.49;77.20;77.30;5180800
ALRS;D;05/05/22;000000;77.80;78.86;77.00;77.52;3333590
ALRS;D;06/05/22;000000;77.80;77.81;76.24;77.26;2310540
ALRS;D;11/05/22;000000;77.95;78.21;77.00;78.15;2181550
ALRS;D;12/05/22;000000;78.26;78.31;74.92;75.83;3366740
ALRS;D;13/05/22;000000;76.00;76.64;74.42;74.42;4997330
ALRS;D;16/05/22;000000;74.56;75.20;74.42;75.00;4657090
ALRS;D;17/05/22;000000;75.00;75.58;74.60;75.00;5529100
ALRS;D;18/05/22;000000;75.50;78.90;75.21;77.30;12702170
ALRS;D;19/05/22;000000;77.50;78.40;76.15;77.28;3288450
ALRS;D;20/05/22;000000;77.50;77.85;73.33;74.00;8256110
ALRS;D;23/05/22;000000;74.80;74.95;70.21;70.60;7456360
ALRS;D;24/05/22;000000;70.58;70.59;68.22;69.20;7152940
ALRS;D;25/05/22;000000;70.95;71.97;69.60;70.34;3794910
ALRS;D;26/05/22;000000;70.68;74.00;70.60;71.83;8771090
ALRS;D;27/05/22;000000;72.89;73.87;71.95;73.87;4356790
ALRS;D;30/05/22;000000;73.90;74.89;72.00;73.50;3968440
ALRS;D;31/05/22;000000;73.50;73.98;72.50;73.80;2844880
ALRS;D;01/06/22;000000;73.73;75.64;73.50;74.82;4387320
ALRS;D;02/06/22;000000;75.12;75.38;72.25;72.96;4356920
ALRS;D;03/06/22;000000;72.96;73.13;68.09;70.12;11897400
ALRS;D;06/06/22;000000;70.10;71.85;69.21;71.22;3302060
ALRS;D;07/06/22;000000;71.18;71.42;69.18;71.05;3699600
ALRS;D;08/06/22;000000;69.86;70.88;68.00;68.09;19200420
ALRS;D;09/06/22;000000;66.86;67.68;65.00;66.06;17148880
ALRS;D;10/06/22;000000;66.14;68.15;65.18;68.02;8664980
ALRS;D;14/06/22;000000;67.40;67.50;65.82;66.80;5490530
ALRS;D;15/06/22;000000;66.76;67.37;65.81;66.70;3768330
ALRS;D;16/06/22;000000;67.00;68.09;66.60;68.00;5696930
ALRS;D;17/06/22;000000;68.00;68.54;67.50;67.90;3635670
ALRS;D;20/06/22;000000;68.00;69.90;68.00;69.78;5148860
ALRS;D;21/06/22;000000;69.97;70.28;68.40;68.80;6038440
ALRS;D;22/06/22;000000;67.80;68.80;66.66;67.33;4763990
ALRS;D;23/06/22;000000;67.92;69.47;67.37;68.83;5303090
ALRS;D;24/06/22;000000;69.25;71.60;68.71;71.26;6418880
ALRS;D;27/06/22;000000;71.50;74.72;70.71;74.72;7173380
ALRS;D;28/06/22;000000;74.30;74.75;70.21;72.57;13576150
ALRS;D;29/06/22;000000;72.10;72.92;70.66;70.81;5126280
ALRS;D;30/06/22;000000;71.30;72.00;67.51;67.70;9856330
