<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CHMF;12H;03/01/22;000000;1600.40;1619.60;1594.00;1612.40;189671
CHMF;12H;03/01/22;120000;1611.60;1621.00;1609.20;1619.80;265732
CHMF;12H;04/01/22;000000;1620.00;1625.60;1608.20;1617.00;158785
CHMF;12H;04/01/22;120000;1617.00;1619.40;1598.00;1603.40;356718
CHMF;12H;05/01/22;000000;1603.40;1616.40;1594.80;1614.80;118068
CHMF;12H;05/01/22;120000;1615.00;1617.40;1562.60;1575.20;637142
CHMF;12H;06/01/22;000000;1570.00;1608.80;1562.20;1604.40;204173
CHMF;12H;06/01/22;120000;1604.40;1610.40;1578.00;1584.00;358321
CHMF;12H;10/01/22;000000;1580.00;1600.00;1580.00;1587.80;224127
CHMF;12H;10/01/22;120000;1587.20;1591.00;1540.20;1554.60;717201
CHMF;12H;11/01/22;000000;1560.00;1574.00;1545.00;1568.00;221056
CHMF;12H;11/01/22;120000;1567.40;1594.40;1566.40;1572.40;780355
CHMF;12H;12/01/22;000000;1572.40;1584.40;1562.00;1578.00;171948
CHMF;12H;12/01/22;120000;1577.80;1593.00;1572.60;1591.20;668119
CHMF;12H;13/01/22;000000;1580.00;1595.80;1580.00;1584.00;137881
CHMF;12H;13/01/22;120000;1583.80;1593.20;1534.40;1570.40;1162222
CHMF;12H;14/01/22;000000;1564.00;1580.00;1553.00;1570.80;170519
CHMF;12H;14/01/22;120000;1570.80;1574.80;1499.00;1551.80;1502257
CHMF;12H;17/01/22;000000;1548.00;1568.80;1530.60;1540.00;299863
CHMF;12H;17/01/22;120000;1538.20;1546.20;1493.40;1514.80;846672
CHMF;12H;18/01/22;000000;1520.40;1521.80;1470.00;1486.00;370633
CHMF;12H;18/01/22;120000;1485.80;1500.00;1416.40;1460.40;1930591
CHMF;12H;19/01/22;000000;1467.00;1493.60;1416.00;1486.80;1356625
CHMF;12H;19/01/22;120000;1486.80;1496.80;1455.00;1480.60;2362709
CHMF;12H;20/01/22;000000;1494.00;1524.80;1471.20;1480.20;491401
CHMF;12H;20/01/22;120000;1480.00;1514.00;1471.00;1482.80;1029410
CHMF;12H;21/01/22;000000;1481.00;1505.60;1465.20;1501.00;377803
CHMF;12H;21/01/22;120000;1501.00;1510.00;1467.20;1480.00;1107093
CHMF;12H;24/01/22;000000;1481.20;1492.60;1447.00;1451.40;279724
CHMF;12H;24/01/22;120000;1451.60;1454.80;1367.40;1416.00;1983795
CHMF;12H;25/01/22;000000;1395.80;1434.00;1374.00;1393.60;535654
CHMF;12H;25/01/22;120000;1393.60;1430.00;1380.00;1423.80;1251445
CHMF;12H;26/01/22;000000;1428.00;1428.00;1400.40;1418.40;252382
CHMF;12H;26/01/22;120000;1418.40;1467.80;1418.40;1428.00;1473513
CHMF;12H;27/01/22;000000;1429.00;1457.20;1405.80;1452.60;471848
CHMF;12H;27/01/22;120000;1451.80;1485.80;1447.20;1467.60;1675699
CHMF;12H;28/01/22;000000;1474.00;1496.00;1451.20;1475.00;431294
CHMF;12H;28/01/22;120000;1476.40;1490.20;1462.40;1475.60;845209
CHMF;12H;31/01/22;000000;1470.60;1510.00;1470.60;1503.40;317661
CHMF;12H;31/01/22;120000;1503.40;1520.00;1498.40;1511.00;947217
CHMF;12H;01/02/22;000000;1508.40;1522.60;1491.00;1519.80;279768
CHMF;12H;01/02/22;120000;1519.80;1544.00;1515.00;1540.00;987053
CHMF;12H;02/02/22;000000;1539.40;1553.00;1530.00;1535.80;340444
CHMF;12H;02/02/22;120000;1535.80;1581.00;1534.40;1567.80;1081068
CHMF;12H;03/02/22;000000;1568.00;1571.80;1540.00;1560.20;349219
CHMF;12H;03/02/22;120000;1560.20;1561.80;1541.00;1558.40;689167
CHMF;12H;04/02/22;000000;1562.00;1575.00;1560.00;1572.60;242250
CHMF;12H;04/02/22;120000;1572.60;1591.60;1545.00;1560.60;1149554
CHMF;12H;07/02/22;000000;1563.60;1573.00;1550.00;1569.40;205197
CHMF;12H;07/02/22;120000;1570.40;1582.00;1552.20;1559.00;994464
CHMF;12H;08/02/22;000000;1558.00;1593.60;1553.00;1585.00;283725
CHMF;12H;08/02/22;120000;1585.80;1629.40;1581.60;1627.00;1260581
CHMF;12H;09/02/22;000000;1628.00;1682.60;1622.40;1673.60;882196
CHMF;12H;09/02/22;120000;1673.00;1698.60;1666.40;1675.20;1248348
CHMF;12H;10/02/22;000000;1679.80;1682.60;1622.80;1623.40;602517
CHMF;12H;10/02/22;120000;1623.60;1674.60;1623.20;1649.00;1262907
CHMF;12H;11/02/22;000000;1640.00;1650.80;1629.00;1636.00;307496
CHMF;12H;11/02/22;120000;1635.00;1658.60;1592.00;1599.20;1397131
CHMF;12H;14/02/22;000000;1592.80;1622.00;1542.80;1612.40;751128
CHMF;12H;14/02/22;120000;1612.00;1645.00;1593.00;1619.00;2490057
CHMF;12H;15/02/22;000000;1621.00;1663.60;1616.00;1663.60;415489
CHMF;12H;15/02/22;120000;1663.80;1669.80;1634.00;1651.00;959516
CHMF;12H;16/02/22;000000;1660.80;1675.20;1654.20;1656.40;299018
CHMF;12H;16/02/22;120000;1657.60;1672.00;1634.40;1669.00;744518
CHMF;12H;17/02/22;000000;1668.00;1669.00;1636.60;1645.40;493019
CHMF;12H;17/02/22;120000;1645.40;1664.00;1597.00;1612.80;1761990
CHMF;12H;18/02/22;000000;1621.00;1663.80;1616.00;1631.60;1032745
CHMF;12H;18/02/22;120000;1631.60;1646.00;1600.40;1636.00;1957845
CHMF;12H;21/02/22;000000;1639.60;1674.80;1620.20;1629.20;681825
CHMF;12H;21/02/22;120000;1628.20;1646.60;1382.40;1494.20;4831914
CHMF;12H;22/02/22;000000;1489.40;1538.20;1430.20;1484.40;1621362
CHMF;12H;22/02/22;120000;1484.40;1612.00;1472.20;1604.80;3177204
CHMF;12H;24/02/22;000000;1490.00;1500.00;1029.40;1056.00;787115
CHMF;12H;24/02/22;120000;1050.40;1469.80;954.60;1250.00;6459551
CHMF;12H;25/02/22;000000;1280.00;1432.20;1263.00;1357.20;434573
CHMF;12H;25/02/22;120000;1361.00;1414.40;1257.80;1315.00;1622138
CHMF;12H;24/03/22;000000;1315.00;1439.00;1315.00;1347.20;1187304
CHMF;12H;24/03/22;120000;1345.80;1350.00;1250.00;1280.00;1486724
CHMF;12H;25/03/22;000000;1299.60;1340.00;1137.00;1185.80;455493
CHMF;12H;25/03/22;120000;1186.40;1200.00;1160.40;1160.40;122431
CHMF;12H;28/03/22;000000;1159.00;1160.00;1050.00;1096.00;394926
CHMF;12H;28/03/22;120000;1096.60;1096.60;1040.00;1053.80;211102
CHMF;12H;29/03/22;000000;1061.60;1097.00;1050.20;1082.80;341237
CHMF;12H;29/03/22;120000;1082.80;1084.60;980.00;1013.80;358904
CHMF;12H;30/03/22;000000;1002.00;1068.00;1002.00;1056.40;298259
CHMF;12H;30/03/22;120000;1056.40;1063.40;1051.00;1058.00;150359
CHMF;12H;31/03/22;000000;1069.00;1140.00;1066.00;1115.00;415410
CHMF;12H;31/03/22;120000;1114.60;1115.40;1070.00;1100.00;754388
CHMF;12H;01/04/22;000000;1149.00;1180.00;1111.20;1142.80;545114
CHMF;12H;01/04/22;120000;1142.80;1200.00;1138.20;1192.60;538357
CHMF;12H;04/04/22;000000;1219.20;1248.00;1163.00;1220.00;458829
CHMF;12H;04/04/22;120000;1220.00;1226.00;1181.00;1185.00;393587
CHMF;12H;05/04/22;000000;1186.40;1208.80;1115.00;1140.00;351173
CHMF;12H;05/04/22;120000;1140.20;1142.60;1080.80;1093.00;679787
CHMF;12H;06/04/22;000000;1093.00;1095.20;1050.20;1064.00;471719
CHMF;12H;06/04/22;120000;1064.60;1078.00;1056.20;1061.80;654872
CHMF;12H;07/04/22;000000;1065.00;1085.00;1060.20;1078.40;200569
CHMF;12H;07/04/22;120000;1078.20;1078.80;1057.60;1066.00;512687
CHMF;12H;08/04/22;000000;1082.20;1082.20;1062.00;1063.80;102501
CHMF;12H;08/04/22;120000;1063.80;1070.00;1049.00;1067.80;262977
CHMF;12H;11/04/22;000000;1070.00;1079.00;1060.00;1068.60;166920
CHMF;12H;11/04/22;120000;1068.60;1068.60;1015.00;1018.00;483903
CHMF;12H;12/04/22;000000;1014.00;1015.80;982.00;991.20;335663
CHMF;12H;12/04/22;120000;991.20;1046.20;986.60;1035.60;376750
CHMF;12H;13/04/22;000000;1035.60;1042.20;1009.60;1017.80;134601
CHMF;12H;13/04/22;120000;1017.60;1023.20;1001.20;1013.40;202757
CHMF;12H;14/04/22;000000;1019.00;1019.00;991.80;995.60;116641
CHMF;12H;14/04/22;120000;995.80;996.00;970.40;975.60;258370
CHMF;12H;15/04/22;000000;975.00;994.60;950.00;985.60;188024
CHMF;12H;15/04/22;120000;985.40;986.00;963.60;971.00;233475
CHMF;12H;18/04/22;000000;973.00;980.00;957.00;969.20;103612
CHMF;12H;18/04/22;120000;969.20;985.00;962.00;973.60;167966
CHMF;12H;19/04/22;000000;973.80;994.60;964.20;981.40;177422
CHMF;12H;19/04/22;120000;981.40;1015.60;972.60;1003.40;362040
CHMF;12H;20/04/22;000000;1005.00;1018.20;986.60;1014.00;150007
CHMF;12H;20/04/22;120000;1014.00;1045.00;997.20;1045.00;562456
CHMF;12H;21/04/22;000000;1040.40;1060.00;1020.00;1053.60;180380
CHMF;12H;21/04/22;120000;1054.00;1064.20;1022.00;1045.00;387037
CHMF;12H;22/04/22;000000;1047.20;1068.00;995.00;1057.40;212768
CHMF;12H;22/04/22;120000;1057.80;1062.60;1047.00;1061.80;194058
CHMF;12H;25/04/22;000000;1055.00;1058.20;1031.00;1048.00;100253
CHMF;12H;25/04/22;120000;1048.00;1055.00;1042.60;1055.00;136498
CHMF;12H;26/04/22;000000;1044.00;1064.80;1033.40;1056.20;136774
CHMF;12H;26/04/22;120000;1055.60;1072.60;1055.00;1069.80;268811
CHMF;12H;27/04/22;000000;1062.00;1085.00;1060.60;1077.00;129650
