<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CHMF;D;03/01/22;000000;1600.40;1621.00;1594.00;1619.80;455403
CHMF;D;04/01/22;000000;1620.00;1625.60;1598.00;1603.40;515503
CHMF;D;05/01/22;000000;1603.40;1617.40;1562.60;1575.20;755210
CHMF;D;06/01/22;000000;1570.00;1610.40;1562.20;1584.00;562494
CHMF;D;10/01/22;000000;1580.00;1600.00;1540.20;1554.60;941328
CHMF;D;11/01/22;000000;1560.00;1594.40;1545.00;1572.40;1001411
CHMF;D;12/01/22;000000;1572.40;1593.00;1562.00;1591.20;840067
CHMF;D;13/01/22;000000;1580.00;1595.80;1534.40;1570.40;1300103
CHMF;D;14/01/22;000000;1564.00;1580.00;1499.00;1551.80;1672776
CHMF;D;17/01/22;000000;1548.00;1568.80;1493.40;1514.80;1146535
CHMF;D;18/01/22;000000;1520.40;1521.80;1416.40;1460.40;2301224
CHMF;D;19/01/22;000000;1467.00;1496.80;1416.00;1480.60;3719334
CHMF;D;20/01/22;000000;1494.00;1524.80;1471.00;1482.80;1520811
CHMF;D;21/01/22;000000;1481.00;1510.00;1465.20;1480.00;1484896
CHMF;D;24/01/22;000000;1481.20;1492.60;1367.40;1416.00;2263519
CHMF;D;25/01/22;000000;1395.80;1434.00;1374.00;1423.80;1787099
CHMF;D;26/01/22;000000;1428.00;1467.80;1400.40;1428.00;1725895
CHMF;D;27/01/22;000000;1429.00;1485.80;1405.80;1467.60;2147547
CHMF;D;28/01/22;000000;1474.00;1496.00;1451.20;1475.60;1276503
CHMF;D;31/01/22;000000;1470.60;1520.00;1470.60;1511.00;1264878
CHMF;D;01/02/22;000000;1508.40;1544.00;1491.00;1540.00;1266821
CHMF;D;02/02/22;000000;1539.40;1581.00;1530.00;1567.80;1421512
CHMF;D;03/02/22;000000;1568.00;1571.80;1540.00;1558.40;1038386
CHMF;D;04/02/22;000000;1562.00;1591.60;1545.00;1560.60;1391804
CHMF;D;07/02/22;000000;1563.60;1582.00;1550.00;1559.00;1199661
CHMF;D;08/02/22;000000;1558.00;1629.40;1553.00;1627.00;1544306
CHMF;D;09/02/22;000000;1628.00;1698.60;1622.40;1675.20;2130544
CHMF;D;10/02/22;000000;1679.80;1682.60;1622.80;1649.00;1865424
CHMF;D;11/02/22;000000;1640.00;1658.60;1592.00;1599.20;1704627
CHMF;D;14/02/22;000000;1592.80;1645.00;1542.80;1619.00;3241185
CHMF;D;15/02/22;000000;1621.00;1669.80;1616.00;1651.00;1375005
CHMF;D;16/02/22;000000;1660.80;1675.20;1634.40;1669.00;1043536
CHMF;D;17/02/22;000000;1668.00;1669.00;1597.00;1612.80;2255009
CHMF;D;18/02/22;000000;1621.00;1663.80;1600.40;1636.00;2990590
CHMF;D;21/02/22;000000;1639.60;1674.80;1382.40;1494.20;5513739
CHMF;D;22/02/22;000000;1489.40;1612.00;1430.20;1604.80;4798566
CHMF;D;24/02/22;000000;1490.00;1500.00;954.60;1250.00;7246666
