<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;10/01/22;060000;348.56;348.56;348.56;348.56;43260
GAZP;60;10/01/22;070000;348.33;350.67;347.83;350.22;2727630
GAZP;60;10/01/22;080000;350.22;350.29;349.1;349.68;1128540
GAZP;60;10/01/22;090000;349.7;349.9;347.25;349.39;1812650
GAZP;60;10/01/22;100000;349.4;351.0;346.88;349.19;5339290
GAZP;60;10/01/22;110000;349.12;349.17;346.55;347.42;4819360
GAZP;60;10/01/22;120000;347.42;349.13;346.89;348.05;3029270
GAZP;60;10/01/22;130000;348.04;348.39;345.65;346.05;3723730
GAZP;60;10/01/22;140000;346.08;346.58;343.75;343.99;4456470
GAZP;60;10/01/22;150000;343.99;344.05;340.51;341.44;7744540
GAZP;60;10/01/22;160000;341.41;343.93;340.59;342.91;3636510
GAZP;60;10/01/22;170000;342.99;343.28;340.8;341.65;3229810
GAZP;60;10/01/22;180000;341.59;342.74;341.0;342.46;3347660
GAZP;60;10/01/22;190000;341.12;344.78;341.12;344.65;2077400
GAZP;60;10/01/22;200000;344.63;344.69;342.55;344.12;1093940
GAZP;60;10/01/22;210000;344.15;345.92;344.04;345.4;1390290
GAZP;60;10/01/22;220000;345.32;345.88;343.0;343.8;943110
GAZP;60;10/01/22;230000;343.8;344.43;343.37;344.0;547290
GAZP;60;11/01/22;060000;344.68;344.68;344.68;344.68;8270
GAZP;60;11/01/22;070000;344.68;347.0;343.03;344.2;1380110
GAZP;60;11/01/22;080000;344.19;344.46;343.31;343.65;394840
GAZP;60;11/01/22;090000;343.65;344.2;342.02;342.38;1278110
GAZP;60;11/01/22;100000;342.38;345.2;341.27;343.63;4568510
GAZP;60;11/01/22;110000;343.7;344.19;341.35;343.8;4099020
GAZP;60;11/01/22;120000;343.8;344.48;342.87;343.05;2413670
GAZP;60;11/01/22;130000;343.0;344.7;342.51;344.68;2307150
GAZP;60;11/01/22;140000;344.68;345.53;343.42;345.0;3408890
GAZP;60;11/01/22;150000;345.0;346.0;344.38;345.62;2839870
GAZP;60;11/01/22;160000;345.64;345.79;344.51;344.97;2001770
GAZP;60;11/01/22;170000;344.93;345.77;342.07;342.28;5885720
GAZP;60;11/01/22;180000;342.28;343.44;341.8;342.22;5994780
GAZP;60;11/01/22;190000;342.57;344.62;342.5;344.31;2231350
GAZP;60;11/01/22;200000;344.39;345.0;343.77;343.8;1074760
GAZP;60;11/01/22;210000;343.92;344.42;343.66;344.2;410470
GAZP;60;11/01/22;220000;344.2;344.4;343.65;343.76;726220
GAZP;60;11/01/22;230000;343.86;343.92;343.25;343.74;945900
GAZP;60;12/01/22;060000;344.48;344.48;344.48;344.48;12990
GAZP;60;12/01/22;070000;344.11;344.77;341.81;341.94;1909000
GAZP;60;12/01/22;080000;341.91;342.8;341.0;341.85;1692230
GAZP;60;12/01/22;090000;341.86;342.75;341.65;341.86;714780
GAZP;60;12/01/22;100000;341.9;342.6;339.57;340.75;4090320
GAZP;60;12/01/22;110000;340.77;343.38;340.7;342.54;4353760
GAZP;60;12/01/22;120000;342.54;343.92;342.35;343.43;3273830
GAZP;60;12/01/22;130000;343.43;346.07;342.0;345.4;8442270
GAZP;60;12/01/22;140000;345.34;348.09;345.21;346.6;7100290
GAZP;60;12/01/22;150000;346.66;348.64;346.23;347.34;5341730
GAZP;60;12/01/22;160000;347.34;348.2;346.83;346.94;2980620
GAZP;60;12/01/22;170000;346.91;348.42;346.51;347.83;2982220
GAZP;60;12/01/22;180000;347.98;348.0;345.54;346.9;5760430
GAZP;60;12/01/22;190000;346.52;347.7;345.59;347.19;1777800
GAZP;60;12/01/22;200000;347.19;348.2;347.0;347.85;1063470
GAZP;60;12/01/22;210000;347.85;348.0;346.65;347.14;838920
GAZP;60;12/01/22;220000;347.14;347.3;346.57;347.01;623630
