<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;10/01/22;000000;348.56;351.0;340.51;344.0;51090750
GAZP;D;11/01/22;000000;344.68;347.0;341.27;343.74;41969410
GAZP;D;12/01/22;000000;344.48;348.64;339.57;347.43;53456250
GAZP;D;13/01/22;000000;347.01;347.5;333.49;337.6;118269470
GAZP;D;14/01/22;000000;338.59;340.96;321.51;335.76;120568340
GAZP;D;17/01/22;000000;335.9;338.95;319.17;327.81;96946290
GAZP;D;18/01/22;000000;329.11;329.3;296.7;301.11;220122140
GAZP;D;19/01/22;000000;299.0;320.42;282.72;318.36;220090450
GAZP;D;20/01/22;000000;318.4;326.69;310.07;310.42;130272450
GAZP;D;21/01/22;000000;309.49;321.99;303.5;311.6;119138170
GAZP;D;24/01/22;000000;310.8;314.0;280.6;294.59;236552480
GAZP;D;25/01/22;000000;293.94;305.0;289.62;302.96;143186690
GAZP;D;26/01/22;000000;302.9;307.7;293.7;299.6;125078000
GAZP;D;27/01/22;000000;296.93;330.0;294.0;325.25;216081130
GAZP;D;28/01/22;000000;325.5;334.9;322.05;329.58;116239740
GAZP;D;31/01/22;000000;330.9;336.41;330.52;334.8;69919140
GAZP;D;01/02/22;000000;334.95;336.63;325.3;330.95;68010800
GAZP;D;02/02/22;000000;332.39;333.7;325.7;331.7;54760820
GAZP;D;03/02/22;000000;330.0;331.0;322.3;323.75;57601360
GAZP;D;04/02/22;000000;325.5;334.5;320.88;324.6;88655550
GAZP;D;07/02/22;000000;324.51;327.44;316.64;321.25;56310540
GAZP;D;08/02/22;000000;321.45;331.87;319.0;331.7;77966650
GAZP;D;09/02/22;000000;332.3;336.0;330.18;335.08;63273270
GAZP;D;10/02/22;000000;335.41;335.47;328.1;328.93;61934110
GAZP;D;11/02/22;000000;328.97;328.97;316.2;318.1;100771640
GAZP;D;14/02/22;000000;314.1;324.9;303.25;321.85;121315290
GAZP;D;15/02/22;000000;322.43;335.5;322.43;333.6;96884740
GAZP;D;16/02/22;000000;335.86;339.98;331.62;336.5;77190530
GAZP;D;17/02/22;000000;336.37;336.37;322.04;323.51;102164080
GAZP;D;18/02/22;000000;325.51;329.32;306.7;309.48;125466600
GAZP;D;21/02/22;000000;309.48;318.9;241.0;257.3;413310930
GAZP;D;22/02/22;000000;253.95;284.07;246.7;283.51;324950590
GAZP;D;24/02/22;000000;255.02;255.02;126.53;210.0;414024040
GAZP;D;25/02/22;000000;208.01;244.94;191.6;228.0;211877250
GAZP;D;24/03/22;000000;251.41;278.9;232.0;258.51;85870120
GAZP;D;25/03/22;000000;263.99;269.33;225.6;227.0;67384870
GAZP;D;28/03/22;000000;225.0;229.45;213.03;218.6;25249730
GAZP;D;29/03/22;000000;220.0;226.0;206.0;208.0;40380090
GAZP;D;30/03/22;000000;211.0;219.41;210.52;216.0;38680160
GAZP;D;31/03/22;000000;218.98;249.0;217.1;242.48;84081100
GAZP;D;01/04/22;000000;245.9;258.7;242.48;251.4;50666270
GAZP;D;04/04/22;000000;254.03;259.99;237.31;252.9;41058980
GAZP;D;05/04/22;000000;254.0;256.39;231.45;243.5;39973220
GAZP;D;06/04/22;000000;238.41;247.8;234.41;239.7;20595350
