<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;12H;03/01/22;000000;229.98;234.50;229.62;233.58;92066
GMKN;12H;03/01/22;120000;233.58;234.10;231.10;233.78;103334
GMKN;12H;04/01/22;000000;234.00;234.50;231.88;232.88;71553
GMKN;12H;04/01/22;120000;232.84;233.64;231.32;233.14;130423
GMKN;12H;05/01/22;000000;232.66;234.50;231.80;233.96;46629
GMKN;12H;05/01/22;120000;233.96;236.20;226.04;230.10;285162
GMKN;12H;06/01/22;000000;229.40;233.88;228.50;231.30;88926
GMKN;12H;06/01/22;120000;231.30;233.30;230.50;232.80;112154
GMKN;12H;10/01/22;000000;234.98;236.20;233.74;235.56;97887
GMKN;12H;10/01/22;120000;235.50;237.30;234.22;235.08;233462
GMKN;12H;11/01/22;000000;235.10;236.50;234.20;236.10;74976
GMKN;12H;11/01/22;120000;236.12;237.94;235.82;237.34;353785
GMKN;12H;12/01/22;000000;237.02;238.10;235.34;238.06;120171
GMKN;12H;12/01/22;120000;238.08;240.82;238.08;240.40;421708
GMKN;12H;13/01/22;000000;227.00;231.44;226.24;231.10;240069
GMKN;12H;13/01/22;120000;231.00;233.36;222.50;228.36;656674
GMKN;12H;14/01/22;000000;228.00;230.44;225.06;228.84;120364
GMKN;12H;14/01/22;120000;228.84;229.56;221.90;226.48;451213
GMKN;12H;17/01/22;000000;227.00;227.56;222.80;223.76;81223
GMKN;12H;17/01/22;120000;223.66;225.26;215.52;218.20;336057
GMKN;12H;18/01/22;000000;218.38;219.30;209.34;213.76;220862
GMKN;12H;18/01/22;120000;213.74;214.40;197.06;206.94;768230
GMKN;12H;19/01/22;000000;207.04;216.80;198.00;216.38;333508
GMKN;12H;19/01/22;120000;216.40;221.88;212.70;220.24;431581
GMKN;12H;20/01/22;000000;221.46;226.66;217.82;221.08;208718
GMKN;12H;20/01/22;120000;221.08;226.32;220.40;223.00;261960
GMKN;12H;21/01/22;000000;220.00;222.46;216.82;220.14;115454
GMKN;12H;21/01/22;120000;220.08;224.36;219.40;221.00;328055
