<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;03/01/22;000000;229.98;234.50;229.62;233.78;195400
GMKN;D;04/01/22;000000;234.00;234.50;231.32;233.14;201976
GMKN;D;05/01/22;000000;232.66;236.20;226.04;230.10;331791
GMKN;D;06/01/22;000000;229.40;233.88;228.50;232.80;201080
GMKN;D;10/01/22;000000;234.98;237.30;233.74;235.08;331349
GMKN;D;11/01/22;000000;235.10;237.94;234.20;237.34;428761
GMKN;D;12/01/22;000000;237.02;240.82;235.34;240.40;541879
GMKN;D;13/01/22;000000;227.00;233.36;222.50;228.36;896743
GMKN;D;14/01/22;000000;228.00;230.44;221.90;226.48;571577
GMKN;D;17/01/22;000000;227.00;227.56;215.52;218.20;417280
GMKN;D;18/01/22;000000;218.38;219.30;197.06;206.94;989092
GMKN;D;19/01/22;000000;207.04;221.88;198.00;220.24;765089
GMKN;D;20/01/22;000000;221.46;226.66;217.82;223.00;470678
GMKN;D;21/01/22;000000;220.00;224.36;216.82;221.00;443509
GMKN;D;24/01/22;000000;221.98;222.40;204.72;212.50;737719
GMKN;D;25/01/22;000000;212.74;216.30;208.58;214.66;425526
GMKN;D;26/01/22;000000;214.00;223.10;210.70;217.88;457164
GMKN;D;27/01/22;000000;217.00;225.64;214.42;220.66;428523
GMKN;D;28/01/22;000000;221.00;223.64;219.58;220.82;250898
GMKN;D;31/01/22;000000;220.00;224.94;216.62;219.16;311456
GMKN;D;01/02/22;000000;220.00;221.28;216.22;219.48;238136
GMKN;D;02/02/22;000000;219.60;220.34;214.68;216.70;260598
GMKN;D;03/02/22;000000;216.48;217.50;212.20;213.92;190119
GMKN;D;04/02/22;000000;214.40;217.70;212.34;214.00;203390
GMKN;D;07/02/22;000000;214.02;217.20;212.50;215.80;137064
GMKN;D;08/02/22;000000;215.80;224.48;214.70;223.72;320978
GMKN;D;09/02/22;000000;224.50;228.30;223.24;226.74;316957
GMKN;D;10/02/22;000000;226.70;228.72;222.52;224.54;307612
GMKN;D;11/02/22;000000;224.50;225.22;215.26;216.88;336955
GMKN;D;14/02/22;000000;216.58;221.94;212.64;220.82;381293
GMKN;D;15/02/22;000000;221.44;225.10;220.00;223.24;277735
GMKN;D;16/02/22;000000;223.24;225.60;220.20;223.04;273628
GMKN;D;17/02/22;000000;223.30;223.40;216.48;217.74;292855
GMKN;D;18/02/22;000000;218.78;221.00;213.04;214.50;299689
GMKN;D;21/02/22;000000;214.50;219.22;181.58;192.52;1003501
GMKN;D;22/02/22;000000;192.38;213.06;188.00;211.50;1127953
GMKN;D;24/02/22;000000;190.32;198.22;145.00;182.00;827202
GMKN;D;25/02/22;000000;185.64;206.40;185.64;190.52;469789
GMKN;D;24/03/22;000000;210.34;237.00;208.12;209.90;313933
