<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IRAO;8H;03/01/22;000000;4.27;4.29;4.26;4.27;2963900
IRAO;8H;03/01/22;080000;4.26;4.39;4.26;4.38;99665600
IRAO;8H;03/01/22;160000;4.38;4.41;4.38;4.38;53502300
IRAO;8H;04/01/22;000000;4.38;4.44;4.38;4.41;4610800
IRAO;8H;04/01/22;080000;4.41;4.45;4.39;4.39;107367600
IRAO;8H;04/01/22;160000;4.39;4.42;4.39;4.41;68828900
IRAO;8H;05/01/22;000000;4.42;4.43;4.37;4.40;5361200
IRAO;8H;05/01/22;080000;4.40;4.41;4.38;4.38;40522700
IRAO;8H;05/01/22;160000;4.38;4.39;4.23;4.23;80217300
IRAO;8H;06/01/22;000000;4.25;4.27;4.18;4.27;12098400
IRAO;8H;06/01/22;080000;4.27;4.33;4.24;4.27;136656200
IRAO;8H;06/01/22;160000;4.27;4.28;4.21;4.25;158007100
IRAO;8H;10/01/22;000000;4.27;4.29;4.25;4.28;3082600
IRAO;8H;10/01/22;080000;4.28;4.35;4.25;4.29;126076500
IRAO;8H;10/01/22;160000;4.29;4.30;4.20;4.29;129253600
IRAO;8H;11/01/22;000000;4.29;4.31;4.28;4.30;1849000
IRAO;8H;11/01/22;080000;4.30;4.40;4.27;4.39;180121400
IRAO;8H;11/01/22;160000;4.39;4.41;4.35;4.39;111129800
IRAO;8H;12/01/22;000000;4.38;4.40;4.37;4.39;4018400
IRAO;8H;12/01/22;080000;4.39;4.43;4.36;4.37;97071600
IRAO;8H;12/01/22;160000;4.37;4.39;4.32;4.38;129758400
IRAO;8H;13/01/22;000000;4.37;4.39;4.35;4.36;1889600
IRAO;8H;13/01/22;080000;4.36;4.39;4.32;4.35;167121700
IRAO;8H;13/01/22;160000;4.35;4.40;4.25;4.29;191227200
IRAO;8H;14/01/22;000000;4.31;4.33;4.28;4.32;5318500
IRAO;8H;14/01/22;080000;4.32;4.33;4.21;4.22;244767200
