<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IRAO;D;03/01/22;000000;4.27;4.41;4.26;4.38;156131800
IRAO;D;04/01/22;000000;4.38;4.45;4.38;4.41;180807300
IRAO;D;05/01/22;000000;4.42;4.43;4.23;4.23;126101200
IRAO;D;06/01/22;000000;4.25;4.33;4.18;4.25;306761700
IRAO;D;10/01/22;000000;4.27;4.35;4.20;4.29;258412700
IRAO;D;11/01/22;000000;4.29;4.41;4.27;4.39;293100200
IRAO;D;12/01/22;000000;4.38;4.43;4.32;4.38;230848400
IRAO;D;13/01/22;000000;4.37;4.40;4.25;4.29;360238500
IRAO;D;14/01/22;000000;4.31;4.33;4.15;4.30;532939100
IRAO;D;17/01/22;000000;4.30;4.33;4.14;4.21;223581300
IRAO;D;18/01/22;000000;4.22;4.22;3.88;4.01;695991800
IRAO;D;19/01/22;000000;4.02;4.22;3.89;4.15;340377100
IRAO;D;20/01/22;000000;4.15;4.22;4.06;4.13;287045000
IRAO;D;21/01/22;000000;4.13;4.15;4.03;4.04;331481900
IRAO;D;24/01/22;000000;4.04;4.08;3.60;3.85;530953300
IRAO;D;25/01/22;000000;3.85;3.91;3.71;3.90;275647000
IRAO;D;26/01/22;000000;3.90;3.90;3.78;3.81;279520700
IRAO;D;27/01/22;000000;3.80;3.99;3.71;3.87;337618800
IRAO;D;28/01/22;000000;3.87;3.98;3.79;3.86;264849200
IRAO;D;31/01/22;000000;3.82;3.93;3.82;3.90;132010000
IRAO;D;01/02/22;000000;3.91;3.93;3.79;3.84;209850000
IRAO;D;02/02/22;000000;3.85;3.88;3.79;3.81;135908400
IRAO;D;03/02/22;000000;3.81;3.81;3.71;3.75;163518500
IRAO;D;04/02/22;000000;3.78;3.83;3.75;3.83;176072000
IRAO;D;07/02/22;000000;3.83;3.84;3.76;3.80;92688000
IRAO;D;08/02/22;000000;3.81;3.90;3.78;3.85;190997900
IRAO;D;09/02/22;000000;3.86;3.94;3.86;3.94;361315900
IRAO;D;10/02/22;000000;3.94;3.95;3.73;3.79;619587700
IRAO;D;11/02/22;000000;3.79;3.81;3.62;3.63;461514200
IRAO;D;14/02/22;000000;3.63;3.68;3.56;3.63;477137300
IRAO;D;15/02/22;000000;3.63;3.80;3.63;3.79;373501400
IRAO;D;16/02/22;000000;3.79;3.85;3.77;3.83;268241800
IRAO;D;17/02/22;000000;3.85;3.85;3.66;3.67;351288900
IRAO;D;18/02/22;000000;3.68;3.74;3.48;3.49;398355500
IRAO;D;21/02/22;000000;3.51;3.61;2.83;2.95;1575858200
IRAO;D;22/02/22;000000;2.90;3.35;2.67;3.27;1048708900
IRAO;D;24/02/22;000000;2.94;2.94;1.25;2.04;1012241000
IRAO;D;25/02/22;000000;1.86;2.85;1.86;2.58;662436400
IRAO;D;24/03/22;000000;2.70;2.89;2.40;2.40;250562500
IRAO;D;25/03/22;000000;2.49;2.50;2.21;2.23;110817000
IRAO;D;28/03/22;000000;2.29;2.29;2.08;2.08;89157800
IRAO;D;29/03/22;000000;2.08;2.23;1.91;1.99;141192600
IRAO;D;30/03/22;000000;2.19;2.79;2.19;2.50;314368300
IRAO;D;31/03/22;000000;2.58;2.75;2.46;2.73;291985400
IRAO;D;01/04/22;000000;2.78;3.00;2.71;2.88;402401300
IRAO;D;04/04/22;000000;2.94;2.97;2.79;2.86;181934100
IRAO;D;05/04/22;000000;2.87;2.90;2.62;2.71;164375900
IRAO;D;06/04/22;000000;2.65;2.76;2.63;2.64;93112300
IRAO;D;07/04/22;000000;2.68;2.70;2.64;2.67;53092900
IRAO;D;08/04/22;000000;2.69;2.70;2.64;2.70;52982000
IRAO;D;11/04/22;000000;2.69;2.76;2.66;2.68;58951900
IRAO;D;12/04/22;000000;2.68;2.72;2.60;2.69;43400200
IRAO;D;13/04/22;000000;2.69;2.71;2.65;2.67;34079300
IRAO;D;14/04/22;000000;2.68;2.69;2.41;2.50;149178000
IRAO;D;15/04/22;000000;2.51;2.55;2.41;2.55;106701300
IRAO;D;18/04/22;000000;2.54;2.59;2.45;2.45;58595100
IRAO;D;19/04/22;000000;2.45;2.45;2.33;2.41;84566700
IRAO;D;20/04/22;000000;2.42;2.55;2.41;2.48;88533700
IRAO;D;21/04/22;000000;2.50;2.50;2.43;2.43;32884800
IRAO;D;22/04/22;000000;2.43;2.48;2.40;2.43;32508300
IRAO;D;25/04/22;000000;2.43;2.43;2.35;2.38;42406700
IRAO;D;26/04/22;000000;2.39;2.48;2.38;2.46;67489000
IRAO;D;27/04/22;000000;2.46;2.55;2.45;2.51;97947800
IRAO;D;28/04/22;000000;2.53;2.75;2.51;2.61;282546700
IRAO;D;29/04/22;000000;2.61;2.72;2.61;2.70;97352000
IRAO;D;04/05/22;000000;2.71;2.78;2.65;2.70;82528900
IRAO;D;05/05/22;000000;2.73;2.80;2.70;2.79;121913200
IRAO;D;06/05/22;000000;2.79;2.85;2.73;2.75;98883400
IRAO;D;11/05/22;000000;2.77;2.82;2.74;2.78;65042100
IRAO;D;12/05/22;000000;2.81;2.81;2.69;2.72;67736700
IRAO;D;13/05/22;000000;2.76;2.80;2.70;2.76;109048800
IRAO;D;16/05/22;000000;2.76;2.80;2.75;2.77;78138700
IRAO;D;17/05/22;000000;2.77;2.80;2.77;2.79;86072600
IRAO;D;18/05/22;000000;2.80;2.90;2.75;2.77;169135700
IRAO;D;19/05/22;000000;2.78;2.87;2.77;2.85;89878700
IRAO;D;20/05/22;000000;2.85;2.90;2.82;2.88;109904300
IRAO;D;23/05/22;000000;2.89;2.90;2.81;2.83;87452900
IRAO;D;24/05/22;000000;2.84;2.89;2.76;2.86;172261900
IRAO;D;25/05/22;000000;2.87;2.92;2.85;2.87;55899200
IRAO;D;26/05/22;000000;2.86;2.97;2.86;2.94;114304700
IRAO;D;27/05/22;000000;2.96;3.16;2.95;3.16;220211400
IRAO;D;30/05/22;000000;3.18;3.30;3.17;3.26;198131800
IRAO;D;31/05/22;000000;3.27;3.27;3.13;3.16;107039000
IRAO;D;01/06/22;000000;3.15;3.23;3.04;3.17;117481300
IRAO;D;02/06/22;000000;3.19;3.31;3.17;3.30;157816000
IRAO;D;03/06/22;000000;3.29;3.35;3.16;3.25;204493600
IRAO;D;06/06/22;000000;3.25;3.28;3.20;3.26;96412500
