<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;4H;10/01/22;040000;6730.00;6799.00;6730.00;6767.50;29898
LKOH;4H;10/01/22;080000;6771.50;6875.00;6723.50;6833.50;347708
LKOH;4H;10/01/22;120000;6833.50;6880.00;6691.00;6716.50;482916
LKOH;4H;10/01/22;160000;6714.00;6766.50;6650.50;6722.00;327644
LKOH;4H;10/01/22;200000;6723.50;6790.50;6716.00;6775.00;49955
LKOH;4H;11/01/22;040000;6799.00;6816.50;6775.50;6805.00;12523
LKOH;4H;11/01/22;080000;6805.00;6810.00;6732.50;6758.00;139980
LKOH;4H;11/01/22;120000;6760.00;6850.00;6752.00;6800.00;270537
LKOH;4H;11/01/22;160000;6796.00;6831.00;6757.00;6814.50;434382
LKOH;4H;11/01/22;200000;6814.50;6844.00;6812.00;6816.00;68874
LKOH;4H;12/01/22;040000;6814.50;6843.50;6800.50;6802.50;10225
LKOH;4H;12/01/22;080000;6802.50;6874.00;6770.00;6871.00;217781
LKOH;4H;12/01/22;120000;6871.00;6969.00;6867.50;6949.00;580860
LKOH;4H;12/01/22;160000;6949.00;6968.00;6900.00;6936.00;399196
LKOH;4H;12/01/22;200000;6937.00;6960.00;6921.50;6960.00;60181
LKOH;4H;13/01/22;040000;6927.00;6951.50;6918.00;6933.50;16731
LKOH;4H;13/01/22;080000;6933.50;6936.50;6853.50;6904.50;149751
LKOH;4H;13/01/22;120000;6907.50;6914.00;6732.00;6787.00;598248
LKOH;4H;13/01/22;160000;6787.00;6825.00;6610.00;6697.50;928093
LKOH;4H;13/01/22;200000;6695.00;6712.00;6660.00;6665.00;74988
LKOH;4H;14/01/22;040000;6699.00;6755.00;6665.50;6748.00;28227
LKOH;4H;14/01/22;080000;6748.00;6791.00;6666.00;6679.00;304672
LKOH;4H;14/01/22;120000;6679.00;6718.00;6506.00;6641.50;587454
LKOH;4H;14/01/22;160000;6644.50;6679.00;6469.00;6629.50;1056351
LKOH;4H;14/01/22;200000;6629.50;6664.50;6584.00;6659.00;100462
LKOH;4H;17/01/22;040000;6668.00;6695.00;6600.00;6656.50;58020
LKOH;4H;17/01/22;080000;6656.50;6734.00;6604.00;6634.00;377376
LKOH;4H;17/01/22;120000;6628.50;6672.00;6488.00;6509.50;493526
LKOH;4H;17/01/22;160000;6506.50;6542.00;6445.00;6520.00;600118
LKOH;4H;17/01/22;200000;6521.50;6549.50;6501.50;6516.00;52502
LKOH;4H;18/01/22;040000;6548.00;6587.00;6516.00;6529.00;51312
LKOH;4H;18/01/22;080000;6532.00;6533.00;6318.00;6393.50;508491
LKOH;4H;18/01/22;120000;6390.00;6555.00;6284.50;6373.00;1008350
LKOH;4H;18/01/22;160000;6375.00;6440.00;6132.00;6309.00;1983832
LKOH;4H;18/01/22;200000;6309.00;6315.00;6216.00;6250.00;124450
LKOH;4H;19/01/22;040000;6250.00;6259.00;6020.00;6096.00;189011
LKOH;4H;19/01/22;080000;6095.00;6536.00;6051.50;6483.50;1177479
LKOH;4H;19/01/22;120000;6485.50;6670.00;6439.00;6530.00;972286
LKOH;4H;19/01/22;160000;6528.50;6582.50;6434.50;6556.00;840097
LKOH;4H;19/01/22;200000;6553.00;6575.00;6490.00;6494.00;58354
LKOH;4H;20/01/22;040000;6549.00;6562.00;6482.50;6537.50;44835
LKOH;4H;20/01/22;080000;6537.00;6683.00;6324.00;6419.00;625930
LKOH;4H;20/01/22;120000;6420.50;6534.00;6389.50;6417.50;381109
LKOH;4H;20/01/22;160000;6417.00;6580.00;6406.00;6500.50;1135065
LKOH;4H;20/01/22;200000;6501.00;6517.00;6426.00;6430.00;50850
LKOH;4H;21/01/22;040000;6400.00;6419.00;6316.50;6380.00;67188
LKOH;4H;21/01/22;080000;6377.50;6423.00;6310.00;6392.50;350619
LKOH;4H;21/01/22;120000;6392.50;6514.00;6362.00;6486.50;805694
LKOH;4H;21/01/22;160000;6488.50;6500.00;6400.00;6470.50;660811
LKOH;4H;21/01/22;200000;6470.50;6470.50;6395.00;6420.00;56274
LKOH;4H;24/01/22;040000;6445.00;6479.00;6418.00;6431.00;24019
LKOH;4H;24/01/22;080000;6436.50;6469.00;6336.00;6345.50;393183
LKOH;4H;24/01/22;120000;6340.00;6354.00;6078.00;6168.50;1451543
LKOH;4H;24/01/22;160000;6170.50;6298.50;6127.50;6164.00;881963
LKOH;4H;24/01/22;200000;6161.00;6298.00;6100.00;6293.00;185030
LKOH;4H;25/01/22;040000;6270.00;6372.00;6213.50;6239.50;79786
LKOH;4H;25/01/22;080000;6239.50;6371.00;6177.50;6328.50;509866
LKOH;4H;25/01/22;120000;6328.50;6390.00;6270.00;6321.00;553765
LKOH;4H;25/01/22;160000;6322.00;6413.50;6248.00;6389.50;724510
LKOH;4H;25/01/22;200000;6385.00;6562.50;6383.50;6543.00;214421
LKOH;4H;26/01/22;040000;6542.00;6555.00;6482.50;6504.50;35205
LKOH;4H;26/01/22;080000;6504.50;6559.00;6405.00;6510.00;392555
