<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;10/01/22;000000;6730.0;6880.0;6650.5;6775.0;1238121
LKOH;D;11/01/22;000000;6799.0;6850.0;6732.5;6816.0;926296
LKOH;D;12/01/22;000000;6814.5;6969.0;6770.0;6960.0;1268243
LKOH;D;13/01/22;000000;6927.0;6951.5;6610.0;6665.0;1767811
LKOH;D;14/01/22;000000;6699.0;6791.0;6469.0;6659.0;2077166
LKOH;D;17/01/22;000000;6668.0;6734.0;6445.0;6516.0;1581542
LKOH;D;18/01/22;000000;6548.0;6587.0;6132.0;6250.0;3676435
LKOH;D;19/01/22;000000;6250.0;6670.0;6020.0;6494.0;3237227
LKOH;D;20/01/22;000000;6549.0;6683.0;6324.0;6430.0;2237789
LKOH;D;21/01/22;000000;6400.0;6514.0;6310.0;6420.0;1940586
LKOH;D;24/01/22;000000;6445.0;6479.0;6078.0;6293.0;2935738
LKOH;D;25/01/22;000000;6270.0;6562.5;6177.5;6543.0;2082348
LKOH;D;26/01/22;000000;6542.0;6690.0;6405.0;6525.5;2225385
LKOH;D;27/01/22;000000;6498.0;6900.0;6432.0;6811.5;2117689
LKOH;D;28/01/22;000000;6784.0;6945.0;6755.0;6775.0;1584821
LKOH;D;31/01/22;000000;6810.0;6910.0;6780.0;6878.0;1296194
LKOH;D;01/02/22;000000;6884.0;7013.5;6826.0;6976.0;1229137
LKOH;D;02/02/22;000000;6975.0;7050.0;6936.0;7040.0;983000
LKOH;D;03/02/22;000000;7026.5;7030.0;6794.5;6865.5;1321908
LKOH;D;04/02/22;000000;6897.0;7110.0;6892.0;7010.0;1754048
LKOH;D;07/02/22;000000;7047.0;7060.0;6825.5;6988.0;977367
LKOH;D;08/02/22;000000;6985.0;7044.0;6938.0;6957.5;931306
LKOH;D;09/02/22;000000;6966.5;7009.0;6900.0;6973.5;1547296
LKOH;D;10/02/22;000000;6970.0;7084.0;6894.0;6984.5;1378641
LKOH;D;11/02/22;000000;6960.0;7000.0;6624.5;6707.5;1888816
LKOH;D;14/02/22;000000;6684.0;6885.0;6524.5;6796.0;1950018
LKOH;D;15/02/22;000000;6840.0;7077.5;6783.0;6979.0;1778946
LKOH;D;16/02/22;000000;7028.0;7068.0;6902.5;6970.0;1180028
LKOH;D;17/02/22;000000;6956.5;6968.0;6650.0;6733.0;1740140
LKOH;D;18/02/22;000000;6739.0;6832.0;6415.0;6456.5;1700147
LKOH;D;21/02/22;000000;6480.0;6649.0;5609.5;5810.0;4538212
LKOH;D;22/02/22;000000;5805.0;6050.0;5479.0;6020.0;5901625
LKOH;D;24/02/22;000000;5410.5;5410.5;3019.5;4650.0;4692673
LKOH;D;25/02/22;000000;4400.0;5360.0;4400.0;4915.0;2013374
LKOH;D;24/03/22;000000;5302.5;5993.0;5300.0;5525.0;1203273
LKOH;D;25/03/22;000000;5600.0;5761.0;5022.0;5206.0;875180
LKOH;D;28/03/22;000000;5200.0;5200.0;4915.0;5118.0;228856
LKOH;D;29/03/22;000000;5118.0;5350.0;4800.0;4922.0;642270
LKOH;D;30/03/22;000000;5050.0;5140.0;5000.0;5140.0;287528
LKOH;D;31/03/22;000000;5120.0;5680.0;5100.0;5680.0;469075
LKOH;D;01/04/22;000000;5660.0;5868.0;5450.0;5601.0;385732
LKOH;D;04/04/22;000000;5698.0;5750.0;5395.0;5557.0;304176
LKOH;D;05/04/22;000000;5574.0;5590.0;5220.0;5314.0;245013
LKOH;D;06/04/22;000000;5314.0;5514.0;5224.5;5266.0;195342
LKOH;D;07/04/22;000000;5260.0;5356.0;5240.0;5280.0;264677
LKOH;D;08/04/22;000000;5299.5;5319.5;5087.0;5226.5;199667
LKOH;D;11/04/22;000000;5225.0;5385.0;5184.0;5190.0;144622
LKOH;D;12/04/22;000000;5200.0;5250.0;5026.0;5145.0;219888
LKOH;D;13/04/22;000000;5179.5;5209.0;5056.0;5106.0;160929
LKOH;D;14/04/22;000000;5115.5;5120.0;4862.0;4879.5;199123
LKOH;D;15/04/22;000000;4879.0;4956.0;4800.0;4893.0;151321
LKOH;D;18/04/22;000000;4913.0;4948.0;4524.0;4549.0;407463
LKOH;D;19/04/22;000000;4592.0;4592.0;4108.0;4485.0;708763
LKOH;D;20/04/22;000000;4498.5;4536.0;4215.5;4310.0;726085
LKOH;D;21/04/22;000000;4331.5;4340.0;3910.0;3974.0;1217428
LKOH;D;22/04/22;000000;3974.0;4044.0;3682.0;3828.0;1648909
LKOH;D;25/04/22;000000;3828.0;3994.0;3710.5;3931.0;560388
LKOH;D;26/04/22;000000;3970.5;4587.5;3960.5;4292.0;1354489
LKOH;D;27/04/22;000000;4325.0;4559.0;4276.0;4550.0;783960
LKOH;D;28/04/22;000000;4551.0;4740.0;4318.0;4381.0;923456
LKOH;D;29/04/22;000000;4410.0;4717.0;4380.0;4699.5;865620
LKOH;D;04/05/22;000000;4747.0;4772.5;4526.0;4552.0;443415
LKOH;D;05/05/22;000000;4602.0;4689.5;4600.5;4675.0;230329
LKOH;D;06/05/22;000000;4689.0;4690.0;4568.0;4635.5;376027
LKOH;D;11/05/22;000000;4640.0;4699.0;4539.0;4600.0;242217
LKOH;D;12/05/22;000000;4550.0;4581.0;4325.5;4362.5;525898
LKOH;D;13/05/22;000000;4400.0;4439.0;4300.0;4380.0;272066
LKOH;D;16/05/22;000000;4380.0;4669.5;4380.0;4523.5;1136184
LKOH;D;17/05/22;000000;4543.0;4589.0;4400.0;4500.0;388536
LKOH;D;18/05/22;000000;4520.0;4565.0;4480.0;4483.5;273956
LKOH;D;19/05/22;000000;4483.5;4509.5;4381.5;4415.5;229822
LKOH;D;20/05/22;000000;4419.0;4449.0;4258.0;4279.0;304795
LKOH;D;23/05/22;000000;4305.0;4350.0;4031.0;4050.0;332955
LKOH;D;24/05/22;000000;4050.0;4062.5;3882.0;3942.0;501949
LKOH;D;25/05/22;000000;3999.0;4148.0;3975.0;4148.0;339337
LKOH;D;26/05/22;000000;4160.0;4298.5;4085.0;4263.0;488502
LKOH;D;27/05/22;000000;4285.0;4359.5;4255.0;4290.0;475101
LKOH;D;30/05/22;000000;4351.0;4380.0;4100.0;4220.0;415915
LKOH;D;31/05/22;000000;4180.0;4199.0;4043.0;4061.5;305244
LKOH;D;01/06/22;000000;4050.0;4125.0;4003.0;4074.0;373116
LKOH;D;02/06/22;000000;4078.0;4085.5;3993.0;4035.0;314254
LKOH;D;03/06/22;000000;4040.0;4070.0;3930.0;3980.5;339606
LKOH;D;06/06/22;000000;3985.0;4028.0;3927.0;3940.0;291266
LKOH;D;07/06/22;000000;3940.0;3970.0;3816.0;3959.5;457704
LKOH;D;08/06/22;000000;3968.0;4050.0;3864.0;3945.5;437125
LKOH;D;09/06/22;000000;3954.0;3956.5;3865.0;3876.0;289287
LKOH;D;10/06/22;000000;3865.0;3903.0;3830.0;3898.0;362443
LKOH;D;14/06/22;000000;3881.0;3927.5;3846.0;3891.5;299314
LKOH;D;15/06/22;000000;3880.0;4125.0;3880.0;4115.0;725308
LKOH;D;16/06/22;000000;4116.5;4300.0;4105.0;4261.5;1089748
LKOH;D;17/06/22;000000;4289.5;4326.0;4137.0;4182.0;499050
LKOH;D;20/06/22;000000;4202.0;4245.0;4128.0;4209.5;461006
LKOH;D;21/06/22;000000;4239.0;4279.5;4031.5;4045.0;590551
LKOH;D;22/06/22;000000;3990.0;4179.5;3932.5;4139.0;745924
LKOH;D;23/06/22;000000;4140.5;4207.0;4076.5;4150.0;657194
LKOH;D;24/06/22;000000;4149.0;4160.0;4044.5;4100.0;314432
LKOH;D;27/06/22;000000;4100.0;4120.0;4056.0;4100.0;223537
LKOH;D;28/06/22;000000;4109.5;4109.5;3983.0;3989.5;394209
LKOH;D;29/06/22;000000;3980.0;4078.0;3920.5;4015.0;442797
LKOH;D;30/06/22;000000;4000.0;4056.5;3865.0;3905.0;751500
LKOH;D;01/07/22;000000;3915.0;4002.5;3876.0;3944.0;504465
LKOH;D;04/07/22;000000;3946.0;4095.0;3944.0;3949.5;421077
LKOH;D;05/07/22;000000;3950.5;4048.0;3905.0;4015.0;442662
LKOH;D;06/07/22;000000;4000.0;4150.0;3945.0;3962.0;603617
LKOH;D;07/07/22;000000;3963.0;4010.0;3940.0;3956.0;339571
LKOH;D;08/07/22;000000;3959.5;3980.0;3902.5;3911.0;359490
LKOH;D;11/07/22;000000;3900.0;3920.0;3802.5;3848.5;539588
LKOH;D;12/07/22;000000;3830.0;3846.0;3713.0;3752.0;502248
LKOH;D;13/07/22;000000;3757.0;3767.0;3619.0;3645.5;585484
LKOH;D;14/07/22;000000;3645.5;3710.0;3551.0;3608.0;610142
LKOH;D;15/07/22;000000;3643.5;3710.0;3580.0;3709.0;461637
LKOH;D;18/07/22;000000;3721.0;3777.0;3613.0;3645.0;386000
LKOH;D;19/07/22;000000;3645.0;3654.5;3567.0;3600.0;306816
LKOH;D;20/07/22;000000;3601.0;3664.0;3556.5;3580.0;350246
LKOH;D;21/07/22;000000;3577.0;3577.5;3482.5;3539.5;485936
LKOH;D;22/07/22;000000;3552.0;3688.0;3551.0;3688.0;575224
LKOH;D;25/07/22;000000;3672.0;3709.5;3637.0;3669.0;369717
LKOH;D;26/07/22;000000;3694.0;3825.0;3675.5;3825.0;544414
LKOH;D;27/07/22;000000;3850.0;3878.0;3810.0;3847.5;488725
LKOH;D;28/07/22;000000;3870.0;3885.0;3770.0;3831.0;423004
LKOH;D;29/07/22;000000;3830.0;3880.0;3809.5;3877.0;275990
LKOH;D;01/08/22;000000;3883.0;4030.0;3825.5;3931.0;1010266
LKOH;D;02/08/22;000000;3930.5;3965.5;3795.0;3823.0;585713
LKOH;D;03/08/22;000000;3823.0;3855.0;3784.0;3799.0;398600
LKOH;D;04/08/22;000000;3800.0;3816.0;3712.0;3720.0;374530
LKOH;D;05/08/22;000000;3720.0;3746.0;3659.5;3679.5;379687
LKOH;D;08/08/22;000000;3779.0;3819.0;3720.0;3720.0;356659
LKOH;D;09/08/22;000000;3720.0;3895.0;3701.5;3895.0;456809
LKOH;D;10/08/22;000000;3895.0;3910.0;3825.0;3890.0;452727
LKOH;D;11/08/22;000000;3899.0;3963.0;3875.0;3925.0;500967
LKOH;D;12/08/22;000000;3935.0;3979.0;3901.0;3940.5;399401
LKOH;D;15/08/22;000000;3945.0;4005.0;3904.5;3959.0;344898
LKOH;D;16/08/22;000000;3977.0;4025.0;3936.0;4018.0;431901
LKOH;D;17/08/22;000000;4020.0;4044.0;3907.0;3907.0;504381
LKOH;D;18/08/22;000000;3906.5;3942.0;3878.0;3920.0;321619
LKOH;D;19/08/22;000000;3945.0;3974.0;3894.0;3972.0;380080
LKOH;D;22/08/22;000000;3968.0;4028.5;3944.5;4017.0;396278
LKOH;D;23/08/22;000000;4022.0;4099.0;4016.0;4098.0;400484
LKOH;D;24/08/22;000000;4103.0;4128.0;4066.0;4117.0;306254
LKOH;D;25/08/22;000000;4125.0;4143.5;4047.0;4055.0;402471
LKOH;D;26/08/22;000000;4056.0;4115.0;4046.5;4115.0;280373
LKOH;D;29/08/22;000000;4114.0;4207.0;4088.5;4186.0;451999
LKOH;D;30/08/22;000000;4198.0;4220.0;4120.0;4140.0;492812
LKOH;D;31/08/22;000000;4300.0;4300.0;4161.5;4270.0;1290069
