<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MAGN;4H;03/01/22;040000;69.65;70.00;69.65;69.90;597220
MAGN;4H;03/01/22;080000;69.90;70.66;69.86;70.44;4794180
MAGN;4H;03/01/22;120000;70.44;70.72;70.26;70.46;2508340
MAGN;4H;03/01/22;160000;70.47;70.87;70.37;70.80;3632370
MAGN;4H;03/01/22;200000;70.80;70.83;70.61;70.83;765730
MAGN;4H;04/01/22;040000;70.90;71.11;70.66;71.05;549540
MAGN;4H;04/01/22;080000;71.05;71.60;70.85;71.39;5214980
MAGN;4H;04/01/22;120000;71.39;71.92;71.33;71.47;4914000
MAGN;4H;04/01/22;160000;71.47;71.50;70.85;71.22;5282160
MAGN;4H;04/01/22;200000;71.25;71.50;71.20;71.40;860390
MAGN;4H;05/01/22;040000;71.32;71.42;71.12;71.22;225050
MAGN;4H;05/01/22;080000;71.22;72.00;71.01;71.76;3964750
MAGN;4H;05/01/22;120000;71.76;71.97;70.90;71.25;5830710
MAGN;4H;05/01/22;160000;71.26;71.37;69.31;69.90;6710210
MAGN;4H;05/01/22;200000;69.90;69.94;67.81;69.17;6736810
MAGN;4H;06/01/22;040000;68.17;70.97;67.38;70.31;2788260
MAGN;4H;06/01/22;080000;70.39;70.62;69.50;70.47;6212640
MAGN;4H;06/01/22;120000;70.49;71.08;70.10;70.71;7148360
MAGN;4H;06/01/22;160000;70.71;71.19;70.41;71.00;7059120
MAGN;4H;06/01/22;200000;71.01;71.25;71.00;71.17;1649500
MAGN;4H;10/01/22;040000;71.80;71.80;70.80;71.20;1309100
MAGN;4H;10/01/22;080000;71.20;71.22;70.20;70.69;7253190
MAGN;4H;10/01/22;120000;70.70;71.19;70.36;70.70;13041390
MAGN;4H;10/01/22;160000;70.68;71.33;70.17;70.78;14499010
MAGN;4H;10/01/22;200000;70.78;70.82;70.20;70.40;1836920
MAGN;4H;11/01/22;040000;69.87;70.20;69.28;70.05;1718600
MAGN;4H;11/01/22;080000;70.05;70.20;69.52;69.94;5401690
MAGN;4H;11/01/22;120000;69.94;70.64;69.67;69.99;19178740
MAGN;4H;11/01/22;160000;69.99;70.30;69.75;69.86;9279200
MAGN;4H;11/01/22;200000;69.86;69.98;69.61;69.96;5418730
MAGN;4H;12/01/22;040000;67.39;68.02;67.25;67.57;6326750
MAGN;4H;12/01/22;080000;67.58;67.89;67.25;67.52;9769930
MAGN;4H;12/01/22;120000;67.50;68.16;67.41;67.96;10748760
MAGN;4H;12/01/22;160000;67.97;68.05;67.44;67.88;10397730
MAGN;4H;12/01/22;200000;67.88;67.98;67.78;67.89;1083790
MAGN;4H;13/01/22;040000;67.98;68.10;67.66;68.00;630570
MAGN;4H;13/01/22;080000;68.00;69.17;67.95;69.17;7614240
MAGN;4H;13/01/22;120000;69.16;69.61;68.05;68.21;15435460
MAGN;4H;13/01/22;160000;68.19;68.27;67.03;67.64;16881920
MAGN;4H;13/01/22;200000;67.63;67.95;67.18;67.38;2352490
MAGN;4H;14/01/22;040000;67.78;68.08;67.31;67.91;616750
MAGN;4H;14/01/22;080000;67.91;68.08;67.25;67.58;5602580
MAGN;4H;14/01/22;120000;67.56;67.67;63.00;65.66;27350050
MAGN;4H;14/01/22;160000;65.67;66.80;64.31;65.50;17651170
MAGN;4H;14/01/22;200000;65.49;66.00;65.31;66.00;1381760
