<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MAGN;D;03/01/22;000000;69.65;70.87;69.65;70.83;12297840
MAGN;D;04/01/22;000000;70.90;71.92;70.66;71.40;16821070
MAGN;D;05/01/22;000000;71.32;72.00;67.81;69.17;23467530
MAGN;D;06/01/22;000000;68.17;71.25;67.38;71.17;24857880
MAGN;D;10/01/22;000000;71.80;71.80;70.17;70.40;37939610
MAGN;D;11/01/22;000000;69.87;70.64;69.28;69.96;40996960
MAGN;D;12/01/22;000000;67.39;68.16;67.25;67.89;38326960
MAGN;D;13/01/22;000000;67.98;69.61;67.03;67.38;42914680
MAGN;D;14/01/22;000000;67.78;68.08;63.00;66.00;52602310
MAGN;D;17/01/22;000000;66.00;66.28;63.40;64.50;33217410
MAGN;D;18/01/22;000000;64.50;65.06;58.93;60.49;68610630
MAGN;D;19/01/22;000000;60.07;64.27;57.10;62.91;66452020
MAGN;D;20/01/22;000000;62.91;64.75;61.65;62.00;44000120
MAGN;D;21/01/22;000000;61.56;63.26;61.04;62.19;32781380
MAGN;D;24/01/22;000000;62.46;62.80;56.73;58.42;75845880
MAGN;D;25/01/22;000000;58.50;59.58;54.77;56.65;92715190
MAGN;D;26/01/22;000000;56.65;58.24;55.40;56.20;46880920
MAGN;D;27/01/22;000000;55.88;59.56;55.52;59.10;49724790
MAGN;D;28/01/22;000000;59.20;60.60;58.91;60.35;38980110
MAGN;D;31/01/22;000000;60.65;62.43;60.45;61.65;33281630
MAGN;D;01/02/22;000000;62.00;62.27;60.00;60.63;43868110
MAGN;D;02/02/22;000000;60.92;61.91;59.72;61.35;31049760
MAGN;D;03/02/22;000000;61.00;61.92;60.06;60.73;33577400
MAGN;D;04/02/22;000000;61.00;61.50;59.30;59.80;38738380
MAGN;D;07/02/22;000000;60.00;61.17;59.60;60.14;31684630
MAGN;D;08/02/22;000000;60.15;63.36;60.00;63.25;52497250
MAGN;D;09/02/22;000000;63.38;67.06;63.27;66.31;53119980
MAGN;D;10/02/22;000000;66.20;66.56;64.25;64.60;36222940
MAGN;D;11/02/22;000000;64.63;64.69;61.11;62.30;45189830
MAGN;D;14/02/22;000000;62.30;64.42;60.12;63.54;45737600
MAGN;D;15/02/22;000000;64.00;66.16;63.80;65.70;30078630
MAGN;D;16/02/22;000000;65.80;66.64;63.95;65.10;34604710
MAGN;D;17/02/22;000000;65.20;65.44;62.10;62.30;57048820
MAGN;D;18/02/22;000000;62.48;63.49;60.52;61.48;63261560
MAGN;D;21/02/22;000000;61.28;63.00;52.03;52.50;105064220
MAGN;D;22/02/22;000000;52.50;58.89;49.15;57.30;126913000
MAGN;D;24/02/22;000000;53.00;55.00;35.20;48.42;104651610
MAGN;D;25/02/22;000000;48.29;52.88;45.38;47.67;46988470
MAGN;D;24/03/22;000000;46.90;51.24;45.00;47.61;90675890
MAGN;D;25/03/22;000000;49.60;49.60;43.71;43.80;10683810
MAGN;D;28/03/22;000000;43.88;44.45;41.02;42.23;10738130
MAGN;D;29/03/22;000000;42.23;44.80;40.41;41.80;10394270
MAGN;D;30/03/22;000000;43.01;44.49;42.38;43.00;9565130
MAGN;D;31/03/22;000000;43.01;45.30;42.67;43.90;32044260
MAGN;D;01/04/22;000000;45.10;47.45;44.19;45.60;32902330
MAGN;D;04/04/22;000000;46.66;46.88;44.90;45.36;16112620
MAGN;D;05/04/22;000000;45.35;45.67;42.00;42.85;19682910
MAGN;D;06/04/22;000000;42.80;43.28;41.81;42.84;9700740
MAGN;D;07/04/22;000000;42.84;43.87;42.70;43.71;11323580
MAGN;D;08/04/22;000000;43.98;44.10;42.55;42.88;6454050
