<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;8H;10/01/22;000000;5552.50;5584.50;5534.50;5564.00;3611
MGNT;8H;10/01/22;080000;5564.50;5574.50;5485.50;5499.00;128915
MGNT;8H;10/01/22;160000;5498.00;5510.00;5424.00;5473.00;98949
MGNT;8H;11/01/22;000000;5473.00;5496.50;5473.00;5496.00;2944
MGNT;8H;11/01/22;080000;5496.50;5563.00;5460.00;5533.00;107860
MGNT;8H;11/01/22;160000;5532.00;5534.50;5475.00;5505.50;78088
MGNT;8H;12/01/22;000000;5502.00;5529.00;5500.50;5503.50;1785
MGNT;8H;12/01/22;080000;5503.50;5570.50;5480.00;5549.00;139712
MGNT;8H;12/01/22;160000;5550.00;5642.50;5535.00;5623.00;214125
MGNT;8H;13/01/22;000000;5609.00;5640.00;5600.00;5610.00;4558
MGNT;8H;13/01/22;080000;5610.00;5620.00;5460.00;5475.00;256665
MGNT;8H;13/01/22;160000;5475.00;5481.00;5250.00;5330.00;406631
MGNT;8H;14/01/22;000000;5340.00;5376.00;5336.00;5370.00;7697
MGNT;8H;14/01/22;080000;5369.00;5399.00;5106.00;5192.00;356177
MGNT;8H;14/01/22;160000;5191.00;5245.00;5110.00;5235.50;475898
MGNT;8H;17/01/22;000000;5235.00;5235.00;5141.50;5170.00;36094
MGNT;8H;17/01/22;080000;5175.50;5297.00;5170.00;5220.00;282134
MGNT;8H;17/01/22;160000;5223.00;5254.50;5173.50;5185.50;184202
MGNT;8H;18/01/22;000000;5206.00;5226.50;5161.50;5167.00;11022
MGNT;8H;18/01/22;080000;5168.50;5169.00;4860.00;4887.00;391050
MGNT;8H;18/01/22;160000;4882.50;5044.00;4770.00;4973.00;458897
MGNT;8H;19/01/22;000000;5000.00;5014.50;4814.50;4868.00;56713
MGNT;8H;19/01/22;080000;4861.00;5149.50;4791.50;5025.50;478433
MGNT;8H;19/01/22;160000;5024.50;5094.00;4999.50;5040.00;215475
MGNT;8H;20/01/22;000000;5042.50;5151.00;5005.50;5106.50;26562
MGNT;8H;20/01/22;080000;5107.00;5175.00;5009.00;5033.00;205837
MGNT;8H;20/01/22;160000;5030.50;5086.50;4982.00;4991.00;205244
MGNT;8H;21/01/22;000000;4980.00;5002.50;4921.50;4979.00;31418
MGNT;8H;21/01/22;080000;4977.50;5137.50;4943.00;5120.00;344079
MGNT;8H;21/01/22;160000;5120.50;5127.50;4991.00;5046.50;174556
MGNT;8H;24/01/22;000000;5060.00;5088.00;5034.50;5065.50;6346
MGNT;8H;24/01/22;080000;5065.00;5090.00;4766.00;4836.00;502689
MGNT;8H;24/01/22;160000;4839.50;4860.00;4667.00;4823.50;391673
MGNT;8H;25/01/22;000000;4823.50;4896.00;4754.00;4758.00;31667
MGNT;8H;25/01/22;080000;4765.00;4862.00;4651.00;4762.50;321383
MGNT;8H;25/01/22;160000;4760.50;4909.00;4725.00;4895.00;266910
MGNT;8H;26/01/22;000000;4907.00;4908.50;4854.00;4865.00;5436
MGNT;8H;26/01/22;080000;4864.00;4924.00;4770.00;4872.00;211512
MGNT;8H;26/01/22;160000;4872.00;4915.00;4733.00;4768.50;291998
MGNT;8H;27/01/22;000000;4733.00;4772.50;4725.00;4749.00;13752
MGNT;8H;27/01/22;080000;4747.00;4967.00;4714.50;4960.00;379586
MGNT;8H;27/01/22;160000;4960.00;4997.50;4851.00;4883.50;275126
