<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;10/01/22;000000;5552.5;5584.5;5424.0;5473.0;231475
MGNT;D;11/01/22;000000;5473.0;5563.0;5460.0;5505.5;188892
MGNT;D;12/01/22;000000;5502.0;5642.5;5480.0;5623.0;355622
MGNT;D;13/01/22;000000;5609.0;5640.0;5250.0;5330.0;667854
MGNT;D;14/01/22;000000;5340.0;5399.0;5106.0;5235.5;839772
MGNT;D;17/01/22;000000;5235.0;5297.0;5141.5;5185.5;502430
MGNT;D;18/01/22;000000;5206.0;5226.5;4770.0;4973.0;860969
MGNT;D;19/01/22;000000;5000.0;5149.5;4791.5;5040.0;750621
MGNT;D;20/01/22;000000;5042.5;5175.0;4982.0;4991.0;437643
MGNT;D;21/01/22;000000;4980.0;5137.5;4921.5;5046.5;550053
MGNT;D;24/01/22;000000;5060.0;5090.0;4667.0;4823.5;900708
MGNT;D;25/01/22;000000;4823.5;4909.0;4651.0;4895.0;619960
MGNT;D;26/01/22;000000;4907.0;4924.0;4733.0;4768.5;508946
MGNT;D;27/01/22;000000;4733.0;4997.5;4714.5;4883.5;668464
MGNT;D;28/01/22;000000;4888.0;4968.0;4816.5;4904.0;467423
MGNT;D;31/01/22;000000;4946.5;5079.0;4921.5;5079.0;287560
MGNT;D;01/02/22;000000;5079.0;5117.0;5012.0;5114.0;390612
MGNT;D;02/02/22;000000;5102.5;5225.0;5102.5;5200.0;378886
MGNT;D;03/02/22;000000;5200.0;5278.0;5125.0;5187.0;556899
MGNT;D;04/02/22;000000;5195.0;5384.5;5176.0;5285.0;740047
MGNT;D;07/02/22;000000;5308.5;5357.0;5153.0;5210.0;368053
MGNT;D;08/02/22;000000;5210.5;5229.0;5164.5;5182.0;407421
MGNT;D;09/02/22;000000;5212.0;5276.5;5182.5;5254.0;436575
MGNT;D;10/02/22;000000;5265.0;5269.0;5197.0;5227.5;311003
MGNT;D;11/02/22;000000;5220.0;5224.0;4925.5;4971.5;595993
MGNT;D;14/02/22;000000;4965.0;5045.5;4770.0;4956.5;542462
MGNT;D;15/02/22;000000;4975.0;5260.5;4971.5;5239.0;480609
MGNT;D;16/02/22;000000;5260.0;5450.0;5191.0;5395.0;529598
MGNT;D;17/02/22;000000;5395.0;5402.5;5187.0;5224.5;567733
MGNT;D;18/02/22;000000;5236.0;5284.5;4996.0;5041.5;572659
MGNT;D;21/02/22;000000;5037.5;5186.0;4021.0;4240.0;1587061
MGNT;D;22/02/22;000000;4120.0;4660.0;4000.5;4600.0;1540199
MGNT;D;24/02/22;000000;4140.0;4300.0;2414.0;3312.0;1561945
MGNT;D;25/02/22;000000;3236.0;3840.0;3100.0;3202.0;1257392
MGNT;D;24/03/22;000000;3202.0;4100.0;3200.0;3457.5;584852
MGNT;D;25/03/22;000000;3640.0;3780.0;3286.5;3338.0;239925
MGNT;D;28/03/22;000000;3415.0;3490.0;3330.0;3337.5;122932
MGNT;D;29/03/22;000000;3351.0;3669.0;3330.0;3405.5;270529
MGNT;D;30/03/22;000000;3635.5;3855.0;3450.0;3855.0;207413
MGNT;D;31/03/22;000000;3930.0;4272.0;3884.0;4155.0;317235
MGNT;D;01/04/22;000000;4185.0;4429.0;4155.0;4220.0;259807
MGNT;D;04/04/22;000000;4365.0;4395.0;4201.0;4273.5;142026
MGNT;D;05/04/22;000000;4300.0;4300.0;3901.0;4098.0;121516
MGNT;D;06/04/22;000000;4089.0;4195.0;3950.0;4120.0;103172
