<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;4H;03/01/22;040000;153.59;154.10;153.30;153.82;115430
MOEX;4H;03/01/22;080000;153.75;156.88;153.71;156.12;1374110
MOEX;4H;03/01/22;120000;156.09;156.53;155.30;155.79;976940
MOEX;4H;03/01/22;160000;155.79;156.39;155.46;156.38;1190020
MOEX;4H;03/01/22;200000;156.31;156.47;155.86;156.46;284110
MOEX;4H;04/01/22;040000;157.37;157.37;156.74;156.98;143080
MOEX;4H;04/01/22;080000;157.00;158.94;156.11;157.52;2195400
MOEX;4H;04/01/22;120000;157.52;158.64;155.88;156.15;2760190
MOEX;4H;04/01/22;160000;156.15;156.32;155.11;155.82;2042500
MOEX;4H;04/01/22;200000;155.80;156.49;155.76;155.95;322720
MOEX;4H;05/01/22;040000;156.47;156.47;155.01;155.38;125230
MOEX;4H;05/01/22;080000;155.34;157.70;155.10;156.65;1668430
MOEX;4H;05/01/22;120000;156.65;157.25;153.77;155.41;2795010
MOEX;4H;05/01/22;160000;155.41;155.59;151.00;152.14;4055230
MOEX;4H;05/01/22;200000;152.15;152.32;148.03;148.24;2150620
MOEX;4H;06/01/22;040000;149.73;149.73;147.38;149.70;405180
MOEX;4H;06/01/22;080000;149.73;151.66;146.40;147.42;4270850
MOEX;4H;06/01/22;120000;147.39;148.86;147.02;148.08;2610230
MOEX;4H;06/01/22;160000;148.08;148.47;146.80;148.40;2435620
MOEX;4H;06/01/22;200000;148.39;149.40;147.75;149.02;896610
MOEX;4H;10/01/22;040000;149.02;150.47;149.00;150.43;258100
MOEX;4H;10/01/22;080000;150.43;150.98;148.06;148.25;2325240
MOEX;4H;10/01/22;120000;148.18;148.38;145.45;145.74;3819970
MOEX;4H;10/01/22;160000;145.74;146.85;142.77;144.74;6371740
MOEX;4H;10/01/22;200000;144.74;145.84;144.08;145.30;823570
MOEX;4H;11/01/22;040000;145.87;146.40;145.23;145.97;261370
MOEX;4H;11/01/22;080000;145.88;146.98;145.31;146.90;2238030
MOEX;4H;11/01/22;120000;146.89;150.27;146.55;149.59;5581350
MOEX;4H;11/01/22;160000;149.59;150.92;148.03;150.50;3865520
MOEX;4H;11/01/22;200000;150.48;150.79;149.75;150.03;621100
MOEX;4H;12/01/22;040000;150.33;150.94;149.88;150.22;164580
MOEX;4H;12/01/22;080000;150.22;150.33;148.11;148.47;1734760
MOEX;4H;12/01/22;120000;148.46;151.20;147.72;150.59;4220390
