<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;03/01/22;000000;153.59;156.88;153.30;156.46;3940610
MOEX;D;04/01/22;000000;157.37;158.94;155.11;155.95;7463890
MOEX;D;05/01/22;000000;156.47;157.70;148.03;148.24;10794520
MOEX;D;06/01/22;000000;149.73;151.66;146.40;149.02;10618490
MOEX;D;10/01/22;000000;149.02;150.98;142.77;145.30;13598620
MOEX;D;11/01/22;000000;145.87;150.92;145.23;150.03;12567370
MOEX;D;12/01/22;000000;150.33;151.62;147.72;151.38;9701590
MOEX;D;13/01/22;000000;150.75;152.47;145.20;147.65;13781860
MOEX;D;14/01/22;000000;147.66;149.25;137.57;144.27;26874980
MOEX;D;17/01/22;000000;144.63;145.24;136.70;139.32;23172710
MOEX;D;18/01/22;000000;139.98;139.98;128.44;132.00;30127050
MOEX;D;19/01/22;000000;132.18;140.80;124.50;138.64;27393570
MOEX;D;20/01/22;000000;138.64;147.21;137.75;144.00;21942650
MOEX;D;21/01/22;000000;143.84;148.93;141.23;145.98;20544990
MOEX;D;24/01/22;000000;146.56;147.09;137.00;143.33;26108780
MOEX;D;25/01/22;000000;143.40;145.70;138.80;142.84;19066010
MOEX;D;26/01/22;000000;144.05;146.88;139.32;141.22;16298850
MOEX;D;27/01/22;000000;140.71;147.80;140.10;144.91;14853720
MOEX;D;28/01/22;000000;145.25;147.40;142.05;144.40;10289330
MOEX;D;31/01/22;000000;145.43;146.50;143.51;145.05;9555160
MOEX;D;01/02/22;000000;145.10;146.34;143.65;145.57;7456800
MOEX;D;02/02/22;000000;145.57;146.00;141.21;142.90;10490460
MOEX;D;03/02/22;000000;142.47;142.50;136.79;137.69;12342970
MOEX;D;04/02/22;000000;138.54;141.43;137.77;141.09;11178940
MOEX;D;07/02/22;000000;140.01;142.16;139.88;141.59;5688890
MOEX;D;08/02/22;000000;141.66;143.94;140.65;142.05;9790780
MOEX;D;09/02/22;000000;142.30;143.58;141.28;142.19;12337020
MOEX;D;10/02/22;000000;142.43;142.80;139.66;140.06;13385840
MOEX;D;11/02/22;000000;140.06;140.64;135.40;136.20;13340680
MOEX;D;14/02/22;000000;135.95;137.57;131.44;134.49;20189690
MOEX;D;15/02/22;000000;135.00;138.18;133.81;137.50;17746570
MOEX;D;16/02/22;000000;137.31;141.90;136.55;141.89;18255300
MOEX;D;17/02/22;000000;141.00;141.53;135.85;137.49;17753570
MOEX;D;18/02/22;000000;138.48;139.43;132.16;133.16;15903650
MOEX;D;21/02/22;000000;132.40;135.89;110.00;118.78;46477680
MOEX;D;22/02/22;000000;115.00;120.30;108.85;115.79;77162000
MOEX;D;24/02/22;000000;104.15;106.00;73.37;92.54;42143160
MOEX;D;25/02/22;000000;95.51;110.00;91.03;95.51;24021070
MOEX;D;24/03/22;000000;94.51;110.10;91.11;100.75;7931080
MOEX;D;25/03/22;000000;107.88;108.00;95.30;96.57;3164920
MOEX;D;28/03/22;000000;97.10;97.10;92.04;93.50;2441510
MOEX;D;29/03/22;000000;92.00;94.00;86.00;88.42;5223940
MOEX;D;30/03/22;000000;89.50;92.23;87.80;92.00;4273670
MOEX;D;31/03/22;000000;93.97;100.00;92.68;99.50;8065750
MOEX;D;01/04/22;000000;101.20;114.00;101.20;111.45;12975340
MOEX;D;04/04/22;000000;111.91;117.00;110.00;111.07;8141330
MOEX;D;05/04/22;000000;112.45;112.45;100.00;103.65;6584740
MOEX;D;06/04/22;000000;103.80;106.00;100.17;102.05;2929220
MOEX;D;07/04/22;000000;102.00;109.90;101.66;103.18;3703180
MOEX;D;08/04/22;000000;103.26;104.66;100.50;102.29;1883490
MOEX;D;11/04/22;000000;102.74;103.70;100.70;100.77;1407440
MOEX;D;12/04/22;000000;101.10;101.48;96.50;99.50;2422290
MOEX;D;13/04/22;000000;100.00;100.88;98.20;99.32;1289640
MOEX;D;14/04/22;000000;99.85;99.85;93.50;93.50;2003520
MOEX;D;15/04/22;000000;93.50;94.43;90.12;93.65;3415500
MOEX;D;18/04/22;000000;93.70;95.00;90.85;90.85;1253150
MOEX;D;19/04/22;000000;90.90;90.99;87.22;89.10;2495370
MOEX;D;20/04/22;000000;89.01;93.70;87.06;92.49;2539650
MOEX;D;21/04/22;000000;93.05;94.83;90.17;90.52;1741820
MOEX;D;22/04/22;000000;90.51;91.97;89.20;90.05;1175860
MOEX;D;25/04/22;000000;90.05;90.43;87.70;88.00;1221450
MOEX;D;26/04/22;000000;88.80;91.44;88.04;90.80;2896120
MOEX;D;27/04/22;000000;91.08;94.44;89.74;93.25;2707870
MOEX;D;28/04/22;000000;94.39;97.78;92.00;92.48;3220680
