<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTLR;4H;10/01/22;080000;123.52;128.50;123.41;127.00;2109097
MTLR;4H;10/01/22;120000;127.06;128.82;125.58;126.10;1994399
MTLR;4H;10/01/22;160000;126.00;128.00;124.66;126.39;1232695
MTLR;4H;11/01/22;080000;124.60;127.80;122.70;127.00;2133054
MTLR;4H;11/01/22;120000;126.92;128.37;126.71;128.00;1221079
MTLR;4H;11/01/22;160000;128.00;128.10;126.37;126.95;848696
MTLR;4H;12/01/22;080000;127.05;129.52;126.80;129.41;1437719
MTLR;4H;12/01/22;120000;129.39;130.86;128.30;129.22;1938639
MTLR;4H;12/01/22;160000;129.22;130.60;128.84;130.41;1038750
MTLR;4H;13/01/22;080000;130.18;133.50;129.63;133.00;1691931
MTLR;4H;13/01/22;120000;133.00;134.44;124.32;127.99;5815797
MTLR;4H;13/01/22;160000;128.00;130.54;124.83;125.00;2969704
MTLR;4H;14/01/22;080000;125.86;128.40;124.63;125.15;1908282
MTLR;4H;14/01/22;120000;125.01;125.35;118.05;121.21;3680593
MTLR;4H;14/01/22;160000;121.18;123.84;114.36;121.27;3504419
MTLR;4H;17/01/22;080000;122.27;124.74;117.25;118.45;2397799
MTLR;4H;17/01/22;120000;118.29;119.68;114.80;114.94;1801058
MTLR;4H;17/01/22;160000;114.94;116.95;113.02;115.44;2327518
MTLR;4H;18/01/22;080000;114.23;115.18;109.12;111.12;2506203
MTLR;4H;18/01/22;120000;111.25;111.91;102.97;106.68;3180523
MTLR;4H;18/01/22;160000;106.70;111.50;106.20;110.09;2516364
MTLR;4H;19/01/22;080000;106.00;122.38;105.50;118.87;4996359
MTLR;4H;19/01/22;120000;118.66;120.41;114.70;119.07;3006025
MTLR;4H;19/01/22;160000;119.07;122.00;117.90;119.24;2255537
MTLR;4H;20/01/22;080000;122.60;126.25;116.66;117.13;3143921
MTLR;4H;20/01/22;120000;117.13;119.20;116.21;117.05;1783112
MTLR;4H;20/01/22;160000;117.01;119.09;116.35;118.23;1306695
MTLR;4H;21/01/22;080000;116.00;118.19;115.26;116.29;1155271
MTLR;4H;21/01/22;120000;116.29;119.84;113.48;117.09;2020302
MTLR;4H;21/01/22;160000;117.27;117.60;114.00;114.55;1100617
MTLR;4H;24/01/22;080000;115.70;115.70;107.65;107.96;2281155
MTLR;4H;24/01/22;120000;107.94;108.58;99.00;103.08;5374583
MTLR;4H;24/01/22;160000;103.21;105.80;101.00;101.69;1985661
MTLR;4H;25/01/22;080000;105.90;108.50;101.00;103.37;3306962
MTLR;4H;25/01/22;120000;103.48;105.65;102.55;103.50;1556203
MTLR;4H;25/01/22;160000;103.40;103.67;100.91;101.42;1878205
MTLR;4H;26/01/22;080000;102.97;106.73;100.00;105.15;3040382
MTLR;4H;26/01/22;120000;105.20;108.00;103.40;106.57;2680983
MTLR;4H;26/01/22;160000;106.57;109.77;105.31;106.41;2250801
MTLR;4H;27/01/22;080000;105.00;111.20;103.15;108.84;2481897
MTLR;4H;27/01/22;120000;108.97;111.50;108.57;111.00;2195590
MTLR;4H;27/01/22;160000;111.01;112.40;109.02;109.77;2178508
MTLR;4H;28/01/22;080000;112.35;113.40;109.41;109.99;1510306
MTLR;4H;28/01/22;120000;110.12;111.85;108.00;108.59;1092751
MTLR;4H;28/01/22;160000;108.48;109.87;107.83;108.65;646454
MTLR;4H;31/01/22;080000;110.87;113.98;110.32;113.70;2126527
MTLR;4H;31/01/22;120000;113.65;115.78;111.83;113.43;1857505
MTLR;4H;31/01/22;160000;113.55;115.97;113.50;115.97;1182846
MTLR;4H;01/02/22;080000;117.38;117.45;113.50;116.09;1730725
MTLR;4H;01/02/22;120000;116.23;118.78;115.60;116.66;1617190
MTLR;4H;01/02/22;160000;116.60;119.80;116.60;118.22;1350578
MTLR;4H;02/02/22;080000;119.90;125.00;118.00;121.33;4078235
MTLR;4H;02/02/22;120000;121.49;122.80;119.16;122.32;1811207
MTLR;4H;02/02/22;160000;122.33;122.50;118.08;119.23;1282117
MTLR;4H;03/02/22;080000;117.28;118.75;114.17;117.51;1768388
MTLR;4H;03/02/22;120000;117.51;117.69;115.01;116.50;1067906
MTLR;4H;03/02/22;160000;116.61;117.49;115.80;117.00;809936
MTLR;4H;04/02/22;080000;119.70;120.22;117.78;118.68;1080736
MTLR;4H;04/02/22;120000;118.69;123.29;117.47;121.68;2776945
MTLR;4H;04/02/22;160000;121.70;121.93;118.45;120.82;1569828
MTLR;4H;07/02/22;080000;121.93;124.00;120.36;121.71;1159701
MTLR;4H;07/02/22;120000;121.75;121.87;118.80;120.85;878037
MTLR;4H;07/02/22;160000;120.85;122.40;120.71;121.77;541837
MTLR;4H;08/02/22;080000;122.81;123.88;121.69;123.29;942108
MTLR;4H;08/02/22;120000;123.31;124.79;123.02;123.68;1061254
MTLR;4H;08/02/22;160000;123.69;125.00;122.02;124.73;751676
MTLR;4H;09/02/22;080000;126.51;130.80;125.55;129.82;3169723
MTLR;4H;09/02/22;120000;129.71;132.25;126.60;131.80;2703373
MTLR;4H;09/02/22;160000;131.79;133.08;130.59;131.68;1821060
MTLR;4H;10/02/22;080000;131.50;132.57;129.66;130.97;2135237
MTLR;4H;10/02/22;120000;130.90;149.50;130.90;144.09;21244918
MTLR;4H;10/02/22;160000;144.09;146.00;142.40;145.71;3393100
MTLR;4H;11/02/22;080000;142.10;143.87;136.20;136.88;5411831
MTLR;4H;11/02/22;120000;136.89;141.46;136.50;138.90;3584364
MTLR;4H;11/02/22;160000;138.90;140.76;138.50;138.50;1835799
MTLR;4H;14/02/22;080000;136.75;144.42;133.50;139.40;4873015
MTLR;4H;14/02/22;120000;139.40;142.51;139.30;141.06;3530417
MTLR;4H;14/02/22;160000;141.10;142.00;140.34;140.82;2793325
MTLR;4H;15/02/22;080000;143.03;149.00;142.62;149.00;3872580
MTLR;4H;15/02/22;120000;149.00;149.00;146.83;148.43;3844862
MTLR;4H;15/02/22;160000;148.50;155.92;148.20;155.56;6685174
MTLR;4H;16/02/22;080000;158.56;162.60;157.38;158.55;5430617
MTLR;4H;16/02/22;120000;158.55;159.00;151.28;157.22;5072866
MTLR;4H;16/02/22;160000;157.10;159.00;156.84;157.20;1286181
MTLR;4H;17/02/22;080000;153.00;155.79;149.50;149.90;2768447
MTLR;4H;17/02/22;120000;149.95;153.47;148.50;150.37;2402421
MTLR;4H;17/02/22;160000;150.36;150.77;146.30;148.00;2089721
MTLR;4H;18/02/22;080000;149.07;152.86;147.81;149.38;1798580
MTLR;4H;18/02/22;120000;149.37;150.90;148.01;150.04;945573
MTLR;4H;18/02/22;160000;150.05;150.30;135.44;140.55;5384005
MTLR;4H;21/02/22;080000;145.00;152.17;135.11;137.80;4545845
MTLR;4H;21/02/22;120000;137.73;137.80;117.31;125.23;9051197
MTLR;4H;21/02/22;160000;125.11;126.79;110.16;122.00;6753331
MTLR;4H;22/02/22;080000;114.33;119.45;100.15;114.32;6714677
