<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTLR;D;10/01/22;000000;123.52;128.82;123.41;126.39;5336191
MTLR;D;11/01/22;000000;124.6;128.37;122.7;126.95;4202829
MTLR;D;12/01/22;000000;127.05;130.86;126.8;130.41;4415108
MTLR;D;13/01/22;000000;130.18;134.44;124.32;125.0;10477432
MTLR;D;14/01/22;000000;125.86;128.4;114.36;121.27;9093294
MTLR;D;17/01/22;000000;122.27;124.74;113.02;115.44;6526375
MTLR;D;18/01/22;000000;114.23;115.18;102.97;110.09;8203090
MTLR;D;19/01/22;000000;106.0;122.38;105.5;119.24;10257921
MTLR;D;20/01/22;000000;122.6;126.25;116.21;118.23;6233728
MTLR;D;21/01/22;000000;116.0;119.84;113.48;114.55;4276190
MTLR;D;24/01/22;000000;115.7;115.7;99.0;101.69;9641399
MTLR;D;25/01/22;000000;105.9;108.5;100.91;101.42;6741370
MTLR;D;26/01/22;000000;102.97;109.77;100.0;106.41;7972166
MTLR;D;27/01/22;000000;105.0;112.4;103.15;109.77;6855995
MTLR;D;28/01/22;000000;112.35;113.4;107.83;108.65;3249511
MTLR;D;31/01/22;000000;110.87;115.97;110.32;115.97;5166878
MTLR;D;01/02/22;000000;117.38;119.8;113.5;118.22;4698493
MTLR;D;02/02/22;000000;119.9;125.0;118.0;119.23;7171559
MTLR;D;03/02/22;000000;117.28;118.75;114.17;117.0;3646230
MTLR;D;04/02/22;000000;119.7;123.29;117.47;120.82;5427509
MTLR;D;07/02/22;000000;121.93;124.0;118.8;121.77;2579575
MTLR;D;08/02/22;000000;122.81;125.0;121.69;124.73;2755038
MTLR;D;09/02/22;000000;126.51;133.08;125.55;131.68;7694156
MTLR;D;10/02/22;000000;131.5;149.5;129.66;145.71;26773255
MTLR;D;11/02/22;000000;142.1;143.87;136.2;138.5;10831994
MTLR;D;14/02/22;000000;136.75;144.42;133.5;140.82;11196757
MTLR;D;15/02/22;000000;143.03;155.92;142.62;155.56;14402616
MTLR;D;16/02/22;000000;158.56;162.6;151.28;157.2;11789664
MTLR;D;17/02/22;000000;153.0;155.79;146.3;148.0;7260589
MTLR;D;18/02/22;000000;149.07;152.86;135.44;140.55;8128158
MTLR;D;21/02/22;000000;145.0;152.17;110.16;122.0;20350373
MTLR;D;22/02/22;000000;114.33;134.3;100.15;128.0;16875715
MTLR;D;24/02/22;000000;115.2;115.2;64.94;68.0;17363332
MTLR;D;25/02/22;000000;74.8;96.7;70.71;83.3;21802853
MTLR;D;28/03/22;000000;87.8;100.1;71.21;76.28;10145268
MTLR;D;29/03/22;000000;77.65;89.99;75.01;82.9;7824945
MTLR;D;30/03/22;000000;85.72;95.5;85.01;93.2;5481438
MTLR;D;31/03/22;000000;95.05;104.82;95.01;102.44;7797121
MTLR;D;01/04/22;000000;103.5;106.82;99.1;103.0;6310350
MTLR;D;04/04/22;000000;103.05;106.0;99.6;102.73;3820306
MTLR;D;05/04/22;000000;102.11;102.9;95.11;97.44;4225521
MTLR;D;06/04/22;000000;96.64;103.0;92.0;100.0;3826062
MTLR;D;07/04/22;000000;101.67;105.67;100.6;103.45;3617093
MTLR;D;08/04/22;000000;104.39;106.3;101.0;102.36;3763598
MTLR;D;11/04/22;000000;104.04;113.0;102.4;110.99;9011864
MTLR;D;12/04/22;000000;112.6;120.0;107.01;120.0;7124008
MTLR;D;13/04/22;000000;121.2;129.5;120.03;127.67;15049168
MTLR;D;14/04/22;000000;129.0;131.9;118.5;120.1;10530774
MTLR;D;15/04/22;000000;119.0;123.75;115.0;122.78;5511151
MTLR;D;18/04/22;000000;124.41;128.47;118.08;119.55;4975982
MTLR;D;19/04/22;000000;119.4;120.85;109.11;117.61;5918892
MTLR;D;20/04/22;000000;119.87;124.0;111.03;118.6;6137986
MTLR;D;21/04/22;000000;119.08;126.0;118.64;120.33;5468136
MTLR;D;22/04/22;000000;121.67;125.5;118.0;125.42;2889859
MTLR;D;25/04/22;000000;127.0;128.0;121.43;122.25;3652453
MTLR;D;26/04/22;000000;123.2;126.79;122.32;126.0;2967929
MTLR;D;27/04/22;000000;127.8;136.0;126.51;133.79;6957971
MTLR;D;28/04/22;000000;134.5;142.43;130.52;135.5;9358623
MTLR;D;29/04/22;000000;136.0;137.95;132.0;133.0;2644547
MTLR;D;04/05/22;000000;133.0;134.9;128.01;128.01;2247502
MTLR;D;05/05/22;000000;129.57;133.9;128.79;133.04;2822392
MTLR;D;06/05/22;000000;133.49;133.54;129.05;129.36;1955876
MTLR;D;11/05/22;000000;130.03;133.5;125.75;131.7;2468321
MTLR;D;12/05/22;000000;131.88;133.0;125.25;127.34;1650292
MTLR;D;13/05/22;000000;128.5;129.8;126.61;128.5;1079409
MTLR;D;16/05/22;000000;127.99;135.5;127.21;134.9;2772219
MTLR;D;17/05/22;000000;135.03;139.95;135.03;139.58;3216226
MTLR;D;18/05/22;000000;141.21;142.9;134.54;136.0;3218910
MTLR;D;19/05/22;000000;135.2;137.78;132.75;135.88;1375246
MTLR;D;20/05/22;000000;137.7;137.7;130.51;131.84;1461359
MTLR;D;23/05/22;000000;130.0;131.5;125.0;125.83;1660207
MTLR;D;24/05/22;000000;125.91;126.0;119.0;125.61;2286131
MTLR;D;25/05/22;000000;126.89;128.0;124.6;126.68;1010679
MTLR;D;26/05/22;000000;125.0;130.4;124.77;128.29;2634435
