<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTSS;8H;03/01/22;000000;299.00;299.60;298.05;299.40;54890
MTSS;8H;03/01/22;080000;299.20;302.40;298.70;302.10;1139800
MTSS;8H;03/01/22;160000;302.20;305.00;301.70;304.65;898340
MTSS;8H;04/01/22;000000;304.90;305.60;303.50;304.75;46930
MTSS;8H;04/01/22;080000;304.75;306.50;302.85;304.85;1359810
MTSS;8H;04/01/22;160000;304.70;306.20;302.90;304.95;447620
MTSS;8H;05/01/22;000000;305.15;306.00;303.25;303.85;28610
MTSS;8H;05/01/22;080000;303.90;305.40;303.45;304.25;590770
MTSS;8H;05/01/22;160000;304.25;305.35;298.30;298.30;1221610
MTSS;8H;06/01/22;000000;298.00;298.00;295.35;297.05;134150
MTSS;8H;06/01/22;080000;297.25;300.00;297.00;298.05;1356050
MTSS;8H;06/01/22;160000;298.10;300.60;297.25;299.20;959370
MTSS;8H;10/01/22;000000;300.00;302.50;300.00;301.95;35410
MTSS;8H;10/01/22;080000;301.90;302.00;296.40;296.80;681770
MTSS;8H;10/01/22;160000;296.75;297.90;291.10;295.85;1090950
MTSS;8H;11/01/22;000000;295.75;297.50;295.75;297.15;32470
MTSS;8H;11/01/22;080000;297.00;297.15;293.55;297.00;1041640
MTSS;8H;11/01/22;160000;297.00;297.40;294.05;296.20;743460
MTSS;8H;12/01/22;000000;297.00;297.90;295.50;295.60;24620
MTSS;8H;12/01/22;080000;295.80;301.00;294.20;299.35;902660
MTSS;8H;12/01/22;160000;299.35;299.40;295.05;296.45;910390
MTSS;8H;13/01/22;000000;297.20;298.35;296.30;296.55;46580
MTSS;8H;13/01/22;080000;296.50;297.35;291.40;291.65;1201240
MTSS;8H;13/01/22;160000;291.55;292.35;287.95;291.65;2220950
MTSS;8H;14/01/22;000000;291.90;292.55;289.00;291.85;83070
MTSS;8H;14/01/22;080000;291.70;292.70;284.55;286.45;1968350
MTSS;8H;14/01/22;160000;286.45;292.00;281.60;289.65;2552300
MTSS;8H;17/01/22;000000;289.50;290.70;286.25;288.80;202720
MTSS;8H;17/01/22;080000;288.80;291.45;279.95;280.05;2535540
MTSS;8H;17/01/22;160000;280.25;283.30;276.10;281.70;2805980
MTSS;8H;18/01/22;000000;278.00;284.00;278.00;280.30;139820
MTSS;8H;18/01/22;080000;280.25;281.70;272.75;273.10;4245380
MTSS;8H;18/01/22;160000;273.00;276.25;267.10;272.95;5742460
MTSS;8H;19/01/22;000000;273.10;276.25;267.60;269.00;632140
MTSS;8H;19/01/22;080000;269.00;286.70;267.00;280.30;5315740
MTSS;8H;19/01/22;160000;280.15;282.30;272.10;274.80;3000790
MTSS;8H;20/01/22;000000;275.70;277.55;273.40;275.90;268340
MTSS;8H;20/01/22;080000;275.85;280.00;273.20;277.90;3082810
MTSS;8H;20/01/22;160000;277.85;280.65;274.20;274.40;1939310
MTSS;8H;21/01/22;000000;274.20;275.35;272.05;274.70;232830
MTSS;8H;21/01/22;080000;274.35;279.70;272.10;277.65;2702020
MTSS;8H;21/01/22;160000;277.70;278.10;272.50;273.45;1673710
MTSS;8H;24/01/22;000000;273.95;274.70;273.05;274.10;63930
MTSS;8H;24/01/22;080000;274.35;275.45;263.30;268.50;7668570
MTSS;8H;24/01/22;160000;268.50;272.95;265.00;272.95;2865980
MTSS;8H;25/01/22;000000;272.30;274.85;268.20;268.60;474140
MTSS;8H;25/01/22;080000;268.85;278.70;268.45;273.80;3036150
MTSS;8H;25/01/22;160000;273.80;279.50;271.60;279.45;2261830
MTSS;8H;26/01/22;000000;279.45;279.50;276.60;277.80;72910
MTSS;8H;26/01/22;080000;277.75;283.70;276.30;277.65;2362560
MTSS;8H;26/01/22;160000;277.65;284.90;276.25;277.90;3170320
MTSS;8H;27/01/22;000000;277.30;277.85;275.05;276.30;140140
MTSS;8H;27/01/22;080000;276.10;287.40;275.60;286.90;2723320
MTSS;8H;27/01/22;160000;286.95;289.00;277.05;278.45;3226460
MTSS;8H;28/01/22;000000;280.00;282.35;279.75;281.85;126190
MTSS;8H;28/01/22;080000;281.90;284.80;275.20;280.60;2212200
MTSS;8H;28/01/22;160000;280.80;285.55;279.20;285.55;1156950
MTSS;8H;31/01/22;000000;286.00;289.55;286.00;288.95;183440
MTSS;8H;31/01/22;080000;288.80;292.00;287.45;289.25;3493610
MTSS;8H;31/01/22;160000;289.45;289.95;286.00;287.40;1129520
MTSS;8H;01/02/22;000000;288.70;289.85;287.05;288.70;80390
MTSS;8H;01/02/22;080000;288.85;291.00;287.10;288.90;1547530
MTSS;8H;01/02/22;160000;289.00;289.85;286.25;289.60;812650
MTSS;8H;02/02/22;000000;289.70;290.65;288.20;288.45;40650
MTSS;8H;02/02/22;080000;288.45;290.50;286.25;290.45;964440
MTSS;8H;02/02/22;160000;290.45;290.90;285.50;285.80;1052620
MTSS;8H;03/02/22;000000;286.10;286.15;280.00;284.00;160150
MTSS;8H;03/02/22;080000;283.95;285.90;280.35;285.45;1141210
MTSS;8H;03/02/22;160000;285.45;286.15;281.30;284.60;745580
MTSS;8H;04/02/22;000000;284.60;287.40;284.60;286.65;62580
MTSS;8H;04/02/22;080000;286.85;288.30;283.25;284.45;807840
MTSS;8H;04/02/22;160000;284.45;284.90;281.50;283.25;833530
MTSS;8H;07/02/22;000000;285.00;286.70;282.25;284.40;92560
MTSS;8H;07/02/22;080000;284.45;285.75;282.65;285.35;584940
MTSS;8H;07/02/22;160000;285.25;285.55;283.00;284.45;359080
MTSS;8H;08/02/22;000000;283.65;285.00;283.65;284.90;21230
MTSS;8H;08/02/22;080000;284.70;288.00;283.55;286.60;712670
MTSS;8H;08/02/22;160000;286.60;290.15;285.10;289.75;755050
MTSS;8H;09/02/22;000000;290.00;290.15;288.60;290.10;69940
MTSS;8H;09/02/22;080000;289.90;290.50;287.40;288.35;2246840
MTSS;8H;09/02/22;160000;288.35;289.90;286.75;289.90;1271700
MTSS;8H;10/02/22;000000;289.95;289.95;288.75;289.10;23710
MTSS;8H;10/02/22;080000;289.10;289.95;283.60;287.30;2401330
MTSS;8H;10/02/22;160000;287.30;294.90;286.05;293.45;2032630
MTSS;8H;11/02/22;000000;292.05;292.95;290.05;290.60;70370
MTSS;8H;11/02/22;080000;290.50;291.35;284.20;286.50;1657350
MTSS;8H;11/02/22;160000;286.45;289.40;282.70;284.80;1623020
MTSS;8H;14/02/22;000000;283.05;286.70;281.90;284.35;331770
MTSS;8H;14/02/22;080000;284.35;285.85;276.50;284.60;3098810
