<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTSS;D;03/01/22;000000;299.00;305.00;298.05;304.65;2093030
MTSS;D;04/01/22;000000;304.90;306.50;302.85;304.95;1854360
MTSS;D;05/01/22;000000;305.15;306.00;298.30;298.30;1840990
MTSS;D;06/01/22;000000;298.00;300.60;295.35;299.20;2449570
MTSS;D;10/01/22;000000;300.00;302.50;291.10;295.85;1808130
MTSS;D;11/01/22;000000;295.75;297.50;293.55;296.20;1817570
MTSS;D;12/01/22;000000;297.00;301.00;294.20;296.45;1837670
MTSS;D;13/01/22;000000;297.20;298.35;287.95;291.65;3468770
MTSS;D;14/01/22;000000;291.90;292.70;281.60;289.65;4603720
MTSS;D;17/01/22;000000;289.50;291.45;276.10;281.70;5544240
MTSS;D;18/01/22;000000;278.00;284.00;267.10;272.95;10127660
MTSS;D;19/01/22;000000;273.10;286.70;267.00;274.80;8948670
MTSS;D;20/01/22;000000;275.70;280.65;273.20;274.40;5290460
MTSS;D;21/01/22;000000;274.20;279.70;272.05;273.45;4608560
MTSS;D;24/01/22;000000;273.95;275.45;263.30;272.95;10598480
MTSS;D;25/01/22;000000;272.30;279.50;268.20;279.45;5772120
MTSS;D;26/01/22;000000;279.45;284.90;276.25;277.90;5605790
MTSS;D;27/01/22;000000;277.30;289.00;275.05;278.45;6089920
MTSS;D;28/01/22;000000;280.00;285.55;275.20;285.55;3495340
MTSS;D;31/01/22;000000;286.00;292.00;286.00;287.40;4806570
MTSS;D;01/02/22;000000;288.70;291.00;286.25;289.60;2440570
MTSS;D;02/02/22;000000;289.70;290.90;285.50;285.80;2057710
MTSS;D;03/02/22;000000;286.10;286.15;280.00;284.60;2046940
MTSS;D;04/02/22;000000;284.60;288.30;281.50;283.25;1703950
MTSS;D;07/02/22;000000;285.00;286.70;282.25;284.45;1036580
MTSS;D;08/02/22;000000;283.65;290.15;283.55;289.75;1488950
MTSS;D;09/02/22;000000;290.00;290.50;286.75;289.90;3588480
MTSS;D;10/02/22;000000;289.95;294.90;283.60;293.45;4457670
MTSS;D;11/02/22;000000;292.05;292.95;282.70;284.80;3350740
MTSS;D;14/02/22;000000;283.05;286.70;276.50;280.80;5063770
MTSS;D;15/02/22;000000;281.45;287.85;280.70;287.30;3278780
MTSS;D;16/02/22;000000;287.00;291.65;286.00;287.40;2972660
MTSS;D;17/02/22;000000;287.40;287.80;281.10;283.45;4539810
MTSS;D;18/02/22;000000;284.95;286.90;271.30;272.85;5274550
MTSS;D;21/02/22;000000;272.85;278.00;226.00;239.75;20241630
MTSS;D;22/02/22;000000;235.45;263.90;219.50;260.85;16722690
MTSS;D;24/02/22;000000;235.00;240.00;155.00;206.65;10842040
MTSS;D;25/02/22;000000;205.00;247.80;205.00;217.50;6146110
MTSS;D;24/03/22;000000;200.00;236.00;198.15;205.60;3134100
MTSS;D;25/03/22;000000;206.95;208.25;188.20;190.60;3906010
MTSS;D;28/03/22;000000;190.60;194.20;181.20;184.80;973540
MTSS;D;29/03/22;000000;184.80;188.65;171.50;174.70;1991310
MTSS;D;30/03/22;000000;177.15;235.00;177.15;233.00;3505910
MTSS;D;31/03/22;000000;229.00;248.00;212.15;238.65;3915720
MTSS;D;01/04/22;000000;238.60;248.10;232.00;235.00;1407110
MTSS;D;04/04/22;000000;235.00;239.05;224.20;231.00;1085500
