<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NLMK;8H;10/01/22;000000;214.62;215.82;214.20;215.18;108640
NLMK;8H;10/01/22;080000;215.26;215.60;212.24;212.40;2633060
NLMK;8H;10/01/22;160000;212.34;213.10;210.50;212.32;2931210
NLMK;8H;11/01/22;000000;212.90;213.30;212.28;212.72;46470
NLMK;8H;11/01/22;080000;212.72;217.40;210.92;216.96;4762020
NLMK;8H;11/01/22;160000;216.98;217.94;214.40;217.28;4615650
NLMK;8H;12/01/22;000000;217.30;218.00;216.66;217.36;148880
NLMK;8H;12/01/22;080000;217.50;219.30;215.76;219.12;3595770
NLMK;8H;12/01/22;160000;219.12;220.98;218.30;220.58;4351290
NLMK;8H;13/01/22;000000;220.58;220.98;219.38;219.98;92240
NLMK;8H;13/01/22;080000;219.86;221.52;218.80;220.14;4925420
NLMK;8H;13/01/22;160000;220.14;220.40;216.96;219.02;5246360
NLMK;8H;14/01/22;000000;218.12;220.08;218.12;219.88;104180
NLMK;8H;14/01/22;080000;219.90;220.44;212.18;213.92;6383130
NLMK;8H;14/01/22;160000;213.92;215.90;211.02;214.00;6113960
NLMK;8H;17/01/22;000000;214.00;215.60;212.72;214.00;322900
NLMK;8H;17/01/22;080000;214.10;216.72;209.16;209.26;5623630
NLMK;8H;17/01/22;160000;209.16;211.50;207.62;211.50;3501250
NLMK;8H;18/01/22;000000;211.50;212.22;208.90;209.48;354110
NLMK;8H;18/01/22;080000;209.34;210.10;199.80;199.96;7564110
NLMK;8H;18/01/22;160000;199.84;207.48;198.50;205.70;11742270
NLMK;8H;19/01/22;000000;204.10;206.38;198.70;200.92;1159190
NLMK;8H;19/01/22;080000;200.92;212.44;198.50;210.42;14219080
NLMK;8H;19/01/22;160000;210.30;212.94;209.52;210.22;4328360
NLMK;8H;20/01/22;000000;212.00;212.00;210.06;211.58;289430
NLMK;8H;20/01/22;080000;211.42;215.12;207.20;209.82;6730620
NLMK;8H;20/01/22;160000;209.82;213.70;209.46;209.76;3236910
NLMK;8H;21/01/22;000000;209.70;209.70;206.62;208.74;507940
NLMK;8H;21/01/22;080000;208.62;211.46;207.28;209.88;6885650
NLMK;8H;21/01/22;160000;209.88;210.14;206.08;206.88;4873620
NLMK;8H;24/01/22;000000;207.80;208.32;206.80;207.88;204070
NLMK;8H;24/01/22;080000;207.74;208.40;193.04;196.30;11919690
NLMK;8H;24/01/22;160000;196.46;198.94;193.54;196.44;8096210
NLMK;8H;25/01/22;000000;195.64;200.62;194.36;195.10;1311540
NLMK;8H;25/01/22;080000;195.24;199.48;191.74;193.92;7206610
NLMK;8H;25/01/22;160000;193.92;198.98;192.40;198.34;4756130
NLMK;8H;26/01/22;000000;198.00;198.00;196.62;197.76;148760
NLMK;8H;26/01/22;080000;197.76;204.48;194.62;203.70;4828150
NLMK;8H;26/01/22;160000;203.58;206.64;201.32;202.02;9045290
NLMK;8H;27/01/22;000000;201.24;201.24;198.88;200.24;366650
NLMK;8H;27/01/22;080000;200.10;210.38;199.00;209.80;7125280
NLMK;8H;27/01/22;160000;209.80;211.48;206.32;208.56;3735910
NLMK;8H;28/01/22;000000;210.52;210.52;208.80;209.96;217970
NLMK;8H;28/01/22;080000;209.92;211.76;206.26;209.86;4254740
NLMK;8H;28/01/22;160000;209.84;212.70;208.08;210.72;2909490
NLMK;8H;31/01/22;000000;210.74;213.62;210.74;213.02;216660
NLMK;8H;31/01/22;080000;213.08;215.94;211.78;213.70;4880360
NLMK;8H;31/01/22;160000;213.70;214.70;212.20;213.34;2583080
NLMK;8H;01/02/22;000000;214.40;214.72;213.40;213.74;147780
NLMK;8H;01/02/22;080000;213.74;215.40;211.62;214.38;3951980
NLMK;8H;01/02/22;160000;214.36;215.50;213.38;215.30;3124200
NLMK;8H;02/02/22;000000;215.30;216.00;214.82;214.92;223140
NLMK;8H;02/02/22;080000;215.04;219.90;214.90;218.82;8328700
NLMK;8H;02/02/22;160000;218.82;219.98;217.16;219.78;4519910
NLMK;8H;03/02/22;000000;219.78;220.00;218.04;218.62;137360
NLMK;8H;03/02/22;080000;218.48;221.92;215.80;216.68;9306000
NLMK;8H;03/02/22;160000;216.60;217.60;213.52;216.18;4447530
NLMK;8H;04/02/22;000000;216.18;218.20;216.18;217.42;218800
NLMK;8H;04/02/22;080000;217.52;219.84;217.32;217.68;5416980
NLMK;8H;04/02/22;160000;217.62;217.78;214.00;216.76;3899030
NLMK;8H;07/02/22;000000;216.50;217.34;215.44;217.20;129790
NLMK;8H;07/02/22;080000;217.18;220.38;216.46;220.00;7387770
NLMK;8H;07/02/22;160000;220.06;220.80;218.72;220.54;8892370
NLMK;8H;08/02/22;000000;221.00;221.34;219.50;219.92;302040
NLMK;8H;08/02/22;080000;219.94;225.28;219.30;225.28;9409060
NLMK;8H;08/02/22;160000;225.26;228.00;225.12;226.76;6517080
NLMK;8H;09/02/22;000000;226.78;228.86;226.78;228.16;401890
NLMK;8H;09/02/22;080000;228.06;233.30;227.86;231.98;11793200
NLMK;8H;09/02/22;160000;232.00;232.98;230.08;232.50;5971080
NLMK;8H;10/02/22;000000;232.20;232.42;229.10;230.04;460620
NLMK;8H;10/02/22;080000;230.00;231.80;224.40;229.40;11619090
NLMK;8H;10/02/22;160000;229.48;231.40;226.50;226.70;6331580
NLMK;8H;11/02/22;000000;226.00;227.48;225.40;225.74;414900
NLMK;8H;11/02/22;080000;225.80;226.88;224.54;226.54;7791500
NLMK;8H;11/02/22;160000;226.54;228.72;219.00;221.46;7224140
NLMK;8H;14/02/22;000000;220.96;220.96;216.54;219.76;1121710
NLMK;8H;14/02/22;080000;219.60;230.00;219.28;228.94;8482410
NLMK;8H;14/02/22;160000;229.02;230.50;224.32;228.02;6208520
NLMK;8H;15/02/22;000000;227.88;230.88;227.88;229.90;400390
NLMK;8H;15/02/22;080000;229.90;235.90;228.34;232.84;9122940
NLMK;8H;15/02/22;160000;232.80;236.20;232.50;233.04;6293210
NLMK;8H;16/02/22;000000;233.00;236.50;233.00;235.60;509640
NLMK;8H;16/02/22;080000;235.32;236.10;230.44;231.34;4987840
NLMK;8H;16/02/22;160000;231.40;235.72;231.30;235.70;3412870
NLMK;8H;17/02/22;000000;235.70;235.70;232.56;233.04;362530
NLMK;8H;17/02/22;080000;232.88;235.60;230.12;230.88;7203410
NLMK;8H;17/02/22;160000;230.86;230.90;225.84;227.52;8244650
NLMK;8H;18/02/22;000000;228.92;231.52;228.20;230.28;408270
NLMK;8H;18/02/22;080000;230.20;231.26;225.64;230.00;6495500
NLMK;8H;18/02/22;160000;230.00;230.04;223.56;226.90;8384880
NLMK;8H;21/02/22;000000;226.90;229.44;221.54;229.28;799830
NLMK;8H;21/02/22;080000;229.26;230.50;214.60;221.16;12486090
NLMK;8H;21/02/22;160000;221.30;221.98;186.00;200.98;23610420
NLMK;8H;22/02/22;000000;200.82;205.60;191.92;203.12;1141220
NLMK;8H;22/02/22;080000;203.12;214.88;195.84;214.58;16955360
NLMK;8H;22/02/22;160000;214.64;223.54;206.52;220.04;12330630
NLMK;8H;24/02/22;000000;198.10;198.10;189.78;189.78;1975350
NLMK;8H;24/02/22;080000;189.78;192.48;142.00;174.28;14137330
NLMK;8H;24/02/22;160000;174.18;207.98;154.08;180.68;14075840
NLMK;8H;25/02/22;080000;185.12;202.34;160.96;176.14;13662960
NLMK;8H;25/02/22;160000;176.40;188.30;173.60;177.50;8434850
NLMK;8H;24/03/22;080000;170.00;212.22;161.00;183.00;11795110
NLMK;8H;25/03/22;080000;183.10;192.00;170.40;173.00;2459090
NLMK;8H;28/03/22;080000;173.42;174.90;159.30;163.50;2149640
NLMK;8H;29/03/22;080000;164.08;175.00;152.00;158.02;4217790
NLMK;8H;30/03/22;080000;164.00;168.40;160.00;167.00;2622850
NLMK;8H;31/03/22;080000;170.00;179.52;168.50;169.72;5019160
NLMK;8H;31/03/22;160000;169.88;172.44;169.22;171.90;1547380
NLMK;8H;01/04/22;080000;174.70;181.46;172.20;173.42;5958910
NLMK;8H;01/04/22;160000;173.42;173.50;172.00;173.20;1952580
NLMK;8H;04/04/22;080000;173.40;177.82;166.10;171.94;3369290
NLMK;8H;04/04/22;160000;171.94;171.94;171.36;171.90;599260
NLMK;8H;05/04/22;080000;171.88;172.84;161.20;165.34;3199280
NLMK;8H;05/04/22;160000;165.38;165.72;162.00;162.50;649340
NLMK;8H;06/04/22;080000;162.50;163.00;158.10;161.42;1876870
NLMK;8H;06/04/22;160000;161.48;162.16;160.50;160.50;537790
NLMK;8H;07/04/22;080000;160.50;163.20;160.42;161.58;1245800
NLMK;8H;07/04/22;160000;161.50;161.58;160.10;160.52;484050
NLMK;8H;08/04/22;080000;162.50;162.50;160.00;161.12;991600
NLMK;8H;08/04/22;160000;161.12;161.18;160.92;161.14;300700
NLMK;8H;11/04/22;080000;161.16;161.44;156.42;157.56;1477980
NLMK;8H;11/04/22;160000;157.82;158.14;156.74;157.20;506150
NLMK;8H;12/04/22;080000;159.12;159.12;152.10;154.50;1303430
NLMK;8H;12/04/22;160000;154.40;155.98;154.32;155.44;390340
NLMK;8H;13/04/22;080000;157.34;157.76;152.02;152.80;913190
NLMK;8H;13/04/22;160000;152.80;155.04;152.62;155.00;292410
NLMK;8H;14/04/22;080000;155.00;155.00;150.20;150.48;958610
NLMK;8H;14/04/22;160000;150.48;150.48;150.00;150.20;504980
NLMK;8H;15/04/22;080000;150.20;150.90;145.60;148.48;1473810
NLMK;8H;15/04/22;160000;148.48;155.22;148.42;155.22;783810
NLMK;8H;18/04/22;080000;155.00;155.84;149.50;149.58;963320
NLMK;8H;18/04/22;160000;149.58;150.12;148.00;148.00;277190
NLMK;8H;19/04/22;080000;148.30;149.86;143.00;145.44;1199120
NLMK;8H;19/04/22;160000;145.36;150.00;144.90;149.16;561440
NLMK;8H;20/04/22;080000;149.50;158.90;147.00;153.50;1872300
NLMK;8H;20/04/22;160000;153.50;156.50;152.64;156.50;765510
NLMK;8H;21/04/22;080000;156.50;156.50;152.08;154.16;1145350
NLMK;8H;21/04/22;160000;154.12;155.00;152.98;155.00;446190
NLMK;8H;22/04/22;080000;154.66;159.50;153.20;156.00;1542510
NLMK;8H;22/04/22;160000;156.00;156.10;154.80;155.86;290020
NLMK;8H;25/04/22;080000;155.46;155.78;149.40;151.80;919750
NLMK;8H;25/04/22;160000;151.80;152.78;151.04;152.78;264220
NLMK;8H;26/04/22;080000;151.20;157.40;150.54;157.04;605580
NLMK;8H;26/04/22;160000;157.06;157.98;156.60;157.98;703860
NLMK;8H;27/04/22;080000;157.98;160.84;156.24;160.00;705150
NLMK;8H;27/04/22;160000;160.00;160.20;158.16;158.16;486860
NLMK;8H;28/04/22;080000;159.96;162.00;158.20;159.32;1605690
NLMK;8H;28/04/22;160000;159.34;160.16;157.00;157.24;316410
NLMK;8H;29/04/22;080000;154.10;160.86;154.10;158.82;1498030
NLMK;8H;29/04/22;160000;158.84;159.50;158.52;158.60;284550
NLMK;8H;04/05/22;080000;160.48;160.68;156.32;157.30;588060
NLMK;8H;04/05/22;160000;157.56;157.72;155.00;155.00;208430
NLMK;8H;05/05/22;080000;156.60;157.48;155.00;157.36;381270
NLMK;8H;05/05/22;160000;157.36;157.94;157.02;157.94;319510
NLMK;8H;06/05/22;080000;157.64;158.68;156.66;158.38;466230
NLMK;8H;06/05/22;160000;158.34;162.00;158.12;162.00;387100
NLMK;8H;11/05/22;080000;160.52;160.90;158.88;158.94;826210
NLMK;8H;11/05/22;160000;158.84;159.48;158.04;159.38;250710
NLMK;8H;12/05/22;080000;159.08;160.50;157.10;157.84;546550
