<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NLMK;D;10/01/22;000000;214.62;215.82;210.5;212.32;5672910
NLMK;D;11/01/22;000000;212.9;217.94;210.92;217.28;9424140
NLMK;D;12/01/22;000000;217.3;220.98;215.76;220.58;8095940
NLMK;D;13/01/22;000000;220.58;221.52;216.96;219.02;10264020
NLMK;D;14/01/22;000000;218.12;220.44;211.02;214.0;12601270
NLMK;D;17/01/22;000000;214.0;216.72;207.62;211.5;9447780
NLMK;D;18/01/22;000000;211.5;212.22;198.5;205.7;19660490
NLMK;D;19/01/22;000000;204.1;212.94;198.5;210.22;19706630
NLMK;D;20/01/22;000000;212.0;215.12;207.2;209.76;10256960
NLMK;D;21/01/22;000000;209.7;211.46;206.08;206.88;12267210
NLMK;D;24/01/22;000000;207.8;208.4;193.04;196.44;20219970
NLMK;D;25/01/22;000000;195.64;200.62;191.74;198.34;13274280
NLMK;D;26/01/22;000000;198.0;206.64;194.62;202.02;14022200
NLMK;D;27/01/22;000000;201.24;211.48;198.88;208.56;11227840
NLMK;D;28/01/22;000000;210.52;212.7;206.26;210.72;7382200
NLMK;D;31/01/22;000000;210.74;215.94;210.74;213.34;7680100
NLMK;D;01/02/22;000000;214.4;215.5;211.62;215.3;7223960
NLMK;D;02/02/22;000000;215.3;219.98;214.82;219.78;13071750
NLMK;D;03/02/22;000000;219.78;221.92;213.52;216.18;13890890
NLMK;D;04/02/22;000000;216.18;219.84;214.0;216.76;9534810
NLMK;D;07/02/22;000000;216.5;220.8;215.44;220.54;16409930
NLMK;D;08/02/22;000000;221.0;228.0;219.3;226.76;16228180
NLMK;D;09/02/22;000000;226.78;233.3;226.78;232.5;18166170
NLMK;D;10/02/22;000000;232.2;232.42;224.4;226.7;18411290
NLMK;D;11/02/22;000000;226.0;228.72;219.0;221.46;15430540
NLMK;D;14/02/22;000000;220.96;230.5;216.54;228.02;15812640
NLMK;D;15/02/22;000000;227.88;236.2;227.88;233.04;15816540
NLMK;D;16/02/22;000000;233.0;236.5;230.44;235.7;8910350
NLMK;D;17/02/22;000000;235.7;235.7;225.84;227.52;15810590
NLMK;D;18/02/22;000000;228.92;231.52;223.56;226.9;15288650
NLMK;D;21/02/22;000000;226.9;230.5;186.0;200.98;36896340
NLMK;D;22/02/22;000000;200.82;223.54;191.92;220.04;30427210
NLMK;D;24/02/22;000000;198.1;207.98;142.0;180.68;30188520
NLMK;D;25/02/22;000000;185.12;202.34;160.96;177.5;22097810
NLMK;D;24/03/22;000000;170.0;212.22;161.0;183.0;11795110
NLMK;D;25/03/22;000000;183.1;192.0;170.4;173.0;2459090
NLMK;D;28/03/22;000000;173.42;174.9;159.3;163.5;2149640
NLMK;D;29/03/22;000000;164.08;175.0;152.0;158.02;4217790
NLMK;D;30/03/22;000000;164.0;168.4;160.0;167.0;2622850
NLMK;D;31/03/22;000000;170.0;179.52;168.5;171.9;6566540
NLMK;D;01/04/22;000000;174.7;181.46;172.0;173.2;7911490
NLMK;D;04/04/22;000000;173.4;177.82;166.1;171.9;3968550
NLMK;D;05/04/22;000000;171.88;172.84;161.2;162.5;3848620
NLMK;D;06/04/22;000000;162.5;163.0;158.1;160.5;2414660
NLMK;D;07/04/22;000000;160.5;163.2;160.1;160.52;1729850
NLMK;D;08/04/22;000000;162.5;162.5;160.0;161.14;1292300
NLMK;D;11/04/22;000000;161.16;161.44;156.42;157.2;1984130
NLMK;D;12/04/22;000000;159.12;159.12;152.1;155.44;1693770
NLMK;D;13/04/22;000000;157.34;157.76;152.02;155.0;1205600
NLMK;D;14/04/22;000000;155.0;155.0;150.0;150.2;1463590
NLMK;D;15/04/22;000000;150.2;155.22;145.6;155.22;2257620
NLMK;D;18/04/22;000000;155.0;155.84;148.0;148.0;1240510
NLMK;D;19/04/22;000000;148.3;150.0;143.0;149.16;1760560
NLMK;D;20/04/22;000000;149.5;158.9;147.0;156.5;2637810
NLMK;D;21/04/22;000000;156.5;156.5;152.08;155.0;1591540
NLMK;D;22/04/22;000000;154.66;159.5;153.2;155.86;1832530
NLMK;D;25/04/22;000000;155.46;155.78;149.4;152.78;1183970
NLMK;D;26/04/22;000000;151.2;157.98;150.54;157.98;1309440
NLMK;D;27/04/22;000000;157.98;160.84;156.24;158.16;1192010
