<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NVTK;12H;10/01/22;000000;1771.00;1784.80;1748.20;1777.00;486666
NVTK;12H;10/01/22;120000;1777.00;1787.20;1740.80;1758.60;1112417
NVTK;12H;11/01/22;000000;1758.60;1772.80;1747.00;1770.00;198696
NVTK;12H;11/01/22;120000;1770.00;1792.00;1769.80;1779.80;885083
NVTK;12H;12/01/22;000000;1780.00;1787.80;1764.60;1782.40;286646
NVTK;12H;12/01/22;120000;1782.40;1834.60;1778.00;1807.40;1386261
NVTK;12H;13/01/22;000000;1786.00;1807.20;1768.00;1770.40;293217
NVTK;12H;13/01/22;120000;1770.20;1778.00;1703.20;1744.20;2090102
NVTK;12H;14/01/22;000000;1744.20;1779.80;1722.20;1745.00;749081
NVTK;12H;14/01/22;120000;1744.20;1757.20;1687.20;1726.00;3315822
NVTK;12H;17/01/22;000000;1730.00;1745.00;1704.60;1708.80;512369
NVTK;12H;17/01/22;120000;1708.00;1718.20;1622.00;1641.80;2079658
NVTK;12H;18/01/22;000000;1641.80;1653.60;1562.80;1570.40;1119639
NVTK;12H;18/01/22;120000;1570.40;1586.80;1540.00;1579.60;3475324
NVTK;12H;19/01/22;000000;1572.00;1624.20;1514.20;1608.00;1334086
NVTK;12H;19/01/22;120000;1606.60;1651.00;1583.20;1593.60;2403608
NVTK;12H;20/01/22;000000;1604.80;1636.80;1574.40;1597.80;928314
NVTK;12H;20/01/22;120000;1597.80;1638.80;1583.20;1588.40;1370647
NVTK;12H;21/01/22;000000;1581.00;1602.80;1562.80;1601.60;488202
NVTK;12H;21/01/22;120000;1601.40;1630.60;1584.00;1592.80;1937849
NVTK;12H;24/01/22;000000;1596.20;1614.40;1545.60;1549.20;462698
NVTK;12H;24/01/22;120000;1547.60;1553.20;1462.00;1538.00;3292700
NVTK;12H;25/01/22;000000;1525.20;1566.00;1497.00;1530.60;790090
NVTK;12H;25/01/22;120000;1531.20;1593.80;1510.20;1590.00;1847758
NVTK;12H;26/01/22;000000;1590.00;1604.00;1525.00;1559.00;598749
NVTK;12H;26/01/22;120000;1558.60;1582.80;1516.00;1523.40;2510148
NVTK;12H;27/01/22;000000;1514.60;1605.00;1498.40;1592.60;1153238
NVTK;12H;27/01/22;120000;1591.80;1645.00;1569.00;1611.80;2633074
NVTK;12H;28/01/22;000000;1610.00;1636.40;1576.00;1603.20;871053
NVTK;12H;28/01/22;120000;1602.60;1630.60;1585.00;1591.40;1260815
NVTK;12H;31/01/22;000000;1605.00;1645.00;1603.40;1644.80;440808
NVTK;12H;31/01/22;120000;1644.00;1658.00;1622.40;1637.20;1470783
NVTK;12H;01/02/22;000000;1640.80;1649.00;1614.00;1645.60;424442
NVTK;12H;01/02/22;120000;1645.00;1647.20;1613.20;1628.40;843859
NVTK;12H;02/02/22;000000;1630.40;1640.60;1625.00;1625.20;237718
NVTK;12H;02/02/22;120000;1625.20;1642.00;1605.00;1612.00;1278784
NVTK;12H;03/02/22;000000;1612.00;1617.00;1592.40;1602.00;412671
NVTK;12H;03/02/22;120000;1602.40;1623.00;1567.40;1614.80;1274412
NVTK;12H;04/02/22;000000;1619.60;1670.00;1615.80;1656.60;570938
NVTK;12H;04/02/22;120000;1656.60;1657.60;1606.40;1628.40;1228331
NVTK;12H;07/02/22;000000;1628.40;1645.00;1606.00;1614.60;271437
NVTK;12H;07/02/22;120000;1616.00;1618.60;1588.00;1602.00;656195
NVTK;12H;08/02/22;000000;1606.00;1630.80;1600.20;1617.20;240116
