<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NVTK;D;10/01/22;000000;1771.0;1787.2;1740.8;1758.6;1599083
NVTK;D;11/01/22;000000;1758.6;1792.0;1747.0;1779.8;1083779
NVTK;D;12/01/22;000000;1780.0;1834.6;1764.6;1807.4;1672907
NVTK;D;13/01/22;000000;1786.0;1807.2;1703.2;1744.2;2383319
NVTK;D;14/01/22;000000;1744.2;1779.8;1687.2;1726.0;4064903
NVTK;D;17/01/22;000000;1730.0;1745.0;1622.0;1641.8;2592027
NVTK;D;18/01/22;000000;1641.8;1653.6;1540.0;1579.6;4594963
NVTK;D;19/01/22;000000;1572.0;1651.0;1514.2;1593.6;3737694
NVTK;D;20/01/22;000000;1604.8;1638.8;1574.4;1588.4;2298961
NVTK;D;21/01/22;000000;1581.0;1630.6;1562.8;1592.8;2426051
NVTK;D;24/01/22;000000;1596.2;1614.4;1462.0;1538.0;3755398
NVTK;D;25/01/22;000000;1525.2;1593.8;1497.0;1590.0;2637848
NVTK;D;26/01/22;000000;1590.0;1604.0;1516.0;1523.4;3108897
NVTK;D;27/01/22;000000;1514.6;1645.0;1498.4;1611.8;3786312
NVTK;D;28/01/22;000000;1610.0;1636.4;1576.0;1591.4;2131868
NVTK;D;31/01/22;000000;1605.0;1658.0;1603.4;1637.2;1911591
NVTK;D;01/02/22;000000;1640.8;1649.0;1613.2;1628.4;1268301
NVTK;D;02/02/22;000000;1630.4;1642.0;1605.0;1612.0;1516502
NVTK;D;03/02/22;000000;1612.0;1623.0;1567.4;1614.8;1687083
NVTK;D;04/02/22;000000;1619.6;1670.0;1606.4;1628.4;1799269
NVTK;D;07/02/22;000000;1628.4;1645.0;1588.0;1602.0;927632
NVTK;D;08/02/22;000000;1606.0;1645.0;1600.2;1628.2;1225451
NVTK;D;09/02/22;000000;1638.0;1665.0;1625.2;1659.0;1330377
NVTK;D;10/02/22;000000;1660.0;1678.8;1628.0;1632.0;1327737
NVTK;D;11/02/22;000000;1632.0;1641.4;1535.2;1556.6;1978825
NVTK;D;14/02/22;000000;1552.6;1629.8;1522.0;1618.8;2508535
NVTK;D;15/02/22;000000;1628.0;1637.0;1593.0;1620.0;2419794
NVTK;D;16/02/22;000000;1625.0;1656.4;1587.0;1621.4;2613103
NVTK;D;17/02/22;000000;1625.0;1625.0;1530.0;1542.8;3081134
NVTK;D;18/02/22;000000;1549.8;1572.2;1479.4;1492.8;2986525
NVTK;D;21/02/22;000000;1492.8;1544.0;1200.0;1281.8;7506232
NVTK;D;22/02/22;000000;1281.0;1358.8;1206.6;1354.0;9726127
NVTK;D;24/02/22;000000;1209.4;1237.0;654.0;1001.4;5532902
NVTK;D;25/02/22;000000;1090.0;1273.0;1060.2;1134.0;2189689
NVTK;D;24/03/22;000000;1130.0;1449.0;1130.0;1343.6;1330520
NVTK;D;25/03/22;000000;1444.4;1444.8;1300.0;1400.0;1008410
NVTK;D;28/03/22;000000;1410.0;1423.0;1314.2;1379.0;380577
NVTK;D;29/03/22;000000;1379.0;1509.8;1351.0;1470.0;891066
NVTK;D;30/03/22;000000;1472.0;1500.0;1422.0;1444.0;352194
NVTK;D;31/03/22;000000;1452.8;1485.0;1433.8;1450.0;773769
NVTK;D;01/04/22;000000;1450.6;1470.0;1366.0;1390.0;902147
NVTK;D;04/04/22;000000;1390.0;1408.0;1351.0;1389.2;670477
NVTK;D;05/04/22;000000;1395.0;1397.6;1284.2;1298.0;958842
NVTK;D;06/04/22;000000;1306.0;1316.8;1253.4;1264.0;497117
NVTK;D;07/04/22;000000;1266.0;1296.8;1262.0;1263.0;278349
NVTK;D;08/04/22;000000;1272.0;1274.6;1175.0;1200.6;765218
NVTK;D;11/04/22;000000;1197.2;1198.0;1132.2;1141.6;588787
