<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
OZON;12H;03/01/22;000000;2292.00;2323.00;2259.50;2305.00;112660
OZON;12H;03/01/22;120000;2305.00;2305.00;2212.00;2238.50;447563
OZON;12H;04/01/22;000000;2244.50;2258.50;2232.00;2256.50;52995
OZON;12H;04/01/22;120000;2256.50;2287.00;2168.00;2209.00;468572
OZON;12H;05/01/22;000000;2215.00;2219.50;2193.00;2212.50;33059
OZON;12H;05/01/22;120000;2211.50;2229.50;2024.50;2029.50;685652
OZON;12H;06/01/22;000000;2029.50;2106.00;2010.00;2066.00;153508
OZON;12H;06/01/22;120000;2068.50;2095.00;1992.00;2061.00;452562
OZON;12H;10/01/22;000000;2073.50;2107.00;2070.50;2087.00;94239
OZON;12H;10/01/22;120000;2087.00;2100.00;1969.50;2008.50;414510
OZON;12H;11/01/22;000000;2012.00;2017.50;1992.00;2012.00;61006
OZON;12H;11/01/22;120000;2012.00;2099.50;2009.50;2054.00;386280
OZON;12H;12/01/22;000000;2060.00;2081.00;2045.50;2049.50;56069
OZON;12H;12/01/22;120000;2048.00;2103.50;2043.00;2073.50;336296
OZON;12H;13/01/22;000000;2088.50;2088.50;2052.00;2077.50;80756
OZON;12H;13/01/22;120000;2076.50;2086.00;1870.00;1877.00;819674
OZON;12H;14/01/22;000000;1875.00;1908.00;1855.00;1870.50;254356
OZON;12H;14/01/22;120000;1870.50;1874.50;1710.50;1757.50;1073873
OZON;12H;17/01/22;000000;1761.00;1812.00;1732.00;1756.00;192150
OZON;12H;17/01/22;120000;1756.00;1839.00;1742.50;1812.50;276317
OZON;12H;18/01/22;000000;1822.50;1836.50;1747.50;1762.00;211441
OZON;12H;18/01/22;120000;1761.00;1769.50;1625.00;1667.00;768747
OZON;12H;19/01/22;000000;1669.00;1722.00;1561.00;1694.00;389784
OZON;12H;19/01/22;120000;1696.00;1700.00;1557.00;1574.50;1102535
OZON;12H;20/01/22;000000;1578.50;1637.00;1519.00;1523.50;469555
OZON;12H;20/01/22;120000;1523.50;1587.50;1500.00;1500.00;1289338
OZON;12H;21/01/22;000000;1490.00;1533.00;1445.00;1507.00;352239
OZON;12H;21/01/22;120000;1507.00;1522.50;1392.50;1399.00;897451
OZON;12H;24/01/22;000000;1404.00;1423.00;1348.00;1376.50;383871
OZON;12H;24/01/22;120000;1379.50;1393.00;1221.00;1335.00;1471352
OZON;12H;25/01/22;000000;1325.00;1394.50;1302.00;1370.50;413047
OZON;12H;25/01/22;120000;1370.50;1397.50;1265.00;1362.50;1145059
OZON;12H;26/01/22;000000;1382.00;1386.00;1327.00;1373.00;226882
OZON;12H;26/01/22;120000;1371.50;1468.00;1325.00;1340.00;1533719
OZON;12H;27/01/22;000000;1337.00;1412.00;1308.00;1407.00;300447
OZON;12H;27/01/22;120000;1406.00;1481.00;1378.00;1422.50;1224990
OZON;12H;28/01/22;000000;1421.50;1494.00;1421.50;1473.00;465157
OZON;12H;28/01/22;120000;1472.00;1485.00;1362.00;1393.50;996839
OZON;12H;31/01/22;000000;1406.50;1494.50;1404.50;1471.50;391044
OZON;12H;31/01/22;120000;1471.50;1608.50;1413.00;1606.50;1337316
OZON;12H;01/02/22;000000;1613.00;1777.00;1608.50;1686.00;1496376
OZON;12H;01/02/22;120000;1685.00;1699.50;1602.00;1639.50;1616204
OZON;12H;02/02/22;000000;1642.50;1689.50;1642.50;1655.50;398475
OZON;12H;02/02/22;120000;1655.50;1788.00;1630.00;1660.50;2360016
OZON;12H;03/02/22;000000;1660.00;1667.50;1565.00;1630.50;612355
OZON;12H;03/02/22;120000;1632.00;1635.00;1507.00;1516.00;1334224
OZON;12H;04/02/22;000000;1560.00;1624.00;1536.00;1606.00;771875
OZON;12H;04/02/22;120000;1608.00;1611.00;1520.00;1538.00;1491442
OZON;12H;07/02/22;000000;1530.00;1562.00;1515.50;1524.50;280689
OZON;12H;07/02/22;120000;1525.00;1544.00;1482.50;1501.00;683226
OZON;12H;08/02/22;000000;1500.00;1549.00;1500.00;1539.50;286398
