<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
OZON;D;03/01/22;000000;2292.00;2323.00;2212.00;2238.50;560223
OZON;D;04/01/22;000000;2244.50;2287.00;2168.00;2209.00;521567
OZON;D;05/01/22;000000;2215.00;2229.50;2024.50;2029.50;718711
OZON;D;06/01/22;000000;2029.50;2106.00;1992.00;2061.00;606070
OZON;D;10/01/22;000000;2073.50;2107.00;1969.50;2008.50;508749
OZON;D;11/01/22;000000;2012.00;2099.50;1992.00;2054.00;447286
OZON;D;12/01/22;000000;2060.00;2103.50;2043.00;2073.50;392365
OZON;D;13/01/22;000000;2088.50;2088.50;1870.00;1877.00;900430
OZON;D;14/01/22;000000;1875.00;1908.00;1710.50;1757.50;1328229
OZON;D;17/01/22;000000;1761.00;1839.00;1732.00;1812.50;468467
OZON;D;18/01/22;000000;1822.50;1836.50;1625.00;1667.00;980188
OZON;D;19/01/22;000000;1669.00;1722.00;1557.00;1574.50;1492319
OZON;D;20/01/22;000000;1578.50;1637.00;1500.00;1500.00;1758893
OZON;D;21/01/22;000000;1490.00;1533.00;1392.50;1399.00;1249690
OZON;D;24/01/22;000000;1404.00;1423.00;1221.00;1335.00;1855223
OZON;D;25/01/22;000000;1325.00;1397.50;1265.00;1362.50;1558106
OZON;D;26/01/22;000000;1382.00;1468.00;1325.00;1340.00;1760601
OZON;D;27/01/22;000000;1337.00;1481.00;1308.00;1422.50;1525437
OZON;D;28/01/22;000000;1421.50;1494.00;1362.00;1393.50;1461996
OZON;D;31/01/22;000000;1406.50;1608.50;1404.50;1606.50;1728360
OZON;D;01/02/22;000000;1613.00;1777.00;1602.00;1639.50;3112580
OZON;D;02/02/22;000000;1642.50;1788.00;1630.00;1660.50;2758491
OZON;D;03/02/22;000000;1660.00;1667.50;1507.00;1516.00;1946579
OZON;D;04/02/22;000000;1560.00;1624.00;1520.00;1538.00;2263317
OZON;D;07/02/22;000000;1530.00;1562.00;1482.50;1501.00;963915
OZON;D;08/02/22;000000;1500.00;1617.00;1500.00;1598.00;1206295
OZON;D;09/02/22;000000;1601.50;1670.50;1601.00;1646.00;1166604
OZON;D;10/02/22;000000;1665.00;1674.50;1587.00;1631.00;1444856
OZON;D;11/02/22;000000;1630.00;1636.50;1478.00;1487.00;1703666
OZON;D;14/02/22;000000;1480.00;1545.00;1381.50;1475.50;1609761
OZON;D;15/02/22;000000;1484.00;1670.00;1484.00;1669.00;2068939
OZON;D;16/02/22;000000;1670.50;1765.00;1641.00;1715.00;2023040
OZON;D;17/02/22;000000;1713.00;1717.00;1568.00;1590.00;1390150
OZON;D;18/02/22;000000;1605.00;1636.00;1437.50;1478.00;1957505
OZON;D;21/02/22;000000;1470.00;1541.00;1100.00;1259.50;3566243
OZON;D;22/02/22;000000;1261.00;1485.00;1155.50;1394.50;3042247
OZON;D;24/02/22;000000;1259.00;1259.00;595.00;1000.00;2588342
OZON;D;25/02/22;000000;936.00;1201.00;936.00;1005.50;1366800
OZON;D;29/03/22;000000;950.00;1060.00;850.00;940.00;660871
OZON;D;30/03/22;000000;975.00;1085.00;960.00;1070.00;385166
OZON;D;31/03/22;000000;1100.00;1438.00;1090.00;1425.00;1251949
OZON;D;01/04/22;000000;1424.00;1547.00;1310.00;1418.00;1149980
OZON;D;04/04/22;000000;1480.00;1489.50;1328.00;1397.00;583451
OZON;D;05/04/22;000000;1401.00;1418.50;1210.00;1298.00;522911
OZON;D;06/04/22;000000;1298.00;1299.50;1212.50;1215.00;327920
OZON;D;07/04/22;000000;1237.50;1330.00;1215.00;1219.50;340204
OZON;D;08/04/22;000000;1221.00;1240.00;1122.50;1177.00;194894
OZON;D;11/04/22;000000;1177.00;1218.00;1120.00;1126.50;216898
OZON;D;12/04/22;000000;1135.50;1149.50;1080.00;1094.00;186895
OZON;D;13/04/22;000000;1100.00;1164.50;1100.00;1103.00;259982
OZON;D;14/04/22;000000;1120.00;1120.00;1041.00;1060.50;165275
OZON;D;15/04/22;000000;1075.00;1075.50;1008.00;1020.50;229764
OZON;D;18/04/22;000000;1020.50;1034.00;968.00;977.00;153942
OZON;D;19/04/22;000000;987.00;1096.00;871.50;1017.50;402450
OZON;D;20/04/22;000000;1030.00;1120.00;1001.00;1064.00;290578
OZON;D;21/04/22;000000;1086.00;1097.50;1035.00;1053.00;114534
OZON;D;22/04/22;000000;1053.00;1059.00;990.00;1000.00;127522
OZON;D;25/04/22;000000;994.50;997.50;914.00;937.00;241711
OZON;D;26/04/22;000000;931.00;980.00;905.00;937.50;256208
OZON;D;27/04/22;000000;937.50;1056.00;937.50;1036.50;263070
OZON;D;28/04/22;000000;1052.50;1148.50;1005.00;1015.00;364429
OZON;D;29/04/22;000000;1025.00;1054.50;1001.00;1022.00;117841
OZON;D;04/05/22;000000;1022.50;1045.00;984.00;984.00;108559
OZON;D;05/05/22;000000;986.50;1009.00;960.50;965.00;134377
OZON;D;06/05/22;000000;965.00;969.50;928.50;941.50;134914
OZON;D;11/05/22;000000;953.00;985.00;904.00;930.50;135654
OZON;D;12/05/22;000000;934.00;934.00;831.00;880.00;115558
OZON;D;13/05/22;000000;887.00;915.00;871.00;880.00;80115
OZON;D;16/05/22;000000;898.00;916.00;881.50;899.00;94296
OZON;D;17/05/22;000000;902.00;945.00;902.00;941.50;140819
OZON;D;18/05/22;000000;944.50;1028.00;932.00;968.00;279513
OZON;D;19/05/22;000000;974.50;974.50;921.50;937.00;106878
OZON;D;20/05/22;000000;943.00;950.00;905.00;940.00;114575
OZON;D;23/05/22;000000;944.50;993.00;908.00;938.00;135215
OZON;D;24/05/22;000000;938.00;966.00;909.00;931.00;125771
OZON;D;25/05/22;000000;938.00;955.00;931.50;938.00;78540
OZON;D;26/05/22;000000;944.00;990.00;940.00;959.00;198585
OZON;D;27/05/22;000000;954.50;954.50;910.00;929.00;183241
OZON;D;30/05/22;000000;933.00;939.00;880.00;895.00;195494
OZON;D;31/05/22;000000;895.00;945.00;860.00;908.00;320052
OZON;D;01/06/22;000000;892.00;929.00;892.00;904.00;93829
OZON;D;02/06/22;000000;915.00;915.00;886.00;894.00;78529
OZON;D;03/06/22;000000;894.00;908.50;833.50;838.00;169919
OZON;D;06/06/22;000000;840.00;850.00;763.50;777.00;268410
OZON;D;07/06/22;000000;779.00;788.00;728.00;776.50;307257
OZON;D;08/06/22;000000;798.50;833.00;781.00;831.50;189359
OZON;D;09/06/22;000000;832.00;846.00;791.00;795.00;145936
OZON;D;10/06/22;000000;795.00;821.00;771.00;771.00;102483
OZON;D;14/06/22;000000;794.00;794.00;750.00;776.50;106459
OZON;D;15/06/22;000000;780.00;837.00;766.50;825.00;170608
OZON;D;16/06/22;000000;830.50;880.00;830.50;880.00;179349
OZON;D;17/06/22;000000;884.00;884.50;830.00;852.00;142826
OZON;D;20/06/22;000000;858.00;884.00;852.00;874.00;134825
OZON;D;21/06/22;000000;870.00;900.00;861.50;868.00;128433
OZON;D;22/06/22;000000;865.00;865.00;830.00;842.00;100517
OZON;D;23/06/22;000000;849.00;877.00;833.00;870.00;105237
OZON;D;24/06/22;000000;877.00;885.00;855.50;859.00;88180
OZON;D;27/06/22;000000;879.00;925.50;860.50;913.00;202275
OZON;D;28/06/22;000000;918.50;939.00;890.00;903.50;172439
OZON;D;29/06/22;000000;905.00;915.00;863.50;887.50;120869
OZON;D;30/06/22;000000;898.50;905.00;805.00;844.50;180582
OZON;D;01/07/22;000000;837.50;863.50;814.00;855.00;97141
OZON;D;04/07/22;000000;856.00;889.00;850.00;859.00;87137
