<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
OZPH;12H;17/10/24;120000;34.98;35.07;32.85;33.00;29570510
OZPH;12H;18/10/24;000000;33.00;34.90;32.77;34.49;10037840
OZPH;12H;18/10/24;120000;34.49;34.60;33.50;33.60;5553570
OZPH;12H;21/10/24;000000;34.00;34.15;33.53;33.66;1006120
OZPH;12H;21/10/24;120000;33.69;34.00;33.10;33.99;3380240
OZPH;12H;22/10/24;000000;33.99;34.00;33.50;33.72;570220
OZPH;12H;22/10/24;120000;33.72;33.95;33.50;33.81;2049890
OZPH;12H;23/10/24;000000;33.81;34.18;33.11;33.29;1148670
OZPH;12H;23/10/24;120000;33.25;33.40;32.93;33.17;1814610
OZPH;12H;24/10/24;000000;33.17;33.30;32.95;33.04;462890
OZPH;12H;24/10/24;120000;33.03;33.35;32.95;33.07;1038130
OZPH;12H;25/10/24;000000;33.24;33.33;32.00;33.08;465910
OZPH;12H;25/10/24;120000;33.08;33.15;30.69;31.11;4552210
OZPH;12H;28/10/24;000000;30.80;31.00;30.11;30.81;720910
OZPH;12H;28/10/24;120000;30.83;30.83;29.50;29.63;1456580
OZPH;12H;29/10/24;000000;29.63;30.05;28.70;29.02;866920
OZPH;12H;29/10/24;120000;29.03;30.24;28.53;30.22;1042410
OZPH;12H;30/10/24;000000;30.40;31.00;30.07;30.63;270940
OZPH;12H;30/10/24;120000;30.63;30.63;29.64;30.25;502930
OZPH;12H;31/10/24;000000;30.20;30.24;29.41;30.10;507200
OZPH;12H;31/10/24;120000;30.06;30.06;29.50;29.70;1057680
OZPH;12H;01/11/24;000000;30.00;30.00;29.30;29.65;227930
OZPH;12H;01/11/24;120000;29.64;29.88;29.40;29.62;624610
OZPH;12H;02/11/24;000000;29.62;29.76;29.46;29.61;165020
OZPH;12H;02/11/24;120000;29.61;29.70;29.30;29.50;861010
OZPH;12H;05/11/24;000000;29.57;29.59;29.29;29.40;191370
OZPH;12H;05/11/24;120000;29.41;29.53;29.26;29.50;472250
OZPH;12H;06/11/24;000000;30.00;30.00;29.40;29.89;647500
OZPH;12H;06/11/24;120000;29.88;30.00;28.92;29.38;756330
OZPH;12H;07/11/24;120000;29.38;30.00;28.77;29.23;1357320
OZPH;12H;08/11/24;000000;29.60;29.89;28.52;29.40;524780
OZPH;12H;08/11/24;120000;29.44;30.36;29.39;30.33;695580
OZPH;12H;11/11/24;000000;30.96;31.50;30.51;31.48;534670
OZPH;12H;11/11/24;120000;31.42;31.48;30.50;31.08;1095390
OZPH;12H;12/11/24;000000;31.36;31.36;30.80;30.80;134940
OZPH;12H;12/11/24;120000;30.84;30.99;30.28;30.48;406530
OZPH;12H;13/11/24;000000;30.50;30.84;30.48;30.63;96720
OZPH;12H;13/11/24;120000;30.67;30.73;30.20;30.27;419070
OZPH;12H;14/11/24;000000;30.19;30.45;29.86;30.02;258580
OZPH;12H;14/11/24;120000;30.00;30.08;29.64;29.70;342250
OZPH;12H;15/11/24;000000;29.70;30.16;29.69;30.01;168860
OZPH;12H;15/11/24;120000;30.01;30.02;29.60;29.67;203110
OZPH;12H;18/11/24;000000;29.64;29.99;29.41;29.76;159860
OZPH;12H;18/11/24;120000;29.75;29.80;29.18;29.19;590650
OZPH;12H;19/11/24;000000;29.19;29.95;29.10;29.50;529660
OZPH;12H;19/11/24;120000;29.50;29.55;28.80;28.91;823670
OZPH;12H;20/11/24;000000;29.09;30.97;28.95;29.68;1566900
OZPH;12H;20/11/24;120000;29.74;29.95;28.32;28.40;1470030
OZPH;12H;21/11/24;000000;28.51;28.96;27.70;28.04;690620
OZPH;12H;21/11/24;120000;27.98;28.95;27.90;28.09;1098630
OZPH;12H;22/11/24;000000;28.14;28.80;28.14;28.61;258190
OZPH;12H;22/11/24;120000;28.59;28.63;28.00;28.28;576520
OZPH;12H;25/11/24;000000;28.32;28.59;27.30;27.45;740930
OZPH;12H;25/11/24;120000;27.45;27.86;27.38;27.64;869360
OZPH;12H;26/11/24;000000;27.07;27.49;26.31;27.02;1005350
OZPH;12H;26/11/24;120000;27.02;27.30;26.01;26.29;1270430
OZPH;12H;27/11/24;000000;26.35;27.30;25.55;26.66;520670
OZPH;12H;27/11/24;120000;26.66;27.30;25.86;26.21;1355490
OZPH;12H;28/11/24;000000;26.49;27.13;26.49;26.63;492400
OZPH;12H;28/11/24;120000;26.63;26.75;26.42;26.69;652590
OZPH;12H;29/11/24;000000;26.75;27.86;26.50;27.53;410340
OZPH;12H;29/11/24;120000;27.57;27.60;27.05;27.40;460880
OZPH;12H;02/12/24;000000;27.40;28.49;27.40;28.17;245700
OZPH;12H;02/12/24;120000;28.15;28.88;28.00;28.43;1035540
OZPH;12H;03/12/24;000000;28.43;28.75;27.84;28.66;558330
OZPH;12H;03/12/24;120000;28.70;28.73;27.68;28.23;781440
