<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
OZPH;D;17/10/24;000000;34.98;35.07;32.85;33.0;29570510
OZPH;D;18/10/24;000000;33.0;34.9;32.77;33.6;15591410
OZPH;D;21/10/24;000000;34.0;34.15;33.1;33.99;4386360
OZPH;D;22/10/24;000000;33.99;34.0;33.5;33.81;2620110
OZPH;D;23/10/24;000000;33.81;34.18;32.93;33.17;2963280
OZPH;D;24/10/24;000000;33.17;33.35;32.95;33.07;1501020
OZPH;D;25/10/24;000000;33.24;33.33;30.69;31.11;5018120
OZPH;D;28/10/24;000000;30.8;31.0;29.5;29.63;2177490
OZPH;D;29/10/24;000000;29.63;30.24;28.53;30.22;1909330
OZPH;D;30/10/24;000000;30.4;31.0;29.64;30.25;773870
OZPH;D;31/10/24;000000;30.2;30.24;29.41;29.7;1564880
OZPH;D;01/11/24;000000;30.0;30.0;29.3;29.62;852540
OZPH;D;02/11/24;000000;29.62;29.76;29.3;29.5;1026030
OZPH;D;05/11/24;000000;29.57;29.59;29.26;29.5;663620
OZPH;D;06/11/24;000000;30.0;30.0;28.92;29.38;1403830
OZPH;D;07/11/24;000000;29.38;30.0;28.77;29.23;1357320
OZPH;D;08/11/24;000000;29.6;30.36;28.52;30.33;1220360
OZPH;D;11/11/24;000000;30.96;31.5;30.5;31.08;1630060
OZPH;D;12/11/24;000000;31.36;31.36;30.28;30.48;541470
OZPH;D;13/11/24;000000;30.5;30.84;30.2;30.27;515790
OZPH;D;14/11/24;000000;30.19;30.45;29.64;29.7;600830
OZPH;D;15/11/24;000000;29.7;30.16;29.6;29.67;371970
OZPH;D;18/11/24;000000;29.64;29.99;29.18;29.19;750510
OZPH;D;19/11/24;000000;29.19;29.95;28.8;28.91;1353330
OZPH;D;20/11/24;000000;29.09;30.97;28.32;28.4;3036930
OZPH;D;21/11/24;000000;28.51;28.96;27.7;28.09;1789250
OZPH;D;22/11/24;000000;28.14;28.8;28.0;28.28;834710
OZPH;D;25/11/24;000000;28.32;28.59;27.3;27.64;1610290
OZPH;D;26/11/24;000000;27.07;27.49;26.01;26.29;2275780
OZPH;D;27/11/24;000000;26.35;27.3;25.55;26.21;1876160
OZPH;D;28/11/24;000000;26.49;27.13;26.42;26.69;1144990
OZPH;D;29/11/24;000000;26.75;27.86;26.5;27.4;871220
OZPH;D;02/12/24;000000;27.4;28.88;27.4;28.43;1281240
OZPH;D;03/12/24;000000;28.43;28.75;27.68;28.23;1339770
OZPH;D;04/12/24;000000;28.43;30.0;28.43;28.9;1530960
OZPH;D;05/12/24;000000;28.9;32.63;28.9;31.29;5525560
OZPH;D;06/12/24;000000;31.4;33.9;30.7;32.1;8658770
OZPH;D;09/12/24;000000;31.9;32.8;30.99;32.11;1855680
OZPH;D;10/12/24;000000;32.11;32.4;29.72;30.48;1937430
OZPH;D;11/12/24;000000;30.48;32.1;30.48;31.04;1456540
OZPH;D;12/12/24;000000;31.11;33.99;31.08;31.2;3432570
OZPH;D;13/12/24;000000;31.5;31.69;30.48;31.0;923880
OZPH;D;16/12/24;000000;31.2;32.96;29.89;29.99;2302880
OZPH;D;17/12/24;000000;29.85;31.09;29.63;30.0;1164200
OZPH;D;18/12/24;000000;30.3;31.39;29.76;30.35;1377990
OZPH;D;19/12/24;000000;30.73;31.69;30.14;31.2;1562800
OZPH;D;20/12/24;000000;31.2;33.1;31.17;32.9;2726850
OZPH;D;23/12/24;000000;33.61;33.97;31.85;33.12;2744980
OZPH;D;24/12/24;000000;33.58;33.71;32.98;33.18;1361040
OZPH;D;25/12/24;000000;33.18;33.4;33.0;33.24;1409270
OZPH;D;26/12/24;000000;33.25;34.95;33.2;34.81;4906980
OZPH;D;27/12/24;000000;34.85;35.0;34.34;34.51;1987950
OZPH;D;28/12/24;000000;34.5;34.9;33.89;34.9;1612040
OZPH;D;30/12/24;000000;35.1;46.68;34.91;41.47;20023140
OZPH;D;03/01/25;000000;41.7;56.52;41.57;48.0;40311850
OZPH;D;06/01/25;000000;49.0;54.56;48.1;52.29;29551340
OZPH;D;08/01/25;000000;53.7;55.68;48.28;50.25;21859310
OZPH;D;09/01/25;000000;50.35;50.5;42.0;42.0;19253940
OZPH;D;10/01/25;000000;42.36;47.07;42.36;43.12;18787640
OZPH;D;13/01/25;000000;44.48;44.6;40.4;42.26;9838320
OZPH;D;14/01/25;000000;42.02;43.9;41.34;42.57;7682710
OZPH;D;15/01/25;000000;42.6;43.18;41.6;42.03;4691690
OZPH;D;16/01/25;000000;42.15;43.0;41.55;42.02;5439490
OZPH;D;17/01/25;000000;42.02;42.34;40.65;40.78;7161010
OZPH;D;20/01/25;000000;41.6;41.6;39.21;39.63;8973310
OZPH;D;21/01/25;000000;39.63;40.29;39.22;39.9;2225460
OZPH;D;22/01/25;000000;40.28;42.95;40.25;42.81;16418670
OZPH;D;23/01/25;000000;42.95;44.76;42.13;43.01;8987630
OZPH;D;24/01/25;000000;43.06;43.35;42.34;42.54;3308470
OZPH;D;27/01/25;000000;42.85;43.15;41.2;42.19;2380610
OZPH;D;28/01/25;000000;42.19;42.56;40.28;41.98;2715000
OZPH;D;29/01/25;000000;42.05;42.92;41.54;41.91;2247350
OZPH;D;30/01/25;000000;41.7;42.68;41.2;42.5;1901810
OZPH;D;31/01/25;000000;42.58;42.88;42.3;42.57;3165250
OZPH;D;03/02/25;000000;42.57;44.6;42.57;43.43;6416640
OZPH;D;04/02/25;000000;43.52;44.2;42.61;43.0;3373500
OZPH;D;05/02/25;000000;42.78;44.0;42.5;43.5;2713400
OZPH;D;06/02/25;000000;43.7;47.78;43.49;46.98;21174120
OZPH;D;07/02/25;000000;47.52;49.85;45.5;48.21;17913210
OZPH;D;10/02/25;000000;48.71;49.8;46.28;47.55;8266620
OZPH;D;11/02/25;000000;47.55;48.4;46.3;47.88;4872560
OZPH;D;12/02/25;000000;48.0;48.96;47.17;47.49;4860090
OZPH;D;13/02/25;000000;50.0;50.28;47.9;48.15;5433750
OZPH;D;14/02/25;000000;49.15;51.89;48.26;50.96;18230240
OZPH;D;17/02/25;000000;51.2;55.7;51.05;54.5;12433220
OZPH;D;18/02/25;000000;54.5;57.4;52.59;53.19;14828980
OZPH;D;19/02/25;000000;53.25;55.9;53.25;55.28;5949960
