<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PHOR;12H;03/01/22;000000;5863.00;5939.00;5823.00;5895.00;24372
PHOR;12H;03/01/22;120000;5893.00;5945.00;5870.00;5936.00;35483
PHOR;12H;04/01/22;000000;5896.00;5950.00;5856.00;5907.00;24645
PHOR;12H;04/01/22;120000;5903.00;5943.00;5897.00;5910.00;35319
PHOR;12H;05/01/22;000000;5909.00;5932.00;5840.00;5881.00;19925
PHOR;12H;05/01/22;120000;5878.00;5885.00;5621.00;5697.00;88001
PHOR;12H;06/01/22;000000;5645.00;5864.00;5622.00;5735.00;55166
PHOR;12H;06/01/22;120000;5735.00;5797.00;5642.00;5735.00;67926
PHOR;12H;10/01/22;000000;5715.00;5807.00;5695.00;5760.00;31137
PHOR;12H;10/01/22;120000;5757.00;5791.00;5704.00;5761.00;50195
PHOR;12H;11/01/22;000000;5774.00;5809.00;5742.00;5807.00;13932
PHOR;12H;11/01/22;120000;5807.00;5873.00;5787.00;5811.00;58707
PHOR;12H;12/01/22;000000;5837.00;5866.00;5777.00;5839.00;17359
PHOR;12H;12/01/22;120000;5836.00;5897.00;5784.00;5824.00;75946
PHOR;12H;13/01/22;000000;5830.00;5853.00;5785.00;5791.00;19519
PHOR;12H;13/01/22;120000;5791.00;5826.00;5714.00;5797.00;101754
PHOR;12H;14/01/22;000000;5780.00;5846.00;5710.00;5731.00;37971
PHOR;12H;14/01/22;120000;5729.00;5839.00;5571.00;5771.00;215329
PHOR;12H;17/01/22;000000;5772.00;5844.00;5682.00;5827.00;61315
PHOR;12H;17/01/22;120000;5826.00;5884.00;5766.00;5825.00;154303
PHOR;12H;18/01/22;000000;5840.00;5857.00;5682.00;5772.00;63584
PHOR;12H;18/01/22;120000;5775.00;5784.00;5600.00;5679.00;223310
PHOR;12H;19/01/22;000000;5626.00;5820.00;5562.00;5691.00;148289
PHOR;12H;19/01/22;120000;5692.00;5766.00;5634.00;5725.00;129003
PHOR;12H;20/01/22;000000;5725.00;5780.00;5650.00;5652.00;64411
PHOR;12H;20/01/22;120000;5652.00;5736.00;5621.00;5652.00;101122
PHOR;12H;21/01/22;000000;5644.00;5674.00;5556.00;5616.00;51139
PHOR;12H;21/01/22;120000;5616.00;5618.00;5375.00;5399.00;247122
PHOR;12H;24/01/22;000000;5404.00;5439.00;5231.00;5335.00;105866
PHOR;12H;24/01/22;120000;5333.00;5361.00;5050.00;5330.00;302401
PHOR;12H;25/01/22;000000;5372.00;5415.00;5243.00;5346.00;81340
PHOR;12H;25/01/22;120000;5348.00;5430.00;5218.00;5415.00;96364
PHOR;12H;26/01/22;000000;5430.00;5433.00;5281.00;5429.00;30672
PHOR;12H;26/01/22;120000;5429.00;5624.00;5330.00;5357.00;172462
PHOR;12H;27/01/22;000000;5360.00;5505.00;5315.00;5430.00;44684
PHOR;12H;27/01/22;120000;5431.00;5566.00;5395.00;5445.00;144308
PHOR;12H;28/01/22;000000;5489.00;5591.00;5439.00;5508.00;51149
PHOR;12H;28/01/22;120000;5509.00;5542.00;5465.00;5480.00;72892
PHOR;12H;31/01/22;000000;5467.00;5605.00;5467.00;5547.00;35078
PHOR;12H;31/01/22;120000;5547.00;5580.00;5412.00;5481.00;126521
PHOR;12H;01/02/22;000000;5500.00;5530.00;5457.00;5498.00;23265
PHOR;12H;01/02/22;120000;5495.00;5545.00;5461.00;5512.00;51931
PHOR;12H;02/02/22;000000;5524.00;5552.00;5464.00;5466.00;23807
PHOR;12H;02/02/22;120000;5464.00;5473.00;5365.00;5417.00;110911
PHOR;12H;03/02/22;000000;5415.00;5422.00;5326.00;5400.00;31884
PHOR;12H;03/02/22;120000;5401.00;5407.00;5240.00;5331.00;100034
PHOR;12H;04/02/22;000000;5323.00;5402.00;5323.00;5381.00;14754
PHOR;12H;04/02/22;120000;5382.00;5390.00;5227.00;5268.00;90410
PHOR;12H;07/02/22;000000;5275.00;5360.00;5219.00;5333.00;42795
PHOR;12H;07/02/22;120000;5338.00;5464.00;5296.00;5445.00;69304
PHOR;12H;08/02/22;000000;5445.00;5610.00;5438.00;5559.00;79263
PHOR;12H;08/02/22;120000;5559.00;5648.00;5522.00;5567.00;118978
PHOR;12H;09/02/22;000000;5610.00;5679.00;5584.00;5648.00;40642
PHOR;12H;09/02/22;120000;5647.00;5885.00;5619.00;5836.00;203909
PHOR;12H;10/02/22;000000;5884.00;6014.00;5820.00;5838.00;132199
PHOR;12H;10/02/22;120000;5835.00;5974.00;5833.00;5859.00;165541
PHOR;12H;11/02/22;000000;5859.00;5928.00;5767.00;5802.00;55686
PHOR;12H;11/02/22;120000;5808.00;5968.00;5691.00;5747.00;197810
PHOR;12H;14/02/22;000000;5700.00;5879.00;5650.00;5842.00;82089
PHOR;12H;14/02/22;120000;5842.00;5980.00;5840.00;5950.00;177395
PHOR;12H;15/02/22;000000;5911.00;6046.00;5906.00;6045.00;70500
PHOR;12H;15/02/22;120000;6045.00;6120.00;5967.00;6114.00;119329
PHOR;12H;16/02/22;000000;6120.00;6249.00;6093.00;6209.00;95955
PHOR;12H;16/02/22;120000;6203.00;6213.00;6057.00;6170.00;130193
PHOR;12H;17/02/22;000000;6150.00;6210.00;5957.00;6079.00;75955
PHOR;12H;17/02/22;120000;6082.00;6089.00;5880.00;5953.00;135932
PHOR;12H;18/02/22;000000;6015.00;6068.00;5960.00;5973.00;38292
