<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PHOR;D;03/01/22;000000;5863.00;5945.00;5823.00;5936.00;59855
PHOR;D;04/01/22;000000;5896.00;5950.00;5856.00;5910.00;59964
PHOR;D;05/01/22;000000;5909.00;5932.00;5621.00;5697.00;107926
PHOR;D;06/01/22;000000;5645.00;5864.00;5622.00;5735.00;123092
PHOR;D;10/01/22;000000;5715.00;5807.00;5695.00;5761.00;81332
PHOR;D;11/01/22;000000;5774.00;5873.00;5742.00;5811.00;72639
PHOR;D;12/01/22;000000;5837.00;5897.00;5777.00;5824.00;93305
PHOR;D;13/01/22;000000;5830.00;5853.00;5714.00;5797.00;121273
PHOR;D;14/01/22;000000;5780.00;5846.00;5571.00;5771.00;253300
PHOR;D;17/01/22;000000;5772.00;5884.00;5682.00;5825.00;215618
PHOR;D;18/01/22;000000;5840.00;5857.00;5600.00;5679.00;286894
PHOR;D;19/01/22;000000;5626.00;5820.00;5562.00;5725.00;277292
PHOR;D;20/01/22;000000;5725.00;5780.00;5621.00;5652.00;165533
PHOR;D;21/01/22;000000;5644.00;5674.00;5375.00;5399.00;298261
PHOR;D;24/01/22;000000;5404.00;5439.00;5050.00;5330.00;408267
PHOR;D;25/01/22;000000;5372.00;5430.00;5218.00;5415.00;177704
PHOR;D;26/01/22;000000;5430.00;5624.00;5281.00;5357.00;203134
PHOR;D;27/01/22;000000;5360.00;5566.00;5315.00;5445.00;188992
PHOR;D;28/01/22;000000;5489.00;5591.00;5439.00;5480.00;124041
PHOR;D;31/01/22;000000;5467.00;5605.00;5412.00;5481.00;161599
PHOR;D;01/02/22;000000;5500.00;5545.00;5457.00;5512.00;75196
PHOR;D;02/02/22;000000;5524.00;5552.00;5365.00;5417.00;134718
PHOR;D;03/02/22;000000;5415.00;5422.00;5240.00;5331.00;131918
PHOR;D;04/02/22;000000;5323.00;5402.00;5227.00;5268.00;105164
PHOR;D;07/02/22;000000;5275.00;5464.00;5219.00;5445.00;112099
PHOR;D;08/02/22;000000;5445.00;5648.00;5438.00;5567.00;198241
PHOR;D;09/02/22;000000;5610.00;5885.00;5584.00;5836.00;244551
PHOR;D;10/02/22;000000;5884.00;6014.00;5820.00;5859.00;297740
PHOR;D;11/02/22;000000;5859.00;5968.00;5691.00;5747.00;253496
PHOR;D;14/02/22;000000;5700.00;5980.00;5650.00;5950.00;259484
PHOR;D;15/02/22;000000;5911.00;6120.00;5906.00;6114.00;189829
PHOR;D;16/02/22;000000;6120.00;6249.00;6057.00;6170.00;226148
PHOR;D;17/02/22;000000;6150.00;6210.00;5880.00;5953.00;211887
PHOR;D;18/02/22;000000;6015.00;6068.00;5782.00;5850.00;265418
PHOR;D;21/02/22;000000;5759.00;5988.00;5309.00;5536.00;548098
PHOR;D;22/02/22;000000;5512.00;5770.00;5052.00;5680.00;556635
PHOR;D;24/02/22;000000;5288.00;5375.00;3700.00;5175.00;456905
PHOR;D;25/02/22;000000;4815.00;5707.00;4815.00;5015.00;252195
PHOR;D;24/03/22;000000;5483.00;6733.00;5300.00;6350.00;195978
PHOR;D;25/03/22;000000;6450.00;7724.00;6415.00;6951.00;202361
PHOR;D;28/03/22;000000;7000.00;8449.00;6850.00;8345.00;459995
PHOR;D;29/03/22;000000;8840.00;10097.00;8500.00;8908.00;445150
PHOR;D;30/03/22;000000;9000.00;9450.00;7370.00;7950.00;266841
