<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;1H;03/01/22;070000;1312.00;1318.85;1310.00;1316.10;3031
PLZL;1H;03/01/22;080000;1315.55;1318.00;1314.55;1317.00;1173
PLZL;1H;03/01/22;090000;1317.00;1323.80;1316.30;1319.20;2746
PLZL;1H;03/01/22;100000;1319.05;1324.70;1313.50;1324.70;6974
PLZL;1H;03/01/22;110000;1324.80;1325.90;1320.95;1323.00;9220
PLZL;1H;03/01/22;120000;1323.50;1323.50;1316.60;1320.05;6221
PLZL;1H;03/01/22;130000;1320.00;1321.50;1316.20;1317.90;4632
PLZL;1H;03/01/22;140000;1318.60;1319.80;1311.60;1312.60;3179
PLZL;1H;03/01/22;150000;1313.15;1313.90;1309.35;1310.10;3851
PLZL;1H;03/01/22;160000;1310.05;1310.35;1296.15;1297.20;9627
PLZL;1H;03/01/22;170000;1296.70;1305.00;1292.40;1294.85;8655
PLZL;1H;03/01/22;180000;1294.60;1295.40;1286.60;1288.65;25569
PLZL;1H;03/01/22;190000;1291.40;1295.60;1288.30;1295.15;2313
PLZL;1H;03/01/22;200000;1294.50;1296.20;1292.80;1294.75;1755
PLZL;1H;03/01/22;210000;1293.60;1295.00;1293.00;1294.50;543
PLZL;1H;03/01/22;220000;1294.50;1296.65;1294.00;1294.50;1034
PLZL;1H;03/01/22;230000;1295.05;1297.00;1293.55;1296.45;1821
PLZL;1H;04/01/22;060000;1304.65;1304.65;1304.65;1304.65;6
PLZL;1H;04/01/22;070000;1301.45;1307.25;1293.00;1295.40;2956
PLZL;1H;04/01/22;080000;1296.35;1299.00;1293.25;1297.60;1081
PLZL;1H;04/01/22;090000;1297.60;1298.35;1294.10;1296.00;1114
PLZL;1H;04/01/22;100000;1296.75;1301.50;1291.20;1297.50;7389
PLZL;1H;04/01/22;110000;1298.75;1300.15;1284.00;1284.95;16958
PLZL;1H;04/01/22;120000;1285.60;1287.55;1279.40;1286.00;11760
PLZL;1H;04/01/22;130000;1286.00;1297.00;1285.25;1295.40;9757
PLZL;1H;04/01/22;140000;1295.40;1296.50;1291.75;1296.05;4455
PLZL;1H;04/01/22;150000;1295.60;1295.90;1287.20;1289.70;5436
PLZL;1H;04/01/22;160000;1290.65;1297.20;1290.15;1296.60;3848
PLZL;1H;04/01/22;170000;1296.60;1303.90;1290.25;1292.00;16324
PLZL;1H;04/01/22;180000;1292.30;1303.90;1292.00;1302.45;13617
PLZL;1H;04/01/22;190000;1302.70;1303.30;1295.00;1298.20;2069
PLZL;1H;04/01/22;200000;1298.90;1301.00;1298.25;1300.20;709
PLZL;1H;04/01/22;210000;1300.15;1300.70;1294.00;1296.65;2286
PLZL;1H;04/01/22;220000;1297.15;1299.15;1296.50;1298.80;829
PLZL;1H;04/01/22;230000;1298.80;1300.10;1298.50;1299.60;860
PLZL;1H;05/01/22;070000;1300.55;1301.50;1291.65;1297.00;2531
PLZL;1H;05/01/22;080000;1297.00;1298.50;1296.30;1297.85;474
PLZL;1H;05/01/22;090000;1297.80;1300.20;1297.35;1297.35;556
PLZL;1H;05/01/22;100000;1297.40;1298.50;1287.55;1290.00;9186
PLZL;1H;05/01/22;110000;1290.45;1297.75;1280.00;1282.25;27479
PLZL;1H;05/01/22;120000;1282.25;1284.75;1280.10;1284.00;9419
PLZL;1H;05/01/22;130000;1284.00;1286.75;1280.50;1280.55;9080
PLZL;1H;05/01/22;140000;1281.00;1282.80;1271.50;1280.40;25394
PLZL;1H;05/01/22;150000;1281.15;1288.50;1280.55;1281.40;14932
PLZL;1H;05/01/22;160000;1281.10;1284.90;1278.50;1283.50;13569
PLZL;1H;05/01/22;170000;1283.50;1284.55;1280.00;1281.85;14223
PLZL;1H;05/01/22;180000;1281.85;1285.00;1270.40;1274.05;17721
PLZL;1H;05/01/22;190000;1275.50;1278.95;1270.50;1276.20;7259
PLZL;1H;05/01/22;200000;1276.35;1276.85;1271.00;1274.30;1664
PLZL;1H;05/01/22;210000;1274.55;1276.00;1271.50;1274.20;1913
PLZL;1H;05/01/22;220000;1274.20;1274.20;1256.25;1264.25;11015
PLZL;1H;05/01/22;230000;1264.25;1266.10;1251.00;1255.15;8487
PLZL;1H;06/01/22;060000;1255.00;1255.00;1255.00;1255.00;56
PLZL;1H;06/01/22;070000;1253.45;1254.95;1240.40;1254.05;5683
PLZL;1H;06/01/22;080000;1254.30;1265.10;1254.30;1258.85;4936
PLZL;1H;06/01/22;090000;1258.75;1266.10;1252.50;1266.00;3112
PLZL;1H;06/01/22;100000;1265.25;1282.45;1259.50;1264.40;16748
PLZL;1H;06/01/22;110000;1264.90;1265.55;1239.05;1244.90;23685
PLZL;1H;06/01/22;120000;1243.45;1247.80;1236.00;1236.75;13383
PLZL;1H;06/01/22;130000;1236.75;1252.75;1236.00;1243.70;17260
PLZL;1H;06/01/22;140000;1243.70;1244.25;1235.10;1235.55;11561
PLZL;1H;06/01/22;150000;1236.10;1240.90;1230.75;1232.90;8681
PLZL;1H;06/01/22;160000;1232.90;1235.25;1230.00;1232.00;14007
