<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;03/01/22;000000;1312.00;1325.90;1286.60;1296.45;92344
PLZL;D;04/01/22;000000;1304.65;1307.25;1279.40;1299.60;101454
PLZL;D;05/01/22;000000;1300.55;1301.50;1251.00;1255.15;174902
PLZL;D;06/01/22;000000;1255.00;1282.45;1218.05;1231.50;180954
PLZL;D;10/01/22;000000;1232.00;1251.35;1210.00;1225.15;168316
PLZL;D;11/01/22;000000;1229.90;1243.45;1217.50;1238.10;122127
PLZL;D;12/01/22;000000;1238.00;1241.30;1211.00;1238.60;217747
PLZL;D;13/01/22;000000;1235.00;1241.45;1212.80;1223.30;171373
PLZL;D;14/01/22;000000;1223.00;1236.65;1185.15;1192.90;236457
PLZL;D;17/01/22;000000;1204.30;1204.60;1138.45;1160.70;221266
PLZL;D;18/01/22;000000;1164.00;1164.70;1103.20;1143.90;262724
PLZL;D;19/01/22;000000;1143.90;1205.00;1110.30;1194.95;514063
PLZL;D;20/01/22;000000;1190.20;1236.90;1164.05;1193.00;394329
PLZL;D;21/01/22;000000;1193.00;1246.30;1173.55;1231.00;344306
PLZL;D;24/01/22;000000;1233.80;1266.20;1162.00;1227.40;414549
PLZL;D;25/01/22;000000;1221.20;1248.65;1169.00;1210.90;243974
PLZL;D;26/01/22;000000;1207.00;1242.00;1183.00;1190.00;202933
PLZL;D;27/01/22;000000;1185.05;1207.90;1168.25;1179.75;276166
PLZL;D;28/01/22;000000;1195.00;1195.00;1155.45;1180.95;156014
PLZL;D;31/01/22;000000;1178.00;1234.80;1177.10;1223.00;183055
PLZL;D;01/02/22;000000;1224.00;1249.50;1211.20;1221.15;192635
PLZL;D;02/02/22;000000;1221.15;1237.95;1206.00;1232.00;107635
PLZL;D;03/02/22;000000;1220.75;1228.90;1185.40;1221.00;146272
PLZL;D;04/02/22;000000;1221.15;1227.50;1183.40;1211.85;162393
PLZL;D;07/02/22;000000;1215.00;1218.85;1191.60;1207.60;90810
PLZL;D;08/02/22;000000;1207.60;1214.95;1181.20;1205.00;130963
PLZL;D;09/02/22;000000;1208.00;1224.85;1195.45;1221.65;183199
PLZL;D;10/02/22;000000;1223.00;1261.00;1217.45;1230.20;200519
PLZL;D;11/02/22;000000;1231.20;1239.40;1193.40;1228.45;173050
PLZL;D;14/02/22;000000;1232.00;1286.50;1213.75;1279.90;298170
PLZL;D;15/02/22;000000;1283.20;1302.55;1240.00;1259.05;257947
PLZL;D;16/02/22;000000;1265.00;1291.30;1247.10;1291.05;181565
PLZL;D;17/02/22;000000;1295.00;1336.95;1268.00;1334.05;344387
PLZL;D;18/02/22;000000;1333.00;1338.80;1289.40;1289.40;288478
PLZL;D;21/02/22;000000;1284.60;1331.65;1170.00;1232.00;450150
PLZL;D;22/02/22;000000;1232.00;1315.00;1133.90;1301.40;505154
PLZL;D;24/02/22;000000;1271.15;1275.40;860.00;981.00;495258
PLZL;D;25/02/22;000000;979.00;1143.90;971.95;1063.30;282390
PLZL;D;24/03/22;000000;1168.10;1300.45;1111.05;1230.00;107835
PLZL;D;25/03/22;000000;1210.00;1246.60;1180.00;1220.00;38684
PLZL;D;28/03/22;000000;1220.00;1228.00;1187.00;1198.50;29277
PLZL;D;29/03/22;000000;1198.50;1214.90;1074.05;1098.25;68794
PLZL;D;30/03/22;000000;1120.00;1218.25;1108.45;1207.40;35224
PLZL;D;31/03/22;000000;1204.50;1289.00;1160.00;1272.70;86096
