<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;8H;10/01/22;000000;604.00;607.70;602.40;606.00;83599
ROSN;8H;10/01/22;080000;606.00;609.55;599.10;601.30;2617520
ROSN;8H;10/01/22;160000;601.10;604.85;595.10;602.00;2345618
ROSN;8H;11/01/22;000000;602.05;606.00;601.80;603.05;90672
ROSN;8H;11/01/22;080000;603.35;613.40;597.20;609.95;2685816
ROSN;8H;11/01/22;160000;610.00;615.90;608.65;613.60;2638527
ROSN;8H;12/01/22;000000;615.00;616.20;612.00;612.60;78384
ROSN;8H;12/01/22;080000;612.80;630.60;609.25;627.40;4605454
ROSN;8H;12/01/22;160000;627.40;629.65;622.85;627.70;2489986
ROSN;8H;13/01/22;000000;625.65;627.30;624.00;625.00;125248
ROSN;8H;13/01/22;080000;625.20;626.45;603.65;609.35;4754290
ROSN;8H;13/01/22;160000;609.65;616.80;596.20;603.30;5331183
ROSN;8H;14/01/22;000000;602.35;609.35;601.40;608.45;216460
ROSN;8H;14/01/22;080000;608.50;611.00;586.05;601.75;4843564
ROSN;8H;14/01/22;160000;601.75;606.00;580.50;605.50;6007549
ROSN;8H;17/01/22;000000;605.00;608.05;599.05;603.30;248218
ROSN;8H;17/01/22;080000;603.45;614.00;582.00;588.70;6836007
ROSN;8H;17/01/22;160000;588.70;595.80;578.05;592.55;3395793
ROSN;8H;18/01/22;000000;592.65;598.70;591.80;593.70;246438
ROSN;8H;18/01/22;080000;593.85;594.65;567.65;571.15;7090760
ROSN;8H;18/01/22;160000;571.30;591.20;525.10;544.80;20725313
ROSN;8H;19/01/22;000000;537.00;547.00;523.10;530.30;1225824
ROSN;8H;19/01/22;080000;530.50;575.40;523.15;567.60;12891945
ROSN;8H;19/01/22;160000;567.60;574.60;551.00;566.90;4929730
ROSN;8H;20/01/22;000000;569.05;575.00;562.15;571.05;503159
ROSN;8H;20/01/22;080000;570.85;581.00;552.30;561.50;5915493
ROSN;8H;20/01/22;160000;561.50;579.50;557.25;561.70;3780052
ROSN;8H;21/01/22;000000;556.50;559.50;553.00;558.00;459890
ROSN;8H;21/01/22;080000;558.45;578.85;554.40;573.05;7364136
ROSN;8H;21/01/22;160000;573.40;579.20;563.00;564.80;4254339
ROSN;8H;24/01/22;000000;564.45;566.80;562.35;563.35;497189
ROSN;8H;24/01/22;080000;563.35;566.50;523.95;536.85;10120844
ROSN;8H;24/01/22;160000;537.00;549.45;528.00;546.90;5771975
ROSN;8H;25/01/22;000000;545.00;556.00;540.25;542.05;514739
ROSN;8H;25/01/22;080000;542.50;553.25;529.45;531.55;7863517
ROSN;8H;25/01/22;160000;531.60;552.00;522.70;548.40;6790377
ROSN;8H;26/01/22;000000;548.00;548.40;540.55;542.15;246666
ROSN;8H;26/01/22;080000;542.40;546.70;525.55;543.75;10702009
ROSN;8H;26/01/22;160000;543.75;550.50;531.00;532.75;7131480
ROSN;8H;27/01/22;000000;530.00;531.30;526.10;530.95;454188
ROSN;8H;27/01/22;080000;530.70;574.80;528.00;571.50;9343710
ROSN;8H;27/01/22;160000;571.05;578.00;556.05;563.20;7104600
ROSN;8H;28/01/22;000000;568.80;569.45;563.25;564.55;271464
ROSN;8H;28/01/22;080000;564.50;574.85;556.10;563.05;6991078
ROSN;8H;28/01/22;160000;563.10;571.75;563.00;566.50;4242943
ROSN;8H;31/01/22;000000;568.00;574.20;566.25;571.55;359941
ROSN;8H;31/01/22;080000;571.40;579.90;570.80;575.60;4150638
ROSN;8H;31/01/22;160000;575.60;579.50;572.65;576.95;2508969
ROSN;8H;01/02/22;000000;576.95;579.45;576.00;576.70;146548
ROSN;8H;01/02/22;080000;576.70;580.40;570.05;575.90;2897098
ROSN;8H;01/02/22;160000;575.80;583.90;572.00;574.15;4260147
ROSN;8H;02/02/22;000000;576.00;578.00;574.15;574.40;110696
ROSN;8H;02/02/22;080000;574.60;578.30;568.90;577.90;2913976
ROSN;8H;02/02/22;160000;577.90;580.25;571.80;575.70;1782666
ROSN;8H;03/02/22;000000;575.00;575.25;572.65;572.85;148477
ROSN;8H;03/02/22;080000;572.85;575.25;562.70;568.40;2836016
ROSN;8H;03/02/22;160000;568.40;570.40;564.05;569.00;1498669
ROSN;8H;04/02/22;000000;570.35;574.40;570.20;572.05;184972
ROSN;8H;04/02/22;080000;572.35;606.75;571.20;582.40;11658615
ROSN;8H;04/02/22;160000;582.40;583.50;561.20;572.00;11342836
ROSN;8H;07/02/22;000000;570.00;574.95;569.75;573.85;304390
ROSN;8H;07/02/22;080000;573.85;577.70;562.75;570.05;4385988
ROSN;8H;07/02/22;160000;570.10;571.70;566.15;569.80;1294479
ROSN;8H;08/02/22;000000;569.85;570.65;567.55;569.80;74515
ROSN;8H;08/02/22;080000;569.65;574.95;567.80;572.40;3906039
ROSN;8H;08/02/22;160000;572.35;572.85;563.55;570.05;3794143
ROSN;8H;09/02/22;000000;571.00;574.20;570.65;573.70;300743
ROSN;8H;09/02/22;080000;573.70;577.00;569.05;571.00;5563388
ROSN;8H;09/02/22;160000;570.95;582.50;570.00;579.00;4816222
ROSN;8H;10/02/22;000000;579.00;580.25;574.10;576.55;112674
ROSN;8H;10/02/22;080000;576.90;578.60;569.00;570.75;3437383
ROSN;8H;10/02/22;160000;570.80;575.90;569.20;569.40;2704490
ROSN;8H;11/02/22;000000;569.40;572.65;566.00;566.40;420583
ROSN;8H;11/02/22;080000;566.40;570.65;543.95;556.60;7883320
ROSN;8H;11/02/22;160000;556.75;564.30;540.00;547.40;4928933
ROSN;8H;14/02/22;000000;547.25;548.00;532.65;541.05;1037843
ROSN;8H;14/02/22;080000;541.05;562.25;539.60;556.50;6989420
ROSN;8H;14/02/22;160000;556.20;562.45;547.00;556.00;3806342
ROSN;8H;15/02/22;000000;557.75;562.35;557.00;559.25;301110
ROSN;8H;15/02/22;080000;559.35;574.45;555.55;563.45;6330864
ROSN;8H;15/02/22;160000;563.45;567.75;560.80;565.95;2787041
ROSN;8H;16/02/22;000000;566.80;571.00;566.55;569.65;300925
ROSN;8H;16/02/22;080000;569.75;575.80;563.85;571.35;4546093
ROSN;8H;16/02/22;160000;571.40;574.80;568.40;571.55;2874708
ROSN;8H;17/02/22;000000;570.00;571.80;566.10;566.95;336141
ROSN;8H;17/02/22;080000;566.80;568.70;554.85;555.00;6854531
ROSN;8H;17/02/22;160000;554.95;557.50;541.05;549.50;6627422
ROSN;8H;18/02/22;000000;550.05;556.10;550.05;552.80;373914
ROSN;8H;18/02/22;080000;552.60;554.50;538.60;540.70;5834988
ROSN;8H;18/02/22;160000;540.65;541.25;513.15;519.50;11150467
ROSN;8H;21/02/22;000000;518.00;531.65;516.15;527.30;702599
ROSN;8H;21/02/22;080000;527.30;533.75;454.00;460.25;19641282
ROSN;8H;21/02/22;160000;460.20;463.60;387.65;438.70;39296418
ROSN;8H;22/02/22;000000;438.65;457.00;426.00;444.70;1409240
ROSN;8H;22/02/22;080000;444.70;451.35;395.80;415.35;43023415
ROSN;8H;22/02/22;160000;415.30;438.45;400.75;431.30;35119983
ROSN;8H;24/02/22;000000;388.35;388.35;375.05;375.05;576583
ROSN;8H;24/02/22;080000;375.05;375.05;175.50;254.40;21997159
ROSN;8H;24/02/22;160000;254.25;324.85;190.30;274.70;48397281
ROSN;8H;25/02/22;080000;283.00;318.55;280.25;288.00;20822244
ROSN;8H;25/02/22;160000;287.70;311.95;287.70;307.95;13426611
ROSN;8H;24/03/22;080000;312.00;375.00;308.00;360.20;18407648
ROSN;8H;25/03/22;080000;370.00;384.20;346.50;365.10;9973005
ROSN;8H;28/03/22;080000;355.00;369.00;341.20;357.95;2650920
ROSN;8H;29/03/22;080000;363.90;417.95;348.20;370.00;6441125
ROSN;8H;30/03/22;080000;390.00;392.00;375.00;387.00;2292961
ROSN;8H;31/03/22;080000;393.00;425.00;387.15;422.80;5708031
ROSN;8H;31/03/22;160000;422.75;440.00;422.00;437.50;1903186
ROSN;8H;01/04/22;080000;441.00;484.00;430.35;440.00;4739948
ROSN;8H;01/04/22;160000;440.35;460.25;439.20;450.00;1506366
ROSN;8H;04/04/22;080000;450.25;478.00;432.00;451.90;4438682
ROSN;8H;04/04/22;160000;451.90;451.90;443.15;443.90;784027
ROSN;8H;05/04/22;080000;445.50;451.15;391.45;426.85;5056905
ROSN;8H;05/04/22;160000;425.95;426.05;419.00;419.00;720288
ROSN;8H;06/04/22;080000;416.10;429.40;402.00;425.00;2451219
ROSN;8H;06/04/22;160000;425.00;425.50;403.30;405.00;1386884
ROSN;8H;07/04/22;080000;406.95;414.00;402.00;406.00;2798213
ROSN;8H;07/04/22;160000;406.00;414.00;404.00;408.50;855166
ROSN;8H;08/04/22;080000;409.50;416.00;395.35;401.10;1882429
ROSN;8H;08/04/22;160000;401.10;404.00;398.65;403.05;415907
ROSN;8H;11/04/22;080000;403.30;427.95;399.05;414.95;3862437
ROSN;8H;11/04/22;160000;414.95;420.85;409.00;414.00;1612846
ROSN;8H;12/04/22;080000;416.90;424.00;392.00;403.90;2462329
ROSN;8H;12/04/22;160000;403.90;415.00;403.80;412.10;646563
ROSN;8H;13/04/22;080000;413.20;417.50;401.55;405.70;1688907
ROSN;8H;13/04/22;160000;405.70;406.70;405.00;406.05;207697
ROSN;8H;14/04/22;080000;406.05;407.50;394.50;397.75;1131474
ROSN;8H;14/04/22;160000;397.70;397.80;390.75;391.00;727441
ROSN;8H;15/04/22;080000;392.45;395.95;380.00;390.20;1283776
ROSN;8H;15/04/22;160000;390.35;392.50;385.50;390.50;502953
ROSN;8H;18/04/22;080000;393.00;395.00;381.55;382.50;997426
ROSN;8H;18/04/22;160000;382.55;388.20;382.45;384.85;666093
ROSN;8H;19/04/22;080000;384.85;384.85;358.50;375.50;2518365
ROSN;8H;19/04/22;160000;375.45;385.25;370.50;385.00;848156
ROSN;8H;20/04/22;080000;388.00;399.30;375.00;393.70;2136218
ROSN;8H;20/04/22;160000;393.60;394.50;385.00;391.00;788908
ROSN;8H;21/04/22;080000;393.30;398.70;385.05;394.75;1169837
ROSN;8H;21/04/22;160000;394.50;395.00;386.80;388.00;680679
ROSN;8H;22/04/22;080000;388.00;407.30;385.70;395.00;2064769
ROSN;8H;22/04/22;160000;395.00;398.00;393.50;397.35;491003
ROSN;8H;25/04/22;080000;395.00;397.00;387.75;394.50;1180494
ROSN;8H;25/04/22;160000;394.85;395.00;388.50;388.50;253177
ROSN;8H;26/04/22;080000;389.90;400.95;389.90;396.95;1368729
ROSN;8H;26/04/22;160000;396.95;398.75;389.55;391.00;1695950
ROSN;8H;27/04/22;080000;394.25;409.90;390.70;398.10;2675081
ROSN;8H;27/04/22;160000;398.10;401.20;396.60;397.95;751841
ROSN;8H;28/04/22;080000;399.00;404.80;392.15;398.60;2103685
ROSN;8H;28/04/22;160000;398.60;401.00;396.60;400.00;560776
ROSN;8H;29/04/22;080000;397.15;405.20;397.05;404.15;1546354
ROSN;8H;29/04/22;160000;404.00;409.90;402.35;409.00;1367680
ROSN;8H;04/05/22;080000;410.00;414.85;398.00;403.05;1228841
ROSN;8H;04/05/22;160000;403.00;403.15;394.60;396.20;517304
ROSN;8H;05/05/22;080000;397.20;403.05;396.80;397.40;673936
ROSN;8H;05/05/22;160000;397.40;398.80;396.80;397.00;196317
ROSN;8H;06/05/22;080000;395.05;398.40;391.00;395.25;630560
ROSN;8H;06/05/22;160000;395.25;395.50;391.60;392.30;202134
ROSN;8H;11/05/22;080000;393.85;396.35;390.10;390.20;727763
ROSN;8H;11/05/22;160000;390.65;393.95;388.60;391.55;262190
ROSN;8H;12/05/22;080000;391.55;393.25;374.40;375.45;1504757
ROSN;8H;12/05/22;160000;375.45;377.75;370.50;375.00;655930
ROSN;8H;13/05/22;080000;379.00;379.00;367.50;373.25;745489
ROSN;8H;13/05/22;160000;373.20;376.60;372.25;374.95;209483
ROSN;8H;16/05/22;080000;375.00;383.00;374.00;380.80;1038900
ROSN;8H;16/05/22;160000;380.80;381.05;377.20;378.80;355327
ROSN;8H;17/05/22;080000;382.90;394.00;381.10;390.35;1620413
ROSN;8H;17/05/22;160000;390.35;395.40;389.60;394.70;519867
ROSN;8H;18/05/22;080000;397.35;406.00;395.70;404.20;2009061
ROSN;8H;18/05/22;160000;404.00;405.00;402.20;404.00;414406
ROSN;8H;19/05/22;080000;403.00;405.95;395.15;399.15;743186
ROSN;8H;19/05/22;160000;399.45;400.85;398.10;399.60;168100
ROSN;8H;20/05/22;080000;400.35;402.70;383.30;384.70;1411887
ROSN;8H;20/05/22;160000;384.60;384.75;380.30;384.25;625975
ROSN;8H;23/05/22;080000;384.25;389.00;367.10;367.80;1812689
ROSN;8H;23/05/22;160000;367.80;367.80;365.00;367.05;770569
ROSN;8H;24/05/22;080000;366.85;367.00;350.00;358.45;2602179
ROSN;8H;24/05/22;160000;358.40;362.90;354.50;359.20;990327
ROSN;8H;25/05/22;080000;362.00;366.85;356.50;364.85;1767439
ROSN;8H;25/05/22;160000;364.90;382.00;364.80;378.00;1938438
ROSN;8H;26/05/22;080000;383.50;387.60;378.00;383.00;3018146
ROSN;8H;26/05/22;160000;383.10;392.55;375.70;391.70;1911384
ROSN;8H;27/05/22;080000;393.90;405.00;385.15;399.50;4132757
ROSN;8H;27/05/22;160000;399.55;408.30;398.60;401.50;1985090
ROSN;8H;30/05/22;080000;407.80;414.50;388.65;389.25;5210169
ROSN;8H;30/05/22;160000;389.00;389.20;381.75;385.10;1770426
ROSN;8H;31/05/22;080000;385.10;386.70;375.15;378.35;2190825
ROSN;8H;31/05/22;160000;378.35;379.35;377.00;377.00;474158
ROSN;8H;01/06/22;080000;374.40;380.35;371.00;378.35;1495120
ROSN;8H;01/06/22;160000;378.60;378.85;375.15;375.95;494208
ROSN;8H;02/06/22;080000;375.25;378.70;368.00;369.65;1724027
ROSN;8H;02/06/22;160000;369.65;370.55;368.50;368.75;498906
ROSN;8H;03/06/22;080000;369.95;371.45;360.00;363.75;1742954
ROSN;8H;03/06/22;160000;363.70;365.80;362.00;365.45;460704
ROSN;8H;06/06/22;080000;368.70;373.90;364.10;371.45;1811997
ROSN;8H;06/06/22;160000;371.45;373.35;368.50;368.80;1041040
ROSN;8H;07/06/22;080000;368.80;369.00;362.05;365.50;1562681
ROSN;8H;07/06/22;160000;365.50;368.35;365.40;366.55;590870
ROSN;8H;08/06/22;080000;367.15;375.00;367.00;371.10;1711103
ROSN;8H;08/06/22;160000;371.10;372.95;370.10;372.85;526402
ROSN;8H;09/06/22;080000;377.50;378.30;367.25;372.50;1568327
ROSN;8H;09/06/22;160000;372.80;373.45;371.00;373.25;256759
ROSN;8H;10/06/22;080000;372.00;374.60;369.15;369.35;1099951
ROSN;8H;10/06/22;160000;369.30;370.55;368.10;369.50;394525
ROSN;8H;14/06/22;080000;369.60;373.60;366.00;370.90;1248952
ROSN;8H;14/06/22;160000;370.90;372.00;370.35;371.60;270528
ROSN;8H;15/06/22;080000;373.00;374.10;370.40;373.75;1518483
ROSN;8H;15/06/22;160000;373.75;376.05;373.30;375.65;858729
ROSN;8H;16/06/22;080000;376.80;389.80;375.35;389.45;4174761
ROSN;8H;16/06/22;160000;389.45;389.80;378.50;383.00;1809950
