<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;10/01/22;000000;604.0;609.55;595.1;602.0;5046737
ROSN;D;11/01/22;000000;602.05;615.9;597.2;613.6;5415015
ROSN;D;12/01/22;000000;615.0;630.6;609.25;627.7;7173824
ROSN;D;13/01/22;000000;625.65;627.3;596.2;603.3;10210721
ROSN;D;14/01/22;000000;602.35;611.0;580.5;605.5;11067573
ROSN;D;17/01/22;000000;605.0;614.0;578.05;592.55;10480018
ROSN;D;18/01/22;000000;592.65;598.7;525.1;544.8;28062511
ROSN;D;19/01/22;000000;537.0;575.4;523.1;566.9;19047499
ROSN;D;20/01/22;000000;569.05;581.0;552.3;561.7;10198704
ROSN;D;21/01/22;000000;556.5;579.2;553.0;564.8;12078365
ROSN;D;24/01/22;000000;564.45;566.8;523.95;546.9;16390008
ROSN;D;25/01/22;000000;545.0;556.0;522.7;548.4;15168633
ROSN;D;26/01/22;000000;548.0;550.5;525.55;532.75;18080155
ROSN;D;27/01/22;000000;530.0;578.0;526.1;563.2;16902498
ROSN;D;28/01/22;000000;568.8;574.85;556.1;566.5;11505485
ROSN;D;31/01/22;000000;568.0;579.9;566.25;576.95;7019548
ROSN;D;01/02/22;000000;576.95;583.9;570.05;574.15;7303793
ROSN;D;02/02/22;000000;576.0;580.25;568.9;575.7;4807338
ROSN;D;03/02/22;000000;575.0;575.25;562.7;569.0;4483162
ROSN;D;04/02/22;000000;570.35;606.75;561.2;572.0;23186423
ROSN;D;07/02/22;000000;570.0;577.7;562.75;569.8;5984857
ROSN;D;08/02/22;000000;569.85;574.95;563.55;570.05;7774697
ROSN;D;09/02/22;000000;571.0;582.5;569.05;579.0;10680353
ROSN;D;10/02/22;000000;579.0;580.25;569.0;569.4;6254547
ROSN;D;11/02/22;000000;569.4;572.65;540.0;547.4;13232836
ROSN;D;14/02/22;000000;547.25;562.45;532.65;556.0;11833605
ROSN;D;15/02/22;000000;557.75;574.45;555.55;565.95;9419015
ROSN;D;16/02/22;000000;566.8;575.8;563.85;571.55;7721726
ROSN;D;17/02/22;000000;570.0;571.8;541.05;549.5;13818094
ROSN;D;18/02/22;000000;550.05;556.1;513.15;519.5;17359369
ROSN;D;21/02/22;000000;518.0;533.75;387.65;438.7;59640299
ROSN;D;22/02/22;000000;438.65;457.0;395.8;431.3;79552638
ROSN;D;24/02/22;000000;388.35;388.35;175.5;274.7;70971023
ROSN;D;25/02/22;000000;283.0;318.55;280.25;307.95;34248855
ROSN;D;24/03/22;000000;312.0;375.0;308.0;360.2;18407648
ROSN;D;25/03/22;000000;370.0;384.2;346.5;365.1;9973005
ROSN;D;28/03/22;000000;355.0;369.0;341.2;357.95;2650920
ROSN;D;29/03/22;000000;363.9;417.95;348.2;370.0;6441125
ROSN;D;30/03/22;000000;390.0;392.0;375.0;387.0;2292961
ROSN;D;31/03/22;000000;393.0;440.0;387.15;437.5;7611217
ROSN;D;01/04/22;000000;441.0;484.0;430.35;450.0;6246314
ROSN;D;04/04/22;000000;450.25;478.0;432.0;443.9;5222709
ROSN;D;05/04/22;000000;445.5;451.15;391.45;419.0;5777193
ROSN;D;06/04/22;000000;416.1;429.4;402.0;405.0;3838103
ROSN;D;07/04/22;000000;406.95;414.0;402.0;408.5;3653379
ROSN;D;08/04/22;000000;409.5;416.0;395.35;403.05;2298336
ROSN;D;11/04/22;000000;403.3;427.95;399.05;414.0;5475283
ROSN;D;12/04/22;000000;416.9;424.0;392.0;412.1;3108892
ROSN;D;13/04/22;000000;413.2;417.5;401.55;406.05;1896604
ROSN;D;14/04/22;000000;406.05;407.5;390.75;391.0;1858915
ROSN;D;15/04/22;000000;392.45;395.95;380.0;390.5;1786729
ROSN;D;18/04/22;000000;393.0;395.0;381.55;384.85;1663519
ROSN;D;19/04/22;000000;384.85;385.25;358.5;385.0;3366521
ROSN;D;20/04/22;000000;388.0;399.3;375.0;391.0;2925126
ROSN;D;21/04/22;000000;393.3;398.7;385.05;388.0;1850516
ROSN;D;22/04/22;000000;388.0;407.3;385.7;397.35;2555772
ROSN;D;25/04/22;000000;395.0;397.0;387.75;388.5;1433671
ROSN;D;26/04/22;000000;389.9;400.95;389.55;391.0;3064679
ROSN;D;27/04/22;000000;394.25;409.9;390.7;397.95;3426922
ROSN;D;28/04/22;000000;399.0;404.8;392.15;400.0;2664461
ROSN;D;29/04/22;000000;397.15;409.9;397.05;409.0;2914034
ROSN;D;04/05/22;000000;410.0;414.85;394.6;396.2;1746145
ROSN;D;05/05/22;000000;397.2;403.05;396.8;397.0;870253
ROSN;D;06/05/22;000000;395.05;398.4;391.0;392.3;832694
ROSN;D;11/05/22;000000;393.85;396.35;388.6;391.55;989953
ROSN;D;12/05/22;000000;391.55;393.25;370.5;375.0;2160687
ROSN;D;13/05/22;000000;379.0;379.0;367.5;374.95;954972
ROSN;D;16/05/22;000000;375.0;383.0;374.0;378.8;1394227
ROSN;D;17/05/22;000000;382.9;395.4;381.1;394.7;2140280
ROSN;D;18/05/22;000000;397.35;406.0;395.7;404.0;2423467
ROSN;D;19/05/22;000000;403.0;405.95;395.15;399.6;911286
ROSN;D;20/05/22;000000;400.35;402.7;380.3;384.25;2037862
ROSN;D;23/05/22;000000;384.25;389.0;365.0;367.05;2583258
ROSN;D;24/05/22;000000;366.85;367.0;350.0;359.2;3592506
ROSN;D;25/05/22;000000;362.0;382.0;356.5;378.0;3705877
ROSN;D;26/05/22;000000;383.5;392.55;375.7;391.7;4929530
ROSN;D;27/05/22;000000;393.9;408.3;385.15;401.5;6117847
ROSN;D;30/05/22;000000;407.8;414.5;381.75;385.1;6980595
ROSN;D;31/05/22;000000;385.1;386.7;375.15;377.0;2664983
ROSN;D;01/06/22;000000;374.4;380.35;371.0;375.95;1989328
ROSN;D;02/06/22;000000;375.25;378.7;368.0;368.75;2222933
ROSN;D;03/06/22;000000;369.95;371.45;360.0;365.45;2203658
ROSN;D;06/06/22;000000;368.7;373.9;364.1;368.8;2853037
ROSN;D;07/06/22;000000;368.8;369.0;362.05;366.55;2153551
ROSN;D;08/06/22;000000;367.15;375.0;367.0;372.85;2237505
ROSN;D;09/06/22;000000;377.5;378.3;367.25;373.25;1825086
ROSN;D;10/06/22;000000;372.0;374.6;368.1;369.5;1494476
ROSN;D;14/06/22;000000;369.6;373.6;366.0;371.6;1519480
ROSN;D;15/06/22;000000;373.0;376.05;370.4;375.65;2377212
ROSN;D;16/06/22;000000;376.8;389.8;375.35;383.0;5984711
ROSN;D;17/06/22;000000;384.0;386.65;379.0;384.45;2396152
ROSN;D;20/06/22;000000;382.3;389.8;382.1;389.8;2162264
ROSN;D;21/06/22;000000;389.05;391.9;381.1;381.3;2816910
ROSN;D;22/06/22;000000;380.0;380.8;371.05;377.6;2707370
ROSN;D;23/06/22;000000;378.0;381.85;375.0;378.4;2266872
ROSN;D;24/06/22;000000;377.9;378.7;373.8;377.0;1495276
ROSN;D;27/06/22;000000;377.0;378.75;372.6;376.65;1275738
ROSN;D;28/06/22;000000;377.0;385.2;373.55;381.85;2961498
ROSN;D;29/06/22;000000;381.9;386.5;374.25;384.2;2924508
ROSN;D;30/06/22;000000;386.0;387.35;348.05;362.25;9748439
ROSN;D;01/07/22;000000;391.85;393.7;373.75;375.15;6832874
ROSN;D;04/07/22;000000;376.9;380.35;367.5;371.6;2470625
ROSN;D;05/07/22;000000;372.05;377.15;365.05;371.5;2647298
ROSN;D;06/07/22;000000;371.55;378.7;368.4;369.65;2485084
ROSN;D;07/07/22;000000;370.1;372.8;363.1;364.95;3720956
ROSN;D;08/07/22;000000;343.0;356.5;343.0;351.2;5692617
ROSN;D;11/07/22;000000;352.55;355.9;343.05;343.8;2412523
ROSN;D;12/07/22;000000;342.85;342.9;327.6;333.5;3581763
ROSN;D;13/07/22;000000;334.45;335.45;317.1;321.0;3990026
ROSN;D;14/07/22;000000;320.0;324.75;311.5;315.45;3528461
ROSN;D;15/07/22;000000;316.8;332.5;314.05;330.5;3854047
ROSN;D;18/07/22;000000;334.1;334.55;322.2;326.0;2778332
ROSN;D;19/07/22;000000;325.95;327.2;316.25;320.75;1954556
ROSN;D;20/07/22;000000;322.0;333.75;319.65;330.0;3149662
ROSN;D;21/07/22;000000;330.15;332.9;318.55;328.2;2400755
ROSN;D;22/07/22;000000;329.4;341.45;328.5;340.0;3933221
ROSN;D;25/07/22;000000;338.8;342.2;335.0;336.6;2019634
ROSN;D;26/07/22;000000;339.5;347.0;338.05;347.0;2850215
ROSN;D;27/07/22;000000;347.0;352.5;345.05;348.7;2825911
ROSN;D;28/07/22;000000;349.45;351.65;340.2;344.3;2276723
ROSN;D;29/07/22;000000;343.0;354.55;341.7;353.0;4179795
ROSN;D;01/08/22;000000;354.4;354.45;345.4;348.0;4268232
ROSN;D;02/08/22;000000;346.25;347.95;334.0;335.8;3335172
ROSN;D;03/08/22;000000;337.0;338.95;329.0;330.25;2721480
ROSN;D;04/08/22;000000;330.15;330.3;323.0;324.6;2360496
ROSN;D;05/08/22;000000;325.25;327.0;316.1;322.7;3256627
ROSN;D;08/08/22;000000;331.5;332.7;324.25;327.35;2677228
ROSN;D;09/08/22;000000;327.35;340.3;324.1;339.65;2740893
ROSN;D;10/08/22;000000;339.95;340.7;335.0;339.5;2095869
ROSN;D;11/08/22;000000;341.1;342.8;333.0;333.0;2535543
