<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;24/01/22;000000;564.1;566.8;523.95;546.9;16363655
ROSN;D;25/01/22;000000;546.45;556;522.7;548.4;15167418
ROSN;D;26/01/22;000000;548;550.5;525.55;532.75;18079522
ROSN;D;27/01/22;000000;529.95;578;526.1;563.2;16896068
ROSN;D;28/01/22;000000;568.85;574.85;556.1;566.5;11502462
ROSN;D;31/01/22;000000;568;579.9;566.25;576.95;7018604
ROSN;D;01/02/22;000000;577;583.9;570.05;574.15;7303417
ROSN;D;02/02/22;000000;574.35;580.25;568.9;575.7;4807013
ROSN;D;03/02/22;000000;574.95;575.25;562.7;569;4482161
ROSN;D;04/02/22;000000;570.35;606.75;561.2;572;23184382
ROSN;D;07/02/22;000000;570;577.7;562.75;569.8;5980171
ROSN;D;08/02/22;000000;569.85;574.95;563.55;570.05;7774677
ROSN;D;09/02/22;000000;571;582.5;569.05;579;10679051
ROSN;D;10/02/22;000000;579;580.25;569;569.4;6254258
ROSN;D;11/02/22;000000;570;572.65;540;547.4;13231543
ROSN;D;14/02/22;000000;547.3;562.45;532.65;556;11825844
ROSN;D;15/02/22;000000;557.85;574.45;555.55;565.95;9418853
ROSN;D;16/02/22;000000;566.85;575.8;563.85;571.55;7721680
ROSN;D;17/02/22;000000;571;571.8;541.05;549.5;13817530
ROSN;D;18/02/22;000000;550.15;556.1;513.15;519.5;17358290
ROSN;D;21/02/22;000000;518.55;533.75;387.65;438.7;59637755
ROSN;D;22/02/22;000000;438.7;457;395.8;431.3;79549540
ROSN;D;24/02/22;000000;388.35;388.35;175.5;274.7;70911815
ROSN;D;25/02/22;000000;283;318.55;280.25;307.95;34248855
ROSN;D;24/03/22;000000;312.1;375;308;360.2;18213961
ROSN;D;25/03/22;000000;370;384.2;346.5;365.1;9924181
ROSN;D;28/03/22;000000;357.8;369;341.2;357.95;2585586
ROSN;D;29/03/22;000000;363.85;417.95;348.2;370;6428661
ROSN;D;30/03/22;000000;385;392;375;387;2285686
