<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTKM;1H;03/01/22;070000;86.79;87.12;85.06;86.02;48890
RTKM;1H;03/01/22;080000;86.02;87.35;85.91;86.94;21830
RTKM;1H;03/01/22;090000;86.90;87.21;86.36;86.61;32820
RTKM;1H;03/01/22;100000;86.59;86.95;86.25;86.67;244100
RTKM;1H;03/01/22;110000;86.62;86.69;86.04;86.18;111260
RTKM;1H;03/01/22;120000;86.18;86.31;86.03;86.15;123250
RTKM;1H;03/01/22;130000;86.15;86.55;86.10;86.29;54980
RTKM;1H;03/01/22;140000;86.35;86.49;86.10;86.19;41920
RTKM;1H;03/01/22;150000;86.19;86.19;85.97;86.06;97280
RTKM;1H;03/01/22;160000;86.11;86.29;86.06;86.13;15340
RTKM;1H;03/01/22;170000;86.15;86.21;85.92;86.00;62220
RTKM;1H;03/01/22;180000;85.95;86.09;85.86;86.04;114180
RTKM;1H;03/01/22;190000;86.04;86.30;85.91;86.26;31900
RTKM;1H;03/01/22;200000;86.26;86.27;86.06;86.06;12540
RTKM;1H;03/01/22;210000;86.06;86.16;86.01;86.12;12480
RTKM;1H;03/01/22;220000;86.12;86.14;85.98;86.14;17390
RTKM;1H;03/01/22;230000;86.13;86.22;86.01;86.22;22490
RTKM;1H;04/01/22;060000;86.68;86.68;86.68;86.68;20
RTKM;1H;04/01/22;070000;86.33;86.66;86.00;86.11;36090
RTKM;1H;04/01/22;080000;86.11;86.52;86.10;86.24;23370
RTKM;1H;04/01/22;090000;86.17;86.40;86.17;86.29;30560
RTKM;1H;04/01/22;100000;86.28;86.51;85.85;86.34;199400
RTKM;1H;04/01/22;110000;86.35;86.39;85.92;86.09;109530
RTKM;1H;04/01/22;120000;86.10;86.60;86.10;86.45;126710
RTKM;1H;04/01/22;130000;86.49;86.52;86.11;86.13;264690
RTKM;1H;04/01/22;140000;86.18;86.47;86.05;86.11;147230
RTKM;1H;04/01/22;150000;86.17;86.18;85.71;86.06;253780
RTKM;1H;04/01/22;160000;86.10;86.20;85.81;85.92;108750
RTKM;1H;04/01/22;170000;85.99;86.14;85.85;86.04;102110
RTKM;1H;04/01/22;180000;86.06;86.08;85.91;85.99;53560
RTKM;1H;04/01/22;190000;86.12;86.12;85.11;85.59;166910
RTKM;1H;04/01/22;200000;85.68;85.89;85.47;85.85;24900
RTKM;1H;04/01/22;210000;85.85;85.86;85.62;85.71;13850
RTKM;1H;04/01/22;220000;85.71;85.85;85.63;85.85;9850
RTKM;1H;04/01/22;230000;85.85;86.06;85.74;86.05;42050
RTKM;1H;05/01/22;070000;86.13;86.13;85.30;85.46;26010
RTKM;1H;05/01/22;080000;85.46;86.00;85.39;85.70;13690
RTKM;1H;05/01/22;090000;85.75;85.97;85.75;85.86;5590
RTKM;1H;05/01/22;100000;85.81;86.12;85.55;85.93;140830
RTKM;1H;05/01/22;110000;85.92;85.92;85.27;85.64;157540
RTKM;1H;05/01/22;120000;85.60;85.75;85.48;85.69;62040
RTKM;1H;05/01/22;130000;85.67;85.74;85.41;85.47;106880
RTKM;1H;05/01/22;140000;85.48;85.57;85.21;85.26;108860
RTKM;1H;05/01/22;150000;85.32;85.38;85.15;85.26;28630
RTKM;1H;05/01/22;160000;85.36;85.49;85.25;85.33;19030
RTKM;1H;05/01/22;170000;85.37;85.37;85.02;85.21;45550
RTKM;1H;05/01/22;180000;85.22;85.47;84.90;84.90;140340
RTKM;1H;05/01/22;190000;84.91;84.93;84.00;84.34;191300
RTKM;1H;05/01/22;200000;84.34;84.43;84.20;84.28;32850
RTKM;1H;05/01/22;210000;84.32;84.37;84.00;84.15;92240
