<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTKM;D;03/01/22;000000;86.79;87.35;85.06;86.22;1064870
RTKM;D;04/01/22;000000;86.68;86.68;85.11;86.05;1713360
RTKM;D;05/01/22;000000;86.13;86.13;83.60;83.71;1332210
RTKM;D;06/01/22;000000;84.29;85.77;82.52;84.24;1402080
RTKM;D;10/01/22;000000;83.76;85.15;82.84;83.64;2609080
RTKM;D;11/01/22;000000;83.38;84.37;82.51;83.83;2085170
RTKM;D;12/01/22;000000;83.64;85.28;83.28;85.12;1960360
RTKM;D;13/01/22;000000;85.10;85.50;80.80;81.90;4102200
RTKM;D;14/01/22;000000;82.21;82.21;76.80;78.72;6584470
RTKM;D;17/01/22;000000;78.62;79.50;76.83;78.53;3673530
RTKM;D;18/01/22;000000;78.50;78.88;74.53;76.05;5539480
RTKM;D;19/01/22;000000;76.22;77.54;74.22;76.57;5110370
RTKM;D;20/01/22;000000;77.00;78.09;75.73;76.14;2531810
RTKM;D;21/01/22;000000;76.11;76.54;74.52;74.80;3721910
RTKM;D;24/01/22;000000;75.14;75.44;70.07;73.25;5280570
RTKM;D;25/01/22;000000;72.50;75.22;71.94;75.00;3906940
RTKM;D;26/01/22;000000;75.11;75.92;72.72;72.99;3356350
RTKM;D;27/01/22;000000;73.60;74.82;71.74;73.51;4266760
RTKM;D;28/01/22;000000;74.25;74.50;72.56;73.00;3220040
RTKM;D;31/01/22;000000;73.77;75.73;72.98;75.06;3051460
RTKM;D;01/02/22;000000;75.29;75.75;73.23;73.92;2944350
RTKM;D;02/02/22;000000;73.98;74.49;73.42;74.26;2016530
RTKM;D;03/02/22;000000;73.89;74.17;72.50;72.82;1674370
RTKM;D;04/02/22;000000;72.89;74.30;72.69;74.09;1911910
RTKM;D;07/02/22;000000;74.09;74.84;72.25;72.62;2214460
RTKM;D;08/02/22;000000;72.88;74.37;72.23;74.03;2645280
RTKM;D;09/02/22;000000;74.30;74.77;73.70;74.53;3189970
RTKM;D;10/02/22;000000;74.53;75.33;73.77;73.90;3106350
RTKM;D;11/02/22;000000;74.00;74.30;70.12;70.56;5393070
RTKM;D;14/02/22;000000;70.56;72.40;69.63;72.19;6031070
RTKM;D;15/02/22;000000;72.42;73.00;71.22;72.66;4244520
RTKM;D;16/02/22;000000;72.66;73.25;72.04;72.92;3106150
RTKM;D;17/02/22;000000;72.71;73.09;70.23;71.14;3329390
RTKM;D;18/02/22;000000;71.24;71.86;69.05;69.24;4002240
RTKM;D;21/02/22;000000;69.69;70.92;60.00;63.09;11218820
RTKM;D;22/02/22;000000;63.00;68.89;59.11;67.94;11882300
RTKM;D;24/02/22;000000;61.00;63.30;45.45;54.80;7557040
RTKM;D;25/02/22;000000;56.97;71.24;56.97;62.27;6682860
RTKM;D;24/03/22;000000;59.27;73.95;58.06;65.50;2734850
RTKM;D;25/03/22;000000;71.50;71.97;63.81;63.99;1834610
RTKM;D;28/03/22;000000;65.65;67.88;64.00;64.20;1233120
RTKM;D;29/03/22;000000;64.30;64.90;61.00;62.96;1917390
RTKM;D;30/03/22;000000;64.50;64.70;62.14;63.00;2092460
RTKM;D;31/03/22;000000;64.00;67.50;63.10;66.60;2630800
RTKM;D;01/04/22;000000;67.93;69.87;65.50;66.01;2132210
RTKM;D;04/04/22;000000;65.50;69.48;64.71;65.15;3324690
RTKM;D;05/04/22;000000;65.40;65.85;61.99;62.83;2442680
