<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RUAL;8H;03/01/22;000000;73.55;73.72;73.33;73.60;194590
RUAL;8H;03/01/22;080000;73.61;74.50;73.44;73.73;4274200
RUAL;8H;03/01/22;160000;73.73;74.03;73.25;73.75;2284570
RUAL;8H;04/01/22;000000;74.00;74.14;73.55;73.73;284480
RUAL;8H;04/01/22;080000;73.67;74.38;72.25;74.28;8382120
RUAL;8H;04/01/22;160000;74.28;74.36;73.88;74.15;2375310
RUAL;8H;05/01/22;000000;73.85;74.03;73.34;73.90;272460
RUAL;8H;05/01/22;080000;73.83;75.25;73.30;75.22;8186050
RUAL;8H;05/01/22;160000;75.22;77.50;73.00;73.65;20570670
RUAL;8H;06/01/22;000000;74.20;74.92;73.47;74.70;1007950
RUAL;8H;06/01/22;080000;74.70;75.75;73.78;74.33;8505830
RUAL;8H;06/01/22;160000;74.35;75.08;73.96;74.54;3056760
RUAL;8H;10/01/22;000000;75.60;76.97;75.24;76.25;1173090
RUAL;8H;10/01/22;080000;76.25;77.98;75.52;75.69;22643070
RUAL;8H;10/01/22;160000;75.67;76.53;75.50;76.30;6857900
RUAL;8H;11/01/22;000000;76.25;76.25;75.52;76.03;516180
RUAL;8H;11/01/22;080000;76.08;76.65;74.75;76.41;10359730
RUAL;8H;11/01/22;160000;76.41;77.07;76.17;76.90;6041330
RUAL;8H;12/01/22;000000;77.02;77.77;77.02;77.23;617840
RUAL;8H;12/01/22;080000;77.23;79.48;76.71;79.05;23946130
RUAL;8H;12/01/22;160000;78.99;79.50;78.20;78.25;10799770
RUAL;8H;13/01/22;000000;78.81;79.12;78.56;78.94;460390
RUAL;8H;13/01/22;080000;78.92;79.96;77.61;77.75;26043900
RUAL;8H;13/01/22;160000;77.75;78.77;74.13;75.80;33130800
RUAL;8H;14/01/22;000000;76.36;77.00;76.36;76.62;732460
RUAL;8H;14/01/22;080000;76.62;77.50;72.80;73.78;23397320
RUAL;8H;14/01/22;160000;73.78;74.14;71.38;74.00;16102120
RUAL;8H;17/01/22;000000;74.00;75.46;74.00;74.84;2126340
RUAL;8H;17/01/22;080000;74.83;75.87;70.90;71.03;21572710
RUAL;8H;17/01/22;160000;71.03;74.15;70.90;73.73;11741280
RUAL;8H;18/01/22;000000;73.85;74.82;73.75;74.50;1239780
RUAL;8H;18/01/22;080000;74.50;74.55;69.35;69.83;21890620
RUAL;8H;18/01/22;160000;69.75;71.00;68.35;70.05;15733140
RUAL;8H;19/01/22;000000;70.66;71.79;66.05;67.68;3214820
RUAL;8H;19/01/22;080000;67.50;73.20;67.19;72.66;39566760
RUAL;8H;19/01/22;160000;72.61;73.75;72.03;73.60;11346350
RUAL;8H;20/01/22;000000;73.60;74.58;73.20;74.07;1385170
RUAL;8H;20/01/22;080000;74.14;75.57;73.17;73.56;16897100
RUAL;8H;20/01/22;160000;73.53;74.95;73.30;74.00;7596530
RUAL;8H;21/01/22;000000;73.48;73.48;72.06;72.51;1648640
RUAL;8H;21/01/22;080000;72.50;73.98;72.21;73.50;14974840
RUAL;8H;21/01/22;160000;73.52;74.25;73.08;73.55;9432920
RUAL;8H;24/01/22;000000;69.80;72.42;69.52;71.10;5010790
RUAL;8H;24/01/22;080000;71.16;71.25;65.56;68.56;31931780
RUAL;8H;24/01/22;160000;68.56;70.04;67.81;69.94;10070820
RUAL;8H;25/01/22;000000;68.50;69.78;68.28;68.50;2130980
RUAL;8H;25/01/22;080000;68.52;70.14;67.77;69.61;14338700
RUAL;8H;25/01/22;160000;69.67;70.75;68.84;70.22;7736540
RUAL;8H;26/01/22;000000;70.05;70.06;69.27;69.69;980410
RUAL;8H;26/01/22;080000;69.67;71.09;67.76;70.83;12077180
RUAL;8H;26/01/22;160000;70.84;72.72;70.20;70.75;14312560
RUAL;8H;27/01/22;000000;69.75;69.97;69.16;69.78;1273380
RUAL;8H;27/01/22;080000;69.78;73.50;69.30;73.06;20460380
RUAL;8H;27/01/22;160000;73.09;74.50;72.22;72.64;14263540
RUAL;8H;28/01/22;000000;72.35;73.44;72.35;72.70;1079320
RUAL;8H;28/01/22;080000;72.68;73.39;71.67;72.69;9907110
RUAL;8H;28/01/22;160000;72.69;72.94;72.00;72.09;4043440
RUAL;8H;31/01/22;000000;72.00;73.10;72.00;72.64;669380
RUAL;8H;31/01/22;080000;72.66;73.78;72.25;73.17;8498960
RUAL;8H;31/01/22;160000;73.17;73.25;72.03;72.42;6227920
RUAL;8H;01/02/22;000000;72.42;72.75;72.11;72.36;469660
RUAL;8H;01/02/22;080000;72.37;72.86;71.75;72.07;4093990
RUAL;8H;01/02/22;160000;72.06;72.40;71.25;71.59;3789350
RUAL;8H;02/02/22;000000;71.60;71.95;71.44;71.81;346790
RUAL;8H;02/02/22;080000;71.78;72.24;70.75;71.25;5307170
RUAL;8H;02/02/22;160000;71.25;71.31;69.61;70.00;7989550
RUAL;8H;03/02/22;000000;69.81;70.42;69.70;70.03;418700
RUAL;8H;03/02/22;080000;70.05;70.50;69.25;70.15;5609710
RUAL;8H;03/02/22;160000;70.17;70.94;70.00;70.89;6680980
RUAL;8H;04/02/22;000000;70.66;70.89;70.39;70.56;361870
RUAL;8H;04/02/22;080000;70.59;72.17;70.25;70.90;9981130
RUAL;8H;04/02/22;160000;70.90;71.50;70.35;71.36;4372600
RUAL;8H;07/02/22;000000;70.75;71.28;70.71;70.78;651610
RUAL;8H;07/02/22;080000;70.77;71.41;70.10;70.67;5014510
RUAL;8H;07/02/22;160000;70.69;71.25;70.55;71.08;2806470
RUAL;8H;08/02/22;000000;70.76;70.77;70.40;70.72;418570
RUAL;8H;08/02/22;080000;70.72;74.90;70.22;74.72;25461120
RUAL;8H;08/02/22;160000;74.73;76.40;74.68;76.02;16732810
RUAL;8H;09/02/22;000000;76.78;78.25;76.50;77.87;3322580
RUAL;8H;09/02/22;080000;77.88;79.75;76.25;79.52;26065520
RUAL;8H;09/02/22;160000;79.55;80.45;78.75;79.99;11586860
RUAL;8H;10/02/22;000000;79.70;79.90;78.82;79.04;1015720
RUAL;8H;10/02/22;080000;79.10;85.47;78.50;84.39;42705960
RUAL;8H;10/02/22;160000;84.39;85.05;83.00;83.00;19443520
RUAL;8H;11/02/22;000000;82.32;82.75;81.25;81.61;2390740
RUAL;8H;11/02/22;080000;81.61;84.25;79.08;81.14;48296890
RUAL;8H;11/02/22;160000;81.14;82.70;79.20;79.70;20561550
RUAL;8H;14/02/22;000000;79.64;79.70;77.11;78.72;3300940
RUAL;8H;14/02/22;080000;78.61;84.05;78.27;83.25;31283870
RUAL;8H;14/02/22;160000;83.25;84.70;82.30;83.40;18248620
RUAL;8H;15/02/22;000000;83.41;84.95;83.41;84.36;2314690
RUAL;8H;15/02/22;080000;84.37;87.28;82.25;86.44;35446490
RUAL;8H;15/02/22;160000;86.42;86.80;85.61;86.35;7566930
RUAL;8H;16/02/22;000000;85.62;88.75;85.62;88.30;3925690
RUAL;8H;16/02/22;080000;88.38;89.00;86.22;88.87;19299440
RUAL;8H;16/02/22;160000;88.86;89.25;87.81;89.00;10125180
RUAL;8H;17/02/22;000000;89.00;89.24;87.77;87.78;1457150
RUAL;8H;17/02/22;080000;87.86;88.65;84.85;85.22;24501100
RUAL;8H;17/02/22;160000;85.22;85.34;80.75;83.25;29480630
RUAL;8H;18/02/22;000000;83.10;84.75;83.02;84.26;2117930
RUAL;8H;18/02/22;080000;84.27;84.27;81.50;82.42;15874610
RUAL;8H;18/02/22;160000;82.39;82.44;77.30;80.50;25222850
RUAL;8H;21/02/22;000000;79.00;82.33;78.33;80.40;2916280
RUAL;8H;21/02/22;080000;80.42;80.98;70.10;72.84;56965890
RUAL;8H;21/02/22;160000;72.85;73.49;64.28;69.50;40424410
RUAL;8H;22/02/22;000000;68.51;69.00;65.41;67.11;2722790
RUAL;8H;22/02/22;080000;67.10;71.50;64.31;70.39;54838070
RUAL;8H;22/02/22;160000;70.39;78.80;69.47;75.70;43687530
RUAL;8H;24/02/22;000000;68.65;68.65;68.65;68.65;726070
RUAL;8H;24/02/22;080000;68.65;68.65;45.45;55.45;24170830
