<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RUAL;D;03/01/22;000000;73.55;74.50;73.25;73.75;6753360
RUAL;D;04/01/22;000000;74.00;74.38;72.25;74.15;11041910
RUAL;D;05/01/22;000000;73.85;77.50;73.00;73.65;29029180
RUAL;D;06/01/22;000000;74.20;75.75;73.47;74.54;12570540
RUAL;D;10/01/22;000000;75.60;77.98;75.24;76.30;30674060
RUAL;D;11/01/22;000000;76.25;77.07;74.75;76.90;16917240
RUAL;D;12/01/22;000000;77.02;79.50;76.71;78.25;35363740
RUAL;D;13/01/22;000000;78.81;79.96;74.13;75.80;59635090
RUAL;D;14/01/22;000000;76.36;77.50;71.38;74.00;40231900
RUAL;D;17/01/22;000000;74.00;75.87;70.90;73.73;35440330
RUAL;D;18/01/22;000000;73.85;74.82;68.35;70.05;38863540
RUAL;D;19/01/22;000000;70.66;73.75;66.05;73.60;54127930
RUAL;D;20/01/22;000000;73.60;75.57;73.17;74.00;25878800
RUAL;D;21/01/22;000000;73.48;74.25;72.06;73.55;26056400
RUAL;D;24/01/22;000000;69.80;72.42;65.56;69.94;47013390
RUAL;D;25/01/22;000000;68.50;70.75;67.77;70.22;24206220
RUAL;D;26/01/22;000000;70.05;72.72;67.76;70.75;27370150
RUAL;D;27/01/22;000000;69.75;74.50;69.16;72.64;35997300
RUAL;D;28/01/22;000000;72.35;73.44;71.67;72.09;15029870
RUAL;D;31/01/22;000000;72.00;73.78;72.00;72.42;15396260
RUAL;D;01/02/22;000000;72.42;72.86;71.25;71.59;8353000
RUAL;D;02/02/22;000000;71.60;72.24;69.61;70.00;13643510
RUAL;D;03/02/22;000000;69.81;70.94;69.25;70.89;12709390
RUAL;D;04/02/22;000000;70.66;72.17;70.25;71.36;14715600
RUAL;D;07/02/22;000000;70.75;71.41;70.10;71.08;8472590
RUAL;D;08/02/22;000000;70.76;76.40;70.22;76.02;42612500
RUAL;D;09/02/22;000000;76.78;80.45;76.25;79.99;40974960
RUAL;D;10/02/22;000000;79.70;85.47;78.50;83.00;63165200
RUAL;D;11/02/22;000000;82.32;84.25;79.08;79.70;71249180
RUAL;D;14/02/22;000000;79.64;84.70;77.11;83.40;52833430
RUAL;D;15/02/22;000000;83.41;87.28;82.25;86.35;45328110
RUAL;D;16/02/22;000000;85.62;89.25;85.62;89.00;33350310
RUAL;D;17/02/22;000000;89.00;89.24;80.75;83.25;55438880
RUAL;D;18/02/22;000000;83.10;84.75;77.30;80.50;43215390
RUAL;D;21/02/22;000000;79.00;82.33;64.28;69.50;100306580
RUAL;D;22/02/22;000000;68.51;78.80;64.31;75.70;101248390
RUAL;D;24/02/22;000000;68.65;77.70;45.45;67.25;59486180
RUAL;D;25/02/22;000000;58.40;74.00;58.40;60.05;46270310
RUAL;D;24/03/22;000000;62.00;72.00;62.00;69.55;46339350
RUAL;D;25/03/22;000000;73.00;73.00;65.00;66.59;9156100
RUAL;D;28/03/22;000000;67.45;68.98;63.00;64.94;7427110
RUAL;D;29/03/22;000000;65.20;68.30;61.00;63.00;19391600
RUAL;D;30/03/22;000000;66.00;67.00;64.00;65.47;6088570
RUAL;D;31/03/22;000000;66.00;68.50;64.96;68.00;10754540
RUAL;D;01/04/22;000000;68.50;70.50;68.01;69.50;11579310
RUAL;D;04/04/22;000000;70.00;73.40;67.61;71.92;11083850
RUAL;D;05/04/22;000000;71.95;72.72;70.00;72.02;7449260
RUAL;D;06/04/22;000000;71.98;72.10;70.00;70.20;4081200
RUAL;D;07/04/22;000000;70.50;71.00;68.38;68.95;2436100
RUAL;D;08/04/22;000000;69.00;70.00;67.10;68.75;2814050
RUAL;D;11/04/22;000000;68.75;69.90;67.00;67.63;2984430
RUAL;D;12/04/22;000000;68.00;69.90;66.05;69.52;4596570
RUAL;D;13/04/22;000000;70.00;70.02;68.11;68.63;2649170
RUAL;D;14/04/22;000000;68.63;68.75;65.55;66.65;3713120
RUAL;D;15/04/22;000000;67.05;67.37;65.11;66.75;2447450
RUAL;D;18/04/22;000000;67.17;67.25;64.30;64.61;2572450
RUAL;D;19/04/22;000000;64.40;64.73;61.17;63.20;4177120
RUAL;D;20/04/22;000000;63.48;64.05;61.90;63.20;4055940
RUAL;D;21/04/22;000000;63.20;65.05;62.80;64.61;3508300
RUAL;D;22/04/22;000000;65.30;67.10;64.60;64.89;3637710
RUAL;D;25/04/22;000000;64.55;64.78;61.65;62.36;2751030
RUAL;D;26/04/22;000000;62.01;67.09;62.01;66.18;3805690
RUAL;D;27/04/22;000000;66.83;69.61;66.61;69.36;3564730
RUAL;D;28/04/22;000000;70.78;71.88;66.80;67.17;4483040
RUAL;D;29/04/22;000000;67.80;68.94;67.01;67.50;2530030
RUAL;D;04/05/22;000000;67.48;68.50;65.00;65.27;2569280
RUAL;D;05/05/22;000000;65.77;66.77;65.36;66.35;1293210
RUAL;D;06/05/22;000000;66.35;66.35;65.15;65.30;1290970
RUAL;D;11/05/22;000000;65.42;66.24;65.11;65.26;1803270
RUAL;D;12/05/22;000000;65.10;65.53;62.86;63.21;2065730
RUAL;D;13/05/22;000000;64.00;64.20;62.71;62.98;2012450
RUAL;D;16/05/22;000000;63.90;64.90;62.73;63.05;2891610
RUAL;D;17/05/22;000000;64.19;64.47;63.20;64.30;8901820
RUAL;D;18/05/22;000000;64.88;65.58;63.84;64.02;3569110
RUAL;D;19/05/22;000000;64.52;64.52;62.90;63.12;2933600
RUAL;D;20/05/22;000000;63.11;63.40;60.80;60.98;5895210
RUAL;D;23/05/22;000000;61.62;61.62;57.31;57.81;6454960
RUAL;D;24/05/22;000000;57.90;59.25;54.45;58.40;5827720
RUAL;D;25/05/22;000000;58.98;59.58;56.55;59.52;3865610
RUAL;D;26/05/22;000000;59.70;61.00;58.51;59.60;5095620
RUAL;D;27/05/22;000000;60.48;61.50;59.71;61.05;4835790
RUAL;D;30/05/22;000000;61.37;63.40;61.01;62.80;6669310
RUAL;D;31/05/22;000000;63.31;63.31;59.11;59.15;7564280
RUAL;D;01/06/22;000000;59.00;59.38;57.53;57.99;4523230
RUAL;D;02/06/22;000000;58.09;61.87;56.16;60.50;7595200
RUAL;D;03/06/22;000000;60.00;61.90;58.10;60.80;5551230
RUAL;D;06/06/22;000000;61.17;61.29;59.40;60.41;1990690
RUAL;D;07/06/22;000000;60.40;61.69;59.20;60.30;4610050
RUAL;D;08/06/22;000000;60.31;61.22;60.16;60.33;1789880
RUAL;D;09/06/22;000000;60.48;60.48;58.76;58.98;2111660
RUAL;D;10/06/22;000000;58.90;58.98;57.63;57.94;1804330
RUAL;D;14/06/22;000000;57.88;57.98;55.30;55.30;4827670
RUAL;D;15/06/22;000000;55.30;56.86;55.30;56.78;3864950
RUAL;D;16/06/22;000000;56.84;58.02;56.77;57.25;2581430
RUAL;D;17/06/22;000000;57.35;57.92;56.20;56.56;1984320
RUAL;D;20/06/22;000000;56.56;57.00;55.76;56.02;2754200
RUAL;D;21/06/22;000000;56.14;56.27;54.25;54.50;3339020
RUAL;D;22/06/22;000000;54.50;55.56;53.78;53.83;3411180
RUAL;D;23/06/22;000000;53.86;55.48;53.40;55.48;3708970
RUAL;D;24/06/22;000000;54.81;54.99;54.02;54.96;3134460
RUAL;D;27/06/22;000000;54.97;55.90;54.81;55.72;2511400
