<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBERP;8H;03/01/22;000000;279.90;280.39;279.13;280.17;151020
SBERP;8H;03/01/22;080000;280.11;287.74;280.11;286.15;2997840
SBERP;8H;03/01/22;160000;286.14;289.79;285.92;289.74;1580180
SBERP;8H;04/01/22;000000;289.80;292.19;289.52;291.19;568980
SBERP;8H;04/01/22;080000;291.31;293.00;286.02;288.05;4443560
SBERP;8H;04/01/22;160000;288.05;289.50;287.35;289.01;1328330
SBERP;8H;05/01/22;000000;288.94;288.94;286.05;286.71;330040
SBERP;8H;05/01/22;080000;286.76;288.63;282.45;284.06;3694950
SBERP;8H;05/01/22;160000;284.06;284.30;274.17;274.80;5532710
SBERP;8H;06/01/22;000000;277.00;278.85;272.37;278.69;843500
SBERP;8H;06/01/22;080000;278.67;280.96;273.34;277.13;8087550
SBERP;8H;06/01/22;160000;277.16;279.34;276.23;279.05;2632360
SBERP;8H;10/01/22;000000;280.50;283.25;279.76;283.18;398760
SBERP;8H;10/01/22;080000;283.05;283.50;275.15;276.14;4768230
SBERP;8H;10/01/22;160000;276.10;278.90;274.50;277.80;2933380
SBERP;8H;11/01/22;000000;277.73;278.78;276.34;277.78;134270
SBERP;8H;11/01/22;080000;277.78;278.65;275.51;277.09;3901640
SBERP;8H;11/01/22;160000;276.99;278.34;275.10;278.15;2617260
SBERP;8H;12/01/22;000000;278.40;279.44;276.72;277.47;163330
SBERP;8H;12/01/22;080000;277.49;278.10;272.11;275.83;6444650
SBERP;8H;12/01/22;160000;275.84;277.19;274.61;276.00;2710350
SBERP;8H;13/01/22;000000;275.93;276.00;274.55;275.33;203140
SBERP;8H;13/01/22;080000;275.21;275.72;269.29;269.48;6750780
SBERP;8H;13/01/22;160000;269.47;271.49;260.00;263.95;13021580
SBERP;8H;14/01/22;000000;264.51;268.20;263.39;267.90;685900
SBERP;8H;14/01/22;080000;268.07;268.89;250.00;251.09;23937380
SBERP;8H;14/01/22;160000;251.09;253.79;241.03;252.64;20960350
SBERP;8H;17/01/22;000000;253.63;256.49;247.31;251.17;1707690
SBERP;8H;17/01/22;080000;251.03;254.58;240.00;242.32;16961930
SBERP;8H;17/01/22;160000;242.32;251.94;241.31;250.65;9886960
SBERP;8H;18/01/22;000000;251.02;251.66;246.46;247.31;607680
SBERP;8H;18/01/22;080000;247.31;248.80;229.45;231.11;19409730
SBERP;8H;18/01/22;160000;231.11;234.37;223.00;228.61;24786390
SBERP;8H;19/01/22;000000;226.99;228.57;216.51;220.68;3374330
SBERP;8H;19/01/22;080000;220.71;242.65;216.92;239.47;30963430
SBERP;8H;19/01/22;160000;239.45;241.00;232.32;238.50;7777660
SBERP;8H;20/01/22;000000;236.83;244.22;235.04;241.90;1537160
SBERP;8H;20/01/22;080000;241.99;246.77;232.14;236.64;18664180
SBERP;8H;20/01/22;160000;236.75;250.72;235.85;244.00;18638650
SBERP;8H;21/01/22;000000;242.87;243.14;238.29;241.60;1319840
SBERP;8H;21/01/22;080000;241.63;249.60;238.40;244.70;16207940
SBERP;8H;21/01/22;160000;244.80;245.40;238.93;239.12;6521270
SBERP;8H;24/01/22;000000;238.12;241.79;238.01;240.31;455030
SBERP;8H;24/01/22;080000;240.53;241.80;220.00;224.84;23268000
SBERP;8H;24/01/22;160000;225.00;231.02;223.12;230.63;10026150
SBERP;8H;25/01/22;000000;231.00;234.30;227.51;229.20;1093650
SBERP;8H;25/01/22;080000;229.20;236.34;226.00;229.61;11361250
SBERP;8H;25/01/22;160000;229.61;232.66;223.21;231.60;8896120
SBERP;8H;26/01/22;000000;231.68;232.54;230.08;230.81;423540
SBERP;8H;26/01/22;080000;230.96;233.81;226.88;233.48;9233760
SBERP;8H;26/01/22;160000;233.48;237.31;229.04;230.14;8405000
SBERP;8H;27/01/22;000000;228.67;229.79;227.31;229.65;814750
SBERP;8H;27/01/22;080000;229.66;244.49;228.61;243.85;11816690
SBERP;8H;27/01/22;160000;244.00;249.21;240.50;243.53;9250610
SBERP;8H;28/01/22;000000;245.84;248.27;245.09;247.07;724560
SBERP;8H;28/01/22;080000;247.05;252.00;243.04;245.81;11576640
SBERP;8H;28/01/22;160000;245.71;247.84;245.02;246.90;3634810
SBERP;8H;31/01/22;000000;248.00;251.09;245.90;249.67;959500
SBERP;8H;31/01/22;080000;249.55;256.10;249.52;252.29;9065830
SBERP;8H;31/01/22;160000;252.22;255.53;251.30;255.53;3588560
SBERP;8H;01/02/22;000000;256.00;258.80;255.05;258.20;871090
SBERP;8H;01/02/22;080000;258.15;258.86;250.00;251.85;7945090
SBERP;8H;01/02/22;160000;251.82;253.09;249.56;252.60;2958290
SBERP;8H;02/02/22;000000;253.04;254.00;251.68;252.05;289760
SBERP;8H;02/02/22;080000;251.99;254.10;245.25;250.37;7398250
SBERP;8H;02/02/22;160000;250.32;250.97;246.33;249.12;3440010
SBERP;8H;03/02/22;000000;249.12;249.65;245.60;246.68;440030
SBERP;8H;03/02/22;080000;246.68;248.27;240.61;241.50;6822510
SBERP;8H;03/02/22;160000;241.49;242.70;239.48;239.90;4002830
SBERP;8H;04/02/22;000000;240.70;243.32;240.70;242.74;463730
SBERP;8H;04/02/22;080000;242.74;247.57;241.80;244.57;6046350
SBERP;8H;04/02/22;160000;244.55;245.50;240.52;245.00;6838460
SBERP;8H;07/02/22;000000;244.50;245.67;243.50;245.02;279790
SBERP;8H;07/02/22;080000;245.10;248.30;242.11;244.97;3635360
SBERP;8H;07/02/22;160000;244.97;246.54;243.41;245.58;2208870
