<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBERP;D;03/01/22;000000;279.90;289.79;279.13;289.74;4729040
SBERP;D;04/01/22;000000;289.80;293.00;286.02;289.01;6340870
SBERP;D;05/01/22;000000;288.94;288.94;274.17;274.80;9557700
SBERP;D;06/01/22;000000;277.00;280.96;272.37;279.05;11563410
SBERP;D;10/01/22;000000;280.50;283.50;274.50;277.80;8100370
SBERP;D;11/01/22;000000;277.73;278.78;275.10;278.15;6653170
SBERP;D;12/01/22;000000;278.40;279.44;272.11;276.00;9318330
SBERP;D;13/01/22;000000;275.93;276.00;260.00;263.95;19975500
SBERP;D;14/01/22;000000;264.51;268.89;241.03;252.64;45583630
SBERP;D;17/01/22;000000;253.63;256.49;240.00;250.65;28556580
SBERP;D;18/01/22;000000;251.02;251.66;223.00;228.61;44803800
SBERP;D;19/01/22;000000;226.99;242.65;216.51;238.50;42115420
SBERP;D;20/01/22;000000;236.83;250.72;232.14;244.00;38839990
SBERP;D;21/01/22;000000;242.87;249.60;238.29;239.12;24049050
SBERP;D;24/01/22;000000;238.12;241.80;220.00;230.63;33749180
SBERP;D;25/01/22;000000;231.00;236.34;223.21;231.60;21351020
SBERP;D;26/01/22;000000;231.68;237.31;226.88;230.14;18062300
SBERP;D;27/01/22;000000;228.67;249.21;227.31;243.53;21882050
SBERP;D;28/01/22;000000;245.84;252.00;243.04;246.90;15936010
SBERP;D;31/01/22;000000;248.00;256.10;245.90;255.53;13613890
SBERP;D;01/02/22;000000;256.00;258.86;249.56;252.60;11774470
SBERP;D;02/02/22;000000;253.04;254.10;245.25;249.12;11128020
SBERP;D;03/02/22;000000;249.12;249.65;239.48;239.90;11265370
SBERP;D;04/02/22;000000;240.70;247.57;240.52;245.00;13348540
SBERP;D;07/02/22;000000;244.50;248.30;242.11;245.58;6124020
SBERP;D;08/02/22;000000;246.24;255.98;244.67;255.68;11182070
SBERP;D;09/02/22;000000;257.10;265.80;256.37;265.21;15570780
SBERP;D;10/02/22;000000;264.06;267.28;258.41;261.00;11584910
SBERP;D;11/02/22;000000;260.00;261.79;249.20;250.86;17108120
SBERP;D;14/02/22;000000;249.00;249.00;237.11;245.10;27272580
SBERP;D;15/02/22;000000;246.25;258.88;246.02;258.88;19270840
SBERP;D;16/02/22;000000;260.90;266.00;259.45;262.49;17279130
SBERP;D;17/02/22;000000;261.00;261.98;248.40;250.08;17055960
SBERP;D;18/02/22;000000;251.40;255.55;235.00;240.00;20190700
