<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;12H;10/01/22;000000;295.52;298.88;293.00;293.54;23404700
SBER;12H;10/01/22;120000;293.50;294.70;288.68;291.69;44021850
SBER;12H;11/01/22;000000;293.40;293.94;290.00;291.68;15226520
SBER;12H;11/01/22;120000;291.68;292.53;288.71;291.88;43695010
SBER;12H;12/01/22;000000;292.82;292.92;288.50;288.72;17829090
SBER;12H;12/01/22;120000;288.75;291.48;285.05;290.40;63993360
SBER;12H;13/01/22;000000;289.56;290.37;287.66;288.07;17751840
SBER;12H;13/01/22;120000;288.07;289.29;269.90;272.50;193804350
SBER;12H;14/01/22;000000;272.39;277.98;267.31;269.80;68424730
SBER;12H;14/01/22;120000;269.83;270.76;249.20;261.00;337828960
SBER;12H;17/01/22;000000;262.15;264.01;251.12;253.68;74952060
SBER;12H;17/01/22;120000;253.60;260.00;247.00;257.78;173737190
SBER;12H;18/01/22;000000;258.80;259.39;249.50;252.68;56161880
SBER;12H;18/01/22;120000;252.68;253.53;228.09;234.70;427894600
SBER;12H;19/01/22;000000;232.90;246.44;221.03;244.30;178864660
SBER;12H;19/01/22;120000;244.25;249.00;239.59;244.86;182094330
SBER;12H;20/01/22;000000;244.17;253.60;240.01;244.78;106282550
SBER;12H;20/01/22;120000;244.78;263.00;243.65;254.61;222831100
SBER;12H;21/01/22;000000;252.99;257.25;248.54;250.44;97904800
SBER;12H;21/01/22;120000;250.36;259.08;246.00;246.90;197785870
SBER;12H;24/01/22;000000;246.51;249.88;237.10;237.36;78788510
SBER;12H;24/01/22;120000;237.43;237.75;226.00;236.97;247041140
SBER;12H;25/01/22;000000;237.00;243.55;232.41;238.32;93891680
SBER;12H;25/01/22;120000;238.35;240.92;231.00;239.59;138705290
SBER;12H;26/01/22;000000;240.50;240.74;233.30;236.20;56042960
SBER;12H;26/01/22;120000;236.10;245.17;234.30;236.90;168797690
SBER;12H;27/01/22;000000;235.00;248.30;233.10;245.20;80938000
SBER;12H;27/01/22;120000;245.12;260.00;244.55;254.29;220368340
SBER;12H;28/01/22;000000;255.87;262.00;252.02;254.50;99778400
SBER;12H;28/01/22;120000;254.59;261.10;253.44;257.82;104401870
SBER;12H;31/01/22;000000;258.98;267.94;258.81;267.28;68939760
SBER;12H;31/01/22;120000;267.28;269.60;263.62;269.42;87235320
SBER;12H;01/02/22;000000;269.72;273.10;262.53;264.40;92644480
SBER;12H;01/02/22;120000;264.44;267.16;260.56;264.70;77751660
SBER;12H;02/02/22;000000;265.88;266.91;257.27;259.00;59958060
SBER;12H;02/02/22;120000;259.00;264.00;254.52;261.00;110257020
SBER;12H;03/02/22;000000;258.45;259.87;251.51;253.25;60265680
SBER;12H;03/02/22;120000;253.22;254.78;250.06;250.79;90907420
SBER;12H;04/02/22;000000;251.99;259.74;251.91;257.24;51563660
SBER;12H;04/02/22;120000;257.18;258.67;252.77;256.53;75471510
SBER;12H;07/02/22;000000;256.99;260.53;254.72;257.06;35093100
SBER;12H;07/02/22;120000;257.06;258.88;253.52;257.61;50493540
SBER;12H;08/02/22;000000;257.60;262.87;256.52;262.56;42268680
SBER;12H;08/02/22;120000;262.60;269.90;261.75;269.80;119237540
SBER;12H;09/02/22;000000;270.01;278.28;270.00;277.75;81309970
SBER;12H;09/02/22;120000;277.69;279.71;275.15;279.09;112265040
SBER;12H;10/02/22;000000;279.20;279.38;273.67;274.06;54465750
SBER;12H;10/02/22;120000;274.05;282.30;273.90;275.20;125682610
SBER;12H;11/02/22;000000;274.90;275.87;266.58;267.76;67672290
SBER;12H;11/02/22;120000;267.76;269.80;259.61;260.83;146282100
SBER;12H;14/02/22;000000;256.69;259.50;245.10;251.37;119865200
SBER;12H;14/02/22;120000;251.35;258.84;245.12;256.70;237789370
SBER;12H;15/02/22;000000;257.89;269.98;257.51;269.85;105883540
SBER;12H;15/02/22;120000;269.85;274.00;265.07;274.00;165635130
SBER;12H;16/02/22;000000;276.88;281.00;275.33;278.59;86311140
SBER;12H;16/02/22;120000;278.67;279.50;274.15;277.78;109511270
SBER;12H;17/02/22;000000;277.00;277.00;263.51;265.06;113375740
SBER;12H;17/02/22;120000;265.18;268.79;259.36;260.58;148712960
SBER;12H;18/02/22;000000;262.13;267.00;257.60;258.60;77013210
SBER;12H;18/02/22;120000;258.58;260.35;245.00;250.28;193581530
SBER;12H;21/02/22;000000;249.15;258.32;236.10;238.64;211672060
SBER;12H;21/02/22;120000;238.58;240.79;184.30;201.00;872836380
SBER;12H;22/02/22;000000;198.72;205.70;182.03;186.33;305753690
SBER;12H;22/02/22;120000;186.33;219.90;185.78;208.53;640266880
SBER;12H;24/02/22;000000;187.54;187.54;89.59;89.59;67457540
SBER;12H;24/02/22;120000;89.60;159.63;89.59;132.18;761898340
SBER;12H;25/02/22;000000;123.75;152.89;123.75;126.50;109809960
SBER;12H;25/02/22;120000;126.41;136.00;115.11;131.12;286477190
SBER;12H;24/03/22;000000;131.00;156.20;130.15;140.33;124605900
SBER;12H;24/03/22;120000;140.33;141.69;133.28;136.24;34858450
SBER;12H;25/03/22;000000;137.00;147.00;128.20;130.21;46916000
SBER;12H;25/03/22;120000;130.15;132.44;130.06;131.50;10746950
SBER;12H;28/03/22;000000;130.60;131.47;125.01;126.48;24371460
SBER;12H;28/03/22;120000;126.48;127.80;125.00;125.00;8840970
SBER;12H;29/03/22;000000;126.16;137.57;122.00;136.92;48215640
SBER;12H;29/03/22;120000;136.90;136.99;125.82;128.77;24123100
SBER;12H;30/03/22;000000;136.89;138.40;131.27;132.17;20500910
SBER;12H;30/03/22;120000;132.17;134.60;131.11;134.60;15174540
SBER;12H;31/03/22;000000;135.25;139.50;134.52;138.76;38435590
SBER;12H;31/03/22;120000;138.66;147.41;137.74;143.69;79989410
SBER;12H;01/04/22;000000;145.00;154.50;144.51;150.88;63358550
SBER;12H;01/04/22;120000;150.95;155.40;150.71;154.50;55522170
SBER;12H;04/04/22;000000;158.76;166.88;150.20;159.06;64464090
SBER;12H;04/04/22;120000;159.03;166.00;158.64;166.00;51474820
SBER;12H;05/04/22;000000;169.83;169.90;158.15;160.69;46313870
SBER;12H;05/04/22;120000;160.53;161.80;147.76;154.10;84028920
SBER;12H;06/04/22;000000;143.51;150.95;140.65;149.28;37278650
SBER;12H;06/04/22;120000;149.28;153.30;141.00;141.60;71761760
SBER;12H;07/04/22;000000;143.10;148.00;142.50;147.42;29782240
SBER;12H;07/04/22;120000;147.42;149.90;144.54;147.50;29056800
SBER;12H;08/04/22;000000;149.05;151.00;145.35;146.10;17542680
SBER;12H;08/04/22;120000;146.12;147.12;141.06;143.72;30907910
SBER;12H;11/04/22;000000;144.09;146.98;141.04;144.47;16289900
SBER;12H;11/04/22;120000;144.47;144.70;138.50;138.69;31285930
SBER;12H;12/04/22;000000;138.84;140.10;130.35;132.36;42082700
SBER;12H;12/04/22;120000;132.38;135.50;130.65;135.38;33306100
SBER;12H;13/04/22;000000;136.78;138.14;133.57;134.00;19075410
SBER;12H;13/04/22;120000;133.93;135.85;132.72;135.50;20012430
SBER;12H;14/04/22;000000;135.85;135.89;132.24;133.11;14192390
SBER;12H;14/04/22;120000;133.11;133.74;129.05;129.05;30175970
SBER;12H;15/04/22;000000;128.55;131.72;125.12;129.93;25674990
SBER;12H;15/04/22;120000;129.92;130.99;127.52;130.88;21097560
SBER;12H;18/04/22;000000;131.41;132.68;126.31;127.15;24100200
SBER;12H;18/04/22;120000;127.15;127.72;123.70;123.85;34400400
SBER;12H;19/04/22;000000;123.85;123.85;119.66;120.88;26187610
SBER;12H;19/04/22;120000;120.88;121.39;115.36;120.30;53718090
SBER;12H;20/04/22;000000;121.00;122.37;117.51;122.10;19557960
SBER;12H;20/04/22;120000;122.10;125.44;120.20;121.50;47045240
SBER;12H;21/04/22;000000;121.97;123.05;117.85;119.69;19251560
SBER;12H;21/04/22;120000;119.64;121.20;118.00;118.65;21397000
SBER;12H;22/04/22;000000;118.65;122.32;116.55;118.42;25055760
