<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;10/01/22;000000;295.52;298.88;288.68;291.69;67426550
SBER;D;11/01/22;000000;293.4;293.94;288.71;291.88;58921530
SBER;D;12/01/22;000000;292.82;292.92;285.05;290.4;81822450
SBER;D;13/01/22;000000;289.56;290.37;269.9;272.5;211556190
SBER;D;14/01/22;000000;272.39;277.98;249.2;261.0;406253690
SBER;D;17/01/22;000000;262.15;264.01;247.0;257.78;248689250
SBER;D;18/01/22;000000;258.8;259.39;228.09;234.7;484056480
SBER;D;19/01/22;000000;232.9;249.0;221.03;244.86;360958990
SBER;D;20/01/22;000000;244.17;263.0;240.01;254.61;329113650
SBER;D;21/01/22;000000;252.99;259.08;246.0;246.9;295690670
SBER;D;24/01/22;000000;246.51;249.88;226.0;236.97;325829650
SBER;D;25/01/22;000000;237.0;243.55;231.0;239.59;232596970
SBER;D;26/01/22;000000;240.5;245.17;233.3;236.9;224840650
SBER;D;27/01/22;000000;235.0;260.0;233.1;254.29;301306340
SBER;D;28/01/22;000000;255.87;262.0;252.02;257.82;204180270
SBER;D;31/01/22;000000;258.98;269.6;258.81;269.42;156175080
SBER;D;01/02/22;000000;269.72;273.1;260.56;264.7;170396140
SBER;D;02/02/22;000000;265.88;266.91;254.52;261.0;170215080
SBER;D;03/02/22;000000;258.45;259.87;250.06;250.79;151173100
SBER;D;04/02/22;000000;251.99;259.74;251.91;256.53;127035170
SBER;D;07/02/22;000000;256.99;260.53;253.52;257.61;85586640
SBER;D;08/02/22;000000;257.6;269.9;256.52;269.8;161506220
SBER;D;09/02/22;000000;270.01;279.71;270.0;279.09;193575010
SBER;D;10/02/22;000000;279.2;282.3;273.67;275.2;180148360
SBER;D;11/02/22;000000;274.9;275.87;259.61;260.83;213954390
SBER;D;14/02/22;000000;256.69;259.5;245.1;256.7;357654570
SBER;D;15/02/22;000000;257.89;274.0;257.51;274.0;271518670
SBER;D;16/02/22;000000;276.88;281.0;274.15;277.78;195822410
SBER;D;17/02/22;000000;277.0;277.0;259.36;260.58;262088700
SBER;D;18/02/22;000000;262.13;267.0;245.0;250.28;270594740
SBER;D;21/02/22;000000;249.15;258.32;184.3;201.0;1084508440
SBER;D;22/02/22;000000;198.72;219.9;182.03;208.53;946020570
SBER;D;24/02/22;000000;187.54;187.54;89.59;132.18;829355880
SBER;D;25/02/22;000000;123.75;152.89;115.11;131.12;396287150
SBER;D;24/03/22;000000;131.0;156.2;130.15;136.24;159464350
SBER;D;25/03/22;000000;137.0;147.0;128.2;131.5;57662950
SBER;D;28/03/22;000000;130.6;131.47;125.0;125.0;33212430
SBER;D;29/03/22;000000;126.16;137.57;122.0;128.77;72338740
SBER;D;30/03/22;000000;136.89;138.4;131.11;134.6;35675450
SBER;D;31/03/22;000000;135.25;147.41;134.52;143.69;118425000
SBER;D;01/04/22;000000;145.0;155.4;144.51;154.5;118880720
SBER;D;04/04/22;000000;158.76;166.88;150.2;166.0;115938910
SBER;D;05/04/22;000000;169.83;169.9;147.76;154.1;130342790
SBER;D;06/04/22;000000;143.51;153.3;140.65;141.6;109040410
SBER;D;07/04/22;000000;143.1;149.9;142.5;147.5;58839040
SBER;D;08/04/22;000000;149.05;151.0;141.06;143.72;48450590
SBER;D;11/04/22;000000;144.09;146.98;138.5;138.69;47575830
SBER;D;12/04/22;000000;138.84;140.1;130.35;135.38;75388800
SBER;D;13/04/22;000000;136.78;138.14;132.72;135.5;39087840
SBER;D;14/04/22;000000;135.85;135.89;129.05;129.05;44368360
SBER;D;15/04/22;000000;128.55;131.72;125.12;130.88;46772550
SBER;D;18/04/22;000000;131.41;132.68;123.7;123.85;58500600
SBER;D;19/04/22;000000;123.85;123.85;115.36;120.3;79905700
SBER;D;20/04/22;000000;121.0;125.44;117.51;121.5;66603200
SBER;D;21/04/22;000000;121.97;123.05;117.85;118.65;40648560
SBER;D;22/04/22;000000;118.65;122.32;115.55;116.97;57466590
SBER;D;25/04/22;000000;116.0;116.4;111.5;111.9;45811390
SBER;D;26/04/22;000000;112.58;124.92;111.9;122.36;83540530
SBER;D;27/04/22;000000;123.0;131.73;120.6;131.11;115500050
SBER;D;28/04/22;000000;132.14;134.5;123.05;123.85;123541890
SBER;D;29/04/22;000000;123.67;130.0;122.8;128.8;87366110
SBER;D;04/05/22;000000;129.1;131.5;122.5;123.2;67289000
SBER;D;05/05/22;000000;124.21;125.54;122.75;124.8;42383000
SBER;D;06/05/22;000000;124.74;124.99;121.52;123.1;30602500
SBER;D;11/05/22;000000;123.0;126.05;121.86;123.34;32870440
SBER;D;12/05/22;000000;123.1;123.74;118.05;119.15;30846460
SBER;D;13/05/22;000000;120.45;121.59;118.2;120.2;22838020
SBER;D;16/05/22;000000;120.9;123.5;119.5;123.41;34940660
SBER;D;17/05/22;000000;124.0;127.78;123.65;127.75;41963590
SBER;D;18/05/22;000000;128.2;131.3;125.0;125.12;55565940
SBER;D;19/05/22;000000;125.31;126.86;123.21;125.6;34246550
SBER;D;20/05/22;000000;126.06;127.0;121.05;122.2;39288280
SBER;D;23/05/22;000000;121.5;122.5;118.9;119.46;37976200
SBER;D;24/05/22;000000;119.45;125.0;117.1;123.6;45164830
SBER;D;25/05/22;000000;124.11;125.5;120.5;124.15;53511900
SBER;D;26/05/22;000000;124.8;125.99;122.0;123.0;51985140
SBER;D;27/05/22;000000;123.0;123.5;120.9;121.22;32685350
SBER;D;30/05/22;000000;121.6;123.0;120.21;120.67;24957710
SBER;D;31/05/22;000000;120.0;120.0;117.62;118.3;29983170
SBER;D;01/06/22;000000;117.5;122.69;117.0;121.97;43785040
SBER;D;02/06/22;000000;121.9;122.39;118.5;119.0;42769900
SBER;D;03/06/22;000000;119.29;120.16;117.18;119.21;34341530
SBER;D;06/06/22;000000;119.26;120.35;118.29;118.78;22281970
SBER;D;07/06/22;000000;118.68;118.9;117.32;118.32;22274020
SBER;D;08/06/22;000000;118.51;122.19;118.4;119.9;41514970
SBER;D;09/06/22;000000;120.0;120.2;117.7;118.2;29371970
SBER;D;10/06/22;000000;118.03;119.55;117.73;118.07;25373000
SBER;D;14/06/22;000000;118.03;119.88;115.8;118.98;37690460
SBER;D;15/06/22;000000;119.4;121.71;118.71;121.14;52262500
SBER;D;16/06/22;000000;121.5;123.73;120.41;123.73;47921410
SBER;D;17/06/22;000000;123.97;125.18;123.11;123.88;36608520
SBER;D;20/06/22;000000;124.1;131.5;123.6;131.29;65683460
SBER;D;21/06/22;000000;131.98;133.49;127.11;129.1;75565750
SBER;D;22/06/22;000000;127.88;133.21;126.03;133.11;67799070
SBER;D;23/06/22;000000;133.9;138.4;131.5;136.85;108118920
SBER;D;24/06/22;000000;137.16;138.3;135.21;137.76;45254820
SBER;D;27/06/22;000000;137.7;141.77;136.77;141.15;69963540
SBER;D;28/06/22;000000;141.75;142.35;138.5;139.99;54863240
SBER;D;29/06/22;000000;139.8;139.89;132.75;132.8;55164310
SBER;D;30/06/22;000000;132.5;135.44;123.55;125.2;91499020
SBER;D;01/07/22;000000;124.13;132.0;122.5;129.91;60628570
SBER;D;04/07/22;000000;129.0;132.8;127.16;131.43;48006990
SBER;D;05/07/22;000000;132.0;135.7;131.43;133.5;51662270
SBER;D;06/07/22;000000;133.5;137.1;132.5;134.0;47075440
SBER;D;07/07/22;000000;134.0;135.2;131.22;133.09;43059280
SBER;D;08/07/22;000000;133.15;133.98;130.9;133.3;27635050
SBER;D;11/07/22;000000;132.8;133.9;126.42;126.8;53725410
SBER;D;12/07/22;000000;126.5;129.35;124.2;129.0;57254290
SBER;D;13/07/22;000000;129.8;129.95;125.36;126.0;45932640
SBER;D;14/07/22;000000;125.97;128.0;124.61;125.9;41704620
SBER;D;15/07/22;000000;126.06;129.44;125.27;128.9;44954140
SBER;D;18/07/22;000000;130.0;130.64;127.25;128.11;35478100
SBER;D;19/07/22;000000;128.0;128.11;125.51;127.76;32381170
SBER;D;20/07/22;000000;128.12;129.2;126.16;126.44;34762350
SBER;D;21/07/22;000000;126.44;126.83;122.24;125.48;53633030
SBER;D;22/07/22;000000;125.5;129.1;125.03;128.82;46478250
SBER;D;25/07/22;000000;128.9;132.0;127.24;131.45;55990880
SBER;D;26/07/22;000000;132.02;133.9;131.0;132.9;50351100
SBER;D;27/07/22;000000;132.9;134.79;131.62;132.5;42526820
SBER;D;28/07/22;000000;133.01;133.49;130.1;131.72;40102900
SBER;D;29/07/22;000000;131.65;132.75;130.31;131.9;27788260
SBER;D;01/08/22;000000;131.77;131.77;127.34;127.34;44322900
SBER;D;02/08/22;000000;126.6;128.44;125.6;127.53;44006150
SBER;D;03/08/22;000000;128.05;129.15;126.27;126.85;30948110
SBER;D;04/08/22;000000;126.94;128.13;126.16;126.95;19560540
SBER;D;05/08/22;000000;127.5;127.58;122.24;122.4;61176570
SBER;D;08/08/22;000000;126.11;127.38;123.51;123.81;53664860
SBER;D;09/08/22;000000;123.9;126.5;122.3;126.4;37919970
SBER;D;10/08/22;000000;126.25;127.29;124.87;126.2;31939910
SBER;D;11/08/22;000000;126.97;126.97;123.07;123.45;30949210
SBER;D;12/08/22;000000;123.46;124.98;122.6;124.88;27223160
SBER;D;15/08/22;000000;124.56;125.7;123.28;125.0;25355480
SBER;D;16/08/22;000000;125.2;126.86;124.53;126.39;27290920
SBER;D;17/08/22;000000;126.58;127.44;124.5;124.5;32888950
SBER;D;18/08/22;000000;124.39;126.5;123.92;126.3;25415410
SBER;D;19/08/22;000000;126.3;126.36;124.72;125.2;18676990
SBER;D;22/08/22;000000;125.0;126.69;124.7;126.06;24510110
SBER;D;23/08/22;000000;126.06;130.49;126.01;130.38;65419130
SBER;D;24/08/22;000000;130.6;131.64;127.85;128.15;45833690
SBER;D;25/08/22;000000;128.15;129.81;127.1;128.18;36067720
SBER;D;26/08/22;000000;128.02;130.5;127.62;130.4;32879870
SBER;D;29/08/22;000000;130.12;131.4;129.52;131.17;40911490
SBER;D;30/08/22;000000;131.17;132.6;129.65;130.05;51084490
SBER;D;31/08/22;000000;132.3;138.34;131.5;134.25;107450510
SBER;D;01/09/22;000000;133.99;138.22;132.02;138.2;54942470
SBER;D;02/09/22;000000;138.8;144.9;136.22;143.8;136891810
SBER;D;05/09/22;000000;143.5;145.1;139.11;141.0;87603050
SBER;D;06/09/22;000000;140.9;141.07;135.22;137.23;86674520
SBER;D;07/09/22;000000;136.96;139.19;135.41;136.86;60753730
SBER;D;08/09/22;000000;136.69;137.4;134.0;134.51;57744420
SBER;D;09/09/22;000000;134.41;138.47;134.23;138.15;49115280
SBER;D;12/09/22;000000;137.07;140.37;136.8;138.7;52610620
SBER;D;13/09/22;000000;138.7;139.37;136.15;137.0;44582700
SBER;D;14/09/22;000000;136.6;139.29;135.2;138.9;62838520
SBER;D;15/09/22;000000;139.15;140.28;137.61;139.48;56243810
SBER;D;16/09/22;000000;139.37;141.39;136.8;137.73;71799280
SBER;D;19/09/22;000000;137.4;139.08;137.07;138.04;33272190
SBER;D;20/09/22;000000;137.87;138.35;122.42;125.1;208947780
SBER;D;21/09/22;000000;112.5;123.98;109.27;120.23;136625430
SBER;D;22/09/22;000000;120.25;126.95;120.25;124.31;117479960
SBER;D;23/09/22;000000;124.49;124.5;117.35;119.39;85906070
SBER;D;26/09/22;000000;114.0;117.99;105.0;107.06;148638170
SBER;D;27/09/22;000000;110.0;113.89;107.07;112.92;90981060
SBER;D;28/09/22;000000;112.0;115.2;109.13;111.06;77969660
SBER;D;29/09/22;000000;111.59;112.2;107.68;110.41;67487760
SBER;D;30/09/22;000000;111.0;113.4;103.4;110.21;133569040
SBER;D;03/10/22;000000;110.62;114.65;109.0;114.35;73960960
SBER;D;04/10/22;000000;115.06;115.5;110.3;110.55;83564680
SBER;D;05/10/22;000000;110.49;110.49;106.25;108.51;90416920
SBER;D;06/10/22;000000;108.65;110.38;107.57;108.24;51741480
SBER;D;07/10/22;000000;107.7;108.48;101.3;101.5;90989490
SBER;D;10/10/22;000000;96.55;106.77;96.5;106.71;117465350
SBER;D;11/10/22;000000;106.5;108.3;104.26;107.72;76962080
SBER;D;12/10/22;000000;108.27;108.5;105.25;105.9;63378400
SBER;D;13/10/22;000000;105.72;107.3;104.8;106.5;46849810
SBER;D;14/10/22;000000;106.92;109.19;105.69;107.78;52565400
SBER;D;17/10/22;000000;107.93;112.76;107.65;112.44;78496550
SBER;D;18/10/22;000000;113.05;114.37;110.48;110.88;101854810
SBER;D;19/10/22;000000;110.12;112.93;109.3;112.39;90693010
SBER;D;20/10/22;000000;112.75;117.2;112.37;116.98;100723600
SBER;D;21/10/22;000000;116.93;119.94;114.37;119.45;102382050
SBER;D;24/10/22;000000;120.15;121.68;117.65;118.8;74539310
SBER;D;25/10/22;000000;118.84;125.2;118.3;124.36;114156750
SBER;D;26/10/22;000000;124.7;126.88;122.1;124.43;108495360
SBER;D;27/10/22;000000;124.75;127.5;123.68;126.61;87915140
SBER;D;28/10/22;000000;126.14;127.25;124.6;126.97;73660000
SBER;D;31/10/22;000000;127.2;128.6;125.41;126.72;60762870
SBER;D;01/11/22;000000;127.2;127.97;126.12;127.05;36820880
SBER;D;02/11/22;000000;127.06;127.74;123.75;125.49;40216620
SBER;D;03/11/22;000000;125.4;126.1;123.91;125.75;47720130
SBER;D;07/11/22;000000;127.09;132.0;126.5;132.0;91709630
SBER;D;08/11/22;000000;132.0;133.11;130.1;131.29;69556040
SBER;D;09/11/22;000000;131.06;131.47;126.42;127.3;64961510
SBER;D;10/11/22;000000;131.0;136.69;129.77;136.68;171748310
SBER;D;11/11/22;000000;137.9;138.42;135.13;136.98;75710240
SBER;D;14/11/22;000000;137.5;140.7;135.83;139.8;82521030
SBER;D;15/11/22;000000;140.49;141.0;130.86;135.66;145543250
SBER;D;16/11/22;000000;136.99;139.73;136.32;139.18;67090170
SBER;D;17/11/22;000000;139.09;140.35;136.6;137.57;59160240
SBER;D;18/11/22;000000;137.08;137.81;135.84;136.89;44076540
SBER;D;21/11/22;000000;136.01;136.3;132.51;134.46;83599930
SBER;D;22/11/22;000000;134.55;136.0;133.81;135.65;45822990
SBER;D;23/11/22;000000;135.7;137.55;134.5;136.59;52302020
SBER;D;24/11/22;000000;137.0;138.41;136.12;136.61;42388720
SBER;D;25/11/22;000000;137.2;137.24;135.41;136.53;29618830
SBER;D;28/11/22;000000;135.02;136.2;134.1;135.53;45275110
SBER;D;29/11/22;000000;136.29;137.2;135.88;136.37;31648090
SBER;D;30/11/22;000000;136.5;136.78;135.23;136.78;26816190
SBER;D;01/12/22;000000;137.1;137.95;136.31;137.15;33056500
SBER;D;02/12/22;000000;136.99;137.1;136.17;136.66;19261670
SBER;D;05/12/22;000000;136.66;142.68;136.25;142.0;103930500
SBER;D;06/12/22;000000;142.2;143.37;139.11;140.61;51823300
SBER;D;07/12/22;000000;140.5;142.81;138.36;142.32;69885670
SBER;D;08/12/22;000000;143.5;143.6;139.8;139.92;64056510
SBER;D;09/12/22;000000;139.7;140.7;139.24;140.03;29441490
SBER;D;12/12/22;000000;140.19;140.87;138.7;139.48;33477470
SBER;D;13/12/22;000000;139.67;139.93;136.67;138.13;52200510
SBER;D;14/12/22;000000;138.28;138.28;136.6;137.3;34074890
SBER;D;15/12/22;000000;136.99;137.08;134.3;134.55;54791650
SBER;D;16/12/22;000000;134.5;136.09;134.13;135.45;32802120
SBER;D;19/12/22;000000;135.13;136.73;132.86;134.64;58826130
SBER;D;20/12/22;000000;134.51;138.4;134.41;138.28;45017120
SBER;D;21/12/22;000000;138.7;139.12;135.81;137.75;45542340
SBER;D;22/12/22;000000;137.99;138.97;137.0;137.69;30562140
SBER;D;23/12/22;000000;137.49;138.26;136.81;137.94;22908110
SBER;D;26/12/22;000000;138.33;141.0;138.0;140.95;49379370
SBER;D;27/12/22;000000;141.31;142.0;139.6;139.9;41654530
SBER;D;28/12/22;000000;139.73;140.4;138.6;139.51;28045010
SBER;D;29/12/22;000000;139.5;141.65;139.22;140.96;32059860
SBER;D;30/12/22;000000;140.8;141.48;140.13;141.15;28175080
SBER;D;03/01/23;000000;141.6;143.25;141.56;141.78;21098550
SBER;D;04/01/23;000000;141.85;142.28;140.75;141.43;17112740
SBER;D;05/01/23;000000;141.6;141.84;140.54;141.27;17245300
SBER;D;06/01/23;000000;141.39;141.62;140.9;141.4;10657600
SBER;D;09/01/23;000000;141.83;142.99;141.65;142.4;31449160
SBER;D;10/01/23;000000;142.1;142.85;141.31;142.81;23718180
SBER;D;11/01/23;000000;142.97;149.98;142.87;149.96;123147040
SBER;D;12/01/23;000000;150.02;150.79;148.39;149.3;46789300
SBER;D;13/01/23;000000;149.58;153.28;147.71;151.69;88520210
SBER;D;16/01/23;000000;152.89;154.0;151.88;153.71;51753920
SBER;D;17/01/23;000000;154.0;154.31;150.01;150.45;84404770
SBER;D;18/01/23;000000;150.4;153.0;149.41;151.47;67511970
SBER;D;19/01/23;000000;151.2;152.85;148.56;149.34;66813960
SBER;D;20/01/23;000000;149.7;151.4;148.64;151.38;44254820
SBER;D;23/01/23;000000;151.9;154.1;151.01;153.5;55198870
SBER;D;24/01/23;000000;153.95;155.58;152.28;152.66;78734130
SBER;D;25/01/23;000000;152.45;153.6;151.5;152.81;43376700
SBER;D;26/01/23;000000;153.32;154.3;151.73;152.4;45513320
SBER;D;27/01/23;000000;152.4;153.48;151.69;153.2;34123690
SBER;D;30/01/23;000000;153.5;153.88;152.21;153.38;31105220
SBER;D;31/01/23;000000;153.51;158.18;153.3;158.07;77890320
SBER;D;01/02/23;000000;158.2;159.6;156.5;158.29;66332200
SBER;D;02/02/23;000000;158.4;160.29;157.37;159.45;53866380
SBER;D;03/02/23;000000;159.1;162.32;157.88;161.26;63735330
SBER;D;06/02/23;000000;161.78;167.17;161.01;167.09;89083530
SBER;D;07/02/23;000000;167.3;168.7;163.4;165.39;92661570
SBER;D;08/02/23;000000;165.0;166.35;162.7;164.15;58669030
SBER;D;09/02/23;000000;164.33;167.47;161.27;165.31;107139220
SBER;D;10/02/23;000000;165.0;166.49;164.5;165.52;40924680
SBER;D;13/02/23;000000;165.2;166.88;164.17;164.32;36212200
SBER;D;14/02/23;000000;164.3;164.38;161.64;161.86;58832960
SBER;D;15/02/23;000000;160.94;161.12;153.83;156.25;113804160
SBER;D;16/02/23;000000;157.33;159.3;156.25;158.22;68549280
SBER;D;17/02/23;000000;158.0;160.38;156.91;159.73;52179940
SBER;D;20/02/23;000000;159.41;161.3;156.73;160.09;63971610
SBER;D;21/02/23;000000;160.66;165.65;159.26;164.15;127422480
SBER;D;22/02/23;000000;164.13;164.42;162.5;163.37;43772430
SBER;D;24/02/23;000000;163.33;165.5;163.1;164.3;37727230
SBER;D;27/02/23;000000;163.52;170.0;162.96;169.95;100133280
SBER;D;28/02/23;000000;170.5;171.92;168.37;169.82;80748140
SBER;D;01/03/23;000000;170.4;171.66;169.5;170.53;53784730
SBER;D;02/03/23;000000;170.4;170.4;166.55;168.05;86095640
SBER;D;03/03/23;000000;168.17;171.26;167.9;171.16;49566770
SBER;D;06/03/23;000000;172.14;172.99;171.35;171.84;64585290
SBER;D;07/03/23;000000;171.87;174.2;171.0;174.01;55287380
SBER;D;09/03/23;000000;174.85;174.89;172.21;172.55;80393110
SBER;D;10/03/23;000000;171.55;173.0;170.58;172.53;50256970
SBER;D;13/03/23;000000;172.5;173.9;169.26;172.15;74032280
SBER;D;14/03/23;000000;171.61;176.95;171.01;175.71;89325670
SBER;D;15/03/23;000000;176.0;177.37;173.59;175.3;79930290
SBER;D;16/03/23;000000;174.94;176.04;173.36;175.45;51534160
SBER;D;17/03/23;000000;183.0;193.66;178.56;193.59;388164850
SBER;D;20/03/23;000000;196.02;205.09;195.0;203.73;156714250
SBER;D;21/03/23;000000;204.76;208.0;201.25;203.32;122583960
SBER;D;22/03/23;000000;203.4;204.4;201.59;202.89;57568140
SBER;D;23/03/23;000000;202.53;204.2;202.22;202.58;26650230
SBER;D;24/03/23;000000;202.86;203.85;202.0;203.57;24325540
SBER;D;27/03/23;000000;204.01;213.2;204.01;211.84;101521380
SBER;D;28/03/23;000000;212.86;214.7;210.67;214.03;73901050
SBER;D;29/03/23;000000;214.85;219.53;213.6;217.99;96682530
SBER;D;30/03/23;000000;217.3;218.45;216.12;216.87;40886950
SBER;D;31/03/23;000000;217.2;217.35;211.3;216.6;88081360
SBER;D;03/04/23;000000;218.45;219.44;214.8;216.09;55175630
SBER;D;04/04/23;000000;216.2;217.29;213.8;214.83;45803380
SBER;D;05/04/23;000000;214.65;216.3;211.4;216.15;46177490
SBER;D;06/04/23;000000;216.3;217.38;214.07;214.25;39061450
SBER;D;07/04/23;000000;214.5;216.39;213.65;216.27;29198130
SBER;D;10/04/23;000000;217.1;222.26;216.61;222.21;85196000
SBER;D;11/04/23;000000;222.9;223.33;217.62;218.6;98538370
SBER;D;12/04/23;000000;218.6;219.7;216.67;219.22;44767540
SBER;D;13/04/23;000000;219.49;220.89;218.0;219.85;32672160
SBER;D;14/04/23;000000;220.0;222.5;218.51;221.87;43316040
SBER;D;17/04/23;000000;222.98;228.2;222.91;228.1;78797270
SBER;D;18/04/23;000000;227.89;232.76;227.05;232.66;97770120
SBER;D;19/04/23;000000;232.67;237.37;231.1;232.95;115713300
SBER;D;20/04/23;000000;233.32;236.47;229.84;236.28;85093750
SBER;D;21/04/23;000000;237.4;238.85;233.52;235.17;115905760
SBER;D;24/04/23;000000;235.07;236.4;234.1;235.1;30536770
SBER;D;25/04/23;000000;235.13;235.82;234.21;235.3;32187450
SBER;D;26/04/23;000000;235.6;235.95;234.91;235.21;24430320
SBER;D;27/04/23;000000;235.59;240.74;235.13;240.38;68311610
SBER;D;28/04/23;000000;240.9;241.58;237.66;240.38;49583350
SBER;D;02/05/23;000000;242.2;245.0;237.4;242.62;83957810
SBER;D;03/05/23;000000;242.85;242.99;234.0;235.77;76827180
SBER;D;04/05/23;000000;236.89;239.74;236.05;238.89;53079590
SBER;D;05/05/23;000000;239.24;240.66;237.3;237.7;61366140
SBER;D;08/05/23;000000;238.69;239.86;237.36;238.27;47865890
SBER;D;10/05/23;000000;216.5;227.5;215.7;227.06;156874740
SBER;D;11/05/23;000000;228.87;235.38;223.94;229.32;197302410
SBER;D;12/05/23;000000;231.0;232.47;226.15;229.29;70528170
