<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;22/12/25;070000;300.35;300.48;299.5;300.2;500080
SBER;60;22/12/25;080000;300.2;300.4;299.52;299.89;342176
SBER;60;22/12/25;090000;299.89;299.89;298.72;299.43;1415657
SBER;60;22/12/25;100000;299.43;299.5;297.6;297.65;3510534
SBER;60;22/12/25;110000;297.64;298.48;296.84;298.03;7302497
SBER;60;22/12/25;120000;298.03;298.79;297.79;298.53;1991396
SBER;60;22/12/25;130000;298.53;299.02;298.5;298.86;1066850
SBER;60;22/12/25;140000;298.87;298.99;298.2;298.61;1038474
SBER;60;22/12/25;150000;298.61;298.62;298.04;298.32;1085658
SBER;60;22/12/25;160000;298.33;298.8;298;298.12;1188681
SBER;60;22/12/25;170000;298.12;298.25;297.68;297.93;1170088
SBER;60;22/12/25;180000;297.94;298.02;297.52;298.02;1192824
SBER;60;22/12/25;190000;298.03;298.24;297.9;297.99;424036
SBER;60;22/12/25;200000;297.99;298.07;297.8;297.95;188688
SBER;60;22/12/25;210000;297.95;298;297.55;297.62;471094
SBER;60;22/12/25;220000;297.62;297.65;297.45;297.46;356330
SBER;60;22/12/25;230000;297.45;297.85;297.23;297.72;346477
SBER;60;23/12/25;070000;298.02;298.7;297.9;298.34;528660
SBER;60;23/12/25;080000;298.34;298.35;298.06;298.25;216046
SBER;60;23/12/25;090000;298.24;298.27;297.47;298.13;473132
SBER;60;23/12/25;100000;298.13;299.25;297.92;298.83;1666844
SBER;60;23/12/25;110000;298.83;299.1;297.32;298.15;1666548
SBER;60;23/12/25;120000;298.15;298.3;297.64;298.14;1340382
SBER;60;23/12/25;130000;298.14;298.77;297.9;298.42;626937
SBER;60;23/12/25;140000;298.43;300.14;298.2;300.11;2031342
SBER;60;23/12/25;150000;300.09;300.7;299.73;300.24;2878175
SBER;60;23/12/25;160000;300.23;301.42;300.2;301.32;2667701
SBER;60;23/12/25;170000;301.33;301.68;300.85;301.18;1891710
SBER;60;23/12/25;180000;301.18;301.39;300.89;301.05;980012
SBER;60;23/12/25;190000;301.06;301.33;300.63;300.64;578600
SBER;60;23/12/25;200000;300.65;300.76;300.51;300.69;200997
SBER;60;23/12/25;210000;300.7;300.97;300.69;300.91;268220
SBER;60;23/12/25;220000;300.9;301.08;300.8;300.9;273112
SBER;60;23/12/25;230000;300.9;300.93;300.55;300.65;175239
