<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SNGSP;12H;03/01/22;000000;38.81;38.98;38.73;38.85;3700400
SNGSP;12H;03/01/22;120000;38.84;38.99;38.78;38.87;7432700
SNGSP;12H;04/01/22;000000;38.99;39.40;38.67;39.35;6849900
SNGSP;12H;04/01/22;120000;39.36;39.94;39.33;39.72;20627300
SNGSP;12H;05/01/22;000000;39.66;39.88;39.12;39.45;13320700
SNGSP;12H;05/01/22;120000;39.43;39.48;38.77;39.08;21779300
SNGSP;12H;06/01/22;000000;39.08;39.35;38.56;38.91;11963100
SNGSP;12H;06/01/22;120000;38.90;39.04;38.41;38.90;18972900
SNGSP;12H;10/01/22;000000;38.92;39.29;38.84;38.88;8949000
SNGSP;12H;10/01/22;120000;38.88;39.02;38.66;38.95;18167000
SNGSP;12H;11/01/22;000000;38.87;39.00;38.80;38.90;2578900
SNGSP;12H;11/01/22;120000;38.90;39.19;38.88;39.00;17484600
SNGSP;12H;12/01/22;000000;39.00;39.07;38.73;38.77;3300900
SNGSP;12H;12/01/22;120000;38.77;39.15;38.72;38.91;21445600
SNGSP;12H;13/01/22;000000;38.86;38.94;38.73;38.78;2070800
SNGSP;12H;13/01/22;120000;38.78;38.87;38.01;38.47;36430900
SNGSP;12H;14/01/22;000000;38.48;38.65;38.27;38.58;5021800
SNGSP;12H;14/01/22;120000;38.58;38.79;37.71;38.59;41731900
SNGSP;12H;17/01/22;000000;38.61;39.00;38.31;38.59;9244000
SNGSP;12H;17/01/22;120000;38.58;38.84;38.02;38.34;21331200
SNGSP;12H;18/01/22;000000;38.31;38.69;37.80;37.91;10445500
SNGSP;12H;18/01/22;120000;37.93;37.95;36.20;37.30;55388400
SNGSP;12H;19/01/22;000000;37.20;37.88;36.11;37.71;28139600
SNGSP;12H;19/01/22;120000;37.73;37.92;37.03;37.47;27557300
SNGSP;12H;20/01/22;000000;37.50;37.95;37.28;37.63;9718400
SNGSP;12H;20/01/22;120000;37.63;37.95;37.39;37.49;14149500
SNGSP;12H;21/01/22;000000;37.41;37.59;37.10;37.42;6897400
SNGSP;12H;21/01/22;120000;37.41;37.42;36.67;37.15;27762600
SNGSP;12H;24/01/22;000000;37.05;37.27;36.53;37.00;9937700
SNGSP;12H;24/01/22;120000;36.96;37.07;35.95;36.38;63515300
SNGSP;12H;25/01/22;000000;36.40;36.74;36.05;36.45;10597900
SNGSP;12H;25/01/22;120000;36.45;36.67;36.01;36.55;22816100
SNGSP;12H;26/01/22;000000;36.49;36.59;36.22;36.55;6658700
SNGSP;12H;26/01/22;120000;36.57;37.33;36.55;36.81;25880600
SNGSP;12H;27/01/22;000000;36.78;37.37;36.51;37.07;8014700
SNGSP;12H;27/01/22;120000;37.06;37.66;36.84;37.05;32615200
SNGSP;12H;28/01/22;000000;37.22;37.40;36.68;36.94;10921600
SNGSP;12H;28/01/22;120000;36.94;37.41;36.81;37.30;17071000
SNGSP;12H;31/01/22;000000;37.22;37.86;37.22;37.68;7771500
SNGSP;12H;31/01/22;120000;37.66;37.73;37.14;37.41;16640900
SNGSP;12H;01/02/22;000000;37.45;37.50;37.27;37.34;6164100
SNGSP;12H;01/02/22;120000;37.33;37.43;37.09;37.31;12855700
SNGSP;12H;02/02/22;000000;37.27;37.48;37.04;37.12;4423900
SNGSP;12H;02/02/22;120000;37.13;37.28;36.85;37.05;12209500
SNGSP;12H;03/02/22;000000;37.17;37.17;36.79;36.95;3871100
SNGSP;12H;03/02/22;120000;36.95;37.01;36.20;36.45;20909100
SNGSP;12H;04/02/22;000000;36.64;37.09;36.55;37.02;4729500
SNGSP;12H;04/02/22;120000;37.04;37.12;36.57;37.08;18734000
SNGSP;12H;07/02/22;000000;37.12;37.29;36.94;37.12;7625900
SNGSP;12H;07/02/22;120000;37.12;37.19;36.83;37.19;13844700
SNGSP;12H;08/02/22;000000;37.19;37.25;36.97;37.09;5700100
SNGSP;12H;08/02/22;120000;37.08;37.36;37.03;37.35;12602400
SNGSP;12H;09/02/22;000000;37.35;37.62;37.27;37.58;7780700
SNGSP;12H;09/02/22;120000;37.59;37.62;37.19;37.45;17628600
