<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SNGSP;D;03/01/22;000000;38.81;38.99;38.73;38.87;11133100
SNGSP;D;04/01/22;000000;38.99;39.94;38.67;39.72;27477200
SNGSP;D;05/01/22;000000;39.66;39.88;38.77;39.08;35100000
SNGSP;D;06/01/22;000000;39.08;39.35;38.41;38.90;30936000
SNGSP;D;10/01/22;000000;38.92;39.29;38.66;38.95;27116000
SNGSP;D;11/01/22;000000;38.87;39.19;38.80;39.00;20063500
SNGSP;D;12/01/22;000000;39.00;39.15;38.72;38.91;24746500
SNGSP;D;13/01/22;000000;38.86;38.94;38.01;38.47;38501700
SNGSP;D;14/01/22;000000;38.48;38.79;37.71;38.59;46753700
SNGSP;D;17/01/22;000000;38.61;39.00;38.02;38.34;30575200
SNGSP;D;18/01/22;000000;38.31;38.69;36.20;37.30;65833900
SNGSP;D;19/01/22;000000;37.20;37.92;36.11;37.47;55696900
SNGSP;D;20/01/22;000000;37.50;37.95;37.28;37.49;23867900
SNGSP;D;21/01/22;000000;37.41;37.59;36.67;37.15;34660000
SNGSP;D;24/01/22;000000;37.05;37.27;35.95;36.38;73453000
SNGSP;D;25/01/22;000000;36.40;36.74;36.01;36.55;33414000
SNGSP;D;26/01/22;000000;36.49;37.33;36.22;36.81;32539300
SNGSP;D;27/01/22;000000;36.78;37.66;36.51;37.05;40629900
SNGSP;D;28/01/22;000000;37.22;37.41;36.68;37.30;27992600
SNGSP;D;31/01/22;000000;37.22;37.86;37.14;37.41;24412400
SNGSP;D;01/02/22;000000;37.45;37.50;37.09;37.31;19019800
SNGSP;D;02/02/22;000000;37.27;37.48;36.85;37.05;16633400
SNGSP;D;03/02/22;000000;37.17;37.17;36.20;36.45;24780200
SNGSP;D;04/02/22;000000;36.64;37.12;36.55;37.08;23463500
SNGSP;D;07/02/22;000000;37.12;37.29;36.83;37.19;21470600
SNGSP;D;08/02/22;000000;37.19;37.36;36.97;37.35;18302500
SNGSP;D;09/02/22;000000;37.35;37.62;37.19;37.45;25409300
SNGSP;D;10/02/22;000000;37.50;37.92;37.22;37.80;22560700
SNGSP;D;11/02/22;000000;37.75;37.89;37.20;37.36;39573600
SNGSP;D;14/02/22;000000;37.21;37.89;36.63;37.41;42963400
SNGSP;D;15/02/22;000000;37.50;38.20;37.18;37.87;25715300
SNGSP;D;16/02/22;000000;37.92;38.00;37.45;37.83;29216000
SNGSP;D;17/02/22;000000;37.86;37.86;37.18;37.26;19590300
SNGSP;D;18/02/22;000000;37.37;37.53;36.38;36.50;35111900
SNGSP;D;21/02/22;000000;36.44;36.96;30.08;32.58;177891900
SNGSP;D;22/02/22;000000;32.50;35.40;31.24;35.01;138144900
SNGSP;D;24/02/22;000000;31.44;31.44;24.52;28.00;123519300
SNGSP;D;25/02/22;000000;28.98;31.93;28.98;29.98;60183400
