<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SNGS;4H;03/01/22;040000;39.90;40.12;39.76;39.99;500100
SNGS;4H;03/01/22;080000;39.99;40.13;39.58;39.78;10166500
SNGS;4H;03/01/22;120000;39.79;39.80;39.44;39.60;4641900
SNGS;4H;03/01/22;160000;39.59;39.69;39.44;39.59;4086400
SNGS;4H;03/01/22;200000;39.59;39.66;39.55;39.60;1142900
SNGS;4H;04/01/22;040000;39.60;39.65;39.46;39.46;536500
SNGS;4H;04/01/22;080000;39.47;39.77;39.37;39.76;5632100
SNGS;4H;04/01/22;120000;39.76;40.32;39.69;39.95;11397000
SNGS;4H;04/01/22;160000;39.95;40.50;39.90;40.13;14865400
SNGS;4H;04/01/22;200000;40.14;40.26;40.05;40.17;1127200
SNGS;4H;05/01/22;040000;40.10;40.10;39.88;40.00;512900
SNGS;4H;05/01/22;080000;40.05;40.31;39.72;40.02;4560500
SNGS;4H;05/01/22;120000;40.02;40.13;39.68;39.92;6260800
SNGS;4H;05/01/22;160000;39.92;40.20;39.73;39.95;8529500
SNGS;4H;05/01/22;200000;39.95;39.99;38.66;38.75;10896400
SNGS;4H;06/01/22;040000;38.78;39.25;38.62;39.10;1845000
SNGS;4H;06/01/22;080000;39.12;39.59;38.97;39.06;7171000
SNGS;4H;06/01/22;120000;39.05;39.17;38.87;39.11;5337200
SNGS;4H;06/01/22;160000;39.10;39.12;38.73;38.94;8953200
SNGS;4H;06/01/22;200000;38.93;39.30;38.89;39.12;1580400
SNGS;4H;10/01/22;040000;39.31;39.50;39.20;39.27;356900
SNGS;4H;10/01/22;080000;39.31;40.12;39.20;39.66;9108000
SNGS;4H;10/01/22;120000;39.66;39.95;39.43;39.45;6471600
SNGS;4H;10/01/22;160000;39.44;39.60;38.84;39.10;9360400
SNGS;4H;10/01/22;200000;39.10;39.30;39.02;39.29;1605300
SNGS;4H;11/01/22;040000;39.30;39.58;39.29;39.46;842200
SNGS;4H;11/01/22;080000;39.47;39.49;39.17;39.49;2480800
SNGS;4H;11/01/22;120000;39.48;39.85;39.47;39.81;5934100
SNGS;4H;11/01/22;160000;39.80;40.38;39.70;40.30;23800200
SNGS;4H;11/01/22;200000;40.30;40.35;40.12;40.31;3087900
SNGS;4H;12/01/22;040000;40.37;40.42;40.22;40.23;362400
SNGS;4H;12/01/22;080000;40.22;40.34;39.80;39.83;5643400
SNGS;4H;12/01/22;120000;39.81;40.88;39.80;40.87;12654200
SNGS;4H;12/01/22;160000;40.87;40.95;40.30;40.59;15194600
SNGS;4H;12/01/22;200000;40.60;40.94;40.51;40.83;3418300
SNGS;4H;13/01/22;040000;40.95;41.02;40.60;40.75;581700
SNGS;4H;13/01/22;080000;40.75;40.82;40.22;40.33;5112000
SNGS;4H;13/01/22;120000;40.33;40.38;38.17;38.91;42474100
SNGS;4H;13/01/22;160000;38.90;39.16;38.10;38.52;41523600
SNGS;4H;13/01/22;200000;38.52;38.53;38.32;38.44;6546700
SNGS;4H;14/01/22;040000;38.39;38.73;38.31;38.65;1005000
SNGS;4H;14/01/22;080000;38.66;38.90;38.18;38.48;12635900
SNGS;4H;14/01/22;120000;38.48;38.63;36.41;37.40;46800700
SNGS;4H;14/01/22;160000;37.39;38.58;36.41;38.43;32886600
SNGS;4H;14/01/22;200000;38.42;38.49;38.06;38.39;4620800
SNGS;4H;17/01/22;040000;38.76;38.87;38.39;38.54;3364400
SNGS;4H;17/01/22;080000;38.55;38.95;38.04;38.70;12916600
SNGS;4H;17/01/22;120000;38.70;38.91;38.32;38.47;18404400
SNGS;4H;17/01/22;160000;38.45;38.63;37.34;38.03;14705300
SNGS;4H;17/01/22;200000;38.03;38.28;37.90;38.01;1810400
SNGS;4H;18/01/22;040000;38.08;38.25;37.84;37.87;1323100
SNGS;4H;18/01/22;080000;37.88;37.88;36.73;36.90;15898300
SNGS;4H;18/01/22;120000;36.91;37.16;35.93;36.13;22046000
SNGS;4H;18/01/22;160000;36.13;36.85;35.16;36.80;35478000
SNGS;4H;18/01/22;200000;36.81;36.84;36.23;36.58;3869400
SNGS;4H;19/01/22;040000;36.45;36.70;35.25;35.60;4956900
SNGS;4H;19/01/22;080000;35.59;37.69;35.20;37.38;26674600
SNGS;4H;19/01/22;120000;37.38;37.60;35.74;37.01;66945400
SNGS;4H;19/01/22;160000;37.00;37.41;36.31;36.66;23339400
SNGS;4H;19/01/22;200000;36.66;36.74;36.24;36.39;4755000
SNGS;4H;20/01/22;040000;36.41;36.81;36.22;36.56;2687700
SNGS;4H;20/01/22;080000;36.56;37.10;36.23;36.51;18793000
SNGS;4H;20/01/22;120000;36.49;36.81;36.25;36.44;12271900
SNGS;4H;20/01/22;160000;36.42;36.89;36.35;36.53;16095700
SNGS;4H;20/01/22;200000;36.55;36.65;36.20;36.20;2531500
SNGS;4H;21/01/22;040000;36.20;36.28;35.93;36.19;2573100
SNGS;4H;21/01/22;080000;36.15;36.35;35.78;36.34;7490700
SNGS;4H;21/01/22;120000;36.31;36.42;35.52;36.09;21509700
SNGS;4H;21/01/22;160000;36.10;36.17;35.45;35.71;16067700
SNGS;4H;21/01/22;200000;35.70;35.70;35.42;35.59;2335300
SNGS;4H;24/01/22;040000;35.60;35.87;35.46;35.76;1174800
SNGS;4H;24/01/22;080000;35.76;36.10;34.90;35.12;16458900
SNGS;4H;24/01/22;120000;35.10;35.17;32.97;33.64;37450700
SNGS;4H;24/01/22;160000;33.64;34.37;33.45;33.70;13798600
SNGS;4H;24/01/22;200000;33.69;34.59;33.37;34.59;4939900
SNGS;4H;25/01/22;040000;34.58;34.94;34.12;34.18;3780000
SNGS;4H;25/01/22;080000;34.21;34.85;34.04;34.70;17059700
SNGS;4H;25/01/22;120000;34.70;35.03;34.00;34.08;13698000
SNGS;4H;25/01/22;160000;34.08;34.65;33.91;34.52;18054500
SNGS;4H;25/01/22;200000;34.51;35.35;34.44;35.00;6550500
SNGS;4H;26/01/22;040000;35.12;35.12;34.73;34.95;870600
SNGS;4H;26/01/22;080000;34.91;34.98;34.02;34.57;16311700
SNGS;4H;26/01/22;120000;34.57;34.88;34.37;34.42;21394500
SNGS;4H;26/01/22;160000;34.44;34.98;34.10;34.40;27423800
SNGS;4H;26/01/22;200000;34.38;34.78;34.15;34.24;6687500
SNGS;4H;27/01/22;040000;34.15;34.40;33.92;34.08;2828900
SNGS;4H;27/01/22;080000;34.08;35.19;33.98;35.02;17897400
SNGS;4H;27/01/22;120000;35.03;36.37;34.86;36.18;41237500
SNGS;4H;27/01/22;160000;36.19;36.52;35.71;35.88;27019300
SNGS;4H;27/01/22;200000;35.87;35.88;35.20;35.38;5529600
SNGS;4H;28/01/22;040000;35.40;35.70;35.27;35.48;2508900
SNGS;4H;28/01/22;080000;35.46;36.40;35.06;35.42;19167400
SNGS;4H;28/01/22;120000;35.41;36.22;35.23;36.01;17036700
SNGS;4H;28/01/22;160000;36.01;36.19;35.75;35.96;22805400
SNGS;4H;28/01/22;200000;35.96;36.04;35.52;35.73;3638000
SNGS;4H;31/01/22;040000;36.07;36.25;35.88;36.10;1559200
SNGS;4H;31/01/22;080000;36.09;36.81;36.09;36.50;20138000
SNGS;4H;31/01/22;120000;36.48;36.68;36.26;36.48;10720100
SNGS;4H;31/01/22;160000;36.48;36.49;36.10;36.47;9653400
SNGS;4H;31/01/22;200000;36.47;36.55;36.37;36.53;1868800
SNGS;4H;01/02/22;040000;36.65;36.65;36.40;36.52;1279700
SNGS;4H;01/02/22;080000;36.53;36.58;36.01;36.49;7991000
SNGS;4H;01/02/22;120000;36.45;36.49;36.16;36.23;5373400
SNGS;4H;01/02/22;160000;36.20;36.35;35.84;36.02;8675800
SNGS;4H;01/02/22;200000;36.02;36.02;35.67;35.95;3784900
SNGS;4H;02/02/22;040000;35.88;36.05;35.81;35.99;1555700
SNGS;4H;02/02/22;080000;35.99;36.21;35.64;35.81;5904100
SNGS;4H;02/02/22;120000;35.84;36.41;35.66;36.40;8546000
SNGS;4H;02/02/22;160000;36.40;36.67;35.67;35.80;17128200
SNGS;4H;02/02/22;200000;35.80;35.90;35.77;35.81;1635500
SNGS;4H;03/02/22;040000;35.76;35.94;35.66;35.73;798100
SNGS;4H;03/02/22;080000;35.73;35.84;35.32;35.66;6361800
SNGS;4H;03/02/22;120000;35.63;36.07;35.25;35.76;11949300
SNGS;4H;03/02/22;160000;35.77;35.89;35.38;35.40;8072900
SNGS;4H;03/02/22;200000;35.39;35.65;35.38;35.65;2969900
SNGS;4H;04/02/22;040000;35.80;35.95;35.72;35.88;944100
SNGS;4H;04/02/22;080000;35.90;36.23;35.74;36.10;8717900
SNGS;4H;04/02/22;120000;36.10;36.25;35.79;35.99;13466100
SNGS;4H;04/02/22;160000;36.01;36.12;35.65;36.05;15750000
SNGS;4H;04/02/22;200000;36.03;36.20;36.00;36.10;2438200
SNGS;4H;07/02/22;040000;36.08;36.15;35.91;36.03;1012800
SNGS;4H;07/02/22;080000;36.05;36.74;35.83;35.99;12394700
SNGS;4H;07/02/22;120000;35.99;36.09;35.60;35.92;10371600
SNGS;4H;07/02/22;160000;35.91;36.05;35.81;35.91;8173400
SNGS;4H;07/02/22;200000;35.91;36.15;35.87;36.02;1109800
SNGS;4H;08/02/22;040000;35.81;36.05;35.80;35.93;1081500
SNGS;4H;08/02/22;080000;35.90;36.27;35.83;36.17;5194500
SNGS;4H;08/02/22;120000;36.15;36.67;36.10;36.40;12190300
SNGS;4H;08/02/22;160000;36.41;36.60;36.17;36.58;6708700
SNGS;4H;08/02/22;200000;36.58;36.78;36.55;36.68;2131600
SNGS;4H;09/02/22;040000;36.80;36.98;36.73;36.94;979200
SNGS;4H;09/02/22;080000;36.91;37.15;36.70;37.05;14418000
SNGS;4H;09/02/22;120000;37.08;37.25;36.42;36.56;16316200
SNGS;4H;09/02/22;160000;36.56;36.76;36.23;36.55;10191700
SNGS;4H;09/02/22;200000;36.55;36.60;36.45;36.54;2245700
SNGS;4H;10/02/22;040000;36.54;36.54;36.23;36.45;513200
SNGS;4H;10/02/22;080000;36.45;36.58;36.24;36.32;6782600
SNGS;4H;10/02/22;120000;36.31;36.93;36.02;36.81;11099400
SNGS;4H;10/02/22;160000;36.81;36.98;36.35;36.62;21654400
SNGS;4H;10/02/22;200000;36.61;36.62;36.30;36.42;2666600
SNGS;4H;11/02/22;040000;36.51;36.57;36.11;36.12;1318400
SNGS;4H;11/02/22;080000;36.12;36.36;35.80;35.83;14034600
SNGS;4H;11/02/22;120000;35.82;35.89;35.26;35.65;14841100
SNGS;4H;11/02/22;160000;35.65;35.74;35.47;35.62;6275100
SNGS;4H;11/02/22;200000;35.62;35.67;34.47;34.77;14716600
SNGS;4H;14/02/22;040000;34.51;34.92;34.08;34.74;4153800
SNGS;4H;14/02/22;080000;34.70;35.34;34.61;34.76;9757400
SNGS;4H;14/02/22;120000;34.73;36.05;34.66;35.62;26676100
SNGS;4H;14/02/22;160000;35.62;35.88;34.78;35.09;23668700
SNGS;4H;14/02/22;200000;35.09;35.29;34.50;34.90;5118300
SNGS;4H;15/02/22;040000;35.18;35.41;35.06;35.26;1546600
SNGS;4H;15/02/22;080000;35.23;36.38;35.02;36.37;21443500
SNGS;4H;15/02/22;120000;36.33;36.48;35.70;35.92;11926300
SNGS;4H;15/02/22;160000;35.95;36.06;35.66;35.80;9083000
SNGS;4H;15/02/22;200000;35.80;36.12;35.76;36.09;2208200
SNGS;4H;16/02/22;040000;36.15;36.29;36.03;36.16;1137500
SNGS;4H;16/02/22;080000;36.12;36.52;35.50;36.06;25635200
SNGS;4H;16/02/22;120000;36.06;36.08;35.65;35.69;13387700
SNGS;4H;16/02/22;160000;35.68;35.83;35.48;35.73;15630600
SNGS;4H;16/02/22;200000;35.72;35.90;35.66;35.70;3597100
SNGS;4H;17/02/22;040000;35.65;35.72;35.42;35.49;2717900
SNGS;4H;17/02/22;080000;35.47;35.60;35.07;35.28;12923700
SNGS;4H;17/02/22;120000;35.30;35.45;35.08;35.21;5113400
SNGS;4H;17/02/22;160000;35.19;35.25;34.73;35.10;17343900
SNGS;4H;17/02/22;200000;35.08;35.09;34.90;35.00;1812100
SNGS;4H;18/02/22;040000;35.10;35.39;35.00;35.03;2835300
SNGS;4H;18/02/22;080000;35.03;35.30;34.87;34.95;8176300
SNGS;4H;18/02/22;120000;34.94;35.07;34.73;34.92;6970700
SNGS;4H;18/02/22;160000;34.93;34.94;33.40;33.95;25548200
SNGS;4H;18/02/22;200000;33.95;34.05;33.60;33.84;3919300
SNGS;4H;21/02/22;040000;33.50;34.57;33.48;34.33;4170100
SNGS;4H;21/02/22;080000;34.32;34.40;32.80;32.85;23380300
SNGS;4H;21/02/22;120000;32.86;32.92;30.50;31.20;63081300
SNGS;4H;21/02/22;160000;31.23;31.55;28.15;30.16;64723200
SNGS;4H;21/02/22;200000;30.18;30.30;25.71;28.70;41149000
SNGS;4H;22/02/22;040000;27.98;29.40;27.51;28.96;4397800
SNGS;4H;22/02/22;080000;28.96;29.84;26.64;28.58;47949000
SNGS;4H;22/02/22;120000;28.52;29.11;27.39;28.20;37600600
