<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SNGS;D;03/01/22;000000;39.90;40.13;39.44;39.60;20537800
SNGS;D;04/01/22;000000;39.60;40.50;39.37;40.17;33558200
SNGS;D;05/01/22;000000;40.10;40.31;38.66;38.75;30760100
SNGS;D;06/01/22;000000;38.78;39.59;38.62;39.12;24886800
SNGS;D;10/01/22;000000;39.31;40.12;38.84;39.29;26902200
SNGS;D;11/01/22;000000;39.30;40.38;39.17;40.31;36145200
SNGS;D;12/01/22;000000;40.37;40.95;39.80;40.83;37272900
SNGS;D;13/01/22;000000;40.95;41.02;38.10;38.44;96238100
SNGS;D;14/01/22;000000;38.39;38.90;36.41;38.39;97949000
SNGS;D;17/01/22;000000;38.76;38.95;37.34;38.01;51201100
SNGS;D;18/01/22;000000;38.08;38.25;35.16;36.58;78614800
SNGS;D;19/01/22;000000;36.45;37.69;35.20;36.39;126671300
SNGS;D;20/01/22;000000;36.41;37.10;36.20;36.20;52379800
SNGS;D;21/01/22;000000;36.20;36.42;35.42;35.59;49976500
SNGS;D;24/01/22;000000;35.60;36.10;32.97;34.59;73822900
SNGS;D;25/01/22;000000;34.58;35.35;33.91;35.00;59142700
SNGS;D;26/01/22;000000;35.12;35.12;34.02;34.24;72688100
SNGS;D;27/01/22;000000;34.15;36.52;33.92;35.38;94512700
SNGS;D;28/01/22;000000;35.40;36.40;35.06;35.73;65156400
SNGS;D;31/01/22;000000;36.07;36.81;35.88;36.53;43939500
SNGS;D;01/02/22;000000;36.65;36.65;35.67;35.95;27104800
SNGS;D;02/02/22;000000;35.88;36.67;35.64;35.81;34769500
SNGS;D;03/02/22;000000;35.76;36.07;35.25;35.65;30152000
SNGS;D;04/02/22;000000;35.80;36.25;35.65;36.10;41316300
SNGS;D;07/02/22;000000;36.08;36.74;35.60;36.02;33062300
SNGS;D;08/02/22;000000;35.81;36.78;35.80;36.68;27306600
SNGS;D;09/02/22;000000;36.80;37.25;36.23;36.54;44150800
SNGS;D;10/02/22;000000;36.54;36.98;36.02;36.42;42716200
SNGS;D;11/02/22;000000;36.51;36.57;34.47;34.77;51185800
SNGS;D;14/02/22;000000;34.51;36.05;34.08;34.90;69374300
SNGS;D;15/02/22;000000;35.18;36.48;35.02;36.09;46207600
SNGS;D;16/02/22;000000;36.15;36.52;35.48;35.70;59388100
SNGS;D;17/02/22;000000;35.65;35.72;34.73;35.00;39911000
SNGS;D;18/02/22;000000;35.10;35.39;33.40;33.84;47449800
SNGS;D;21/02/22;000000;33.50;34.57;25.71;28.70;196503900
SNGS;D;22/02/22;000000;27.98;30.37;26.64;29.85;153744300
SNGS;D;24/02/22;000000;26.88;26.88;15.96;21.20;139363900
SNGS;D;25/02/22;000000;21.48;25.00;21.48;22.42;66468900
SNGS;D;24/03/22;000000;22.40;26.85;22.11;23.80;33051200
SNGS;D;25/03/22;000000;25.00;25.47;22.89;23.30;11796800
SNGS;D;28/03/22;000000;22.40;23.45;22.10;22.20;11973400
SNGS;D;29/03/22;000000;22.23;23.00;20.55;21.40;25414300
SNGS;D;30/03/22;000000;21.99;22.75;21.62;22.44;18421200
SNGS;D;31/03/22;000000;22.79;25.70;22.64;24.70;38286900
SNGS;D;01/04/22;000000;24.99;28.20;24.82;26.50;58705700
SNGS;D;04/04/22;000000;27.00;28.50;27.00;28.00;43545500
SNGS;D;05/04/22;000000;28.49;28.49;25.45;26.19;36207400
SNGS;D;06/04/22;000000;26.00;27.50;25.51;26.10;19744400
SNGS;D;07/04/22;000000;26.20;26.70;25.90;26.10;13745600
SNGS;D;08/04/22;000000;26.27;26.55;25.28;25.76;11457400
SNGS;D;11/04/22;000000;25.80;26.39;25.50;25.66;10725000
SNGS;D;12/04/22;000000;25.63;26.00;24.73;25.56;9101900
SNGS;D;13/04/22;000000;25.40;26.25;25.40;26.19;5707800
SNGS;D;14/04/22;000000;26.26;26.36;24.70;24.82;9881300
SNGS;D;15/04/22;000000;24.57;25.00;24.02;24.62;6114700
SNGS;D;18/04/22;000000;24.70;25.10;23.37;23.91;7878300
SNGS;D;19/04/22;000000;23.91;23.91;22.20;22.99;16753100
SNGS;D;20/04/22;000000;23.09;23.23;22.25;23.20;23189100
SNGS;D;21/04/22;000000;22.97;23.70;22.64;23.00;12973900
SNGS;D;22/04/22;000000;22.89;23.11;22.60;22.69;5585000
SNGS;D;25/04/22;000000;22.60;22.68;21.61;21.89;9962300
SNGS;D;26/04/22;000000;22.00;23.36;21.92;23.23;11542700
SNGS;D;27/04/22;000000;23.23;24.09;22.91;23.79;13132800
SNGS;D;28/04/22;000000;24.00;24.32;23.05;23.36;11346400
SNGS;D;29/04/22;000000;23.32;23.91;23.23;23.69;7720700
SNGS;D;04/05/22;000000;23.71;23.88;23.05;23.05;4156000
SNGS;D;05/05/22;000000;23.30;23.48;23.08;23.30;2773600
SNGS;D;06/05/22;000000;23.12;24.07;22.86;23.92;9588700
SNGS;D;11/05/22;000000;23.97;23.97;23.32;23.56;6494000
SNGS;D;12/05/22;000000;23.56;23.66;22.40;22.55;6061900
SNGS;D;13/05/22;000000;22.73;22.79;22.01;22.13;10916300
SNGS;D;16/05/22;000000;22.18;22.89;22.00;22.50;7866700
SNGS;D;17/05/22;000000;22.62;23.34;22.50;23.00;22632800
SNGS;D;18/05/22;000000;23.16;24.70;23.16;23.40;26626700
SNGS;D;19/05/22;000000;24.39;24.39;22.91;23.70;14285000
SNGS;D;20/05/22;000000;23.60;23.60;22.99;23.00;7327600
SNGS;D;23/05/22;000000;22.93;23.10;22.09;22.09;8310200
SNGS;D;24/05/22;000000;22.32;22.68;21.80;22.30;7397000
SNGS;D;25/05/22;000000;22.42;22.85;22.12;22.49;6846900
SNGS;D;26/05/22;000000;22.67;23.52;22.55;23.22;12724000
SNGS;D;27/05/22;000000;23.30;23.42;22.77;23.02;6613000
SNGS;D;30/05/22;000000;23.27;23.47;22.50;23.00;6623300
SNGS;D;31/05/22;000000;22.95;22.95;21.89;22.27;23136300
SNGS;D;01/06/22;000000;21.91;22.32;21.91;22.20;11828500
SNGS;D;02/06/22;000000;22.18;22.30;21.95;22.00;8312600
SNGS;D;03/06/22;000000;22.20;22.20;21.51;21.61;9054900
SNGS;D;06/06/22;000000;21.76;21.86;21.25;21.48;7096500
SNGS;D;07/06/22;000000;21.59;21.80;21.00;21.73;9080000
SNGS;D;08/06/22;000000;21.81;22.20;21.70;22.10;10573500
SNGS;D;09/06/22;000000;22.19;22.20;21.74;21.93;8609600
SNGS;D;10/06/22;000000;22.01;22.20;21.90;22.10;7413200
SNGS;D;14/06/22;000000;21.94;22.00;21.39;21.80;7989800
SNGS;D;15/06/22;000000;21.79;21.94;21.52;21.82;6699300
SNGS;D;16/06/22;000000;21.82;23.15;21.80;23.02;36606200
SNGS;D;17/06/22;000000;23.04;23.09;22.70;22.70;8503700
SNGS;D;20/06/22;000000;22.84;23.15;22.73;23.05;8353000
SNGS;D;21/06/22;000000;23.15;23.16;22.61;22.61;9407800
SNGS;D;22/06/22;000000;22.60;22.95;22.16;22.51;12627700
SNGS;D;23/06/22;000000;22.51;22.64;22.22;22.52;11207500
SNGS;D;24/06/22;000000;22.43;22.71;22.27;22.50;8254500
SNGS;D;27/06/22;000000;22.54;22.88;22.43;22.88;14524100
SNGS;D;28/06/22;000000;23.10;27.08;22.81;26.85;99005700
SNGS;D;29/06/22;000000;26.98;27.68;24.55;24.90;121655700
SNGS;D;30/06/22;000000;24.90;25.61;23.25;24.03;44956700
SNGS;D;01/07/22;000000;24.03;26.69;23.77;25.11;65125200
SNGS;D;04/07/22;000000;25.35;26.20;25.13;25.48;16041700
SNGS;D;05/07/22;000000;25.55;27.22;25.23;26.97;43997500
SNGS;D;06/07/22;000000;27.07;27.47;26.00;26.37;29589400
SNGS;D;07/07/22;000000;26.35;26.43;25.70;26.14;12379700
SNGS;D;08/07/22;000000;26.18;26.28;25.42;26.00;10134200
SNGS;D;11/07/22;000000;25.95;25.96;24.98;25.18;10273300
SNGS;D;12/07/22;000000;25.11;25.15;24.32;24.78;11367000
SNGS;D;13/07/22;000000;24.94;25.01;24.18;24.33;11958900
SNGS;D;14/07/22;000000;24.43;24.84;23.80;23.95;11820100
SNGS;D;15/07/22;000000;24.10;24.58;23.62;24.55;10914100
SNGS;D;18/07/22;000000;24.55;24.90;24.27;24.45;9481700
SNGS;D;19/07/22;000000;23.89;24.05;23.43;24.05;14628600
SNGS;D;20/07/22;000000;24.05;24.98;23.89;24.90;10625300
SNGS;D;21/07/22;000000;24.96;26.50;24.52;25.77;46421800
SNGS;D;22/07/22;000000;25.80;26.68;25.77;26.36;22134200
SNGS;D;25/07/22;000000;26.35;27.18;25.55;27.05;18040200
SNGS;D;26/07/22;000000;27.07;27.43;26.30;26.79;16134500
SNGS;D;27/07/22;000000;27.00;27.00;26.10;26.11;11687700
SNGS;D;28/07/22;000000;26.10;26.32;25.65;25.88;8593900
SNGS;D;29/07/22;000000;25.80;28.40;25.67;28.16;49987200
SNGS;D;01/08/22;000000;28.20;29.10;27.27;27.43;45732500
SNGS;D;02/08/22;000000;27.35;27.55;26.45;26.45;19329000
SNGS;D;03/08/22;000000;26.57;26.86;26.00;26.00;14537000
SNGS;D;04/08/22;000000;26.02;26.90;25.80;26.34;18199100
SNGS;D;05/08/22;000000;26.35;26.50;25.39;25.39;16345600
SNGS;D;08/08/22;000000;26.00;26.36;25.64;25.64;15168400
SNGS;D;09/08/22;000000;25.70;26.30;25.52;26.25;12127900
SNGS;D;10/08/22;000000;26.30;27.50;26.20;26.83;30223100
SNGS;D;11/08/22;000000;26.97;27.21;26.25;26.75;24182500
SNGS;D;12/08/22;000000;26.53;26.79;26.36;26.54;6677900
SNGS;D;15/08/22;000000;26.70;26.70;25.85;26.49;12745500
SNGS;D;16/08/22;000000;26.50;26.50;26.24;26.42;8094800
SNGS;D;17/08/22;000000;26.50;26.75;26.00;26.00;9524200
SNGS;D;18/08/22;000000;26.00;26.17;25.82;26.00;6531800
SNGS;D;19/08/22;000000;26.10;26.10;25.51;25.75;6906100
SNGS;D;22/08/22;000000;25.55;26.28;25.50;26.05;9344600
SNGS;D;23/08/22;000000;25.99;26.18;25.86;25.97;9427100
SNGS;D;24/08/22;000000;25.99;26.10;25.10;25.22;23497700
SNGS;D;25/08/22;000000;25.27;25.30;24.44;24.65;22198100
SNGS;D;26/08/22;000000;24.85;25.02;24.70;24.96;13629000
SNGS;D;29/08/22;000000;24.93;25.32;24.86;25.07;13040900
