<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TATNP;4H;03/01/22;040000;462.80;466.10;462.00;464.00;44124
TATNP;4H;03/01/22;080000;464.30;470.00;464.10;468.70;552207
TATNP;4H;03/01/22;120000;468.70;469.80;467.60;468.00;244469
TATNP;4H;03/01/22;160000;468.20;470.70;467.60;470.70;190700
TATNP;4H;03/01/22;200000;470.70;472.50;470.30;472.10;63927
TATNP;4H;04/01/22;040000;472.10;473.80;471.60;471.80;29701
TATNP;4H;04/01/22;080000;472.00;474.00;470.10;472.60;192442
TATNP;4H;04/01/22;120000;472.90;474.40;470.50;471.30;197979
TATNP;4H;04/01/22;160000;471.50;474.20;471.10;472.40;181407
TATNP;4H;04/01/22;200000;472.40;473.90;472.00;473.80;42844
TATNP;4H;05/01/22;040000;473.80;473.80;462.00;471.00;41981
TATNP;4H;05/01/22;080000;470.80;475.10;469.40;471.40;372551
TATNP;4H;05/01/22;120000;471.30;472.00;467.00;469.80;308499
TATNP;4H;05/01/22;160000;469.80;471.10;462.80;464.50;331276
TATNP;4H;05/01/22;200000;464.50;464.90;452.30;453.00;502068
TATNP;4H;06/01/22;040000;447.80;449.60;442.50;448.00;133391
TATNP;4H;06/01/22;080000;448.00;454.50;445.80;446.60;418555
TATNP;4H;06/01/22;120000;446.40;457.30;444.80;456.90;472068
TATNP;4H;06/01/22;160000;456.90;459.80;453.70;456.50;531855
TATNP;4H;06/01/22;200000;456.50;459.10;456.40;459.00;51101
TATNP;4H;10/01/22;040000;457.80;461.90;457.00;461.20;30497
TATNP;4H;10/01/22;080000;461.10;465.30;457.30;463.00;506926
TATNP;4H;10/01/22;120000;463.10;465.70;458.20;458.70;629726
TATNP;4H;10/01/22;160000;458.30;463.00;456.10;460.00;276378
TATNP;4H;10/01/22;200000;460.00;462.50;458.40;460.00;32676
TATNP;4H;11/01/22;040000;461.50;463.00;460.00;462.20;7640
TATNP;4H;11/01/22;080000;462.50;462.70;456.60;461.60;260438
TATNP;4H;11/01/22;120000;461.60;463.80;460.40;461.40;261055
TATNP;4H;11/01/22;160000;461.30;465.70;460.00;465.10;338830
TATNP;4H;11/01/22;200000;465.10;468.00;464.20;466.40;98324
TATNP;4H;12/01/22;040000;467.50;468.10;465.00;465.50;9018
TATNP;4H;12/01/22;080000;465.50;467.20;462.50;465.40;139839
TATNP;4H;12/01/22;120000;465.40;470.60;463.90;468.10;719156
TATNP;4H;12/01/22;160000;467.90;469.90;465.30;467.90;570511
TATNP;4H;12/01/22;200000;467.90;469.70;467.20;469.10;74775
TATNP;4H;13/01/22;040000;467.40;469.50;466.40;467.20;9376
TATNP;4H;13/01/22;080000;467.30;472.30;464.00;470.30;212353
