<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TATNP;D;03/01/22;000000;462.80;472.50;462.00;472.10;1095427
TATNP;D;04/01/22;000000;472.10;474.40;470.10;473.80;644373
TATNP;D;05/01/22;000000;473.80;475.10;452.30;453.00;1556375
TATNP;D;06/01/22;000000;447.80;459.80;442.50;459.00;1606970
TATNP;D;10/01/22;000000;457.80;465.70;456.10;460.00;1476203
TATNP;D;11/01/22;000000;461.50;468.00;456.60;466.40;966287
TATNP;D;12/01/22;000000;467.50;470.60;462.50;469.10;1513299
TATNP;D;13/01/22;000000;467.40;472.30;448.80;453.90;1166482
TATNP;D;14/01/22;000000;453.90;459.40;439.10;452.70;1592358
TATNP;D;17/01/22;000000;452.70;459.80;445.20;451.90;1132662
TATNP;D;18/01/22;000000;451.90;455.00;425.50;433.80;1637787
TATNP;D;19/01/22;000000;432.40;456.80;419.10;449.00;2139181
TATNP;D;20/01/22;000000;449.60;458.10;438.10;439.10;1392413
TATNP;D;21/01/22;000000;437.90;443.20;431.50;433.90;1775095
TATNP;D;24/01/22;000000;436.00;439.20;394.50;414.70;3304360
TATNP;D;25/01/22;000000;414.80;421.80;402.00;418.80;3100285
TATNP;D;26/01/22;000000;419.90;427.00;412.00;414.00;2417256
TATNP;D;27/01/22;000000;413.50;440.30;410.30;431.90;1634237
TATNP;D;28/01/22;000000;430.80;449.70;430.80;447.80;1985343
TATNP;D;31/01/22;000000;447.80;456.20;447.10;453.50;1735682
TATNP;D;01/02/22;000000;452.20;454.30;441.80;445.00;1058363
TATNP;D;02/02/22;000000;444.80;448.50;438.60;442.50;1104291
TATNP;D;03/02/22;000000;441.20;442.40;433.40;437.60;598340
TATNP;D;04/02/22;000000;441.00;450.00;436.60;445.00;1362090
TATNP;D;07/02/22;000000;445.00;449.10;436.70;442.80;511305
TATNP;D;08/02/22;000000;441.40;449.40;440.40;448.10;666835
TATNP;D;09/02/22;000000;449.80;458.50;448.00;456.40;1009735
TATNP;D;10/02/22;000000;457.30;457.50;448.50;449.50;709567
TATNP;D;11/02/22;000000;450.10;450.60;430.00;432.80;1063036
TATNP;D;14/02/22;000000;432.80;442.50;427.50;433.90;1374554
TATNP;D;15/02/22;000000;435.00;451.00;434.00;450.70;1064496
TATNP;D;16/02/22;000000;450.70;458.90;448.50;455.10;1083330
TATNP;D;17/02/22;000000;454.70;454.70;440.60;441.50;1421898
TATNP;D;18/02/22;000000;442.90;452.40;431.20;433.30;2030602
TATNP;D;21/02/22;000000;432.90;442.80;370.90;372.90;3371663
TATNP;D;22/02/22;000000;370.20;402.20;338.00;399.60;4295712
TATNP;D;24/02/22;000000;360.90;369.80;203.00;273.60;3119229
TATNP;D;25/02/22;000000;260.70;340.00;260.70;313.10;1443056
TATNP;D;24/03/22;000000;313.00;369.90;300.40;329.00;1767605
TATNP;D;25/03/22;000000;349.00;349.00;315.00;318.50;605574
TATNP;D;28/03/22;000000;326.00;327.00;303.00;318.00;569398
TATNP;D;29/03/22;000000;321.80;344.00;313.00;336.70;1188152
TATNP;D;30/03/22;000000;336.90;356.40;330.10;351.80;894241
TATNP;D;31/03/22;000000;352.00;365.50;351.80;356.30;991269
TATNP;D;01/04/22;000000;356.00;379.70;355.60;368.10;921728
TATNP;D;04/04/22;000000;368.00;374.00;353.70;363.80;341489
TATNP;D;05/04/22;000000;368.80;368.90;340.00;353.90;273206
TATNP;D;06/04/22;000000;352.00;355.60;335.80;347.00;201633
TATNP;D;07/04/22;000000;349.00;350.20;340.00;342.00;317310
TATNP;D;08/04/22;000000;343.00;346.50;336.00;339.20;232662
TATNP;D;11/04/22;000000;339.20;346.70;338.10;340.20;167301
TATNP;D;12/04/22;000000;340.20;343.50;335.60;342.50;264974
TATNP;D;13/04/22;000000;344.00;346.40;342.10;343.10;92383
TATNP;D;14/04/22;000000;343.20;346.50;329.00;332.10;290705
TATNP;D;15/04/22;000000;333.60;333.60;316.50;327.90;223060
TATNP;D;18/04/22;000000;331.90;331.90;317.30;319.20;106028
TATNP;D;19/04/22;000000;320.50;320.50;297.60;308.10;570028
TATNP;D;20/04/22;000000;308.10;325.00;301.20;315.10;276896
TATNP;D;21/04/22;000000;314.30;320.40;303.70;308.60;194786
TATNP;D;22/04/22;000000;310.00;317.70;301.20;310.40;163195
TATNP;D;25/04/22;000000;311.70;322.00;303.40;319.20;269530
TATNP;D;26/04/22;000000;320.50;346.30;316.40;346.30;567383
