<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TATN;8H;03/01/22;000000;505.00;506.70;503.40;505.00;84506
TATN;8H;03/01/22;080000;505.00;513.00;505.00;510.70;1439498
TATN;8H;03/01/22;160000;510.40;515.40;509.10;515.40;595276
TATN;8H;04/01/22;000000;517.80;517.80;514.30;514.30;39820
TATN;8H;04/01/22;080000;514.30;518.00;511.50;513.80;893088
TATN;8H;04/01/22;160000;513.50;518.20;513.30;515.40;605449
TATN;8H;05/01/22;000000;514.50;516.00;511.80;514.50;63926
TATN;8H;05/01/22;080000;514.50;516.90;507.30;511.00;1156538
TATN;8H;05/01/22;160000;511.20;513.20;489.50;492.60;2588598
TATN;8H;06/01/22;000000;483.80;488.70;482.20;487.00;517426
TATN;8H;06/01/22;080000;487.20;495.90;479.00;495.30;3933823
TATN;8H;06/01/22;160000;495.40;498.30;490.50;496.40;1482481
TATN;8H;10/01/22;000000;497.40;501.70;496.00;499.50;52319
TATN;8H;10/01/22;080000;499.40;505.60;495.10;495.60;2435829
TATN;8H;10/01/22;160000;495.40;502.00;494.50;499.80;1278602
TATN;8H;11/01/22;000000;500.00;503.00;500.00;501.90;50089
TATN;8H;11/01/22;080000;501.80;505.00;496.30;502.60;1669986
TATN;8H;11/01/22;160000;502.70;510.80;500.10;508.20;2083968
TATN;8H;12/01/22;000000;508.20;510.00;506.10;506.40;26579
TATN;8H;12/01/22;080000;506.70;513.20;504.70;510.60;1674485
TATN;8H;12/01/22;160000;510.60;512.20;507.10;511.20;1454707
TATN;8H;13/01/22;000000;511.20;512.70;508.80;509.70;32706
TATN;8H;13/01/22;080000;509.40;515.50;501.00;504.80;2877863
TATN;8H;13/01/22;160000;504.80;508.50;489.80;496.30;3063316
TATN;8H;14/01/22;000000;497.80;499.10;495.90;498.80;39094
TATN;8H;14/01/22;080000;498.80;503.30;485.80;497.60;2481387
TATN;8H;14/01/22;160000;497.50;498.30;482.00;498.10;2983830
TATN;8H;17/01/22;000000;498.00;500.00;492.60;496.20;188501
TATN;8H;17/01/22;080000;496.20;508.50;495.70;500.60;3480930
TATN;8H;17/01/22;160000;500.80;502.60;492.00;495.70;1552510
TATN;8H;18/01/22;000000;512.60;512.60;496.00;498.00;178851
TATN;8H;18/01/22;080000;498.20;498.20;472.00;478.50;2780048
TATN;8H;18/01/22;160000;478.70;484.30;466.40;474.00;3089064
TATN;8H;19/01/22;000000;478.60;478.60;460.10;465.00;498033
TATN;8H;19/01/22;080000;466.10;502.50;458.30;496.10;5341292
TATN;8H;19/01/22;160000;496.30;500.00;488.10;490.70;2374752
TATN;8H;20/01/22;000000;494.00;495.00;489.30;493.00;109994
TATN;8H;20/01/22;080000;493.40;501.80;480.00;482.90;2486850
TATN;8H;20/01/22;160000;482.70;489.00;476.40;478.80;4302146
TATN;8H;21/01/22;000000;476.40;476.60;469.10;474.70;381056
TATN;8H;21/01/22;080000;474.20;482.50;471.50;479.50;3228235
TATN;8H;21/01/22;160000;479.70;484.70;472.60;474.20;2427669
TATN;8H;24/01/22;000000;477.80;479.90;474.50;477.80;113374
TATN;8H;24/01/22;080000;478.10;480.50;436.00;445.50;5086976
TATN;8H;24/01/22;160000;445.90;460.90;443.70;459.20;2780498
TATN;8H;25/01/22;000000;459.40;467.40;452.60;453.70;292481
TATN;8H;25/01/22;080000;453.80;466.50;446.30;456.50;2702132
TATN;8H;25/01/22;160000;456.40;479.90;453.10;479.40;2797984
TATN;8H;26/01/22;000000;478.20;479.40;473.20;474.00;104838
TATN;8H;26/01/22;080000;473.40;478.60;464.10;475.90;3322151
TATN;8H;26/01/22;160000;475.90;479.50;466.80;468.00;2894188
TATN;8H;27/01/22;000000;468.00;468.00;460.60;465.10;147672
TATN;8H;27/01/22;080000;465.00;489.90;462.00;489.50;3069473
TATN;8H;27/01/22;160000;489.50;496.00;481.40;484.90;2723840
TATN;8H;28/01/22;000000;487.00;492.80;487.00;488.10;90162
TATN;8H;28/01/22;080000;488.00;498.50;482.40;495.70;2861610
TATN;8H;28/01/22;160000;495.50;505.60;494.80;503.60;3217391
TATN;8H;31/01/22;000000;504.90;507.40;503.50;505.80;135676
TATN;8H;31/01/22;080000;505.80;511.80;500.00;503.30;2484745
TATN;8H;31/01/22;160000;503.20;503.80;494.20;499.70;2459278
TATN;8H;01/02/22;000000;501.80;501.80;496.60;497.40;95437
TATN;8H;01/02/22;080000;497.80;503.80;494.20;494.80;2063804
TATN;8H;01/02/22;160000;494.70;497.90;486.80;491.70;2797474
TATN;8H;02/02/22;000000;491.80;492.40;489.30;489.30;50878
TATN;8H;02/02/22;080000;489.30;498.80;489.20;496.00;2113812
TATN;8H;02/02/22;160000;495.70;497.10;487.70;491.50;1077097
TATN;8H;03/02/22;000000;491.00;491.10;486.20;487.60;102326
TATN;8H;03/02/22;080000;487.60;491.90;477.60;483.90;1888777
TATN;8H;03/02/22;160000;483.70;489.90;481.60;487.90;1740600
TATN;8H;04/02/22;000000;491.00;492.80;489.20;490.90;116621
TATN;8H;04/02/22;080000;491.10;499.70;486.10;489.00;2678058
TATN;8H;04/02/22;160000;489.30;492.30;483.80;490.80;1584933
TATN;8H;07/02/22;000000;489.30;494.00;489.00;493.50;72760
TATN;8H;07/02/22;080000;493.80;496.80;482.20;490.50;1658354
TATN;8H;07/02/22;160000;490.50;492.50;486.80;492.00;1094025
TATN;8H;08/02/22;000000;490.70;492.40;488.70;489.90;30649
TATN;8H;08/02/22;080000;489.80;497.50;488.30;497.00;1727208
TATN;8H;08/02/22;160000;497.00;499.60;491.40;499.10;1513895
TATN;8H;09/02/22;000000;499.80;501.70;498.50;501.40;72440
TATN;8H;09/02/22;080000;501.30;508.40;498.10;507.60;2303446
TATN;8H;09/02/22;160000;507.70;509.80;504.70;506.50;2342840
TATN;8H;10/02/22;000000;505.30;506.80;503.00;504.40;31858
TATN;8H;10/02/22;080000;504.40;504.50;497.70;501.20;1019698
TATN;8H;10/02/22;160000;501.20;508.10;497.00;498.50;1515458
TATN;8H;11/02/22;000000;498.50;498.80;494.70;495.40;79238
TATN;8H;11/02/22;080000;495.40;497.40;485.80;491.40;1632040
TATN;8H;11/02/22;160000;491.50;494.50;474.20;478.70;2539633
