<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TATN;D;03/01/22;000000;505.00;515.40;503.40;515.40;2119280
TATN;D;04/01/22;000000;517.80;518.20;511.50;515.40;1538357
TATN;D;05/01/22;000000;514.50;516.90;489.50;492.60;3809062
TATN;D;06/01/22;000000;483.80;498.30;479.00;496.40;5933730
TATN;D;10/01/22;000000;497.40;505.60;494.50;499.80;3766750
TATN;D;11/01/22;000000;500.00;510.80;496.30;508.20;3804043
TATN;D;12/01/22;000000;508.20;513.20;504.70;511.20;3155771
TATN;D;13/01/22;000000;511.20;515.50;489.80;496.30;5973885
TATN;D;14/01/22;000000;497.80;503.30;482.00;498.10;5504311
TATN;D;17/01/22;000000;498.00;508.50;492.00;495.70;5221941
TATN;D;18/01/22;000000;512.60;512.60;466.40;474.00;6047963
TATN;D;19/01/22;000000;478.60;502.50;458.30;490.70;8214077
TATN;D;20/01/22;000000;494.00;501.80;476.40;478.80;6898990
TATN;D;21/01/22;000000;476.40;484.70;469.10;474.20;6036960
TATN;D;24/01/22;000000;477.80;480.50;436.00;459.20;7980848
TATN;D;25/01/22;000000;459.40;479.90;446.30;479.40;5792597
TATN;D;26/01/22;000000;478.20;479.50;464.10;468.00;6321177
TATN;D;27/01/22;000000;468.00;496.00;460.60;484.90;5940985
TATN;D;28/01/22;000000;487.00;505.60;482.40;503.60;6169163
TATN;D;31/01/22;000000;504.90;511.80;494.20;499.70;5079699
TATN;D;01/02/22;000000;501.80;503.80;486.80;491.70;4956715
TATN;D;02/02/22;000000;491.80;498.80;487.70;491.50;3241787
TATN;D;03/02/22;000000;491.00;491.90;477.60;487.90;3731703
TATN;D;04/02/22;000000;491.00;499.70;483.80;490.80;4379612
TATN;D;07/02/22;000000;489.30;496.80;482.20;492.00;2825139
TATN;D;08/02/22;000000;490.70;499.60;488.30;499.10;3271752
TATN;D;09/02/22;000000;499.80;509.80;498.10;506.50;4718726
TATN;D;10/02/22;000000;505.30;508.10;497.00;498.50;2567014
TATN;D;11/02/22;000000;498.50;498.80;474.20;478.70;4250911
TATN;D;14/02/22;000000;475.50;491.50;469.50;482.10;6663832
TATN;D;15/02/22;000000;482.00;500.40;482.00;498.50;4667641
TATN;D;16/02/22;000000;498.50;508.60;496.80;503.90;3085921
TATN;D;17/02/22;000000;504.00;504.40;485.90;491.00;3999097
TATN;D;18/02/22;000000;491.50;495.60;470.00;472.40;5287316
TATN;D;21/02/22;000000;470.00;483.80;379.50;396.00;12973018
TATN;D;22/02/22;000000;403.80;442.50;360.10;441.60;17053172
TATN;D;24/02/22;000000;396.50;410.00;232.90;309.80;10867747
TATN;D;25/02/22;000000;308.00;398.00;308.00;353.00;4107501
TATN;D;24/03/22;000000;390.00;442.80;362.50;424.00;3129553
TATN;D;25/03/22;000000;439.00;439.00;421.10;427.00;893674
TATN;D;28/03/22;000000;420.00;424.70;393.00;399.80;1109450
TATN;D;29/03/22;000000;398.00;417.80;361.80;391.00;1656634
TATN;D;30/03/22;000000;391.20;400.00;380.50;395.30;528365
TATN;D;31/03/22;000000;395.50;414.50;385.00;411.80;1492973
TATN;D;01/04/22;000000;413.00;434.80;405.50;407.20;1122944
TATN;D;04/04/22;000000;414.90;414.90;394.00;407.00;741559
TATN;D;05/04/22;000000;410.10;411.40;380.00;395.00;657218
TATN;D;06/04/22;000000;391.90;402.50;388.00;393.00;297050
TATN;D;07/04/22;000000;393.00;396.90;389.00;391.00;251072
TATN;D;08/04/22;000000;392.30;394.80;380.50;386.00;474235
TATN;D;11/04/22;000000;385.10;391.00;380.80;382.80;218748
TATN;D;12/04/22;000000;382.80;385.10;374.00;383.60;276754
TATN;D;13/04/22;000000;386.00;387.90;380.00;385.00;262804
TATN;D;14/04/22;000000;385.00;385.50;366.00;367.00;312289
TATN;D;15/04/22;000000;367.00;368.20;354.80;361.00;1157950
TATN;D;18/04/22;000000;365.00;365.00;349.00;352.90;374919
TATN;D;19/04/22;000000;350.70;351.70;319.50;340.70;788245
TATN;D;20/04/22;000000;342.00;355.00;330.90;355.00;445664
TATN;D;21/04/22;000000;354.00;355.00;338.00;350.00;503769
TATN;D;22/04/22;000000;338.30;359.70;338.30;359.70;532687
TATN;D;25/04/22;000000;352.20;366.40;346.10;355.00;451042
TATN;D;26/04/22;000000;355.00;375.00;353.10;375.00;2707518
TATN;D;27/04/22;000000;372.10;384.00;370.60;373.30;995155
TATN;D;28/04/22;000000;377.00;386.80;362.20;362.20;1540552
TATN;D;29/04/22;000000;362.00;387.00;360.40;386.20;748078
TATN;D;04/05/22;000000;386.40;390.00;369.40;369.40;466969
TATN;D;05/05/22;000000;371.80;375.70;369.10;370.30;212453
TATN;D;06/05/22;000000;373.00;381.90;361.70;381.90;284786
TATN;D;11/05/22;000000;378.10;388.00;372.00;378.20;588406
TATN;D;12/05/22;000000;377.00;379.40;364.00;364.10;186510
TATN;D;13/05/22;000000;366.00;373.40;360.00;362.00;277810
TATN;D;16/05/22;000000;362.20;375.00;362.00;373.70;264736
TATN;D;17/05/22;000000;375.10;398.00;375.00;392.50;890722
TATN;D;18/05/22;000000;395.00;413.50;395.00;407.20;981716
TATN;D;19/05/22;000000;406.80;409.70;395.60;404.00;557276
