<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TGKA;4H;10/01/22;080000;0.01;0.01;0.01;0.01;928100000
TGKA;4H;10/01/22;120000;0.01;0.01;0.01;0.01;878800000
TGKA;4H;10/01/22;160000;0.01;0.01;0.01;0.01;966000000
TGKA;4H;11/01/22;080000;0.01;0.01;0.01;0.01;802900000
TGKA;4H;11/01/22;120000;0.01;0.01;0.01;0.01;1712600000
TGKA;4H;11/01/22;160000;0.01;0.01;0.01;0.01;1235100000
TGKA;4H;12/01/22;080000;0.01;0.01;0.01;0.01;998700000
TGKA;4H;12/01/22;120000;0.01;0.01;0.01;0.01;1390400000
TGKA;4H;12/01/22;160000;0.01;0.01;0.01;0.01;644300000
TGKA;4H;13/01/22;080000;0.01;0.01;0.01;0.01;3006700000
TGKA;4H;13/01/22;120000;0.01;0.01;0.01;0.01;8937900000
TGKA;4H;13/01/22;160000;0.01;0.01;0.01;0.01;1699200000
TGKA;4H;14/01/22;080000;0.01;0.01;0.01;0.01;4871000000
TGKA;4H;14/01/22;120000;0.01;0.01;0.01;0.01;3099700000
TGKA;4H;14/01/22;160000;0.01;0.01;0.01;0.01;2285800000
TGKA;4H;17/01/22;080000;0.01;0.01;0.01;0.01;1063900000
TGKA;4H;17/01/22;120000;0.01;0.01;0.01;0.01;2075600000
TGKA;4H;17/01/22;160000;0.01;0.01;0.01;0.01;1477800000
TGKA;4H;18/01/22;080000;0.01;0.01;0.01;0.01;1466000000
TGKA;4H;18/01/22;120000;0.01;0.01;0.01;0.01;3364600000
TGKA;4H;18/01/22;160000;0.01;0.01;0.01;0.01;4028200000
TGKA;4H;19/01/22;080000;0.01;0.01;0.01;0.01;1896400000
TGKA;4H;19/01/22;120000;0.01;0.01;0.01;0.01;1489400000
TGKA;4H;19/01/22;160000;0.01;0.01;0.01;0.01;1626100000
TGKA;4H;20/01/22;080000;0.01;0.01;0.01;0.01;2027400000
TGKA;4H;20/01/22;120000;0.01;0.01;0.01;0.01;1554800000
TGKA;4H;20/01/22;160000;0.01;0.01;0.01;0.01;981600000
TGKA;4H;21/01/22;080000;0.01;0.01;0.01;0.01;926300000
TGKA;4H;21/01/22;120000;0.01;0.01;0.01;0.01;1935000000
TGKA;4H;21/01/22;160000;0.01;0.01;0.01;0.01;2302600000
TGKA;4H;24/01/22;080000;0.01;0.01;0.01;0.01;1777300000
TGKA;4H;24/01/22;120000;0.01;0.01;0.01;0.01;7755600000
TGKA;4H;24/01/22;160000;0.01;0.01;0.01;0.01;1402800000
TGKA;4H;25/01/22;080000;0.01;0.01;0.01;0.01;1329400000
TGKA;4H;25/01/22;120000;0.01;0.01;0.01;0.01;1905400000
TGKA;4H;25/01/22;160000;0.01;0.01;0.01;0.01;1853600000
TGKA;4H;26/01/22;080000;0.01;0.01;0.01;0.01;800800000
TGKA;4H;26/01/22;120000;0.01;0.01;0.01;0.01;1405500000
TGKA;4H;26/01/22;160000;0.01;0.01;0.01;0.01;508600000
TGKA;4H;27/01/22;080000;0.01;0.01;0.01;0.01;1358200000
TGKA;4H;27/01/22;120000;0.01;0.01;0.01;0.01;1023800000
TGKA;4H;27/01/22;160000;0.01;0.01;0.01;0.01;1361100000
TGKA;4H;28/01/22;080000;0.01;0.01;0.01;0.01;957000000
TGKA;4H;28/01/22;120000;0.01;0.01;0.01;0.01;1635900000
TGKA;4H;28/01/22;160000;0.01;0.01;0.01;0.01;470500000
TGKA;4H;31/01/22;080000;0.01;0.01;0.01;0.01;1249500000
TGKA;4H;31/01/22;120000;0.01;0.01;0.01;0.01;897600000
TGKA;4H;31/01/22;160000;0.01;0.01;0.01;0.01;708300000
TGKA;4H;01/02/22;080000;0.01;0.01;0.01;0.01;1296900000
TGKA;4H;01/02/22;120000;0.01;0.01;0.01;0.01;1515600000
TGKA;4H;01/02/22;160000;0.01;0.01;0.01;0.01;1478600000
TGKA;4H;02/02/22;080000;0.01;0.01;0.01;0.01;628100000
TGKA;4H;02/02/22;120000;0.01;0.01;0.01;0.01;524800000
TGKA;4H;02/02/22;160000;0.01;0.01;0.01;0.01;1028100000
TGKA;4H;03/02/22;080000;0.01;0.01;0.01;0.01;1286000000
TGKA;4H;03/02/22;120000;0.01;0.01;0.01;0.01;801800000
TGKA;4H;03/02/22;160000;0.01;0.01;0.01;0.01;1203800000
TGKA;4H;04/02/22;080000;0.01;0.01;0.01;0.01;804600000
TGKA;4H;04/02/22;120000;0.01;0.01;0.01;0.01;425900000
TGKA;4H;04/02/22;160000;0.01;0.01;0.01;0.01;1839700000
TGKA;4H;07/02/22;080000;0.01;0.01;0.01;0.01;847500000
TGKA;4H;07/02/22;120000;0.01;0.01;0.01;0.01;505900000
TGKA;4H;07/02/22;160000;0.01;0.01;0.01;0.01;1526400000
TGKA;4H;08/02/22;080000;0.01;0.01;0.01;0.01;558200000
TGKA;4H;08/02/22;120000;0.01;0.01;0.01;0.01;364700000
TGKA;4H;08/02/22;160000;0.01;0.01;0.01;0.01;312800000
TGKA;4H;09/02/22;080000;0.01;0.01;0.01;0.01;407100000
TGKA;4H;09/02/22;120000;0.01;0.01;0.01;0.01;420100000
TGKA;4H;09/02/22;160000;0.01;0.01;0.01;0.01;280900000
TGKA;4H;10/02/22;080000;0.01;0.01;0.01;0.01;235000000
TGKA;4H;10/02/22;120000;0.01;0.01;0.01;0.01;157400000
TGKA;4H;10/02/22;160000;0.01;0.01;0.01;0.01;388000000
TGKA;4H;11/02/22;080000;0.01;0.01;0.01;0.01;742900000
TGKA;4H;11/02/22;120000;0.01;0.01;0.01;0.01;370700000
TGKA;4H;11/02/22;160000;0.01;0.01;0.01;0.01;558100000
TGKA;4H;14/02/22;080000;0.01;0.01;0.01;0.01;670700000
TGKA;4H;14/02/22;120000;0.01;0.01;0.01;0.01;911900000
TGKA;4H;14/02/22;160000;0.01;0.01;0.01;0.01;639900000
TGKA;4H;15/02/22;080000;0.01;0.01;0.01;0.01;983300000
TGKA;4H;15/02/22;120000;0.01;0.01;0.01;0.01;670900000
TGKA;4H;15/02/22;160000;0.01;0.01;0.01;0.01;1833400000
TGKA;4H;16/02/22;080000;0.01;0.01;0.01;0.01;1369600000
TGKA;4H;16/02/22;120000;0.01;0.01;0.01;0.01;904500000
TGKA;4H;16/02/22;160000;0.01;0.01;0.01;0.01;273400000
TGKA;4H;17/02/22;080000;0.01;0.01;0.01;0.01;893500000
TGKA;4H;17/02/22;120000;0.01;0.01;0.01;0.01;464300000
TGKA;4H;17/02/22;160000;0.01;0.01;0.01;0.01;960300000
TGKA;4H;18/02/22;080000;0.01;0.01;0.01;0.01;507600000
TGKA;4H;18/02/22;120000;0.01;0.01;0.01;0.01;944000000
