<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TGKA;D;10/01/22;000000;0.01006;0.010222;0.010004;0.010004;2772900000
TGKA;D;11/01/22;000000;0.010004;0.01011;0.009914;0.01;3750600000
TGKA;D;12/01/22;000000;0.00994;0.01002;0.009932;0.009988;3033400000
TGKA;D;13/01/22;000000;0.01;0.01002;0.0097;0.0097;13643800000
TGKA;D;14/01/22;000000;0.009778;0.009798;0.0094;0.009502;10256500000
TGKA;D;17/01/22;000000;0.00959;0.009692;0.009332;0.009428;4617300000
TGKA;D;18/01/22;000000;0.0094;0.0094;0.008936;0.009022;8858800000
TGKA;D;19/01/22;000000;0.009126;0.009366;0.00901;0.00924;5011900000
TGKA;D;20/01/22;000000;0.009408;0.009522;0.009258;0.009512;4563800000
TGKA;D;21/01/22;000000;0.00951;0.009618;0.009314;0.00938;5163900000
TGKA;D;24/01/22;000000;0.00939;0.00939;0.008654;0.008926;10935700000
TGKA;D;25/01/22;000000;0.009026;0.009298;0.00899;0.0092;5088400000
TGKA;D;26/01/22;000000;0.009292;0.009388;0.009142;0.009298;2714900000
TGKA;D;27/01/22;000000;0.009394;0.009588;0.00925;0.009396;3743100000
TGKA;D;28/01/22;000000;0.009498;0.009564;0.009366;0.009486;3063400000
TGKA;D;31/01/22;000000;0.009486;0.009786;0.009486;0.00969;2855400000
TGKA;D;01/02/22;000000;0.009694;0.009808;0.009634;0.009778;4291100000
TGKA;D;02/02/22;000000;0.0096;0.00979;0.00957;0.00957;2181000000
TGKA;D;03/02/22;000000;0.009594;0.009594;0.009396;0.009414;3291600000
TGKA;D;04/02/22;000000;0.0095;0.009688;0.00938;0.009518;3070200000
TGKA;D;07/02/22;000000;0.0095;0.009794;0.009414;0.00977;2879800000
TGKA;D;08/02/22;000000;0.00983;0.009832;0.009664;0.009734;1235700000
TGKA;D;09/02/22;000000;0.0098;0.00983;0.009748;0.009796;1108100000
TGKA;D;10/02/22;000000;0.009796;0.009796;0.0097;0.009712;780400000
TGKA;D;11/02/22;000000;0.0097;0.0097;0.009516;0.00954;1671700000
TGKA;D;14/02/22;000000;0.009574;0.009754;0.00943;0.0097;2222500000
TGKA;D;15/02/22;000000;0.00972;0.00984;0.00972;0.00982;3487600000
TGKA;D;16/02/22;000000;0.00984;0.009972;0.00984;0.009912;2547500000
TGKA;D;17/02/22;000000;0.009904;0.009908;0.009632;0.009764;2318100000
TGKA;D;18/02/22;000000;0.00977;0.009938;0.009488;0.009546;3670000000
TGKA;D;21/02/22;000000;0.009674;0.009938;0.008722;0.009056;10015900000
TGKA;D;22/02/22;000000;0.0087;0.00925;0.0082;0.00924;10546000000
TGKA;D;24/02/22;000000;0.008316;0.008316;0.00578;0.006396;10830300000
TGKA;D;25/02/22;000000;0.0066;0.008218;0.0066;0.007362;6811600000
TGKA;D;28/03/22;000000;0.00735;0.00735;0.00599;0.00651;6908900000
TGKA;D;29/03/22;000000;0.00654;0.00727;0.006158;0.00634;4282200000
TGKA;D;30/03/22;000000;0.00689;0.0076;0.006498;0.007022;5377700000
TGKA;D;31/03/22;000000;0.007392;0.007698;0.007056;0.007602;5306300000
TGKA;D;01/04/22;000000;0.007636;0.008098;0.007632;0.007962;3829500000
TGKA;D;04/04/22;000000;0.0078;0.008084;0.007516;0.007568;12727900000
