<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
T;4H;10/01/22;040000;5760.00;5902.00;5740.00;5881.20;10686
T;4H;10/01/22;080000;5884.80;5893.00;5803.40;5815.80;103030
T;4H;10/01/22;120000;5816.00;5888.00;5791.00;5822.00;94556
T;4H;10/01/22;160000;5822.00;5863.80;5737.00;5807.80;94946
T;4H;10/01/22;200000;5807.80;5831.80;5795.00;5830.00;12465
T;4H;11/01/22;040000;5839.00;5866.00;5810.00;5837.40;4544
T;4H;11/01/22;080000;5835.20;5877.80;5794.60;5848.40;55730
T;4H;11/01/22;120000;5852.00;5957.00;5852.00;5941.40;106756
T;4H;11/01/22;160000;5941.40;6027.40;5888.00;5967.20;169548
T;4H;11/01/22;200000;5963.80;5985.00;5930.00;5945.00;21519
T;4H;12/01/22;040000;5960.00;5974.80;5900.00;5904.00;4960
T;4H;12/01/22;080000;5904.40;5988.00;5893.00;5951.80;66365
T;4H;12/01/22;120000;5949.40;6130.00;5944.00;6120.20;188596
T;4H;12/01/22;160000;6123.00;6222.40;6085.20;6150.00;178254
T;4H;12/01/22;200000;6152.40;6200.60;6135.40;6192.80;33625
T;4H;13/01/22;040000;6192.00;6240.00;6132.00;6158.80;11802
T;4H;13/01/22;080000;6162.00;6173.80;6005.00;6069.00;121589
T;4H;13/01/22;120000;6069.60;6189.00;6050.00;6053.80;258810
T;4H;13/01/22;160000;6054.40;6160.20;5666.00;5771.80;453693
T;4H;13/01/22;200000;5771.80;5857.60;5762.00;5832.80;65534
T;4H;14/01/22;040000;5832.60;5920.00;5811.00;5914.00;12203
T;4H;14/01/22;080000;5912.00;5926.20;5551.20;5561.80;229827
T;4H;14/01/22;120000;5561.80;5574.20;5299.60;5406.40;678941
T;4H;14/01/22;160000;5406.40;5550.00;5321.20;5536.60;517279
T;4H;14/01/22;200000;5536.60;5550.00;5462.00;5509.80;36287
T;4H;17/01/22;040000;5520.00;5625.00;5351.00;5449.40;36957
T;4H;17/01/22;080000;5444.80;5485.00;5149.00;5152.20;339368
T;4H;17/01/22;120000;5152.20;5179.00;5045.40;5069.00;319544
T;4H;17/01/22;160000;5066.40;5394.00;5064.40;5351.00;422591
T;4H;17/01/22;200000;5355.00;5359.80;5265.00;5295.00;32619
T;4H;18/01/22;040000;5307.00;5307.80;5133.00;5152.60;25779
T;4H;18/01/22;080000;5152.60;5241.40;5101.20;5178.40;203116
T;4H;18/01/22;120000;5178.40;5198.00;4865.40;4869.80;421687
T;4H;18/01/22;160000;4869.80;4978.80;4636.80;4770.00;740196
T;4H;18/01/22;200000;4770.00;4829.00;4695.00;4720.00;111212
T;4H;19/01/22;040000;4733.00;4733.00;4403.60;4539.80;107526
T;4H;19/01/22;080000;4532.80;4952.00;4484.60;4810.00;718525
T;4H;19/01/22;120000;4807.80;4870.00;4721.20;4738.60;809461
T;4H;19/01/22;160000;4735.00;4793.60;4630.00;4697.00;570933
T;4H;19/01/22;200000;4696.80;4712.00;4650.00;4650.00;61216
T;4H;20/01/22;040000;4650.00;4748.40;4612.00;4711.00;35698
T;4H;20/01/22;080000;4710.60;4860.00;4511.80;4615.20;365861
T;4H;20/01/22;120000;4615.20;4825.00;4600.40;4753.00;311609
T;4H;20/01/22;160000;4751.00;5016.00;4730.20;4896.00;420570
T;4H;20/01/22;200000;4896.20;4949.00;4822.00;4822.80;43390
T;4H;21/01/22;040000;4819.00;4819.00;4720.00;4808.80;30215
T;4H;21/01/22;080000;4808.80;4849.80;4722.20;4769.20;168109
T;4H;21/01/22;120000;4765.60;4944.20;4751.00;4900.20;241507
T;4H;21/01/22;160000;4898.80;4989.60;4846.40;4855.20;258339
T;4H;21/01/22;200000;4855.20;4867.00;4785.60;4828.00;26402
T;4H;24/01/22;040000;4826.00;4960.00;4800.00;4856.80;14484
T;4H;24/01/22;080000;4864.00;4939.80;4515.20;4531.20;255688
T;4H;24/01/22;120000;4531.20;4549.40;4390.00;4501.00;483115
T;4H;24/01/22;160000;4505.60;4576.80;4485.20;4503.00;236425
T;4H;24/01/22;200000;4502.00;4600.00;4481.40;4600.00;60899
T;4H;25/01/22;040000;4615.00;4730.00;4525.20;4555.40;48911
T;4H;25/01/22;080000;4548.60;4730.00;4486.00;4724.00;249376
T;4H;25/01/22;120000;4724.40;5013.00;4701.00;4945.60;461062
T;4H;25/01/22;160000;4941.40;4987.20;4762.00;4873.00;373824
T;4H;25/01/22;200000;4874.20;4972.60;4819.00;4952.00;96199
T;4H;26/01/22;040000;4980.00;5078.00;4953.20;5078.00;55255
T;4H;26/01/22;080000;5079.00;5090.00;4773.00;4928.20;264374
T;4H;26/01/22;120000;4928.20;5185.00;4925.00;5134.60;406077
T;4H;26/01/22;160000;5133.20;5247.00;5030.00;5117.60;332274
T;4H;26/01/22;200000;5117.60;5242.20;5031.00;5089.80;110567
T;4H;27/01/22;040000;5080.00;5129.40;5040.00;5067.00;33736
