<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
T;D;10/01/22;000000;5760.0;5902.0;5737.0;5830.0;315683
T;D;11/01/22;000000;5839.0;6027.4;5794.6;5945.0;358097
T;D;12/01/22;000000;5960.0;6222.4;5893.0;6192.8;471800
T;D;13/01/22;000000;6192.0;6240.0;5666.0;5832.8;911428
T;D;14/01/22;000000;5832.6;5926.2;5299.6;5509.8;1474537
T;D;17/01/22;000000;5520.0;5625.0;5045.4;5295.0;1151079
T;D;18/01/22;000000;5307.0;5307.8;4636.8;4720.0;1501990
T;D;19/01/22;000000;4733.0;4952.0;4403.6;4650.0;2267661
T;D;20/01/22;000000;4650.0;5016.0;4511.8;4822.8;1177128
T;D;21/01/22;000000;4819.0;4989.6;4720.0;4828.0;724572
T;D;24/01/22;000000;4826.0;4960.0;4390.0;4600.0;1050611
T;D;25/01/22;000000;4615.0;5013.0;4486.0;4952.0;1229372
T;D;26/01/22;000000;4980.0;5247.0;4773.0;5089.8;1168547
T;D;27/01/22;000000;5080.0;5524.8;4962.4;5400.0;1296311
T;D;28/01/22;000000;5440.0;5749.6;5329.0;5421.2;1209488
T;D;31/01/22;000000;5477.0;5649.8;5465.0;5587.0;631402
T;D;01/02/22;000000;5590.0;5718.0;5525.0;5665.0;702711
T;D;02/02/22;000000;5680.0;5717.5;5470.5;5554.0;555374
T;D;03/02/22;000000;5503.5;5565.0;5117.5;5235.0;663005
T;D;04/02/22;000000;5271.5;5396.5;5082.5;5184.5;548835
T;D;07/02/22;000000;5209.5;5262.0;4973.0;5005.0;389571
T;D;08/02/22;000000;5035.0;5095.0;4879.5;5067.5;600682
T;D;09/02/22;000000;5067.0;5741.0;5035.0;5698.0;1505127
T;D;10/02/22;000000;5702.0;6058.0;5442.0;5846.5;1726909
T;D;11/02/22;000000;5810.0;5958.0;5309.0;5314.5;1624033
T;D;14/02/22;000000;5260.0;5498.0;4920.0;5223.0;1635481
T;D;15/02/22;000000;5235.5;5645.0;5232.0;5519.5;1798498
T;D;16/02/22;000000;5550.0;5690.0;5355.0;5488.5;1452047
T;D;17/02/22;000000;5490.0;5497.5;5108.0;5147.0;1120506
T;D;18/02/22;000000;5151.0;5294.0;4663.5;4821.5;1519233
T;D;21/02/22;000000;4850.0;5110.0;4351.0;4475.0;2862648
T;D;22/02/22;000000;4400.0;4615.5;4007.5;4488.5;2787301
T;D;24/02/22;000000;4059.5;4059.5;1732.5;3039.5;2692930
T;D;25/02/22;000000;2664.0;3852.5;2559.0;3054.5;2804947
T;D;29/03/22;000000;3140.0;3649.5;2867.5;2990.0;771383
T;D;30/03/22;000000;3100.0;3180.0;2900.5;2980.0;362139
T;D;31/03/22;000000;3002.0;3393.5;2930.0;3318.5;742478
T;D;01/04/22;000000;3350.0;3678.0;3331.5;3499.5;763964
T;D;04/04/22;000000;3600.0;3812.0;3312.5;3664.0;661394
T;D;05/04/22;000000;3748.5;3791.0;3360.0;3601.0;492910
T;D;06/04/22;000000;3605.0;3623.0;3430.0;3500.0;243495
T;D;07/04/22;000000;3505.0;3594.5;3450.0;3470.0;226810
T;D;08/04/22;000000;3460.0;3548.0;3151.0;3274.5;322991
T;D;11/04/22;000000;3280.0;3434.5;3215.0;3269.0;165822
T;D;12/04/22;000000;3279.0;3309.0;3062.5;3217.0;178575
T;D;13/04/22;000000;3260.0;3260.0;3139.0;3172.0;91974
T;D;14/04/22;000000;3200.0;3200.0;2985.0;3010.0;199860
T;D;15/04/22;000000;3009.0;3030.0;2901.0;2993.0;138519
T;D;18/04/22;000000;3002.0;3069.0;2710.0;2722.0;250731
T;D;19/04/22;000000;2731.0;2731.0;2350.5;2540.0;635173
T;D;20/04/22;000000;2506.0;2775.0;2424.0;2590.0;442030
T;D;21/04/22;000000;2595.0;2648.0;2455.5;2485.0;204087
T;D;22/04/22;000000;2519.5;2560.0;2260.0;2270.0;320227
T;D;25/04/22;000000;2185.0;2228.5;1908.0;1908.0;458348
T;D;26/04/22;000000;1880.0;2138.0;1870.0;2073.0;424633
T;D;27/04/22;000000;2092.5;2690.5;2030.0;2520.0;778716
T;D;28/04/22;000000;2554.5;2950.0;2500.0;2700.0;1268080
T;D;29/04/22;000000;2965.0;3030.0;2557.0;2608.0;628679
T;D;04/05/22;000000;2558.0;2666.5;2391.0;2402.0;358736
T;D;05/05/22;000000;2420.0;2533.0;2405.5;2453.0;258831
T;D;06/05/22;000000;2497.5;2497.5;2257.5;2304.0;270586
T;D;11/05/22;000000;2304.0;2349.0;2187.0;2245.5;221358
T;D;12/05/22;000000;2249.5;2259.0;2013.5;2032.0;250238
T;D;13/05/22;000000;2052.0;2183.0;2045.0;2130.0;254467
T;D;16/05/22;000000;2147.0;2229.0;2133.0;2185.0;202575
T;D;17/05/22;000000;2247.5;2380.0;2190.5;2380.0;246823
T;D;18/05/22;000000;2432.0;2549.5;2360.0;2402.0;475508
T;D;19/05/22;000000;2400.0;2400.0;2205.0;2236.5;325695
T;D;20/05/22;000000;2238.0;2305.0;2142.0;2194.0;257861
T;D;23/05/22;000000;2225.0;2240.0;2105.0;2129.0;153364
T;D;24/05/22;000000;2110.0;2225.5;2041.0;2146.5;244100
T;D;25/05/22;000000;2150.0;2180.0;2088.0;2155.5;203901
T;D;26/05/22;000000;2160.0;2245.0;2160.0;2220.5;262885
T;D;27/05/22;000000;2232.0;2247.5;2161.0;2201.0;182580
T;D;30/05/22;000000;2212.0;2234.0;2148.0;2164.0;171992
T;D;31/05/22;000000;2150.0;2162.0;2085.5;2111.5;121597
T;D;01/06/22;000000;2112.0;2158.0;2075.0;2110.5;114220
T;D;02/06/22;000000;2128.5;2128.5;2086.5;2105.0;73102
T;D;03/06/22;000000;2112.0;2123.5;2000.0;2018.0;154741
T;D;06/06/22;000000;2010.0;2010.0;1853.0;1900.0;259637
T;D;07/06/22;000000;1900.0;1913.0;1800.0;1859.5;239290
T;D;08/06/22;000000;1879.0;1944.5;1867.0;1886.0;178277
T;D;09/06/22;000000;1888.5;1896.0;1747.5;1777.0;281908
T;D;10/06/22;000000;1777.0;1780.0;1690.5;1701.0;242283
T;D;14/06/22;000000;1690.0;1690.0;1593.0;1597.0;288914
T;D;15/06/22;000000;1589.0;1669.5;1580.0;1651.5;193735
T;D;16/06/22;000000;1678.0;1740.0;1661.0;1737.0;201374
T;D;17/06/22;000000;1749.5;1794.5;1655.0;1676.0;232791
T;D;20/06/22;000000;1676.5;1734.0;1671.0;1725.0;218670
T;D;21/06/22;000000;1740.0;1765.0;1668.5;1673.0;169458
T;D;22/06/22;000000;1680.0;1680.0;1621.0;1649.0;121267
T;D;23/06/22;000000;1659.0;1690.5;1620.5;1654.5;166657
T;D;24/06/22;000000;1655.5;1662.5;1621.0;1635.0;96328
T;D;27/06/22;000000;1630.0;1674.0;1623.0;1672.0;121852
T;D;28/06/22;000000;1695.0;1934.5;1661.0;1927.0;503868
T;D;29/06/22;000000;1930.0;1949.0;1751.5;1810.0;477856
T;D;30/06/22;000000;1805.5;1818.5;1675.0;1804.0;337016
T;D;01/07/22;000000;1795.0;1877.0;1731.5;1861.0;148102
T;D;04/07/22;000000;1870.0;2020.0;1867.0;2012.0;293749
T;D;05/07/22;000000;1980.0;2095.0;1980.0;2039.0;321610
T;D;06/07/22;000000;2073.0;2149.5;2052.5;2100.0;226331
T;D;07/07/22;000000;2100.5;2135.0;2014.0;2031.0;121199
T;D;08/07/22;000000;2053.0;2053.0;1957.0;2013.0;115447
T;D;11/07/22;000000;2021.0;2090.5;1970.0;1980.0;159035
T;D;12/07/22;000000;1975.0;1994.0;1892.0;1943.5;117867
T;D;13/07/22;000000;1949.5;1987.0;1863.0;1895.0;150571
T;D;14/07/22;000000;1902.0;1932.5;1865.0;1879.5;81359
T;D;15/07/22;000000;1873.5;1909.0;1845.0;1901.5;117788
T;D;18/07/22;000000;1935.0;1935.0;1850.0;1876.0;123745
T;D;19/07/22;000000;1876.0;1876.0;1800.0;1813.5;85325
T;D;20/07/22;000000;1815.5;1845.0;1756.0;1771.0;136217
T;D;21/07/22;000000;1771.0;1786.5;1704.5;1759.0;107381
