<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;12H;03/01/22;000000;241.53;246.40;241.53;245.32;13839820000
VTBR;12H;03/01/22;120000;245.32;247.47;245.03;247.25;14120660000
VTBR;12H;04/01/22;000000;247.25;249.25;245.30;246.47;13088330000
VTBR;12H;04/01/22;120000;246.43;249.35;246.12;248.50;16712260000
VTBR;12H;05/01/22;000000;248.50;249.32;246.03;248.28;7954680000
VTBR;12H;05/01/22;120000;248.30;248.72;235.88;236.80;39683120000
VTBR;12H;06/01/22;000000;237.50;242.50;235.25;239.65;20214030000
VTBR;12H;06/01/22;120000;239.60;242.43;239.50;242.23;19488990000
VTBR;12H;10/01/22;000000;243.42;246.33;242.82;243.10;13659630000
VTBR;12H;10/01/22;120000;243.03;244.90;241.10;244.75;21230110000
VTBR;12H;11/01/22;000000;244.97;247.30;243.38;246.60;9603060000
VTBR;12H;11/01/22;120000;246.53;252.00;246.08;251.30;37873580000
VTBR;12H;12/01/22;000000;251.03;252.72;250.10;251.35;11648010000
VTBR;12H;12/01/22;120000;251.45;254.30;249.38;250.55;37047870000
VTBR;12H;13/01/22;000000;250.50;251.20;247.60;248.07;13348230000
VTBR;12H;13/01/22;120000;248.20;248.95;229.20;235.38;160315830000
VTBR;12H;14/01/22;000000;236.88;239.95;233.50;233.70;45892510000
VTBR;12H;14/01/22;120000;233.75;234.57;219.20;232.05;149176400000
VTBR;12H;17/01/22;000000;232.50;234.05;224.30;228.88;43262100000
VTBR;12H;17/01/22;120000;228.80;234.12;224.50;232.50;63057210000
VTBR;12H;18/01/22;000000;232.67;233.47;223.67;225.93;37642660000
VTBR;12H;18/01/22;120000;225.90;226.60;215.35;218.18;119597190000
VTBR;12H;19/01/22;000000;215.22;228.20;205.62;227.07;82054660000
VTBR;12H;19/01/22;120000;227.23;232.50;223.85;226.38;67918770000
VTBR;12H;20/01/22;000000;225.07;234.10;224.02;226.23;47059580000
VTBR;12H;20/01/22;120000;226.07;233.50;225.33;227.07;55586380000
VTBR;12H;21/01/22;000000;225.50;228.50;222.28;226.38;22405950000
VTBR;12H;21/01/22;120000;226.35;231.25;218.80;219.68;58208940000
VTBR;12H;24/01/22;000000;221.97;222.42;209.52;210.03;45013020000
VTBR;12H;24/01/22;120000;210.00;210.73;197.75;205.90;172301150000
VTBR;12H;25/01/22;000000;204.97;212.88;203.25;208.78;63063270000
VTBR;12H;25/01/22;120000;208.85;213.50;203.00;212.68;76062560000
VTBR;12H;26/01/22;000000;212.70;213.88;204.32;207.25;49544820000
VTBR;12H;26/01/22;120000;207.35;213.47;202.75;206.45;124765740000
VTBR;12H;27/01/22;000000;204.00;213.67;203.32;212.10;36678760000
VTBR;12H;27/01/22;120000;212.00;220.60;210.83;215.50;113582970000
VTBR;12H;28/01/22;000000;216.50;221.28;213.23;215.62;35361240000
VTBR;12H;28/01/22;120000;215.73;219.43;214.60;216.98;39921340000
VTBR;12H;31/01/22;000000;217.30;222.00;217.30;220.48;29599820000
VTBR;12H;31/01/22;120000;220.40;220.97;215.00;218.90;65154990000
VTBR;12H;01/02/22;000000;219.00;220.48;214.00;215.30;35292910000
VTBR;12H;01/02/22;120000;215.32;216.32;211.08;213.47;59664590000
VTBR;12H;02/02/22;000000;214.60;215.95;212.02;213.15;20546230000
VTBR;12H;02/02/22;120000;213.20;216.12;209.40;212.00;46506450000
VTBR;12H;03/02/22;000000;210.20;211.72;207.27;209.07;21329970000
VTBR;12H;03/02/22;120000;209.12;209.40;204.00;206.23;46522230000
VTBR;12H;04/02/22;000000;208.00;210.62;207.25;209.40;18695220000
VTBR;12H;04/02/22;120000;209.40;209.50;203.62;206.25;48114850000
VTBR;12H;07/02/22;000000;206.00;208.20;204.10;205.20;16639950000
VTBR;12H;07/02/22;120000;205.12;206.43;202.88;205.50;34556010000
VTBR;12H;08/02/22;000000;205.50;209.60;204.42;209.28;30542900000
VTBR;12H;08/02/22;120000;209.25;211.15;204.63;211.03;66865620000
VTBR;12H;09/02/22;000000;211.67;214.50;211.05;213.60;38796900000
VTBR;12H;09/02/22;120000;213.60;215.00;210.27;213.70;80652950000
VTBR;12H;10/02/22;000000;213.70;214.50;209.50;209.85;28541320000
VTBR;12H;10/02/22;120000;209.80;212.10;208.25;209.50;75755250000
