<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;03/01/22;000000;241.53;247.47;241.53;247.25;27960480000
VTBR;D;04/01/22;000000;247.25;249.35;245.30;248.50;29800590000
VTBR;D;05/01/22;000000;248.50;249.32;235.88;236.80;47637800000
VTBR;D;06/01/22;000000;237.50;242.50;235.25;242.23;39703020000
VTBR;D;10/01/22;000000;243.42;246.33;241.10;244.75;34889740000
VTBR;D;11/01/22;000000;244.97;252.00;243.38;251.30;47476640000
VTBR;D;12/01/22;000000;251.03;254.30;249.38;250.55;48695880000
VTBR;D;13/01/22;000000;250.50;251.20;229.20;235.38;173664060000
VTBR;D;14/01/22;000000;236.88;239.95;219.20;232.05;195068910000
VTBR;D;17/01/22;000000;232.50;234.12;224.30;232.50;106319310000
VTBR;D;18/01/22;000000;232.67;233.47;215.35;218.18;157239850000
VTBR;D;19/01/22;000000;215.22;232.50;205.62;226.38;149973430000
VTBR;D;20/01/22;000000;225.07;234.10;224.02;227.07;102645960000
VTBR;D;21/01/22;000000;225.50;231.25;218.80;219.68;80614890000
VTBR;D;24/01/22;000000;221.97;222.42;197.75;205.90;217314170000
VTBR;D;25/01/22;000000;204.97;213.50;203.00;212.68;139125830000
VTBR;D;26/01/22;000000;212.70;213.88;202.75;206.45;174310560000
VTBR;D;27/01/22;000000;204.00;220.60;203.32;215.50;150261730000
VTBR;D;28/01/22;000000;216.50;221.28;213.23;216.98;75282580000
VTBR;D;31/01/22;000000;217.30;222.00;215.00;218.90;94754810000
VTBR;D;01/02/22;000000;219.00;220.48;211.08;213.47;94957500000
VTBR;D;02/02/22;000000;214.60;216.12;209.40;212.00;67052680000
VTBR;D;03/02/22;000000;210.20;211.72;204.00;206.23;67852200000
VTBR;D;04/02/22;000000;208.00;210.62;203.62;206.25;66810070000
VTBR;D;07/02/22;000000;206.00;208.20;202.88;205.50;51195960000
VTBR;D;08/02/22;000000;205.50;211.15;204.42;211.03;97408520000
VTBR;D;09/02/22;000000;211.67;215.00;210.27;213.70;119449850000
VTBR;D;10/02/22;000000;213.70;214.50;208.25;209.50;104296570000
VTBR;D;11/02/22;000000;208.50;210.25;200.50;202.50;102231000000
VTBR;D;14/02/22;000000;200.03;202.75;193.18;201.43;144240050000
VTBR;D;15/02/22;000000;201.65;209.47;201.65;209.42;97504270000
VTBR;D;16/02/22;000000;210.18;216.90;210.00;214.62;121166540000
VTBR;D;17/02/22;000000;214.50;214.75;204.30;205.92;115812590000
VTBR;D;18/02/22;000000;206.72;209.40;194.10;196.45;135861470000
VTBR;D;21/02/22;000000;195.75;201.00;146.00;160.60;472628730000
VTBR;D;22/02/22;000000;159.88;172.90;144.80;171.08;417837380000
VTBR;D;24/02/22;000000;152.55;152.55;81.95;100.50;425751480000
VTBR;D;25/02/22;000000;101.00;113.47;91.25;100.55;220823080000
VTBR;D;24/03/22;000000;90.50;108.85;79.97;95.00;130386410000
VTBR;D;25/03/22;000000;98.50;99.02;85.50;87.50;71412430000
VTBR;D;28/03/22;000000;87.73;88.47;82.50;84.25;37982400000
VTBR;D;29/03/22;000000;84.35;89.72;81.10;82.50;58962780000
VTBR;D;30/03/22;000000;87.75;87.75;84.73;85.78;40808550000
VTBR;D;31/03/22;000000;86.77;99.60;86.77;99.00;183259810000
