<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
X5;12H;09/01/25;000000;2690.00;3000.00;2670.00;2725.00;3618184
X5;12H;09/01/25;120000;2725.00;2810.00;2703.00;2803.00;3042873
X5;12H;10/01/25;000000;2800.00;2891.00;2783.00;2849.00;1268206
X5;12H;10/01/25;120000;2849.00;2975.00;2808.50;2945.00;2186789
X5;12H;13/01/25;000000;2962.00;2999.50;2945.00;2976.00;1047665
X5;12H;13/01/25;120000;2978.00;2995.00;2882.00;2905.00;1072874
X5;12H;14/01/25;000000;2920.00;2929.00;2884.00;2912.00;295887
X5;12H;14/01/25;120000;2911.50;2933.00;2898.50;2929.00;615332
X5;12H;15/01/25;000000;2936.50;2949.50;2915.00;2916.00;169695
X5;12H;15/01/25;120000;2916.00;2925.00;2891.00;2904.50;524919
X5;12H;16/01/25;000000;2905.00;2948.00;2883.00;2919.50;451828
X5;12H;16/01/25;120000;2919.50;2940.00;2903.00;2910.00;830902
X5;12H;17/01/25;000000;2905.00;2911.50;2866.50;2900.00;315950
X5;12H;17/01/25;120000;2900.00;2900.00;2858.50;2898.00;846003
X5;12H;20/01/25;000000;2900.50;2914.50;2891.50;2894.50;354084
X5;12H;20/01/25;120000;2895.50;2900.00;2866.00;2866.00;531824
X5;12H;21/01/25;000000;2885.00;2885.00;2837.00;2860.50;241846
X5;12H;21/01/25;120000;2860.50;2935.00;2847.00;2930.00;1165299
X5;12H;22/01/25;000000;2933.00;2947.00;2908.00;2920.00;260334
X5;12H;22/01/25;120000;2920.00;2944.50;2912.00;2914.00;600162
X5;12H;23/01/25;000000;2913.50;2914.00;2886.00;2898.00;168950
X5;12H;23/01/25;120000;2900.50;2910.00;2889.00;2900.00;457983
X5;12H;24/01/25;000000;2912.00;2919.00;2897.00;2900.00;212549
X5;12H;24/01/25;120000;2900.00;2910.00;2897.00;2909.50;574148
X5;12H;27/01/25;000000;2911.00;2950.00;2905.50;2919.00;399908
X5;12H;27/01/25;120000;2919.00;2940.00;2892.50;2919.50;618030
X5;12H;28/01/25;000000;2921.00;2938.50;2911.00;2933.00;291072
X5;12H;28/01/25;120000;2933.50;3145.00;2930.00;3130.50;3318569
X5;12H;29/01/25;000000;3132.00;3186.00;3085.00;3160.00;978092
X5;12H;29/01/25;120000;3162.00;3190.00;3135.00;3169.00;1084222
X5;12H;30/01/25;000000;3169.00;3215.00;3166.00;3181.50;701995
X5;12H;30/01/25;120000;3181.50;3298.00;3175.00;3259.00;2192293
X5;12H;31/01/25;000000;3261.00;3294.00;3214.00;3214.00;774638
X5;12H;31/01/25;120000;3214.00;3256.00;3192.50;3232.00;785677
X5;12H;03/02/25;000000;3232.50;3270.00;3172.50;3264.00;417050
X5;12H;03/02/25;120000;3263.50;3274.00;3202.50;3240.00;597840
X5;12H;04/02/25;000000;3241.00;3291.50;3226.50;3243.00;416069
X5;12H;04/02/25;120000;3242.50;3283.50;3240.00;3268.50;859473
X5;12H;05/02/25;000000;3267.00;3305.00;3255.00;3259.00;506743
X5;12H;05/02/25;120000;3259.50;3283.50;3241.50;3276.50;768964
X5;12H;06/02/25;000000;3283.00;3295.00;3252.00;3264.50;320945
X5;12H;06/02/25;120000;3264.50;3280.00;3234.50;3264.50;800744
X5;12H;07/02/25;000000;3268.00;3276.50;3252.00;3253.50;177562
X5;12H;07/02/25;120000;3253.50;3274.50;3245.00;3266.00;436148
X5;12H;10/02/25;000000;3266.50;3312.00;3266.50;3298.00;395883
X5;12H;10/02/25;120000;3298.00;3357.00;3267.50;3267.50;1327394
X5;12H;11/02/25;000000;3285.00;3353.00;3284.00;3318.50;368930
X5;12H;11/02/25;120000;3319.00;3330.50;3275.00;3318.50;707664
X5;12H;12/02/25;000000;3323.00;3368.00;3318.50;3360.50;288103
X5;12H;12/02/25;120000;3360.50;3450.00;3325.00;3440.00;1720011
X5;12H;13/02/25;000000;3440.00;3675.50;3364.00;3471.50;1670673
X5;12H;13/02/25;120000;3470.00;3479.00;3371.00;3419.00;950760
X5;12H;14/02/25;000000;3419.50;3460.00;3401.00;3442.00;620550
