<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
X5;D;09/01/25;000000;2690.00;3000.00;2670.00;2803.00;6661057
X5;D;10/01/25;000000;2800.00;2975.00;2783.00;2945.00;3454995
X5;D;13/01/25;000000;2962.00;2999.50;2882.00;2905.00;2120539
X5;D;14/01/25;000000;2920.00;2933.00;2884.00;2929.00;911219
X5;D;15/01/25;000000;2936.50;2949.50;2891.00;2904.50;694614
X5;D;16/01/25;000000;2905.00;2948.00;2883.00;2910.00;1282730
X5;D;17/01/25;000000;2905.00;2911.50;2858.50;2898.00;1161953
X5;D;20/01/25;000000;2900.50;2914.50;2866.00;2866.00;885908
X5;D;21/01/25;000000;2885.00;2935.00;2837.00;2930.00;1407145
X5;D;22/01/25;000000;2933.00;2947.00;2908.00;2914.00;860496
X5;D;23/01/25;000000;2913.50;2914.00;2886.00;2900.00;626933
X5;D;24/01/25;000000;2912.00;2919.00;2897.00;2909.50;786697
X5;D;27/01/25;000000;2911.00;2950.00;2892.50;2919.50;1017938
X5;D;28/01/25;000000;2921.00;3145.00;2911.00;3130.50;3609641
X5;D;29/01/25;000000;3132.00;3190.00;3085.00;3169.00;2062314
X5;D;30/01/25;000000;3169.00;3298.00;3166.00;3259.00;2894288
X5;D;31/01/25;000000;3261.00;3294.00;3192.50;3232.00;1560315
X5;D;03/02/25;000000;3232.50;3274.00;3172.50;3240.00;1014890
X5;D;04/02/25;000000;3241.00;3291.50;3226.50;3268.50;1275542
X5;D;05/02/25;000000;3267.00;3305.00;3241.50;3276.50;1275707
X5;D;06/02/25;000000;3283.00;3295.00;3234.50;3264.50;1121689
X5;D;07/02/25;000000;3268.00;3276.50;3245.00;3266.00;613710
X5;D;10/02/25;000000;3266.50;3357.00;3266.50;3267.50;1723277
X5;D;11/02/25;000000;3285.00;3353.00;3275.00;3318.50;1076594
X5;D;12/02/25;000000;3323.00;3450.00;3318.50;3440.00;2008114
X5;D;13/02/25;000000;3440.00;3675.50;3364.00;3419.00;2621433
X5;D;14/02/25;000000;3419.50;3493.50;3350.00;3406.50;1877552
X5;D;17/02/25;000000;3425.00;3480.00;3415.00;3470.00;1201150
X5;D;18/02/25;000000;3470.00;3470.00;3406.50;3430.00;811061
X5;D;19/02/25;000000;3438.00;3466.00;3380.50;3445.00;648394
X5;D;20/02/25;000000;3450.00;3489.50;3350.50;3449.50;647881
X5;D;21/02/25;000000;3448.00;3470.00;3432.00;3448.50;334231
X5;D;24/02/25;000000;3448.50;3468.50;3414.50;3438.50;772397
X5;D;25/02/25;000000;3440.00;3460.00;3385.00;3414.50;939476
X5;D;26/02/25;000000;3414.50;3437.50;3276.00;3299.00;1419337
X5;D;27/02/25;000000;3295.50;3362.50;3202.00;3222.50;1495848
X5;D;28/02/25;000000;3220.00;3349.50;3175.00;3334.00;1370411
X5;D;01/03/25;000000;3340.00;3352.00;3325.50;3333.50;25308
X5;D;02/03/25;000000;3336.00;3349.00;3303.50;3320.00;33952
X5;D;03/03/25;000000;3318.00;3340.00;3191.00;3257.00;1034661
X5;D;04/03/25;000000;3260.00;3389.00;3260.00;3348.50;1112001
X5;D;05/03/25;000000;3351.00;3380.00;3300.00;3322.50;912139
X5;D;06/03/25;000000;3304.50;3343.50;3277.50;3337.50;513723
X5;D;07/03/25;000000;3337.00;3433.50;3322.50;3393.00;1348015
X5;D;10/03/25;000000;3393.50;3495.00;3393.00;3464.50;1244368
X5;D;11/03/25;000000;3465.00;3565.00;3457.00;3547.50;1651586
X5;D;12/03/25;000000;3550.00;3565.00;3440.00;3518.00;1093014
X5;D;13/03/25;000000;3518.50;3547.50;3425.00;3513.00;1465422
